bs_p,bs_r,bs_f
77.18,64.95,70.54
71.91,69.51,70.69
72.2,64.87,68.34
85.78,73.37,79.09
65.93,60.12,62.89
52.86,51.83,52.339999999999996
55.900000000000006,62.73,59.11
94.91000000000001,97.88,96.37
66.93,70.45,68.65
67.25999999999999,64.56,65.89
70.92,61.519999999999996,65.89
60.74,63.83,62.239999999999995
82.19999999999999,70.17,75.71
68.28999999999999,67.43,67.86
62.56,58.76,60.6
72.17,63.01,67.28
69.07,62.44,65.59
73.99,61.77,67.33
71.33,64.08,67.51
66.56,71.97,69.16
67.46,68.51,67.97999999999999
68.97,66.06,67.47999999999999
61.86000000000001,65.68,63.72
70.39999999999999,64.45,67.29
65.38000000000001,63.449999999999996,64.4
70.54,63.7,66.95
94.26,79.05,85.99
77.74,78.49000000000001,78.11
65.34,66.23,65.78
59.38,58.19,58.78
71.39999999999999,64.49000000000001,67.77
70.07,63.339999999999996,66.53
56.75,59.730000000000004,58.199999999999996
68.97,61.35,64.94
68.97,63.9,66.34
64.56,55.50000000000001,59.69
64.68,71.23,67.80000000000001
79.72,67.4,73.04
64.47,62.96000000000001,63.71
71.3,63.7,67.28
82.12,73.2,77.4
83.08,67.60000000000001,74.53999999999999
85.36,68.89,76.25
68.85,63.55,66.09
64.63,66.44,65.52
83.14,72.99,77.73
75.63,61.980000000000004,68.13
69.83,66.56,68.16
49.99,50.79,50.39
58.4,57.69,58.040000000000006
56.79,58.8,57.78
74.51,65.03,69.45
71.13000000000001,63.519999999999996,67.11
81.24,69.67999999999999,75.02
76.67,61.28,68.12
73.32,64.88000000000001,68.84
66.78,62.69,64.67
64.5,61.809999999999995,63.12
52.190000000000005,59.34,55.54
74.74,67.03,70.67999999999999
72.95,67.25,69.98
68.02,54.53,60.529999999999994
59.440000000000005,59.45,59.45
82.49,80.34,81.39999999999999
61.14000000000001,54.42,57.589999999999996
68.11,59.97,63.78
69.74000000000001,65.19,67.39
57.50999999999999,59.8,58.63
75.18,73.95,74.56
55.88999999999999,52.82,54.31
81.03,68.12,74.02
74.3,71.87,73.06
70.04,64.16,66.97
82.02000000000001,80.46,81.23
86.72,83.1,84.87
80.92,75.52,78.12
77.73,67.2,72.09
80.28999999999999,73.59,76.79
79.49000000000001,68.0,73.3
61.25000000000001,59.809999999999995,60.519999999999996
75.22999999999999,70.24000000000001,72.65
57.199999999999996,60.8,58.940000000000005
70.25,62.81,66.32000000000001
56.11000000000001,55.879999999999995,55.989999999999995
57.989999999999995,57.50999999999999,57.75
63.67,63.74999999999999,63.71
87.53,66.55,75.61
80.67,62.239999999999995,70.26
65.52,68.39,66.93
62.029999999999994,60.24,61.12
54.300000000000004,52.690000000000005,53.480000000000004
59.03,59.53000000000001,59.28
61.58,55.45,58.35
65.79,59.12,62.28
77.7,68.02,72.54
77.16,62.08,68.8
60.45,62.519999999999996,61.46
74.13,66.14,69.91000000000001
60.589999999999996,61.550000000000004,61.06
68.2,67.04,67.62
71.36,64.34,67.67
75.49,64.18,69.38
76.41,67.75999999999999,71.83
89.91,85.11,87.44
60.36,59.699999999999996,60.029999999999994
54.24,63.63999999999999,58.56
64.63,67.41,65.99000000000001
61.08,59.870000000000005,60.47
71.98,62.92,67.14
66.67999999999999,64.31,65.47
76.09,64.83,70.00999999999999
59.47,55.300000000000004,57.31
72.28999999999999,63.71,67.73
64.14999999999999,61.339999999999996,62.72
75.4,58.03,65.58
57.06,61.629999999999995,59.260000000000005
59.41,57.87,58.63
51.970000000000006,58.46,55.02
80.97999999999999,72.25,76.37
79.27,79.0,79.14
79.29,66.92,72.58
74.32,78.2,76.21
77.21000000000001,68.51,72.6
78.64999999999999,64.41,70.82000000000001
68.67,60.45,64.3
60.89,56.25,58.48
59.48,62.09,60.760000000000005
67.46,58.720000000000006,62.79
63.18,60.78,61.95
68.34,61.41,64.69
80.57,62.239999999999995,70.23
71.26,63.53,67.17
55.64,59.019999999999996,57.28
45.47,50.03999999999999,47.64
60.97,63.0,61.970000000000006
76.67,65.81,70.82000000000001
52.55,53.49,53.02
76.23,64.92,70.12
66.69,60.46,63.42
82.58,71.89999999999999,76.87
