bleu,p,bp,lr,rl,pl
0.0,,0.021128279881183272,0.20588235294117646,68,14
0.0,,1.0,1.2222222222222223,36,44
0.0,,0.15419068667244246,0.3484848484848485,66,23
0.0772,,0.2290799498154876,0.40425531914893614,47,19
0.0,,1.0,1.3414634146341464,41,55
0.0,,0.8410729144396826,0.8524590163934426,61,52
0.0,,0.884195644895183,0.8904109589041096,73,65
0.4422,,1.0,1.0588235294117647,17,18
0.0704,,1.0,1.875,24,45
0.0,,1.0,1.098360655737705,61,67
0.0,,0.11373170793120879,0.3150684931506849,73,23
0.0,,1.0,1.064516129032258,62,66
0.0509,,0.1406418822689932,0.33766233766233766,77,26
0.0,,0.6703200460356393,0.7142857142857143,42,30
0.0,,0.20660984376867284,0.3880597014925373,67,26
0.0,,0.12181361383661986,0.3220338983050847,59,19
0.0,,0.5836454781435741,0.65,40,26
0.0,,0.07065121306042957,0.273972602739726,73,20
0.0,,0.3201745737772765,0.4675324675324675,77,36
0.1282,,1.0,1.302325581395349,43,56
0.0,,1.0,1.0,54,54
0.0,,1.0,1.6296296296296295,27,44
0.0,,0.7732577404831906,0.7954545454545454,44,35
0.0,,0.11186346761447101,0.31343283582089554,67,21
0.0,,0.2838642184327269,0.4426229508196721,61,27
0.0,,0.29559943537737077,0.4507042253521127,71,32
0.3446,,0.4138080991773701,0.53125,32,17
0.222,,1.0,2.3157894736842106,19,44
0.0,,0.592260016295893,0.65625,64,42
0.0,,0.40080281159210923,0.5223880597014925,67,35
0.0,,0.4168620196785084,0.5333333333333333,60,32
0.0,,0.4980923900530609,0.5892857142857143,56,33
0.0,,0.8751733190429475,0.8823529411764706,68,60
0.091,,0.5375735693311238,0.6170212765957447,47,29
0.0,,0.6761743325317475,0.71875,64,46
0.0,,0.316157379963686,0.4647887323943662,71,33
0.0,,1.0,2.3666666666666667,30,71
0.0,,0.08427380392170367,0.2878787878787879,66,19
0.0,,1.0,1.0151515151515151,66,67
0.0,,0.1271357329320355,0.32653061224489793,49,16
0.0,,0.5044883526787212,0.59375,32,19
0.0481,,0.1224564282529819,0.3225806451612903,31,10
0.0411,,0.1064585043792528,0.30864197530864196,81,25
0.0,,1.0,1.0769230769230769,52,56
0.0629,,1.0,1.0694444444444444,72,77
0.1343,,0.29457482831010734,0.45,60,27
0.0,,0.16373208590187502,0.3559322033898305,59,21
0.0,,0.9677447783045844,0.9682539682539683,63,61
0.0,,1.0,1.1395348837209303,43,49
0.0,,1.0,1.4901960784313726,51,76
0.0,,1.0,1.2545454545454546,55,69
0.0,,0.12357474406161391,0.3235294117647059,68,22
