r1_p,r1_r,r1_f,r2_p,r2_r,r2_f,rL_p,rL_r,rL_f
33.33,6.5600000000000005,10.96,9.09,1.67,2.82,25.0,4.92,8.219999999999999
28.57,32.26,30.3,11.76,13.33,12.5,25.71,29.03,27.27
45.0,14.06,21.43,10.530000000000001,3.17,4.88,35.0,10.94,16.669999999999998
72.22,32.5,44.83,47.06,20.51,28.57,66.67,30.0,41.38
7.89,9.379999999999999,8.57,0.0,0.0,0.0,7.89,9.379999999999999,8.57
33.33,1.69,3.2300000000000004,0.0,0.0,0.0,33.33,1.69,3.2300000000000004
22.919999999999998,15.28,18.33,2.13,1.41,1.69,16.669999999999998,11.110000000000001,13.33
64.29,75.0,69.23,38.46,45.45,41.67,64.29,75.0,69.23
22.220000000000002,38.46,28.17,6.819999999999999,12.0,8.7,20.0,34.62,25.35
12.07,12.5,12.280000000000001,0.0,0.0,0.0,10.34,10.71,10.530000000000001
33.33,10.0,15.379999999999999,10.0,2.9000000000000004,4.49,28.57,8.57,13.19
12.24,11.32,11.76,0.0,0.0,0.0,10.2,9.43,9.8
83.33,25.64,39.22,47.83,14.29,22.0,62.5,19.23,29.409999999999997
26.919999999999998,20.0,22.95,4.0,2.94,3.39,11.540000000000001,8.57,9.84
17.39,6.45,9.41,4.55,1.6400000000000001,2.41,17.39,6.45,9.41
29.409999999999997,10.2,15.15,0.0,0.0,0.0,23.53,8.16,12.120000000000001
36.0,25.71,30.0,12.5,8.82,10.34,32.0,22.86,26.669999999999998
52.38,16.18,24.72,15.0,4.4799999999999995,6.9,42.86,13.239999999999998,20.22
38.89,18.42,25.0,5.71,2.67,3.64,25.0,11.84,16.07
20.75,29.73,24.44,9.62,13.889999999999999,11.360000000000001,20.75,29.73,24.44
26.19,20.75,23.16,9.76,7.6899999999999995,8.6,26.19,20.75,23.16
4.17,5.56,4.760000000000001,0.0,0.0,0.0,4.17,5.56,4.760000000000001
19.23,11.63,14.49,0.0,0.0,0.0,15.379999999999999,9.3,11.59
36.84,11.110000000000001,17.07,11.110000000000001,3.2300000000000004,5.0,26.32,7.9399999999999995,12.2
23.330000000000002,11.29,15.22,3.45,1.6400000000000001,2.22,20.0,9.68,13.04
31.25,14.08,19.42,3.2300000000000004,1.43,1.9800000000000002,18.75,8.450000000000001,11.65
92.31,41.38,57.14,83.33,35.709999999999994,50.0,92.31,41.38,57.14
28.21,73.33,40.739999999999995,21.05,57.14,30.769999999999996,28.21,73.33,40.739999999999995
23.68,15.52,18.75,0.0,0.0,0.0,15.790000000000001,10.34,12.5
9.09,2.9899999999999998,4.49,0.0,0.0,0.0,9.09,2.9899999999999998,4.49
31.03,20.93,25.0,10.71,7.140000000000001,8.57,20.69,13.950000000000001,16.669999999999998
31.03,16.36,21.43,0.0,0.0,0.0,31.03,16.36,21.43
5.26,2.94,3.7699999999999996,0.0,0.0,0.0,5.26,2.94,3.7699999999999996
26.919999999999998,12.73,17.28,12.0,5.56,7.59,23.080000000000002,10.91,14.81
22.5,15.790000000000001,18.56,2.56,1.79,2.11,15.0,10.530000000000001,12.370000000000001
12.120000000000001,5.88,7.920000000000001,0.0,0.0,0.0,9.09,4.41,5.94
9.84,23.080000000000002,13.79,3.3300000000000005,8.0,4.71,9.84,23.080000000000002,13.79
44.440000000000005,12.120000000000001,19.05,11.76,3.08,4.88,38.89,10.61,16.669999999999998
16.669999999999998,17.46,17.05,4.62,4.84,4.72,15.15,15.870000000000001,15.5
28.57,9.3,14.04,0.0,0.0,0.0,28.57,9.3,14.04
52.94,29.03,37.5,25.0,13.33,17.39,41.18,22.58,29.17
77.78,28.000000000000004,41.18,62.5,20.830000000000002,31.25,77.78,28.000000000000004,41.18
75.0,20.27,31.91,47.370000000000005,12.33,19.57,75.0,20.27,31.91
16.36,18.37,17.31,3.6999999999999997,4.17,3.92,14.549999999999999,16.33,15.379999999999999
16.900000000000002,17.91,17.39,4.29,4.55,4.41,12.68,13.43,13.04
66.67,25.0,36.36,45.0,16.36,24.0,66.67,25.0,36.36
42.86,15.25,22.5,15.0,5.17,7.6899999999999995,42.86,15.25,22.5
20.0,15.15,17.24,2.04,1.54,1.7500000000000002,14.000000000000002,10.61,12.07
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.2700000000000005,8.33,7.7700000000000005,0.0,0.0,0.0,5.45,6.25,5.83
3.2300000000000004,3.92,3.54,0.0,0.0,0.0,3.2300000000000004,3.92,3.54
56.52,20.31,29.89,18.18,6.35,9.41,34.78,12.5,18.39
12.5,3.45,5.41,0.0,0.0,0.0,12.5,3.45,5.41
66.67,25.35,36.730000000000004,46.150000000000006,17.14,25.0,62.96000000000001,23.94,34.69
50.0,9.62,16.13,33.33,5.88,10.0,50.0,9.62,16.13
33.33,10.34,15.790000000000001,5.88,1.7500000000000002,2.7,33.33,10.34,15.790000000000001
33.33,14.06,19.78,3.85,1.59,2.25,14.81,6.25,8.790000000000001
22.58,20.29,21.37,4.92,4.41,4.65,19.35,17.39,18.32
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48.0,18.18,26.369999999999997,20.830000000000002,7.6899999999999995,11.24,28.000000000000004,10.61,15.379999999999999
8.33,4.55,5.88,0.0,0.0,0.0,8.33,4.55,5.88
6.76,10.0,8.06,4.109999999999999,6.12,4.92,6.76,10.0,8.06
6.5600000000000005,8.89,7.55,0.0,0.0,0.0,3.2800000000000002,4.44,3.7699999999999996
54.55,50.7,52.55,24.62,22.86,23.7,39.39,36.620000000000005,37.96
3.6999999999999997,1.82,2.44,0.0,0.0,0.0,3.6999999999999997,1.82,2.44
15.939999999999998,18.029999999999998,16.919999999999998,1.47,1.67,1.5599999999999998,11.59,13.11,12.31
11.76,7.41,9.09,0.0,0.0,0.0,11.76,7.41,9.09
10.0,5.800000000000001,7.340000000000001,2.56,1.47,1.87,7.5,4.35,5.5
27.589999999999996,22.86,25.0,3.5700000000000003,2.94,3.2300000000000004,17.24,14.29,15.620000000000001
7.41,3.1199999999999997,4.3999999999999995,0.0,0.0,0.0,7.41,3.1199999999999997,4.3999999999999995
41.67,16.13,23.26,27.27,10.0,14.63,41.67,16.13,23.26
20.0,17.740000000000002,18.8,3.6999999999999997,3.2800000000000002,3.4799999999999995,16.36,14.52,15.379999999999999
10.42,10.870000000000001,10.639999999999999,4.26,4.44,4.35,8.33,8.7,8.51
37.5,45.0,40.910000000000004,21.740000000000002,26.32,23.810000000000002,37.5,45.0,40.910000000000004
80.0,61.53999999999999,69.57,55.559999999999995,41.67,47.620000000000005,80.0,61.53999999999999,69.57
41.67,27.779999999999998,33.33,26.090000000000003,17.14,20.69,41.67,27.779999999999998,33.33
80.0,27.589999999999996,41.03,22.220000000000002,7.140000000000001,10.81,60.0,20.69,30.769999999999996
65.22,38.46,48.39,31.819999999999997,18.42,23.330000000000002,47.83,28.21,35.480000000000004
18.75,12.0,14.63,13.33,8.33,10.26,18.75,12.0,14.63
16.0,7.140000000000001,9.879999999999999,4.17,1.82,2.53,16.0,7.140000000000001,9.879999999999999
33.33,14.71,20.41,14.29,6.0600000000000005,8.51,26.669999999999998,11.76,16.33
12.73,17.95,14.89,1.8499999999999999,2.63,2.17,7.2700000000000005,10.26,8.51
18.18,7.6899999999999995,10.81,10.0,4.0,5.71,18.18,7.6899999999999995,10.81
8.33,3.3300000000000005,4.760000000000001,0.0,0.0,0.0,8.33,3.3300000000000005,4.760000000000001
6.45,3.39,4.44,0.0,0.0,0.0,6.45,3.39,4.44
18.64,15.709999999999999,17.05,1.72,1.4500000000000002,1.5699999999999998,13.56,11.43,12.4
93.75,24.59,38.96,40.0,10.0,16.0,68.75,18.029999999999998,28.57
65.22,25.0,36.14,40.910000000000004,15.25,22.220000000000002,52.17,20.0,28.92
13.73,20.0,16.28,2.0,2.94,2.3800000000000003,9.8,14.29,11.63
15.0,15.0,15.0,3.39,3.39,3.39,11.67,11.67,11.67
16.0,6.35,9.09,4.17,1.6099999999999999,2.33,12.0,4.760000000000001,6.819999999999999
20.41,18.18,19.23,8.33,7.41,7.84,16.33,14.549999999999999,15.379999999999999
11.110000000000001,6.5600000000000005,8.25,0.0,0.0,0.0,11.110000000000001,6.5600000000000005,8.25
21.43,8.450000000000001,12.120000000000001,0.0,0.0,0.0,14.29,5.63,8.08
53.849999999999994,20.29,29.470000000000002,24.0,8.82,12.9,46.150000000000006,17.39,25.259999999999998
63.63999999999999,12.959999999999999,21.54,30.0,5.66,9.520000000000001,45.45,9.26,15.379999999999999
17.39,12.9,14.81,4.44,3.2800000000000002,3.7699999999999996,15.22,11.29,12.959999999999999
42.86,10.17,16.439999999999998,15.379999999999999,3.45,5.63,42.86,10.17,16.439999999999998
16.669999999999998,14.75,15.65,7.55,6.67,7.08,12.959999999999999,11.48,12.17
17.86,18.18,18.02,0.0,0.0,0.0,14.29,14.549999999999999,14.41
27.589999999999996,12.7,17.39,3.5700000000000003,1.6099999999999999,2.22,24.14,11.110000000000001,15.22
66.67,19.05,29.630000000000003,35.29,9.68,15.190000000000001,50.0,14.29,22.220000000000002
50.0,14.71,22.73,21.05,5.970000000000001,9.3,40.0,11.76,18.18
54.169999999999995,41.94,47.27,26.090000000000003,20.0,22.64,54.169999999999995,41.94,47.27
18.459999999999997,18.459999999999997,18.459999999999997,1.5599999999999998,1.5599999999999998,1.5599999999999998,13.850000000000001,13.850000000000001,13.850000000000001
7.6899999999999995,11.76,9.3,0.0,0.0,0.0,7.6899999999999995,11.76,9.3
30.0,35.709999999999994,32.61,6.12,7.32,6.67,22.0,26.19,23.91
16.07,12.5,14.06,0.0,0.0,0.0,10.71,8.33,9.379999999999999
34.089999999999996,24.19,28.299999999999997,9.3,6.5600000000000005,7.6899999999999995,25.0,17.740000000000002,20.75
15.790000000000001,8.110000000000001,10.71,0.0,0.0,0.0,15.790000000000001,8.110000000000001,10.71
50.0,13.11,20.78,20.0,5.0,8.0,43.75,11.48,18.18
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40.0,6.25,10.81,0.0,0.0,0.0,30.0,4.6899999999999995,8.110000000000001
31.03,27.27,29.03,5.26,4.62,4.92,17.24,15.15,16.13
