bs_p,bs_r,bs_f
65.71000000000001,65.2,65.46
55.87,63.07000000000001,59.25
69.89999999999999,64.56,67.12
70.54,65.74,68.06
64.07000000000001,64.27000000000001,64.17
56.64,57.84,57.24
63.54,61.86000000000001,62.68
95.21,98.22999999999999,96.7
69.59,71.73,70.64
72.74000000000001,67.55,70.05
75.86,60.22,67.14
57.15,64.11,60.42999999999999
77.41,67.51,72.11999999999999
61.150000000000006,62.81,61.970000000000006
73.38,60.540000000000006,66.35
70.23,63.09,66.47
49.669999999999995,60.39,54.510000000000005
70.0,62.72,66.16
71.33,64.08,67.51
61.89,63.9,62.88
67.58,68.52000000000001,68.05
48.86,54.190000000000005,51.39
60.6,66.0,63.18
63.39,64.33,63.85999999999999
65.88000000000001,60.85,63.260000000000005
58.85,63.7,61.18
87.0,77.4,81.92
84.15,84.37,84.26
67.95,66.36999999999999,67.15
52.480000000000004,58.67,55.400000000000006
70.6,65.05,67.71000000000001
70.09,63.1,66.41
59.37,60.650000000000006,60.0
68.23,61.75000000000001,64.82
62.08,59.3,60.660000000000004
64.78,59.9,62.25000000000001
54.379999999999995,65.79,59.540000000000006
78.23,65.86,71.52
73.63,57.48,64.56
58.099999999999994,64.31,61.050000000000004
80.43,72.89999999999999,76.48
83.08,67.60000000000001,74.53999999999999
80.76,62.99,70.78
64.35,61.19,62.73
68.33,64.83,66.53
83.45,73.08,77.92
74.52,61.19,67.2
68.55,62.43,65.35
49.46,51.580000000000005,50.5
61.650000000000006,60.29,60.96
62.81,61.31999999999999,62.06
76.38000000000001,65.42999999999999,70.48
72.71,64.36,68.28
80.02,70.47,74.94
71.50999999999999,62.8,66.88
76.14,64.57000000000001,69.88
68.58999999999999,63.27,65.82000000000001
70.7,60.57,65.25
72.97,71.04,71.99
71.37,64.14,67.56
72.0,71.50999999999999,71.75
66.99000000000001,62.1,64.45
55.989999999999995,52.99,54.449999999999996
82.50999999999999,80.55,81.52000000000001
61.14000000000001,54.42,57.589999999999996
70.77,62.150000000000006,66.18
71.3,60.709999999999994,65.58
56.75,59.29,57.989999999999995
65.86,66.67,66.25999999999999
63.67,59.24,61.38
78.72,68.47,73.24000000000001
76.3,66.67999999999999,71.17
74.99,71.08,72.98
79.73,80.72,80.22
79.19,77.14999999999999,78.16
79.16,75.25,77.16
63.029999999999994,61.150000000000006,62.08
76.42999999999999,70.8,73.50999999999999
77.98,70.6,74.11
65.9,63.31,64.58
67.63,69.13,68.37
56.699999999999996,57.089999999999996,56.89999999999999
69.94,63.160000000000004,66.36999999999999
69.05,60.150000000000006,64.29
64.53999999999999,61.370000000000005,62.92
64.46,56.52,60.23
70.26,64.2,67.09
78.61,63.5,70.25
72.5,73.24000000000001,72.87
63.870000000000005,60.629999999999995,62.21
55.00000000000001,54.33,54.66
62.96000000000001,60.0,61.45
56.16,52.99,54.52
64.8,59.8,62.2
55.92,62.35000000000001,58.96
77.16,62.08,68.8
59.36,60.35,59.85
66.97,64.37,65.64999999999999
75.92999999999999,66.9,71.13000000000001
62.970000000000006,61.11,62.029999999999994
64.35,63.019999999999996,63.68000000000001
67.72,61.29,64.35
74.42,66.36,70.16
89.16,85.14,87.1
61.77,56.779999999999994,59.17
54.24,63.63999999999999,58.56
57.67,67.99,62.4
55.089999999999996,56.269999999999996,55.669999999999995
72.03,62.39,66.86999999999999
64.77000000000001,66.38,65.57
52.12,56.75,54.339999999999996
79.57,69.05,73.94
75.29,65.36999999999999,69.98
65.23,60.709999999999994,62.89
72.72,57.37,64.14
59.89,60.67,60.28
61.82,60.46,61.129999999999995
56.14,57.74,56.93
85.28,70.06,76.92999999999999
66.25999999999999,58.550000000000004,62.17
79.67,67.29,72.96000000000001
71.96000000000001,75.29,73.59
68.66,67.85,68.25
59.11,63.46000000000001,61.21
53.86,52.51,53.18000000000001
59.75,54.879999999999995,57.21000000000001
69.62,62.839999999999996,66.05
68.95,62.17,65.38000000000001
62.6,62.4,62.5
64.53999999999999,60.5,62.45
82.21000000000001,63.65,71.75
69.84,66.83,68.30000000000001
71.3,67.71000000000001,69.46
45.47,50.03999999999999,47.64
62.849999999999994,61.86000000000001,62.35000000000001
74.89,65.09,69.65
62.339999999999996,60.58,61.45
