bleu,p,bp,lr,rl,pl
0.0,,0.8751733190429475,0.8823529411764706,68,60
0.0,,1.0,1.8888888888888888,36,68
0.0,,0.257395142052568,0.42424242424242425,66,28
0.0,,0.47676062866896995,0.574468085106383,47,27
0.0,,1.0,1.8048780487804879,41,74
0.0,,1.0,1.2295081967213115,61,75
0.0,,0.884195644895183,0.8904109589041096,73,65
0.5082,,1.0,1.0588235294117647,17,18
0.08,,1.0,1.75,24,42
0.0,,1.0,1.1475409836065573,61,70
0.0,,0.014782877194839422,0.1917808219178082,73,14
0.0,,1.0,1.0806451612903225,62,67
0.0,,0.22675821354279926,0.4025974025974026,77,31
0.0,,1.0,1.3333333333333333,42,56
0.0,,0.031220927161230903,0.22388059701492538,67,15
0.0,,0.16373208590187502,0.3559322033898305,59,21
0.0,,1.0,1.125,40,45
0.0,,0.16403223629617636,0.3561643835616438,73,26
0.0,,0.3201745737772765,0.4675324675324675,77,36
0.0415,,1.0,1.5116279069767442,43,65
0.0,,1.0,1.0185185185185186,54,55
0.0,,1.0,1.6666666666666667,27,45
0.0,,1.0,1.5,44,66
0.0,,0.8390889185954231,0.8507462686567164,67,57
0.0,,0.23692775868212176,0.4098360655737705,61,25
0.0,,0.8648827846370317,0.8732394366197183,71,62
0.3254,,0.45942582403592663,0.5625,32,18
0.3855,,1.0,1.368421052631579,19,26
0.0,,0.45942582403592663,0.5625,64,36
0.0,,0.9696993240246985,0.9701492537313433,67,65
0.0,,0.4168620196785084,0.5333333333333333,60,32
0.0,,0.4723665527410147,0.5714285714285714,56,32
0.0,,1.0,1.1323529411764706,68,77
0.0967,,0.654265252923595,0.7021276595744681,47,33
0.0,,0.45942582403592663,0.5625,64,36
0.0,,0.09246247606291999,0.29577464788732394,71,21
0.0,,1.0,1.9,30,57
0.0,,0.0560028363077737,0.25757575757575757,66,17
0.0,,0.45667477944228846,0.5606060606060606,66,37
0.0,,1.0,1.3877551020408163,49,68
0.0,,0.592260016295893,0.65625,32,21
0.0481,,0.1224564282529819,0.3225806451612903,31,10
0.0038,,0.008348158647341045,0.1728395061728395,81,14
0.0,,1.0,1.1153846153846154,52,58
0.0,,0.48954165955695317,0.5833333333333334,72,42
0.1457,,0.3433635374154086,0.48333333333333334,60,29
0.0,,0.33050190452744904,0.4745762711864407,59,28
0.0,,0.9174044037758284,0.9206349206349206,63,58
0.0,,1.0,1.2790697674418605,43,55
0.0,,1.0,1.3725490196078431,51,70
0.0,,0.6147826510998148,0.6727272727272727,55,37
0.0,,0.12357474406161391,0.3235294117647059,68,22
0.0,,0.0560028363077737,0.25757575757575757,66,17
0.0749,,0.20045953818931547,0.3835616438356164,73,28
0.0174,,0.09508907677188685,0.2982456140350877,57,17
0.0,,0.04076220397836621,0.23809523809523808,63,15
0.0,,0.19131267379416067,0.37681159420289856,69,26
0.0,,0.11373170793120879,0.3150684931506849,73,23
0.0,,0.5528920012788026,0.627906976744186,43,27
0.0,,0.0820849986238988,0.2857142857142857,63,18
0.0,,1.0,1.3043478260869565,23,30
0.0,,1.0,1.2033898305084745,59,71
0.0,,0.5878696731223464,0.6530612244897959,49,32
0.1793,,1.0,1.027027027027027,74,76
0.0,,0.9083242631244284,0.9122807017543859,57,52
0.0,,0.8881238563925137,0.8939393939393939,66,59
0.0,,0.29206782369141415,0.4482758620689655,29,13
0.0,,0.7624743269219466,0.7866666666666666,75,59
0.0,,1.0,1.5555555555555556,36,56
0.0,,0.869053250930649,0.8769230769230769,65,57
0.0917,,0.2635971381157267,0.42857142857142855,35,15
0.0299,,0.2432189765277741,0.4142857142857143,70,29
0.0,,0.5595372583118381,0.6326530612244898,49,31
0.0,,1.0,1.16,25,29
0.183,,1.0,1.2142857142857142,14,17
0.1198,,0.6703200460356393,0.7142857142857143,42,30
0.0,,0.9017226623630116,0.90625,32,29
0.1677,,0.6065306597126334,0.6666666666666666,48,32
0.0,,0.8007374029168082,0.8181818181818182,33,27
0.0,,1.0,1.0704225352112675,71,76
0.0,,1.0,1.1081081081081081,37,41
0.0,,1.0,1.2093023255813953,43,52
0.0,,0.5647181220077593,0.6363636363636364,22,14
0.0,,0.06720551273974978,0.2702702702702703,74,20
0.0,,1.0,1.1403508771929824,57,65
0.0,,0.23851255385430237,0.410958904109589,73,30
0.0,,0.4980923900530609,0.5892857142857143,56,33
0.0637,,0.22730069704883135,0.40298507462686567,67,27
0.0,,1.0,1.4324324324324325,37,53
0.0,,0.7703813975921459,0.7931034482758621,58,46
0.0,,0.9118245449789161,0.9154929577464789,71,65
0.0,,1.0,1.1694915254237288,59,69
0.0,,0.9555630362682843,0.9565217391304348,69,66
0.0,,0.16819879498438214,0.359375,64,23
0.1318,,0.9420456992885599,0.9436619718309859,71,67
0.0,,0.011625603038838491,0.18333333333333332,60,11
0.0,,1.0,1.0483870967741935,62,65
0.0,,0.12181361383661986,0.3220338983050847,59,19
0.0659,,0.29352089445137713,0.4492753623188406,69,31
0.0,,0.9677447783045844,0.9682539682539683,63,61
0.0,,1.0,1.0491803278688525,61,64
0.0,,0.19691167520419406,0.38095238095238093,63,24
0.0,,0.1525901057568839,0.3472222222222222,72,25
0.167,,0.8071177470053892,0.8235294117647058,34,28
0.0,,1.0,1.1724137931034482,58,68
0.0,,1.0,3.5,24,84
0.0,,1.0,1.186046511627907,43,51
0.0,,0.8993701391429946,0.9041095890410958,73,66
0.0,,0.301194211912202,0.45454545454545453,66,30
0.0,,1.0,1.7857142857142858,42,75
0.0,,0.4018145135669928,0.5230769230769231,65,34
0.0825,,0.30352002442964,0.45614035087719296,57,26
0.0,,0.007379193640893606,0.16923076923076924,65,11
0.0,,0.2517521153523297,0.42028985507246375,69,29
0.0274,,0.12873490358780418,0.32786885245901637,61,20
0.0,,0.9847331232494917,0.9848484848484849,66,65
0.0,,1.0,1.1066666666666667,75,83
0.0,,1.0,1.9166666666666667,24,46
0.0895,,0.38582130682912413,0.5121951219512195,41,21
0.0,,0.8623033568332588,0.8709677419354839,31,27
0.0,,0.15611804531597107,0.35,80,28
0.1263,,1.0,1.55,20,31
0.1091,,1.0,1.0,64,64
0.0,,1.0,1.3275862068965518,58,77
0.0,,0.6183075876067514,0.6753246753246753,77,52
0.0,,0.9375209928337671,0.9393939393939394,66,62
0.0,,0.0529980584033558,0.25396825396825395,63,16
0.0,,0.15419068667244246,0.3484848484848485,66,23
0.0,,0.9562115350803678,0.9571428571428572,70,67
0.0,,0.48322508118982543,0.5789473684210527,57,33
0.0,,0.07995304217364506,0.2835820895522388,67,19
0.0836,,0.9615432950878906,0.9622641509433962,53,51
0.0,,0.8337529180751805,0.8461538461538461,26,22
0.0,,0.8594048608885094,0.868421052631579,38,33
0.0,,1.0,1.0833333333333333,60,65
0.0,,0.16986907720473504,0.36065573770491804,61,22
0.0,,0.751477293075286,0.7777777777777778,72,56
0.0186,,0.06843860713287278,0.2716049382716049,81,22
0.0,,0.07515254527331507,0.2786885245901639,61,17
0.2237,,0.31890655732397044,0.4666666666666667,60,28
0.0,,0.76396693524234,0.7878787878787878,66,52
0.0,,1.0,1.0491803278688525,61,64
0.0,,0.9847331232494917,0.9848484848484849,66,65
0.0,,0.04076220397836621,0.23809523809523808,63,15
0.0,,0.8979038320326344,0.9027777777777778,72,65
0.0,,0.46619191506357016,0.5671641791044776,67,38
0.0,,0.8824969025845955,0.8888888888888888,54,48
0.1335,,0.2838642184327269,0.4426229508196721,61,27
0.0,,0.11373170793120879,0.3150684931506849,73,23
0.0078,,0.042143843509276385,0.24,75,18
0.0,,0.16529888822158656,0.35714285714285715,70,25
0.0,,0.8574039191604413,0.8666666666666667,75,65
0.0,,0.9837401985812029,0.9838709677419355,62,61
0.0,,0.23587708298570007,0.4090909090909091,44,18
0.0,,1.0,1.0,43,43
0.0,,1.0,1.0317460317460319,63,65
0.0,,0.8515353321631065,0.8615384615384616,65,56
0.0,,1.0,3.75,24,90
0.0,,0.5317515301305707,0.6129032258064516,62,38
0.0,,1.0,1.2352941176470589,51,63
0.0,,0.9420456992885599,0.9436619718309859,71,67
0.0,,0.04033537853783453,0.2375,80,19
0.0,,0.2800667608216488,0.44,25,11
0.0,,1.0,1.2037037037037037,54,65
0.0593,,0.4910982295021551,0.5844155844155844,77,45
0.0,,0.9856117608207142,0.9857142857142858,70,69
0.0,,0.8071177470053892,0.8235294117647058,68,56
0.0,,0.5538235798307586,0.6285714285714286,70,44
0.0,,1.0,1.7105263157894737,38,65
0.0,,0.7788007830714049,0.8,65,52
0.0,,0.049787068367863944,0.25,64,16
0.0,,0.39895010544606074,0.5211267605633803,71,37
0.0,,0.04251515251442982,0.24050632911392406,79,19
0.0,,0.36787944117144233,0.5,40,20
0.0,,0.9270409165125936,0.9295774647887324,71,66
0.0722,,0.5187931656538893,0.6037735849056604,53,32
0.0,,0.8515353321631065,0.8615384615384616,65,56
0.1832,,0.5066169923655897,0.5952380952380952,84,50
0.0,,0.25401286329038647,0.421875,64,27
0.0,,1.0,1.2195121951219512,41,50
0.0,,0.5934874977560278,0.6571428571428571,70,46
0.0,,0.8125749118638209,0.828125,64,53
0.3725,,0.7165313105737893,0.75,36,27
0.0,,0.4326449614270491,0.5441176470588235,68,37
0.0,,0.7973870421122853,0.8153846153846154,65,53
0.346,,1.0,1.0769230769230769,26,28
0.263,,0.8071177470053892,0.8235294117647058,34,28
0.533,,0.9649159443723702,0.9655172413793104,29,28
0.0,,1.0,1.0185185185185186,54,55
0.0,,0.0011388027613457876,0.12857142857142856,70,9
0.0,,0.6734450755684334,0.7166666666666667,60,43
0.0,,0.8510449576692258,0.8611111111111112,72,62
0.0,,1.0,1.6379310344827587,58,95
0.0,,0.012732005168249957,0.1864406779661017,59,11
0.0,,0.9007949642325722,0.9054054054054054,74,67
0.0,,0.00795994384870645,0.17142857142857143,70,12
0.0664,,0.48030530108979935,0.5769230769230769,52,30
0.0,,0.8898817709880238,0.8955223880597015,67,60
0.0,,0.8039792503313263,0.8208955223880597,67,55
0.0,,0.7788007830714049,0.8,65,52
0.0,,0.0560028363077737,0.25757575757575757,66,17
0.0,,0.21013607120076472,0.390625,64,25
0.0,,0.34624590072707134,0.4852941176470588,68,33
0.1893,,1.0,1.2058823529411764,34,41
0.0,,1.0,1.4857142857142858,35,52
0.0,,1.0,1.1571428571428573,70,81
0.0,,0.25495539602650996,0.4225352112676056,71,30
0.0373,,0.30961868311660373,0.4603174603174603,63,29
0.1552,,0.8890097654027757,0.8947368421052632,76,68
0.0,,0.29457482831010734,0.45,60,27
0.0,,0.4910982295021551,0.5844155844155844,77,45
0.2081,,0.6474053920839111,0.696969696969697,33,23
0.1659,,0.6152575700805323,0.6730769230769231,52,35
0.0,,0.00795994384870645,0.17142857142857143,70,12
0.0,,0.9344505119818695,0.9365079365079365,63,59
0.2166,,1.0,1.1379310344827587,29,33
0.0,,0.5281907073422427,0.6103896103896104,77,47
0.0,,0.8668778997501817,0.875,56,49
0.4347,,0.9017226623630116,0.90625,32,29
0.0758,,0.40130101266111917,0.5227272727272727,44,23
0.0,,1.0,1.106060606060606,66,73
0.0,,0.5214390995756883,0.6056338028169014,71,43
0.0645,,0.45408372383450274,0.5588235294117647,68,38
0.0,,0.8135489302211806,0.8289473684210527,76,63
0.0,,0.8740520209016969,0.8813559322033898,59,52
0.0,,0.6807123983233854,0.7222222222222222,72,52
0.0,,0.751477293075286,0.7777777777777778,27,21
0.0,,0.008850576089052096,0.1746031746031746,63,11
0.0,,0.594025320553635,0.6575342465753424,73,48
0.0589,,0.9710165517924371,0.9714285714285714,70,68
0.0,,1.0,1.2727272727272727,11,14
0.0,,1.0,2.2222222222222223,18,40
0.0,,0.869053250930649,0.8769230769230769,65,57
0.0,,0.6996725373751302,0.7368421052631579,57,42
0.0,,0.2635971381157267,0.42857142857142855,77,33
0.0,,0.20904256419766076,0.3898305084745763,59,23
0.0,,0.5836454781435741,0.65,40,26
0.0,,1.0,2.0,26,52
0.0,,0.8440939077882534,0.855072463768116,69,59
0.0538,,0.9174044037758284,0.9206349206349206,63,58
0.0,,1.0,9.166666666666666,6,55
0.0,,0.03934863011150552,0.2361111111111111,72,17
0.0,,1.0,1.0862068965517242,58,63
0.0,,0.9375209928337671,0.9393939393939394,66,62
0.0,,0.9007949642325722,0.9054054054054054,74,67
0.0,,0.8071177470053892,0.8235294117647058,68,56
0.0576,,0.10025884372280375,0.30303030303030304,66,20
