r1_p,r1_r,r1_f,r2_p,r2_r,r2_f,rL_p,rL_r,rL_f
21.54,22.95,22.220000000000002,1.5599999999999998,1.67,1.6099999999999999,16.919999999999998,18.029999999999998,17.46
17.5,22.58,19.72,7.6899999999999995,10.0,8.7,15.0,19.35,16.900000000000002
54.55,18.75,27.91,9.520000000000001,3.17,4.760000000000001,27.27,9.379999999999999,13.950000000000001
36.0,22.5,27.689999999999998,8.33,5.13,6.35,28.000000000000004,17.5,21.54
13.459999999999999,21.88,16.669999999999998,1.96,3.2300000000000004,2.44,9.62,15.620000000000001,11.899999999999999
8.62,8.469999999999999,8.55,1.7500000000000002,1.72,1.7399999999999998,6.9,6.78,6.84
25.419999999999998,20.830000000000002,22.900000000000002,0.0,0.0,0.0,15.25,12.5,13.74
71.43,83.33,76.92,46.150000000000006,54.55,50.0,71.43,83.33,76.92
21.95,34.62,26.87,10.0,16.0,12.31,21.95,34.62,26.87
15.25,16.07,15.65,0.0,0.0,0.0,13.56,14.29,13.91
75.0,12.86,21.95,36.36,5.800000000000001,10.0,66.67,11.43,19.509999999999998
12.5,11.32,11.88,0.0,0.0,0.0,10.42,9.43,9.9
53.12,21.790000000000003,30.91,22.58,9.09,12.959999999999999,43.75,17.95,25.45
14.29,20.0,16.669999999999998,2.08,2.94,2.44,8.16,11.43,9.520000000000001
33.33,6.45,10.81,18.18,3.2800000000000002,5.56,33.33,6.45,10.81
22.220000000000002,8.16,11.940000000000001,0.0,0.0,0.0,16.669999999999998,6.12,8.959999999999999
13.33,17.14,15.0,4.55,5.88,5.13,13.33,17.14,15.0
39.290000000000006,16.18,22.919999999999998,7.41,2.9899999999999998,4.26,32.14,13.239999999999998,18.75
38.89,18.42,25.0,5.71,2.67,3.64,25.0,11.84,16.07
15.22,18.92,16.869999999999997,6.67,8.33,7.41,10.870000000000001,13.51,12.049999999999999
28.57,22.64,25.259999999999998,9.76,7.6899999999999995,8.6,26.19,20.75,23.16
33.33,5.56,9.520000000000001,0.0,0.0,0.0,33.33,5.56,9.520000000000001
10.0,9.3,9.64,0.0,0.0,0.0,7.5,6.98,7.23
21.15,17.46,19.13,5.88,4.84,5.3100000000000005,13.459999999999999,11.110000000000001,12.17
23.080000000000002,9.68,13.639999999999999,4.0,1.6400000000000001,2.33,23.080000000000002,9.68,13.639999999999999
18.75,12.68,15.129999999999999,8.51,5.71,6.84,16.669999999999998,11.27,13.450000000000001
66.67,34.48,45.45,64.29,32.14,42.86,66.67,34.48,45.45
55.00000000000001,73.33,62.86000000000001,42.11,57.14,48.480000000000004,50.0,66.67,57.14
32.26,17.24,22.470000000000002,6.67,3.51,4.6,25.81,13.79,17.98
10.530000000000001,5.970000000000001,7.62,0.0,0.0,0.0,10.530000000000001,5.970000000000001,7.62
33.33,20.93,25.71,11.540000000000001,7.140000000000001,8.82,22.220000000000002,13.950000000000001,17.14
28.57,14.549999999999999,19.28,0.0,0.0,0.0,28.57,14.549999999999999,19.28
7.8100000000000005,7.35,7.580000000000001,0.0,0.0,0.0,4.6899999999999995,4.41,4.55
23.330000000000002,12.73,16.470000000000002,10.34,5.56,7.23,20.0,10.91,14.12
10.71,5.26,7.06,0.0,0.0,0.0,10.71,5.26,7.06
30.0,8.82,13.639999999999999,0.0,0.0,0.0,20.0,5.88,9.09
12.120000000000001,15.379999999999999,13.56,0.0,0.0,0.0,9.09,11.540000000000001,10.17
38.89,10.61,16.669999999999998,5.88,1.54,2.44,33.33,9.09,14.29
15.790000000000001,9.520000000000001,11.88,5.41,3.2300000000000004,4.04,15.790000000000001,9.520000000000001,11.88
10.61,16.28,12.839999999999998,1.54,2.3800000000000003,1.87,10.61,16.28,12.839999999999998
45.0,29.03,35.29,21.05,13.33,16.33,35.0,22.58,27.450000000000003
77.78,28.000000000000004,41.18,62.5,20.830000000000002,31.25,77.78,28.000000000000004,41.18
76.92,13.51,22.99,50.0,8.219999999999999,14.12,76.92,13.51,22.99
8.0,8.16,8.08,0.0,0.0,0.0,8.0,8.16,8.08
15.379999999999999,8.959999999999999,11.32,0.0,0.0,0.0,12.82,7.46,9.43
69.57,28.57,40.510000000000005,45.45,18.18,25.97,60.870000000000005,25.0,35.44
30.769999999999996,13.56,18.82,8.0,3.45,4.82,30.769999999999996,13.56,18.82
19.23,15.15,16.950000000000003,1.96,1.54,1.72,17.31,13.639999999999999,15.25
