bs_p,bs_r,bs_f
64.19,60.099999999999994,62.08
65.47,61.18,63.24999999999999
71.0,57.120000000000005,63.31
63.43,58.9,61.08
60.86,60.72,60.79
70.26,62.0,65.86999999999999
64.89,59.57,62.11
69.59,65.36999999999999,67.41
67.27,58.199999999999996,62.41
66.06,58.120000000000005,61.839999999999996
67.28,64.03999999999999,65.62
66.71000000000001,63.39,65.01
68.44,64.56,66.45
60.74,58.03,59.35
68.54,61.42999999999999,64.79
64.05,62.57,63.3
63.870000000000005,61.809999999999995,62.82
64.64999999999999,60.07,62.27
59.589999999999996,58.269999999999996,58.919999999999995
65.02,61.45,63.18
62.339999999999996,55.57,58.76
60.34,56.28999999999999,58.25
65.64,62.61,64.09
66.84,60.68,63.61
63.480000000000004,62.06,62.760000000000005
63.260000000000005,60.41,61.8
66.41,58.76,62.35000000000001
64.35,57.63,60.8
61.3,56.47,58.79
62.63999999999999,60.62,61.61
63.06,59.86,61.419999999999995
60.550000000000004,56.720000000000006,58.57
63.980000000000004,59.07,61.42999999999999
65.77,56.89999999999999,61.01
64.13,60.41,62.21
64.95,59.62,62.17
68.97999999999999,56.989999999999995,62.41
62.62,59.599999999999994,61.07
62.6,58.48,60.47
69.08999999999999,63.7,66.29
64.24,57.93000000000001,60.919999999999995
64.5,58.28,61.23
65.06,59.78,62.31
65.08,59.95,62.41
63.129999999999995,58.93000000000001,60.95
65.63,60.089999999999996,62.739999999999995
62.580000000000005,57.330000000000005,59.84
63.690000000000005,59.230000000000004,61.38
62.88,59.099999999999994,60.92999999999999
64.59,57.830000000000005,61.029999999999994
70.15,65.71000000000001,67.85
65.25,60.95,63.029999999999994
65.39,62.13999999999999,63.72
63.1,59.709999999999994,61.36000000000001
61.6,58.74,60.14000000000001
64.61,57.42,60.8
62.1,58.96,60.49
62.21,59.69,60.919999999999995
61.41,61.08,61.24000000000001
60.74,57.64,59.150000000000006
66.22,61.91,63.99
65.60000000000001,62.17,63.839999999999996
64.88000000000001,59.11,61.86000000000001
69.32000000000001,65.28,67.24
63.2,60.08,61.6
61.67,57.769999999999996,59.660000000000004
61.550000000000004,60.160000000000004,60.85
64.21,60.160000000000004,62.12
65.78,60.660000000000004,63.11
68.81,64.4,66.53
61.53999999999999,57.84,59.64
65.81,59.47,62.480000000000004
67.07,61.309999999999995,64.05999999999999
65.08,61.61,63.3
64.57000000000001,61.57,63.029999999999994
65.45,62.22,63.800000000000004
63.129999999999995,60.01,61.529999999999994
66.94,61.029999999999994,63.849999999999994
64.58,59.88,62.13999999999999
65.42999999999999,59.760000000000005,62.470000000000006
65.53999999999999,59.41,62.32
61.63999999999999,57.120000000000005,59.3
63.55,58.63,60.99
67.38,57.379999999999995,61.980000000000004
67.57,60.06,63.59
64.87,59.730000000000004,62.2
64.49000000000001,61.46,62.94
70.57,57.57,63.41
65.63,62.0,63.75999999999999
63.519999999999996,60.040000000000006,61.73
65.48,59.199999999999996,62.18
66.97,60.150000000000006,63.38
66.8,61.5,64.03999999999999
71.88,59.61,65.18
65.88000000000001,60.41,63.019999999999996
65.97,60.83,63.3
63.739999999999995,59.86,61.739999999999995
65.10000000000001,61.419999999999995,63.21
66.14,61.61,63.79
66.66,60.86,63.629999999999995
72.17,58.720000000000006,64.75999999999999
59.37,56.57,57.93000000000001
64.25999999999999,57.13,60.49
61.56,61.07,61.309999999999995
66.18,61.38,63.690000000000005
65.66,55.76,60.3
62.53999999999999,59.45,60.96
61.160000000000004,58.95,60.040000000000006
67.55,62.25000000000001,64.79
66.23,63.74999999999999,64.97
64.89,59.31999999999999,61.980000000000004
64.38000000000001,60.19,62.21
62.1,56.93,59.4
63.04,59.8,61.38
63.480000000000004,60.309999999999995,61.85000000000001
61.53999999999999,60.370000000000005,60.95
63.05,58.86,60.88
65.0,59.07,61.89
68.96,57.46,62.69
71.56,65.31,68.28999999999999
60.88,57.74,59.27
67.67,61.95,64.68
67.4,61.760000000000005,64.46
64.87,62.22,63.519999999999996
65.14,60.940000000000005,62.970000000000006
62.849999999999994,58.330000000000005,60.51
65.48,61.309999999999995,63.33
63.11,59.51,61.25000000000001
61.77,60.74,61.25000000000001
65.99000000000001,59.589999999999996,62.629999999999995
67.85,62.029999999999994,64.81
70.00999999999999,62.92,66.28
64.03999999999999,60.31999999999999,62.129999999999995
65.14999999999999,61.86000000000001,63.46000000000001
62.839999999999996,58.51,60.6
62.61,58.56,60.519999999999996
62.33,57.47,59.8
67.39,62.12,64.64999999999999
64.27000000000001,60.22,62.18
76.42999999999999,57.56,65.67
64.03999999999999,60.309999999999995,62.12
63.2,59.48,61.28
63.62,60.56,62.050000000000004
66.22,60.92999999999999,63.46000000000001
64.79,59.0,61.760000000000005
60.89,58.08,59.45
65.71000000000001,60.4,62.94
64.87,57.65,61.050000000000004
63.970000000000006,58.85,61.3
63.89,60.940000000000005,62.38
67.86999999999999,61.75000000000001,64.66
67.75999999999999,58.47,62.77
66.28,62.17,64.16
67.30000000000001,63.74999999999999,65.48
71.22,61.61,66.07
64.9,61.11,62.949999999999996
65.91,61.199999999999996,63.470000000000006
65.42999999999999,55.669999999999995,60.160000000000004
63.33,59.62,61.419999999999995
67.69,58.41,62.71
68.41000000000001,61.29,64.66
65.47,60.6,62.94
63.449999999999996,59.830000000000005,61.59
66.69,61.82,64.17
65.33,59.47,62.260000000000005
67.63,58.98,63.01
69.96,61.63999999999999,65.53999999999999
64.8,58.9,61.71
62.050000000000004,56.79,59.3
65.62,60.62,63.019999999999996
62.73,60.45,61.57
63.78,60.150000000000006,61.91
64.14,59.519999999999996,61.739999999999995
63.71,58.099999999999994,60.78
65.23,57.24,60.97
63.349999999999994,60.19,61.73
66.27,58.989999999999995,62.419999999999995
61.519999999999996,58.5,59.97
58.26,55.720000000000006,56.96
64.71000000000001,60.160000000000004,62.35000000000001
60.57,58.699999999999996,59.62
66.13,59.75,62.78
65.69,61.44,63.49
66.53,62.0,64.19
61.44,57.379999999999995,59.34
60.980000000000004,58.940000000000005,59.940000000000005
62.56,58.379999999999995,60.4
64.86,59.68,62.160000000000004
62.1,57.9,59.919999999999995
62.18,57.32000000000001,59.650000000000006
