r1_p,r1_r,r1_f,r2_p,r2_r,r2_f,rL_p,rL_r,rL_f
19.23,4.590000000000001,7.41,0.0,0.0,0.0,19.23,4.590000000000001,7.41
35.14,25.490000000000002,29.549999999999997,2.74,1.9800000000000002,2.3,16.220000000000002,11.76,13.639999999999999
53.849999999999994,5.93,10.69,8.33,0.8500000000000001,1.55,38.46,4.24,7.630000000000001
35.14,10.92,16.669999999999998,2.78,0.8500000000000001,1.3,32.43,10.08,15.379999999999999
18.459999999999997,12.770000000000001,15.09,0.0,0.0,0.0,9.229999999999999,6.38,7.55
34.88,13.04,18.990000000000002,2.3800000000000003,0.88,1.28,18.6,6.959999999999999,10.13
26.87,15.790000000000001,19.89,3.0300000000000002,1.77,2.23,13.43,7.89,9.94
27.689999999999998,16.509999999999998,20.69,3.1199999999999997,1.8499999999999999,2.33,15.379999999999999,9.17,11.49
45.45,9.17,15.27,4.760000000000001,0.9299999999999999,1.55,27.27,5.5,9.16
40.0,10.43,16.55,3.45,0.88,1.4000000000000001,30.0,7.829999999999999,12.41
35.42,14.78,20.86,4.26,1.7500000000000002,2.48,18.75,7.829999999999999,11.04
22.41,12.04,15.659999999999998,0.0,0.0,0.0,10.34,5.56,7.23
41.82,19.17,26.290000000000003,7.41,3.36,4.62,21.82,10.0,13.71
23.29,14.91,18.18,1.39,0.88,1.08,12.33,7.89,9.629999999999999
29.23,17.43,21.84,4.6899999999999995,2.78,3.49,23.080000000000002,13.76,17.24
17.57,11.61,13.98,0.0,0.0,0.0,8.110000000000001,5.36,6.45
23.53,9.76,13.79,2.0,0.8200000000000001,1.16,15.690000000000001,6.5,9.2
24.19,12.4,16.39,0.0,0.0,0.0,14.52,7.4399999999999995,9.84
21.05,7.340000000000001,10.879999999999999,0.0,0.0,0.0,15.790000000000001,5.5,8.16
29.23,16.1,20.77,3.1199999999999997,1.71,2.21,15.379999999999999,8.469999999999999,10.93
16.669999999999998,2.44,4.26,5.88,0.8200000000000001,1.44,16.669999999999998,2.44,4.26
20.0,9.6,12.97,0.0,0.0,0.0,13.33,6.4,8.649999999999999
24.490000000000002,9.92,14.12,0.0,0.0,0.0,14.29,5.79,8.24
35.38,19.66,25.27,4.6899999999999995,2.59,3.3300000000000005,18.459999999999997,10.26,13.19
25.4,15.379999999999999,19.16,3.2300000000000004,1.94,2.42,20.630000000000003,12.5,15.57
25.490000000000002,11.4,15.76,0.0,0.0,0.0,13.73,6.140000000000001,8.48
27.27,12.3,16.950000000000003,5.56,2.48,3.4299999999999997,16.36,7.380000000000001,10.17
31.25,7.9399999999999995,12.659999999999998,0.0,0.0,0.0,18.75,4.760000000000001,7.59
29.17,6.419999999999999,10.530000000000001,4.35,0.9299999999999999,1.53,20.830000000000002,4.590000000000001,7.5200000000000005
29.310000000000002,14.530000000000001,19.43,1.7500000000000002,0.86,1.16,12.07,5.9799999999999995,8.0
20.0,11.97,14.97,2.9000000000000004,1.72,2.16,10.0,5.9799999999999995,7.489999999999999
23.94,14.530000000000001,18.09,1.43,0.86,1.08,11.27,6.84,8.51
20.0,11.93,14.940000000000001,1.5599999999999998,0.9299999999999999,1.16,12.31,7.340000000000001,9.2
36.36,7.84,12.9,4.760000000000001,0.9900000000000001,1.6400000000000001,22.73,4.9,8.06
30.56,10.09,15.17,0.0,0.0,0.0,11.110000000000001,3.6700000000000004,5.52
27.689999999999998,14.52,19.05,4.6899999999999995,2.44,3.2099999999999995,18.459999999999997,9.68,12.7
27.27,8.18,12.590000000000002,0.0,0.0,0.0,21.21,6.36,9.790000000000001
22.919999999999998,9.32,13.25,0.0,0.0,0.0,14.580000000000002,5.93,8.43
25.81,13.68,17.88,1.6400000000000001,0.86,1.13,17.740000000000002,9.4,12.29
33.33,19.27,24.42,0.0,0.0,0.0,17.46,10.09,12.790000000000001
22.220000000000002,5.5,8.82,0.0,0.0,0.0,11.110000000000001,2.75,4.41
35.14,12.26,18.18,5.56,1.9,2.8400000000000003,24.32,8.49,12.590000000000002
25.0,11.93,16.150000000000002,1.96,0.9299999999999999,1.26,13.459999999999999,6.419999999999999,8.7
34.78,13.22,19.16,2.22,0.83,1.21,23.91,9.09,13.170000000000002
16.39,9.62,12.120000000000001,3.3300000000000005,1.94,2.45,8.200000000000001,4.81,6.0600000000000005
30.3,9.01,13.889999999999999,6.25,1.82,2.82,18.18,5.41,8.33
26.669999999999998,6.5,10.459999999999999,0.0,0.0,0.0,16.669999999999998,4.07,6.54
38.98,19.66,26.14,6.9,3.45,4.6,13.56,6.84,9.09
26.47,7.5600000000000005,11.76,6.0600000000000005,1.69,2.65,17.65,5.04,7.84
34.38,9.65,15.07,6.45,1.77,2.78,21.88,6.140000000000001,9.59
37.14,21.490000000000002,27.229999999999997,4.35,2.5,3.17,18.57,10.74,13.61
27.029999999999998,8.7,13.16,2.78,0.88,1.3299999999999998,21.62,6.959999999999999,10.530000000000001
30.43,11.29,16.470000000000002,6.67,2.44,3.5700000000000003,19.57,7.26,10.59
21.95,8.110000000000001,11.84,0.0,0.0,0.0,12.2,4.5,6.58
25.81,13.68,17.88,1.6400000000000001,0.86,1.13,12.9,6.84,8.94
29.17,6.93,11.200000000000001,0.0,0.0,0.0,20.830000000000002,4.95,8.0
24.0,9.520000000000001,13.639999999999999,2.04,0.8,1.15,16.0,6.35,9.09
20.630000000000003,11.709999999999999,14.940000000000001,0.0,0.0,0.0,11.110000000000001,6.3100000000000005,8.05
30.19,14.41,19.509999999999998,3.85,1.82,2.4699999999999998,18.87,9.01,12.2
