bs_p,bs_r,bs_f
53.410000000000004,60.91,56.910000000000004
70.36,62.39,66.14
70.02000000000001,60.440000000000005,64.87
56.34,55.47,55.900000000000006
57.47,57.57,57.52
68.28,60.34,64.07000000000001
64.74,59.37,61.94
59.96,58.28,59.11
56.44,55.97,56.2
63.88,60.58,62.18
56.65,60.260000000000005,58.4
54.31,54.50000000000001,54.410000000000004
69.45,57.9,63.14999999999999
57.31,54.39000000000001,55.81
54.11,49.94,51.94
53.66,53.74,53.7
58.91,58.75,58.830000000000005
64.96,58.3,61.45
58.24,50.05,53.839999999999996
60.28,58.330000000000005,59.29
61.77,61.14000000000001,61.46
58.809999999999995,58.41,58.60999999999999
64.01,60.5,62.21
62.41,60.45,61.419999999999995
58.32000000000001,58.089999999999996,58.209999999999994
60.35,55.81,57.989999999999995
66.43,58.67,62.31
62.62,58.35,60.41
63.629999999999995,58.58,61.0
61.01,56.99999999999999,58.940000000000005
60.39,58.69,59.53000000000001
59.019999999999996,55.559999999999995,57.230000000000004
67.57,59.25,63.129999999999995
66.58,59.84,63.029999999999994
60.8,61.44,61.12
66.45,58.81999999999999,62.4
61.260000000000005,55.58,58.28
62.51,60.39,61.42999999999999
54.120000000000005,53.769999999999996,53.94
64.79,62.79,63.78
61.29,58.37,59.79
67.89,59.38,63.349999999999994
63.949999999999996,57.84,60.74
59.46,57.58,58.51
59.13,57.699999999999996,58.41
55.33,58.379999999999995,56.81
64.35,61.73,63.019999999999996
53.74,57.98,55.779999999999994
59.99,56.85,58.379999999999995
67.07,59.540000000000006,63.080000000000005
62.23,60.73,61.47
60.22,59.97,60.089999999999996
61.96,57.589999999999996,59.699999999999996
62.519999999999996,59.69,61.07
62.28,59.48,60.84
56.379999999999995,57.46,56.910000000000004
58.160000000000004,60.029999999999994,59.08
64.62,63.13999999999999,63.870000000000005
66.91,58.79,62.59
60.129999999999995,57.4,58.730000000000004
57.230000000000004,62.92,59.940000000000005
67.10000000000001,62.1,64.5
63.14999999999999,59.589999999999996,61.31999999999999
73.31,59.36,65.60000000000001
63.190000000000005,57.65,60.29
46.02,56.720000000000006,50.81
65.53,56.38999999999999,60.62
61.08,63.080000000000005,62.06
64.19,59.11,61.550000000000004
70.89999999999999,63.449999999999996,66.97
64.64,60.91,62.72
72.17,59.260000000000005,65.08
54.1,58.02,55.989999999999995
53.65,55.769999999999996,54.690000000000005
62.33,60.27,61.28
64.97,60.74,62.78
59.47,58.720000000000006,59.089999999999996
59.309999999999995,61.1,60.19
54.52,58.4,56.38999999999999
62.25000000000001,57.93000000000001,60.01
48.9,54.2,51.41
51.11,58.41,54.52
53.580000000000005,55.379999999999995,54.459999999999994
63.63999999999999,57.269999999999996,60.29
53.38,61.82,57.29
53.99,50.980000000000004,52.44
61.919999999999995,59.18,60.519999999999996
52.32,54.93,53.59
54.800000000000004,57.87,56.28999999999999
65.31,57.410000000000004,61.1
68.44,62.68,65.42999999999999
53.22,52.55,52.88
55.230000000000004,53.1,54.15
58.809999999999995,60.73,59.75
54.26,59.08,56.57
65.38000000000001,63.74999999999999,64.56
60.529999999999994,58.53,59.51
58.89,57.78,58.330000000000005
64.96,61.12,62.980000000000004
58.87,57.78,58.32000000000001
65.98,59.830000000000005,62.74999999999999
62.260000000000005,57.48,59.77
65.75999999999999,58.050000000000004,61.660000000000004
63.32,59.89,61.56
62.739999999999995,61.050000000000004,61.88
72.92999999999999,59.35,65.45
64.25,56.02,59.85
56.35,59.37,57.82000000000001
49.58,56.10000000000001,52.64
66.47999999999999,62.470000000000006,64.41
65.16,63.739999999999995,64.44
63.5,57.599999999999994,60.41
60.150000000000006,57.269999999999996,58.68
54.300000000000004,57.74,55.96
53.89000000000001,56.779999999999994,55.300000000000004
51.6,50.88,51.239999999999995
52.15,50.89,51.51
65.58,59.089999999999996,62.160000000000004
62.11,57.53,59.730000000000004
51.23,54.39000000000001,52.76
63.080000000000005,58.940000000000005,60.940000000000005
60.36,57.48,58.879999999999995
56.93,62.01,59.36
63.44,59.39,61.35
61.019999999999996,61.129999999999995,61.07
65.55,62.92,64.21
42.52,49.85,45.89
54.230000000000004,57.06,55.61000000000001
60.699999999999996,59.91,60.3
65.75999999999999,59.150000000000006,62.28
57.34,60.81999999999999,59.03
49.85,49.08,49.46
59.12,55.42,57.21000000000001
49.62,55.67999999999999,52.480000000000004
69.19,56.56,62.239999999999995
55.33,55.879999999999995,55.61000000000001
58.9,59.38,59.14
72.09,60.0,65.49000000000001
61.01,58.98,59.98
73.5,62.03999999999999,67.28
53.6,57.04,55.269999999999996
61.92999999999999,59.58,60.73
63.42,62.82,63.12
68.8,61.5,64.95
50.83,55.54,53.080000000000005
50.94,52.61,51.76
63.81,58.87,61.24000000000001
62.31,59.95,61.11
56.65,50.970000000000006,53.66
63.72,57.8,60.61
56.53,60.36,58.379999999999995
50.62,56.85,53.55
53.89000000000001,56.169999999999995,55.010000000000005
52.769999999999996,57.57,55.059999999999995
68.14,59.38,63.46000000000001
51.44,52.86,52.14
64.69,57.56,60.919999999999995
56.769999999999996,54.87,55.800000000000004
51.41,50.93,51.17
63.92,58.230000000000004,60.940000000000005
61.89,63.56,62.71
58.53,56.42,57.46
64.05999999999999,58.24,61.01
74.88,59.599999999999994,66.36999999999999
62.57,57.63,60.0
