r1_p,r1_r,r1_f,r2_p,r2_r,r2_f,rL_p,rL_r,rL_f
11.110000000000001,8.82,9.84,0.0,0.0,0.0,7.41,5.88,6.5600000000000005
20.0,5.0,8.0,0.0,0.0,0.0,13.33,3.3300000000000005,5.33
26.090000000000003,8.959999999999999,13.33,4.55,1.52,2.27,21.740000000000002,7.46,11.110000000000001
15.22,9.46,11.67,2.22,1.37,1.69,10.870000000000001,6.76,8.33
9.09,5.970000000000001,7.21,0.0,0.0,0.0,9.09,5.970000000000001,7.21
36.36,12.120000000000001,18.18,4.760000000000001,1.54,2.33,22.73,7.580000000000001,11.360000000000001
15.0,4.2299999999999995,6.59,0.0,0.0,0.0,10.0,2.82,4.3999999999999995
18.18,8.57,11.65,0.0,0.0,0.0,18.18,8.57,11.65
12.73,11.110000000000001,11.86,0.0,0.0,0.0,9.09,7.9399999999999995,8.469999999999999
13.16,7.8100000000000005,9.8,0.0,0.0,0.0,10.530000000000001,6.25,7.84
11.76,7.89,9.45,0.0,0.0,0.0,7.84,5.26,6.3
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44.440000000000005,5.71,10.13,0.0,0.0,0.0,22.220000000000002,2.86,5.06
28.57,9.379999999999999,14.12,0.0,0.0,0.0,19.05,6.25,9.41
6.67,3.17,4.3,0.0,0.0,0.0,6.67,3.17,4.3
6.25,5.970000000000001,6.11,0.0,0.0,0.0,3.1199999999999997,2.9899999999999998,3.05
15.909999999999998,9.46,11.86,2.33,1.37,1.72,11.360000000000001,6.76,8.469999999999999
27.589999999999996,11.940000000000001,16.669999999999998,3.5700000000000003,1.52,2.13,24.14,10.45,14.580000000000002
6.0600000000000005,3.39,4.35,0.0,0.0,0.0,6.0600000000000005,3.39,4.35
8.51,6.25,7.21,0.0,0.0,0.0,6.38,4.6899999999999995,5.41
34.38,15.709999999999999,21.57,0.0,0.0,0.0,21.88,10.0,13.73
17.46,14.099999999999998,15.6,1.6099999999999999,1.3,1.44,14.29,11.540000000000001,12.770000000000001
22.220000000000002,5.56,8.89,0.0,0.0,0.0,16.669999999999998,4.17,6.67
22.220000000000002,9.229999999999999,13.04,3.85,1.5599999999999998,2.22,18.52,7.6899999999999995,10.870000000000001
12.33,13.850000000000001,13.04,0.0,0.0,0.0,9.59,10.77,10.14
15.0,4.2299999999999995,6.59,0.0,0.0,0.0,15.0,4.2299999999999995,6.59
31.819999999999997,9.86,15.049999999999999,4.760000000000001,1.43,2.1999999999999997,22.73,7.04,10.75
12.5,4.35,6.45,0.0,0.0,0.0,8.33,2.9000000000000004,4.3
25.81,12.7,17.02,0.0,0.0,0.0,19.35,9.520000000000001,12.770000000000001
10.530000000000001,3.08,4.760000000000001,0.0,0.0,0.0,10.530000000000001,3.08,4.760000000000001
18.18,6.0600000000000005,9.09,0.0,0.0,0.0,9.09,3.0300000000000002,4.55
15.22,10.0,12.07,0.0,0.0,0.0,10.870000000000001,7.140000000000001,8.62
26.32,8.06,12.35,5.56,1.6400000000000001,2.53,21.05,6.45,9.879999999999999
27.27,4.84,8.219999999999999,0.0,0.0,0.0,18.18,3.2300000000000004,5.48
24.0,9.09,13.19,0.0,0.0,0.0,16.0,6.0600000000000005,8.790000000000001
26.669999999999998,6.15,10.0,7.140000000000001,1.5599999999999998,2.56,20.0,4.62,7.5
22.220000000000002,2.78,4.9399999999999995,0.0,0.0,0.0,22.220000000000002,2.78,4.9399999999999995
25.0,7.35,11.360000000000001,0.0,0.0,0.0,10.0,2.94,4.55
12.9,5.800000000000001,8.0,0.0,0.0,0.0,12.9,5.800000000000001,8.0
17.24,14.93,16.0,1.7500000000000002,1.52,1.63,15.52,13.43,14.399999999999999
12.0,4.35,6.38,0.0,0.0,0.0,8.0,2.9000000000000004,4.26
28.57,9.379999999999999,14.12,5.0,1.59,2.41,23.810000000000002,7.8100000000000005,11.76
41.18,10.45,16.669999999999998,6.25,1.52,2.44,35.29,8.959999999999999,14.29
10.94,10.61,10.77,0.0,0.0,0.0,10.94,10.61,10.77
5.71,3.2800000000000002,4.17,0.0,0.0,0.0,5.71,3.2800000000000002,4.17
7.02,6.45,6.72,0.0,0.0,0.0,5.26,4.84,5.04
22.220000000000002,8.57,12.370000000000001,0.0,0.0,0.0,7.41,2.86,4.12
10.870000000000001,6.94,8.469999999999999,0.0,0.0,0.0,6.52,4.17,5.08
14.29,4.62,6.98,0.0,0.0,0.0,14.29,4.62,6.98
33.33,10.0,15.379999999999999,5.88,1.69,2.63,22.220000000000002,6.67,10.26
19.15,12.16,14.879999999999999,2.17,1.37,1.68,19.15,12.16,14.879999999999999
13.33,9.68,11.21,0.0,0.0,0.0,11.110000000000001,8.06,9.35
15.0,12.86,13.850000000000001,0.0,0.0,0.0,11.67,10.0,10.77
20.0,7.6899999999999995,11.110000000000001,4.17,1.5599999999999998,2.27,12.0,4.62,6.67
30.0,8.219999999999999,12.9,0.0,0.0,0.0,20.0,5.48,8.6
5.0,1.5599999999999998,2.3800000000000003,0.0,0.0,0.0,5.0,1.5599999999999998,2.3800000000000003
20.830000000000002,13.51,16.39,2.13,1.37,1.67,14.580000000000002,9.46,11.48
18.87,16.669999999999998,17.7,0.0,0.0,0.0,9.43,8.33,8.85
26.919999999999998,10.0,14.580000000000002,0.0,0.0,0.0,19.23,7.140000000000001,10.42
11.76,10.13,10.879999999999999,2.9899999999999998,2.56,2.76,10.290000000000001,8.86,9.520000000000001
8.33,9.229999999999999,8.76,0.0,0.0,0.0,4.17,4.62,4.38
35.29,9.379999999999999,14.81,6.25,1.59,2.53,29.409999999999997,7.8100000000000005,12.35
28.57,6.45,10.530000000000001,0.0,0.0,0.0,28.57,6.45,10.530000000000001
26.669999999999998,6.78,10.81,7.140000000000001,1.72,2.78,20.0,5.08,8.110000000000001
25.0,5.41,8.89,0.0,0.0,0.0,25.0,5.41,8.89
25.0,1.49,2.82,0.0,0.0,0.0,25.0,1.49,2.82
11.110000000000001,3.45,5.26,0.0,0.0,0.0,11.110000000000001,3.45,5.26
18.42,10.61,13.459999999999999,0.0,0.0,0.0,18.42,10.61,13.459999999999999
21.95,13.43,16.669999999999998,0.0,0.0,0.0,12.2,7.46,9.26
55.00000000000001,15.939999999999998,24.72,21.05,5.88,9.2,35.0,10.14,15.73
24.0,10.0,14.12,4.17,1.69,2.41,16.0,6.67,9.41
53.849999999999994,11.86,19.439999999999998,8.33,1.72,2.86,38.46,8.469999999999999,13.889999999999999
8.469999999999999,7.6899999999999995,8.06,0.0,0.0,0.0,5.08,4.62,4.84
2.5,1.4500000000000002,1.83,0.0,0.0,0.0,2.5,1.4500000000000002,1.83
10.81,6.5600000000000005,8.16,0.0,0.0,0.0,8.110000000000001,4.92,6.12
7.140000000000001,1.5599999999999998,2.56,0.0,0.0,0.0,7.140000000000001,1.5599999999999998,2.56
19.12,19.400000000000002,19.259999999999998,2.9899999999999998,3.0300000000000002,3.01,14.71,14.93,14.81
13.33,11.110000000000001,12.120000000000001,0.0,0.0,0.0,8.33,6.94,7.580000000000001
6.5600000000000005,5.48,5.970000000000001,1.67,1.39,1.52,6.5600000000000005,5.48,5.970000000000001
18.18,5.800000000000001,8.790000000000001,0.0,0.0,0.0,13.639999999999999,4.35,6.59
2.08,1.35,1.6400000000000001,0.0,0.0,0.0,2.08,1.35,1.6400000000000001
5.13,3.0300000000000002,3.81,0.0,0.0,0.0,5.13,3.0300000000000002,3.81
7.55,5.56,6.4,0.0,0.0,0.0,3.7699999999999996,2.78,3.2
9.520000000000001,3.2300000000000004,4.82,0.0,0.0,0.0,9.520000000000001,3.2300000000000004,4.82
9.520000000000001,6.0600000000000005,7.41,0.0,0.0,0.0,7.140000000000001,4.55,5.56
4.0,1.43,2.11,0.0,0.0,0.0,4.0,1.43,2.11
20.69,9.09,12.629999999999999,0.0,0.0,0.0,10.34,4.55,6.32
5.26,3.2300000000000004,4.0,0.0,0.0,0.0,5.26,3.2300000000000004,4.0
8.82,4.92,6.32,0.0,0.0,0.0,8.82,4.92,6.32
12.5,3.17,5.06,0.0,0.0,0.0,12.5,3.17,5.06
16.0,5.970000000000001,8.7,0.0,0.0,0.0,16.0,5.970000000000001,8.7
4.35,1.54,2.27,0.0,0.0,0.0,4.35,1.54,2.27
2.94,1.67,2.13,0.0,0.0,0.0,2.94,1.67,2.13
21.279999999999998,15.15,17.7,2.17,1.54,1.7999999999999998,17.02,12.120000000000001,14.16
6.8500000000000005,7.6899999999999995,7.249999999999999,0.0,0.0,0.0,2.74,3.08,2.9000000000000004
20.59,10.61,14.000000000000002,0.0,0.0,0.0,17.65,9.09,12.0
19.35,8.450000000000001,11.76,0.0,0.0,0.0,12.9,5.63,7.84
16.39,14.71,15.5,0.0,0.0,0.0,13.11,11.76,12.4
