bs_p,bs_r,bs_f
69.45,66.08000000000001,67.72
68.49,71.92,70.17
70.55,68.12,69.32000000000001
65.23,70.78,67.89
63.260000000000005,66.25,64.72
62.43,61.47,61.95
67.31,64.79,66.03
66.46,85.35000000000001,74.72999999999999
67.77,73.79,70.65
72.55,68.71000000000001,70.58
69.01,68.58,68.78999999999999
68.15,67.02,67.58
83.97,78.2,80.97999999999999
70.1,64.75999999999999,67.32000000000001
76.88000000000001,66.34,71.22
70.08,68.62,69.34
70.02000000000001,67.22,68.58999999999999
70.27,64.72,67.38
74.9,65.22,69.73
65.41,64.55,64.98
71.13000000000001,69.98,70.55
87.1,83.62,85.32
63.260000000000005,66.75999999999999,64.96
66.10000000000001,65.56,65.83
66.59,61.970000000000006,64.2
67.41,68.87,68.13
83.21,81.39,82.28999999999999
70.30999999999999,77.41,73.69
70.99,69.81,70.39999999999999
70.17999999999999,68.51,69.33
73.67,62.33,67.52
67.58,67.78,67.67999999999999
69.36,67.75,68.54
83.32000000000001,70.17999999999999,76.19
71.33,71.72,71.53
66.28,66.01,66.14
69.24,74.21,71.64
67.93,63.53,65.66
69.67999999999999,66.03999999999999,67.81
63.239999999999995,67.21000000000001,65.16999999999999
65.61,72.72999999999999,68.99
69.85,74.59,72.14
77.94,76.28,77.10000000000001
75.35,70.56,72.87
75.08,72.42,73.72999999999999
84.23,77.53,80.74
76.72,66.66,71.34
68.08,67.07,67.57
66.57,65.91,66.24
69.03,65.81,67.38
64.05999999999999,65.13,64.59
70.75,64.88000000000001,67.69
61.970000000000006,59.150000000000006,60.529999999999994
82.44,70.28999999999999,75.88000000000001
73.24000000000001,63.5,68.02
69.89999999999999,70.91,70.39999999999999
74.0,71.06,72.5
68.54,64.16,66.28
66.56,71.41,68.89999999999999
61.46,64.68,63.029999999999994
73.63,73.14,73.38
64.2,61.23,62.68
65.46,66.17,65.81
65.42,63.14999999999999,64.27000000000001
67.78,61.58,64.53999999999999
72.32,69.6,70.94
68.31,71.45,69.84
75.46000000000001,71.56,73.46000000000001
74.62,68.56,71.46000000000001
74.2,73.64,73.92
81.03,68.12,74.02
75.52,66.22,70.56
75.92999999999999,72.49,74.17
79.64,76.68,78.13
96.84,92.92,94.84
79.84,73.61999999999999,76.6
62.93,63.870000000000005,63.39
77.99000000000001,71.02000000000001,74.33999999999999
73.98,69.8,71.83
67.27,63.660000000000004,65.41
70.35,73.4,71.84
63.94,64.51,64.22
65.16,64.36,64.75999999999999
66.16,66.28,66.22
71.97,66.33,69.04
70.24000000000001,71.45,70.84
74.3,67.60000000000001,70.78999999999999
83.07,79.75999999999999,81.38
72.6,67.67999999999999,70.05
68.08999999999999,68.71000000000001,68.39
62.67,61.339999999999996,62.0
61.919999999999995,63.870000000000005,62.88
66.12,65.25,65.68
62.91,63.39,63.14999999999999
69.97,68.17999999999999,69.06
84.14,65.88000000000001,73.9
63.260000000000005,64.16,63.71
75.44,72.8,74.1
73.21,71.16,72.17
64.45,61.419999999999995,62.9
70.28999999999999,64.89,67.47999999999999
67.12,64.91,66.0
68.04,67.04,67.54
78.82000000000001,84.24000000000001,81.44
67.67,63.800000000000004,65.68
65.82000000000001,69.12,67.43
60.870000000000005,69.66,64.97
66.75999999999999,66.21000000000001,66.47999999999999
70.13000000000001,67.47,68.78
72.88,71.06,71.96000000000001
75.85,68.53,72.0
68.25,68.75,68.5
68.93,67.47999999999999,68.2
63.43,67.05,65.19
67.12,59.660000000000004,63.17
68.30000000000001,68.51,68.4
65.86999999999999,67.05,66.45
62.93,67.34,65.06
86.05000000000001,82.49,84.23
63.41,73.74000000000001,68.17999999999999
76.67,67.13,71.58
73.85000000000001,87.14,79.94
73.27,71.07,72.15
65.05,64.03999999999999,64.53999999999999
63.65,61.83,62.73
65.14999999999999,60.529999999999994,62.74999999999999
62.59,64.1,63.33
66.28,62.73,64.46
65.32,66.3,65.81
66.02,62.19,64.05
80.89,75.47,78.08
75.0,71.75,73.34
67.95,70.86,69.38
67.86999999999999,70.59,69.19999999999999
78.44,73.72999999999999,76.01
74.57000000000001,66.19,70.13000000000001
68.26,67.42,67.84
80.96,68.46,74.19
66.23,65.64999999999999,65.94
83.89999999999999,78.88,81.31
71.2,69.83,70.50999999999999
64.17,62.849999999999994,63.5
69.22,66.45,67.81
70.1,69.84,69.97
69.36,68.28,68.82000000000001
66.51,62.970000000000006,64.69
77.97,66.23,71.63000000000001
83.24000000000001,83.66,83.45
66.13,65.41,65.77
69.62,64.3,66.85
72.46000000000001,67.11,69.67999999999999
