bleu,p,bp,lr,rl,pl
0.0,,0.5209121273117441,0.6052631578947368,76,46
0.0,,1.0,1.6666666666666667,36,60
0.0,,1.0,1.0985915492957747,71,78
0.0591,,1.0,1.6382978723404256,47,77
0.0,,1.0,1.829268292682927,41,75
0.0,,0.33172522912172986,0.47540983606557374,61,29
0.0,,0.16286806635073492,0.35526315789473684,76,27
0.1344,,1.0,4.352941176470588,17,74
0.0,,1.0,3.125,24,75
0.0,,1.0,1.1147540983606556,61,68
0.0,,0.908563579224513,0.9125,80,73
0.0,,1.0,1.1612903225806452,62,72
0.2718,,1.0,1.0609756097560976,82,87
0.0,,0.36787944117144233,0.5,42,21
0.0321,,0.14615655707154251,0.34210526315789475,76,26
0.0,,1.0,1.2033898305084745,59,71
0.0,,1.0,1.35,40,54
0.0,,0.43459820850707814,0.5454545454545454,77,42
0.0402,,0.15123975969049577,0.34615384615384615,78,27
0.0,,0.41913374169932255,0.5348837209302325,43,23
0.0,,0.8616241104274074,0.8703703703703703,54,47
0.3534,,0.9622687143632572,0.9629629629629629,27,26
0.0,,1.0,1.7272727272727273,44,76
0.0,,0.5209121273117441,0.6052631578947368,76,46
0.0,,0.1988141887380742,0.38235294117647056,68,26
0.0575,,1.0,1.0,80,80
0.3709,,0.9017226623630116,0.90625,32,29
0.1507,,1.0,2.3157894736842106,19,44
0.0,,0.9394130628134758,0.9411764705882353,68,64
0.0,,0.6755981294711625,0.7183098591549296,71,51
0.0,,0.09697196786440505,0.3,60,18
0.0,,1.0,1.4464285714285714,56,81
0.0,,0.9021800413348781,0.9066666666666666,75,68
0.1552,,0.2899359512667195,0.44680851063829785,47,21
0.0618,,1.0,1.0606060606060606,66,70
0.0,,1.0,1.0289855072463767,69,71
0.0,,1.0,1.6333333333333333,30,49
0.0,,0.05881647164242988,0.2608695652173913,69,18
0.0,,0.6838614092123559,0.7246376811594203,69,50
0.0,,1.0,1.0408163265306123,49,51
0.0,,1.0,2.15625,32,69
0.1084,,1.0,1.1612903225806452,31,36
0.1646,,1.0,1.1772151898734178,79,93
0.0,,0.28340747803507327,0.4423076923076923,52,23
0.0,,0.9874215505455494,0.9875,80,79
0.1697,,0.4654708140240617,0.5666666666666667,60,34
0.0,,0.2810477292104116,0.4406779661016949,59,26
0.0,,1.0,1.1044776119402986,67,74
0.0,,1.0,2.0232558139534884,43,87
0.0,,0.7595721232249686,0.7843137254901961,51,40
0.0,,1.0,1.2363636363636363,55,68
0.0,,0.48775174689448264,0.582089552238806,67,39
0.0,,1.0,1.1428571428571428,70,80
0.0923,,0.18887560283756186,0.375,80,30
0.0411,,0.35497273839312193,0.49122807017543857,57,28
0.1184,,1.0,1.0158730158730158,63,64
0.0,,0.8688150562628432,0.8767123287671232,73,64
0.0422,,1.0,1.0810810810810811,74,80
0.0,,1.0,1.7906976744186047,43,77
0.0,,0.6514390575310556,0.7,70,49
0.0861,,1.0,1.434782608695652,23,33
0.0,,0.7599445537755992,0.7846153846153846,65,51
0.0,,1.0,1.4489795918367347,49,71
0.0,,0.83979020473815,0.8513513513513513,74,63
0.0,,0.11455884399268769,0.3157894736842105,57,18
0.0,,0.6006133345877123,0.6623376623376623,77,51
0.0,,1.0,1.8620689655172413,29,54
0.2246,,0.8382234324229999,0.85,80,68
0.0,,0.6807123983233854,0.7222222222222222,36,26
0.0,,1.0,1.0735294117647058,68,73
0.0917,,0.2635971381157267,0.42857142857142855,35,15
0.0208,,0.1826835240527346,0.37037037037037035,81,30
0.0,,0.6703200460356393,0.7142857142857143,49,35
0.0,,0.9591894571091382,0.96,25,24
0.7825,,1.0,1.0,14,14
0.0768,,0.36787944117144233,0.5,42,21
0.0,,1.0,1.625,32,52
0.1712,,0.48954165955695317,0.5833333333333334,48,28
0.0,,0.9375209928337671,0.9393939393939394,33,31
0.0,,0.4402058500226073,0.5492957746478874,71,39
0.0,,1.0,1.2702702702702702,37,47
0.0,,1.0,1.4651162790697674,43,63
0.0,,1.0,1.3181818181818181,22,29
0.0,,0.7788007830714049,0.8,80,64
0.0,,0.24097142449614925,0.4126984126984127,63,26
0.0,,1.0,1.0,81,81
0.068,,0.6996725373751302,0.7368421052631579,57,42
0.1502,,0.3782415666666055,0.5070422535211268,71,36
0.0,,0.026649097336355485,0.21621621621621623,37,8
0.0,,1.0,1.2741935483870968,62,79
