r1_p,r1_r,r1_f,r2_p,r2_r,r2_f,rL_p,rL_r,rL_f
29.549999999999997,19.400000000000002,23.419999999999998,4.65,3.0300000000000002,3.6700000000000004,15.909999999999998,10.45,12.61
25.45,45.16,32.56,1.8499999999999999,3.3300000000000005,2.3800000000000003,18.18,32.26,23.26
34.72,36.230000000000004,35.46,2.82,2.94,2.88,15.28,15.939999999999998,15.6
24.32,45.0,31.580000000000002,6.8500000000000005,12.82,8.93,14.860000000000001,27.500000000000004,19.3
12.31,25.0,16.49,0.0,0.0,0.0,7.6899999999999995,15.620000000000001,10.31
25.0,10.17,14.46,0.0,0.0,0.0,12.5,5.08,7.23
20.69,8.0,11.540000000000001,0.0,0.0,0.0,10.34,4.0,5.7700000000000005
11.76,66.67,20.0,8.959999999999999,54.55,15.379999999999999,11.76,66.67,20.0
20.9,53.849999999999994,30.11,6.0600000000000005,16.0,8.790000000000001,16.42,42.309999999999995,23.66
17.65,21.43,19.35,7.46,9.09,8.200000000000001,13.239999999999998,16.07,14.52
30.0,28.000000000000004,28.970000000000002,5.800000000000001,5.41,5.59,20.0,18.67,19.31
16.669999999999998,18.87,17.7,0.0,0.0,0.0,10.0,11.32,10.620000000000001
56.82000000000001,60.980000000000004,58.81999999999999,35.63,38.269999999999996,36.9,44.32,47.56,45.879999999999995
15.0,8.57,10.91,0.0,0.0,0.0,10.0,5.71,7.2700000000000005
52.38,15.49,23.91,25.0,7.140000000000001,11.110000000000001,42.86,12.68,19.57
20.630000000000003,26.529999999999998,23.21,1.6099999999999999,2.08,1.82,14.29,18.37,16.07
20.0,22.86,21.33,7.6899999999999995,8.82,8.219999999999999,12.5,14.29,13.33
37.21,22.220000000000002,27.83,7.140000000000001,4.2299999999999995,5.3100000000000005,27.91,16.669999999999998,20.87
56.00000000000001,18.18,27.450000000000003,25.0,7.89,12.0,48.0,15.58,23.53
27.27,16.220000000000002,20.34,4.760000000000001,2.78,3.51,18.18,10.81,13.56
29.79,26.419999999999998,28.000000000000004,4.35,3.85,4.08,21.279999999999998,18.87,20.0
64.71000000000001,61.11,62.86000000000001,50.0,47.06,48.480000000000004,64.71000000000001,61.11,62.86000000000001
8.959999999999999,13.950000000000001,10.91,0.0,0.0,0.0,8.959999999999999,13.950000000000001,10.91
26.669999999999998,17.14,20.87,2.27,1.4500000000000002,1.77,15.559999999999999,10.0,12.17
16.669999999999998,6.15,8.99,4.35,1.5599999999999998,2.3,12.5,4.62,6.74
28.21,28.57,28.389999999999997,9.09,9.21,9.15,21.790000000000003,22.08,21.94
53.849999999999994,48.28,50.91,40.0,35.709999999999994,37.74,53.849999999999994,48.28,50.91
29.409999999999997,66.67,40.82,18.18,42.86,25.53,26.47,60.0,36.730000000000004
15.790000000000001,14.75,15.25,0.0,0.0,0.0,10.530000000000001,9.84,10.17
36.96,23.94,29.060000000000002,8.89,5.71,6.959999999999999,21.740000000000002,14.08,17.09
50.0,18.6,27.12,6.67,2.3800000000000003,3.51,37.5,13.950000000000001,20.34
25.64,36.36,30.080000000000002,2.6,3.6999999999999997,3.05,12.82,18.18,15.040000000000001
11.29,9.46,10.290000000000001,0.0,0.0,0.0,8.06,6.76,7.35
76.47,23.64,36.11,43.75,12.959999999999999,20.0,64.71000000000001,20.0,30.56
26.229999999999997,26.669999999999998,26.450000000000003,5.0,5.08,5.04,11.48,11.67,11.57
13.639999999999999,13.639999999999999,13.639999999999999,1.54,1.54,1.54,7.580000000000001,7.580000000000001,7.580000000000001
15.909999999999998,26.919999999999998,20.0,2.33,4.0,2.94,15.909999999999998,26.919999999999998,20.0
47.06,11.76,18.82,6.25,1.49,2.41,35.29,8.82,14.12
30.769999999999996,24.240000000000002,27.12,13.73,10.77,12.07,21.15,16.669999999999998,18.64
13.33,13.950000000000001,13.639999999999999,0.0,0.0,0.0,4.44,4.65,4.55
18.33,35.480000000000004,24.18,5.08,10.0,6.74,10.0,19.35,13.19
22.86,32.0,26.669999999999998,17.65,25.0,20.69,22.86,32.0,26.669999999999998
49.41,58.330000000000005,53.5,22.62,26.76,24.52,36.47,43.059999999999995,39.489999999999995
29.17,14.29,19.18,4.35,2.08,2.82,20.830000000000002,10.2,13.700000000000001
26.39,25.330000000000002,25.85,5.63,5.41,5.52,20.830000000000002,20.0,20.41
67.86,33.93,45.24,33.33,16.36,21.95,60.709999999999994,30.36,40.48
29.630000000000003,13.56,18.6,7.6899999999999995,3.45,4.760000000000001,29.630000000000003,13.56,18.6
20.0,21.740000000000002,20.830000000000002,0.0,0.0,0.0,10.67,11.59,11.110000000000001
14.29,27.500000000000004,18.8,3.95,7.6899999999999995,5.220000000000001,9.09,17.5,11.97
35.709999999999994,31.25,33.33,9.76,8.51,9.09,28.57,25.0,26.669999999999998
10.77,13.73,12.07,0.0,0.0,0.0,9.229999999999999,11.76,10.34
43.75,22.220000000000002,29.470000000000002,3.2300000000000004,1.6099999999999999,2.15,21.88,11.110000000000001,14.74
11.59,13.11,12.31,0.0,0.0,0.0,8.7,9.84,9.229999999999999
70.37,24.68,36.54,50.0,17.11,25.490000000000002,66.67,23.380000000000003,34.62
34.62,17.31,23.080000000000002,12.0,5.88,7.89,26.919999999999998,13.459999999999999,17.95
32.26,34.48,33.33,11.48,12.280000000000001,11.86,22.58,24.14,23.330000000000002
34.92,32.35,33.589999999999996,4.84,4.4799999999999995,4.65,15.870000000000001,14.71,15.27
22.67,24.64,23.61,4.05,4.41,4.2299999999999995,18.67,20.29,19.439999999999998
13.33,20.0,16.0,1.69,2.56,2.04,11.67,17.5,14.000000000000002
20.0,15.28,17.32,1.8499999999999999,1.41,1.6,14.549999999999999,11.110000000000001,12.6
25.0,31.819999999999997,28.000000000000004,11.110000000000001,14.29,12.5,25.0,31.819999999999997,28.000000000000004
15.790000000000001,16.07,15.93,1.79,1.82,1.7999999999999998,8.77,8.93,8.85
9.719999999999999,15.559999999999999,11.97,0.0,0.0,0.0,5.56,8.89,6.84
22.95,19.72,21.21,3.3300000000000005,2.86,3.08,16.39,14.08,15.15
25.0,7.2700000000000005,11.27,0.0,0.0,0.0,25.0,7.2700000000000005,11.27
36.17,23.61,28.57,4.35,2.82,3.42,19.15,12.5,15.129999999999999
11.32,22.220000000000002,15.0,0.0,0.0,0.0,9.43,18.52,12.5
47.69,43.059999999999995,45.26,25.0,22.54,23.7,41.54,37.5,39.42
29.630000000000003,22.86,25.81,7.6899999999999995,5.88,6.67,25.929999999999996,20.0,22.58
23.189999999999998,23.880000000000003,23.53,4.41,4.55,4.4799999999999995,15.939999999999998,16.42,16.18
41.67,16.13,23.26,27.27,10.0,14.63,41.67,16.13,23.26
21.740000000000002,7.04,10.639999999999999,9.09,2.86,4.35,21.740000000000002,7.04,10.639999999999999
32.26,21.740000000000002,25.97,6.67,4.44,5.33,25.81,17.39,20.78
40.0,40.0,40.0,15.790000000000001,15.790000000000001,15.790000000000001,40.0,40.0,40.0
91.67,84.61999999999999,88.0,81.82000000000001,75.0,78.25999999999999,91.67,84.61999999999999,88.0
44.440000000000005,22.220000000000002,29.630000000000003,17.65,8.57,11.540000000000001,44.440000000000005,22.220000000000002,29.630000000000003
14.29,24.14,17.95,4.17,7.140000000000001,5.26,8.16,13.79,10.26
54.169999999999995,33.33,41.27,26.090000000000003,15.790000000000001,19.67,37.5,23.080000000000002,28.57
15.379999999999999,16.0,15.690000000000001,4.0,4.17,4.08,11.540000000000001,12.0,11.76
18.75,10.71,13.639999999999999,0.0,0.0,0.0,12.5,7.140000000000001,9.09
19.15,26.47,22.220000000000002,4.35,6.0600000000000005,5.06,17.02,23.53,19.75
16.669999999999998,25.64,20.200000000000003,5.08,7.89,6.1899999999999995,8.33,12.82,10.100000000000001
12.9,15.379999999999999,14.04,0.0,0.0,0.0,12.9,15.379999999999999,14.04
10.639999999999999,7.580000000000001,8.85,0.0,0.0,0.0,8.51,6.0600000000000005,7.08
30.769999999999996,12.31,17.580000000000002,0.0,0.0,0.0,11.540000000000001,4.62,6.59
24.36,24.68,24.52,2.6,2.63,2.6100000000000003,16.669999999999998,16.88,16.77
41.03,26.229999999999997,32.0,15.790000000000001,10.0,12.24,28.21,18.029999999999998,22.0
66.67,38.71,48.980000000000004,48.57,27.87,35.42,61.11,35.480000000000004,44.9
44.440000000000005,11.43,18.18,12.5,2.94,4.760000000000001,44.440000000000005,11.43,18.18
16.25,20.31,18.060000000000002,1.27,1.59,1.41,12.5,15.620000000000001,13.889999999999999
21.62,23.53,22.54,1.37,1.49,1.43,13.51,14.71,14.08
28.21,20.369999999999997,23.66,7.89,5.66,6.59,20.51,14.81,17.2
21.33,26.229999999999997,23.53,2.7,3.3300000000000005,2.9899999999999998,10.67,13.11,11.76
19.48,17.86,18.63,0.0,0.0,0.0,9.09,8.33,8.7
41.86,23.68,30.25,11.899999999999999,6.67,8.55,20.93,11.84,15.129999999999999
60.0,20.69,30.769999999999996,42.11,14.04,21.05,60.0,20.69,30.769999999999996
16.669999999999998,14.06,15.25,1.8900000000000001,1.59,1.72,11.110000000000001,9.379999999999999,10.17
27.500000000000004,18.64,22.220000000000002,5.13,3.45,4.12,17.5,11.86,14.14
32.5,20.97,25.490000000000002,5.13,3.2800000000000002,4.0,22.5,14.52,17.65
18.37,16.36,17.31,0.0,0.0,0.0,10.2,9.09,9.62
26.32,15.620000000000001,19.61,5.41,3.17,4.0,18.42,10.94,13.73
33.33,25.4,28.83,6.38,4.84,5.5,18.75,14.29,16.220000000000002
21.05,15.790000000000001,18.05,5.36,4.0,4.58,14.04,10.530000000000001,12.030000000000001
34.04,51.61,41.03,21.740000000000002,33.33,26.32,34.04,51.61,41.03
29.23,28.79,29.01,4.6899999999999995,4.62,4.65,23.080000000000002,22.73,22.900000000000002
13.889999999999999,29.409999999999997,18.87,0.0,0.0,0.0,5.56,11.76,7.55
16.98,21.43,18.95,3.85,4.88,4.3,13.209999999999999,16.669999999999998,14.74
22.54,19.75,21.05,2.86,2.5,2.67,15.49,13.58,14.469999999999999
31.34,30.880000000000003,31.11,10.61,10.45,10.530000000000001,23.880000000000003,23.53,23.7
17.14,16.220000000000002,16.669999999999998,8.82,8.33,8.57,17.14,16.220000000000002,16.669999999999998
34.48,15.379999999999999,21.279999999999998,10.71,4.6899999999999995,6.52,27.589999999999996,12.31,17.02
17.65,21.05,19.2,7.46,8.93,8.129999999999999,16.18,19.3,17.599999999999998
32.14,13.04,18.56,7.41,2.94,4.21,25.0,10.14,14.430000000000001
36.21,30.43,33.07,8.77,7.35,8.0,22.41,18.84,20.47
26.529999999999998,22.03,24.07,2.08,1.72,1.8900000000000001,18.37,15.25,16.669999999999998
21.33,22.86,22.07,1.35,1.4500000000000002,1.4000000000000001,10.67,11.43,11.03
15.870000000000001,16.669999999999998,16.259999999999998,0.0,0.0,0.0,11.110000000000001,11.67,11.379999999999999
10.81,36.36,16.669999999999998,0.0,0.0,0.0,6.76,22.73,10.42
42.86,28.12,33.96,20.0,12.9,15.690000000000001,42.86,28.12,33.96
9.520000000000001,25.0,13.79,6.45,17.39,9.41,9.520000000000001,25.0,13.79
59.089999999999996,16.46,25.740000000000002,19.05,5.13,8.08,50.0,13.919999999999998,21.78
25.0,72.22,37.14,11.76,35.29,17.65,23.080000000000002,66.67,34.29
40.48,22.97,29.310000000000002,19.509999999999998,10.96,14.04,30.95,17.57,22.41
14.49,19.23,16.53,2.94,3.92,3.36,13.04,17.31,14.879999999999999
48.480000000000004,19.05,27.35,6.25,2.41,3.4799999999999995,27.27,10.71,15.379999999999999
21.82,23.080000000000002,22.43,5.56,5.88,5.71,16.36,17.31,16.82
20.0,19.12,19.55,3.1199999999999997,2.9899999999999998,3.05,10.77,10.290000000000001,10.530000000000001
26.19,16.18,20.0,7.32,4.4799999999999995,5.56,19.05,11.76,14.549999999999999
23.400000000000002,15.28,18.490000000000002,4.35,2.82,3.42,17.02,11.110000000000001,13.450000000000001
26.47,13.850000000000001,18.18,3.0300000000000002,1.5599999999999998,2.06,17.65,9.229999999999999,12.120000000000001
45.0,42.86,43.9,13.56,12.9,13.22,30.0,28.57,29.270000000000003
29.409999999999997,24.59,26.790000000000003,6.0,5.0,5.45,21.57,18.029999999999998,19.64
21.95,30.0,25.35,2.5,3.45,2.9000000000000004,14.63,20.0,16.900000000000002
20.45,28.12,23.68,4.65,6.45,5.41,11.360000000000001,15.620000000000001,13.16
44.83,20.630000000000003,28.26,10.71,4.84,6.67,41.38,19.05,26.090000000000003
41.67,20.549999999999997,27.52,14.29,6.94,9.35,30.56,15.07,20.18
21.21,18.92,20.0,1.54,1.37,1.4500000000000002,15.15,13.51,14.29
61.9,18.84,28.89,25.0,7.35,11.360000000000001,52.38,15.939999999999998,24.44
20.45,13.43,16.220000000000002,2.33,1.52,1.83,15.909999999999998,10.45,12.61
62.86000000000001,46.81,53.66,44.12,32.61,37.5,60.0,44.68,51.22
28.57,23.880000000000003,26.02,3.64,3.0300000000000002,3.3099999999999996,16.07,13.43,14.63
17.740000000000002,16.919999999999998,17.32,0.0,0.0,0.0,11.29,10.77,11.020000000000001
26.76,22.89,24.68,7.140000000000001,6.1,6.58,15.49,13.25,14.29
29.270000000000003,29.270000000000003,29.270000000000003,10.0,10.0,10.0,19.509999999999998,19.509999999999998,19.509999999999998
20.78,22.54,21.62,0.0,0.0,0.0,10.39,11.27,10.81
20.69,8.959999999999999,12.5,7.140000000000001,3.0300000000000002,4.26,13.79,5.970000000000001,8.33
59.089999999999996,25.490000000000002,35.620000000000005,38.1,16.0,22.54,54.55,23.53,32.879999999999995
44.07,53.059999999999995,48.15,32.76,39.58,35.85,42.370000000000005,51.019999999999996,46.300000000000004
27.500000000000004,14.860000000000001,19.3,7.6899999999999995,4.109999999999999,5.36,20.0,10.81,14.04
47.620000000000005,14.29,21.98,15.0,4.35,6.74,33.33,10.0,15.379999999999999
51.519999999999996,28.33,36.559999999999995,15.620000000000001,8.469999999999999,10.99,39.39,21.67,27.96
43.480000000000004,12.82,19.8,4.55,1.3,2.02,30.43,8.97,13.86
11.48,10.77,11.110000000000001,0.0,0.0,0.0,6.5600000000000005,6.15,6.35
9.09,14.29,11.110000000000001,0.0,0.0,0.0,7.580000000000001,11.899999999999999,9.26
30.3,24.39,27.029999999999998,6.25,5.0,5.56,21.21,17.07,18.92
15.25,16.36,15.790000000000001,0.0,0.0,0.0,6.78,7.2700000000000005,7.02
36.36,12.5,18.6,0.0,0.0,0.0,22.73,7.8100000000000005,11.63
14.71,22.73,17.86,6.0600000000000005,9.520000000000001,7.41,11.76,18.18,14.29
20.0,8.82,12.24,0.0,0.0,0.0,16.669999999999998,7.35,10.2
30.43,38.18,33.87,8.82,11.110000000000001,9.84,23.189999999999998,29.09,25.81
17.02,10.39,12.9,0.0,0.0,0.0,10.639999999999999,6.49,8.06
47.22,19.77,27.87,20.0,8.24,11.67,33.33,13.950000000000001,19.67
14.000000000000002,25.929999999999996,18.18,2.04,3.85,2.67,12.0,22.220000000000002,15.58
18.67,24.560000000000002,21.21,1.35,1.79,1.54,13.33,17.54,15.15
56.52,18.57,27.96,22.73,7.249999999999999,10.99,47.83,15.709999999999999,23.66
26.669999999999998,27.12,26.889999999999997,11.86,12.07,11.97,18.33,18.64,18.490000000000002
26.790000000000003,22.73,24.59,5.45,4.62,5.0,17.86,15.15,16.39
11.67,10.77,11.200000000000001,0.0,0.0,0.0,8.33,7.6899999999999995,8.0
12.64,28.21,17.46,2.33,5.26,3.2300000000000004,10.34,23.080000000000002,14.29
35.9,19.18,25.0,2.63,1.39,1.82,23.080000000000002,12.33,16.07
27.87,29.310000000000002,28.57,5.0,5.26,5.13,13.11,13.79,13.450000000000001
45.33,41.980000000000004,43.59,17.57,16.25,16.88,21.33,19.75,20.51
31.509999999999998,29.49,30.459999999999997,8.33,7.79,8.05,16.439999999999998,15.379999999999999,15.89
28.849999999999998,34.88,31.580000000000002,5.88,7.140000000000001,6.45,15.379999999999999,18.6,16.84
36.67,34.38,35.480000000000004,10.17,9.520000000000001,9.84,23.330000000000002,21.88,22.58
35.709999999999994,24.39,28.99,3.6999999999999997,2.5,2.9899999999999998,25.0,17.07,20.29
29.03,25.35,27.07,3.2800000000000002,2.86,3.05,19.35,16.900000000000002,18.05
58.67,56.410000000000004,57.52,36.49,35.06,35.76,52.0,50.0,50.980000000000004
31.71,20.630000000000003,25.0,5.0,3.2300000000000004,3.92,14.63,9.520000000000001,11.540000000000001
13.639999999999999,22.220000000000002,16.900000000000002,0.0,0.0,0.0,9.09,14.81,11.27
42.86,24.32,31.03,12.2,6.8500000000000005,8.77,26.19,14.860000000000001,18.970000000000002
15.0,17.91,16.33,1.27,1.52,1.38,11.25,13.43,12.24
62.5,71.43,66.67,45.16,51.849999999999994,48.28,62.5,71.43,66.67
20.41,14.29,16.81,4.17,2.9000000000000004,3.42,14.29,10.0,11.76
26.19,14.29,18.490000000000002,7.32,3.95,5.13,21.43,11.690000000000001,15.129999999999999
23.26,43.480000000000004,30.3,11.899999999999999,22.73,15.620000000000001,20.93,39.129999999999995,27.27
47.620000000000005,71.43,57.14,31.71,48.15,38.24,42.86,64.29,51.43
60.61,80.0,68.97,46.88,62.5,53.56999999999999,57.58,76.0,65.52
33.33,20.41,25.319999999999997,6.9,4.17,5.19,26.669999999999998,16.33,20.25
13.639999999999999,8.82,10.71,0.0,0.0,0.0,13.639999999999999,8.82,10.71
13.56,14.04,13.79,0.0,0.0,0.0,8.469999999999999,8.77,8.62
52.94,11.540000000000001,18.95,6.25,1.3,2.15,29.409999999999997,6.41,10.530000000000001
12.82,16.950000000000003,14.6,0.0,0.0,0.0,10.26,13.56,11.68
37.04,15.870000000000001,22.220000000000002,3.85,1.6099999999999999,2.27,25.929999999999996,11.110000000000001,15.559999999999999
45.24,26.76,33.629999999999995,19.509999999999998,11.43,14.41,38.1,22.54,28.32
13.889999999999999,14.71,14.29,0.0,0.0,0.0,12.5,13.239999999999998,12.86
25.929999999999996,13.459999999999999,17.72,7.6899999999999995,3.92,5.19,25.929999999999996,13.459999999999999,17.72
17.86,13.16,15.15,0.0,0.0,0.0,12.5,9.21,10.61
12.5,11.48,11.97,1.82,1.67,1.7399999999999998,10.71,9.84,10.26
14.29,15.620000000000001,14.93,1.4500000000000002,1.59,1.52,8.57,9.379999999999999,8.959999999999999
33.33,17.91,23.3,8.57,4.55,5.94,22.220000000000002,11.940000000000001,15.53
16.669999999999998,17.91,17.27,2.82,3.0300000000000002,2.92,9.719999999999999,10.45,10.07
25.71,13.239999999999998,17.48,2.94,1.49,1.9800000000000002,17.14,8.82,11.65
36.36,37.5,36.919999999999995,25.0,25.81,25.4,33.33,34.38,33.85
44.440000000000005,27.589999999999996,34.04,23.53,14.29,17.78,44.440000000000005,27.589999999999996,34.04
27.589999999999996,21.33,24.060000000000002,5.26,4.05,4.58,12.07,9.33,10.530000000000001
23.64,18.060000000000002,20.47,5.56,4.2299999999999995,4.8,18.18,13.889999999999999,15.75
14.63,9.520000000000001,11.540000000000001,0.0,0.0,0.0,12.2,7.9399999999999995,9.62
67.65,34.849999999999994,46.0,24.240000000000002,12.31,16.33,47.06,24.240000000000002,32.0
17.65,9.520000000000001,12.370000000000001,3.0300000000000002,1.6099999999999999,2.11,11.76,6.35,8.25
47.370000000000005,26.47,33.96,16.220000000000002,8.959999999999999,11.540000000000001,39.47,22.06,28.299999999999997
38.1,29.630000000000003,33.33,10.0,7.6899999999999995,8.7,38.1,29.630000000000003,33.33
53.849999999999994,26.419999999999998,35.44,24.0,11.540000000000001,15.58,50.0,24.529999999999998,32.910000000000004
33.33,18.84,24.07,5.26,2.94,3.7699999999999996,20.51,11.59,14.81
28.299999999999997,22.39,25.0,7.6899999999999995,6.0600000000000005,6.78,15.09,11.940000000000001,13.33
25.929999999999996,29.17,27.450000000000003,11.540000000000001,13.04,12.24,25.929999999999996,29.17,27.450000000000003
25.4,21.33,23.189999999999998,1.6099999999999999,1.35,1.47,15.870000000000001,13.33,14.49
30.56,20.0,24.18,2.86,1.8499999999999999,2.25,19.439999999999998,12.73,15.379999999999999
75.0,48.0,58.540000000000006,53.33,33.33,41.03,68.75,44.0,53.66
35.0,38.89,36.84,15.379999999999999,17.14,16.220000000000002,30.0,33.33,31.580000000000002
27.87,24.29,25.95,6.67,5.800000000000001,6.2,22.95,20.0,21.37
35.14,20.0,25.490000000000002,13.889999999999999,7.8100000000000005,10.0,24.32,13.850000000000001,17.65
28.749999999999996,34.849999999999994,31.509999999999998,7.59,9.229999999999999,8.33,17.5,21.21,19.18
60.0,20.27,30.3,37.5,12.33,18.56,56.00000000000001,18.92,28.28
20.0,10.94,14.14,0.0,0.0,0.0,11.43,6.25,8.08
24.68,26.029999999999998,25.330000000000002,3.95,4.17,4.05,14.29,15.07,14.67
19.05,16.0,17.39,0.0,0.0,0.0,9.520000000000001,8.0,8.7
35.29,9.379999999999999,14.81,12.5,3.17,5.06,23.53,6.25,9.879999999999999
54.05,27.779999999999998,36.7,16.669999999999998,8.450000000000001,11.21,40.54,20.830000000000002,27.52
29.549999999999997,17.57,22.03,6.98,4.109999999999999,5.17,20.45,12.16,15.25
3.1199999999999997,10.0,4.760000000000001,0.0,0.0,0.0,3.1199999999999997,10.0,4.760000000000001
31.580000000000002,35.29,33.33,16.669999999999998,18.75,17.65,31.580000000000002,35.29,33.33
15.709999999999999,14.860000000000001,15.28,2.9000000000000004,2.74,2.82,11.43,10.81,11.110000000000001
11.67,11.67,11.67,0.0,0.0,0.0,8.33,8.33,8.33
25.0,21.52,23.13,2.9899999999999998,2.56,2.76,13.239999999999998,11.39,12.24
18.060000000000002,24.529999999999998,20.8,4.2299999999999995,5.7700000000000005,4.88,13.889999999999999,18.87,16.0
18.37,28.12,22.220000000000002,6.25,9.68,7.59,16.33,25.0,19.75
27.589999999999996,32.0,29.630000000000003,7.140000000000001,8.33,7.6899999999999995,13.79,16.0,14.81
31.25,7.249999999999999,11.76,0.0,0.0,0.0,18.75,4.35,7.06
19.35,19.67,19.509999999999998,1.6400000000000001,1.67,1.6500000000000001,11.29,11.48,11.379999999999999
4.17,40.0,7.55,2.13,25.0,3.92,4.17,40.0,7.55
50.0,7.6899999999999995,13.33,27.27,3.9,6.819999999999999,50.0,7.6899999999999995,13.33
40.62,22.81,29.21,9.68,5.36,6.9,25.0,14.04,17.98
26.919999999999998,10.290000000000001,14.89,0.0,0.0,0.0,23.080000000000002,8.82,12.770000000000001
27.939999999999998,25.679999999999996,26.76,2.9899999999999998,2.74,2.86,13.239999999999998,12.16,12.68
32.26,14.29,19.8,0.0,0.0,0.0,22.58,10.0,13.86
55.36,50.82,52.99,36.36,33.33,34.78,50.0,45.9,47.86
50.0,17.31,25.71,11.76,3.92,5.88,44.440000000000005,15.379999999999999,22.86
21.05,12.120000000000001,15.379999999999999,5.41,3.08,3.92,13.16,7.580000000000001,9.62
10.0,8.469999999999999,9.17,0.0,0.0,0.0,8.0,6.78,7.340000000000001
20.0,5.88,9.09,0.0,0.0,0.0,20.0,5.88,9.09
6.52,18.75,9.68,0.0,0.0,0.0,6.52,18.75,9.68
20.29,25.0,22.400000000000002,2.94,3.64,3.25,15.939999999999998,19.64,17.599999999999998
15.790000000000001,11.110000000000001,13.04,0.0,0.0,0.0,10.530000000000001,7.41,8.7
67.74,30.0,41.58,26.669999999999998,11.59,16.16,54.84,24.29,33.660000000000004
