reference,system
"unter ionenwind versteht man einen gerichteten fluss von ionen, also eine art der ionenstrahlung. erzeugt wird er durch eine gasentladung, die von einer an positiver hochspannung liegenden elektrode ( meist spitz geformt, was eine sehr starke inhomogenität des elektrischen feldes mit sich bringt ) ausgeht. die ionisation erfolgt durch entzug von elektronen. die so erzeugten positiv geladenen ionen werden dann von dieser elektrode ( anode ) weg entlang des feldgradienten","der ionenwind ist eine spezielle form des elektrischen windes. er kommt dort vor, wo sich ionen in ihrer umgebung niedermähren und z. b. an der spitze einer korona erzeugen. der ionenwind ist zusammen mit der atmosphärischen ionenwolke ein wichtiger generator von ionen."
"horror vacui ( lat. scheu vor der leere ) bezeichnet in der kunst den wunsch, alle leeren flächen, besonders in der malerei und im relief, mit darstellungen oder ornamenten zu füllen.","horror vacui ( englisch ‚verrückte asche ‘ ) ist ein begriff aus der modernen bildenden kunst. er bezeichnet eine form der ornamentalen kunst, bei der ganz bestimmte muster und formen mit ornamenten verknüpft werden. der begriff wurde in deutschland erst im zusammenhang mit der verfilmung horrorfilms eingeführt, in den usa hingegen findet er allgemeine verwendung."
"bei der kryptosporidiose handelt es sich um eine durchfallerkrankung durch die zu den apicomplexa gehörenden kryptosporidien. bei menschen mit zellulärer immunschwäche ( z. b. aids ) tritt diese sonst seltene erkrankung gehäuft auf. die übertragung erfolgt als orale infektion durch die aufnahme infizierter speisen oder infizierten trinkwassers. eine infektion über infizierte haus- und nutztiere, sowie von mensch zu mensch ist möglich. die betroffenen leiden unter wä","eine kryptosporidiose ist eine infektionskrankheit des menschen, die durch ein cryptosporidium hervorgerufen wird. dieses parasit befällt beim menschen den darm und sauerstoff. übertragen werden die erreger durch den menschen über die nahrung, den magen oder die harnröhre, seltener auch über die plazenta. es handelt sich dabei um eine akute infektion, bei der die symptome nach einer periodischen infektion wieder auftreten. in der regel treten diese beschwerden weniger stark als eine"
"wonder woman ist einer der ältesten superhelden ( und die erste superheldin ) des dc-comics-verlags. sie wurde von william moulton marston und seiner frau, elizabeth holloway marston ( sadie ), geschaffen und hatte ihren ersten auftritt 1941 in all star comics # 8.","die wonder woman ist ein titel moderner us-comics, der 1942 von william moulton marston ( * 22. september 1914 in new york city ; † 18. dezember 1942 in new york city ) geschaffen wurde. der comic verkörpert in der regel einen weiblichen superhelden, der es sich zur konventionellen weiblichkeit verwandt, das verhältnis zwischen männern und frauen zu untersuchen und zu beeinflussen. zur dc-comic gehörten unter anderem die us-amerikanischen comics dc comic"
"dieser artikel beschreibt die grammatik der georgischen sprache ( eigenbezeichnung : [ kartuli ena ] ქართული ენა ). die grammatik des georgischen und der anderen sogenannten kaukasischen sprachen ist so umfangreich, dass hier keineswegs alle einzelheiten aufgeführt sind.","georgian ist eine morphosyntaktische sprache, die im rahmen der neoklassischen sprachfamilie, also einer gruppe von einzelsprachen, zwischen nominativ und akkusativ verwandt ist. die sprache weist zusätzlich einen ergativ auf, d. h., der das subjekt eines verbs zeichnet. nominative und akkusative verben zeichnen sich im georgian dadurch aus, dass das subjekt eines verbs sowie derjenige, der das agens erfüllt, jeweils als nominat ( nominativ ) und"
"ein zwiebelturm ist ein turm mit einer zwiebelhaube oder einem zwiebelhelm, z. b. ein kirchturm, dessen spitze in form einer zwiebel gearbeitet ist. der untere teil der spitze ist bauchig und läuft nach oben spitz zusammen, vergleichbar mit den kirchtürmen der moskauer basilius-kathedrale. neben runden bauformen werden auch türme mit eckigen turmhauben als zwiebelturm bezeichnet.","oniondom ( von lateinisch onion „ zwiebel “ ) ist die bezeichnung für einen in russland, seltener auch in der ukraine, verwendeten kuppel- oder halbkugelförmigen  dome."
"als partikelschwarmoptimierung ( pso ) wird ein naturanaloges optimierungsverfahren bezeichnet, das nach dem vorbild des biologischen schwarmverhaltens eine lösung für ein optimierungsproblem sucht. analog zum natürlichen phänomen wird eine population von lösungskandidaten durch den suchraum bewegt, um eine gute lösung für das problem zu erhalten. in jedem rechenschritt wird dazu die position jedes individuums neu berechnet. die pso ist eine metaheuristik, sie wurde 1995 von james kennedy und russell e",der begriff partial-optimierungs-o-algorithmus ( pso ) wurde in der informatik im rahmen der suchalgorithmen eingeführt und wird in der informatik zur approximation einer optimalen partiallösung verwendet.
"james rumbaugh ( * 22. august 1947 in bethlehem, pennsylvania ) ist ein amerikanischer informatiker.","arthur richard rumbaugh ( * 13. mai 1938 in bethlehem, pennsylvania ) ist ein amerikanischer informatiker. rumbaugh studierte physik am massachusetts institute of technology mit dem bachelor-abschluss 1963 und wurde 1991 bei jack dennis am caltech promoviert ( asynchronous computer architecture for data flow ). als post-doktorand war er an der digital equipment corporation ( dec ). ab 1968 war er an der entwicklung von geometrischen programmiersprachen und data-flow-engineering-systemen beteiligt"
das archaeological institute of america ( aia ) ist eine us-amerikanische non-profit-organisation zur förderung der archäologie mit sitz in boston und new york.,"das american institute of archeology ( aia ; deutsch „ amerikanisches institut für archäologie “ ) ist eine 1954 gegründete, us-amerikanische forschungseinrichtung, die das fach archäologie weltweit betreibt. sie ist mitglied des international council for the sciences ( aia ), einem seit 1900 bestehenden verbund von wissenschaftlern verschiedener disziplinen, die dem wissenschaftlichen austausch, der forschung und der entwicklung zur erforschung von archäologischen, historischen und geschichtlichen fundstücken dienen."
"hirnventrikel sind mit hirnwasser ( liquor cerebrospinalis ) gefüllte hohlräume im gehirn. sie bilden, zusammen mit dem rückenmarkskanal ( canalis centralis medullaris ), den inneren liquorraum. das gehirn weist je einen seitenventrikel in jeder großhirnhemisphäre auf, einen dritten ventrikel im zwischenhirn und den vierten ventrikel im rhombencephalon. diese vier hirnventrikel stehen durch löcher ( foram","der vierten hirnventrikel ist einer der vier hirnventrikel. er ist ein abschnitt des vierten ventrikels, der zwischen dem vierten und fünften hirnventrikel liegt und den tief in der hirnhöhle bildet. an seinem grund ist er mit dem vierten liquorglas des rückenmarks in verbindung stehend, daher wird er auch vierten liquorglas genannt. der vierten hirnventrikel teilt den rückenmarkskanal in den vierten und fünften hirnventrikel"
