bs_p,bs_r,bs_f
71.66,62.13999999999999,66.56
71.02000000000001,69.85,70.43
50.629999999999995,54.400000000000006,52.449999999999996
81.92,68.03,74.33
70.08,66.41,68.2
51.71,54.75,53.190000000000005
60.45,58.5,59.46
82.15,92.91,87.2
66.71000000000001,72.33000000000001,69.41000000000001
54.83,59.51,57.08
71.91,62.83,67.06
57.599999999999994,64.09,60.67
78.28,66.97999999999999,72.19
48.93,53.669999999999995,51.190000000000005
81.82000000000001,65.07,72.49
70.39999999999999,62.39,66.14999999999999
52.800000000000004,52.87,52.83
70.19,62.82,66.3
66.31,60.940000000000005,63.51
63.849999999999994,67.0,65.39
69.95,66.64,68.26
77.95,79.67999999999999,78.81
65.48,65.45,65.46
56.63,64.79,60.440000000000005
57.410000000000004,55.04,56.2
70.23,63.22,66.53999999999999
91.38,77.03,83.59
85.27,85.91,85.59
66.67,63.839999999999996,65.22
65.02,60.540000000000006,62.7
66.95,63.49,65.16999999999999
67.65,62.29,64.86
65.84,61.12,63.39
69.87,62.19,65.81
49.79,52.99,51.339999999999996
61.96,61.08,61.519999999999996
59.809999999999995,61.53999999999999,60.660000000000004
78.23,65.86,71.52
73.63,57.48,64.56
70.30999999999999,63.77,66.88
83.78,73.04,78.03999999999999
83.08,67.60000000000001,74.53999999999999
73.34,70.49,71.89
66.59,55.50000000000001,60.540000000000006
64.48,65.5,64.98
83.23,73.02,77.79
73.69,62.73,67.77
78.55,65.25,71.28999999999999
49.99,50.79,50.39
66.11,59.599999999999994,62.69
62.019999999999996,61.92999999999999,61.970000000000006
73.83999999999999,63.04,68.02
69.02000000000001,62.03999999999999,65.34
81.71000000000001,65.73,72.86
71.61999999999999,62.86000000000001,66.95
64.1,61.72,62.89
71.16,62.57,66.59
74.33,60.760000000000005,66.86999999999999
51.42,59.040000000000006,54.97
73.19,64.69,68.67999999999999
71.14,67.29,69.16
50.05,57.199999999999996,53.39
59.809999999999995,59.940000000000005,59.870000000000005
76.13,73.15,74.61
62.160000000000004,56.38999999999999,59.13
70.43,61.77,65.82000000000001
49.230000000000004,51.559999999999995,50.370000000000005
81.17999999999999,68.99,74.59
74.94,68.95,71.82
70.57,64.92,67.63
78.72,68.47,73.24000000000001
72.52,66.41,69.33
78.47,69.84,73.91
80.47,80.60000000000001,80.54
82.64,79.27,80.92
72.87,69.62,71.21
69.54,63.85999999999999,66.58
83.05,69.17999999999999,75.48
80.36,69.22,74.37
63.53,60.86,62.160000000000004
77.01,70.25,73.47
59.75,60.589999999999996,60.17
71.05,62.03999999999999,66.24
60.22,57.599999999999994,58.879999999999995
66.53999999999999,58.89,62.480000000000004
64.58,55.989999999999995,59.98
71.21,63.09,66.9
76.78,63.12,69.28
76.05,70.83,73.35000000000001
68.86,62.45,65.5
54.449999999999996,53.59,54.02
60.58,60.099999999999994,60.34
68.97999999999999,59.79,64.05999999999999
50.38,56.989999999999995,53.480000000000004
74.79,65.73,69.97
77.16,62.08,68.8
49.41,55.120000000000005,52.11
75.79,66.01,70.56
79.42,72.5,75.81
57.809999999999995,61.49,59.589999999999996
64.35,62.99,63.660000000000004
67.57,60.699999999999996,63.949999999999996
61.480000000000004,59.29,60.370000000000005
90.36,86.75,88.52
59.660000000000004,51.06,55.03
54.24,63.63999999999999,58.56
65.96,64.71000000000001,65.33
62.49,60.99,61.73
67.01,55.98,61.0
63.11,63.31,63.21
77.92999999999999,65.94,71.44
75.22999999999999,64.53,69.47
75.29,65.36999999999999,69.98
59.309999999999995,56.38999999999999,57.82000000000001
66.23,55.7,60.51
57.24,55.22,56.21000000000001
58.08,57.54,57.809999999999995
59.93000000000001,62.07,60.980000000000004
81.65,72.86,77.0
69.56,77.66,73.39
80.66,67.97,73.77
77.12,74.85000000000001,75.97
79.73,69.67,74.36
61.24000000000001,63.870000000000005,62.529999999999994
58.940000000000005,61.019999999999996,59.96
