bleu,p,bp,lr,rl,pl
0.0,,0.21903614469412785,0.39705882352941174,68,27
0.1024,,1.0,1.0555555555555556,36,38
0.0,,0.8187307530779819,0.8333333333333334,66,55
0.0316,,0.1184418290138037,0.3191489361702128,47,15
0.0,,1.0,1.0731707317073171,41,44
0.0,,0.7423961076698212,0.7704918032786885,61,47
0.0,,0.9436773000056001,0.9452054794520548,73,69
0.2952,,1.0,1.4705882352941178,17,25
0.0744,,1.0,1.8333333333333333,24,44
0.0,,0.9495907867934543,0.9508196721311475,61,58
0.0,,0.23851255385430237,0.410958904109589,73,30
0.0,,1.0,1.1290322580645162,62,70
0.0,,0.2635971381157267,0.42857142857142855,77,33
0.0,,1.0,1.0238095238095237,42,43
0.0357,,0.24836467657051403,0.417910447761194,67,28
0.0,,0.12181361383661986,0.3220338983050847,59,19
0.0,,0.6178673543839127,0.675,40,27
0.0,,0.14660696213035007,0.3424657534246575,73,25
0.0,,0.9048374180359595,0.9090909090909091,77,70
0.0,,1.0,1.441860465116279,43,62
0.0,,0.8403699701308981,0.8518518518518519,54,46
0.1073,,1.0,1.1481481481481481,27,31
0.0,,1.0,1.5,44,66
0.0,,0.8216600192006036,0.835820895522388,67,56
0.0,,0.23692775868212176,0.4098360655737705,61,25
0.0,,0.29559943537737077,0.4507042253521127,71,32
0.3121,,0.4138080991773701,0.53125,32,17
0.4019,,1.0,1.3157894736842106,19,25
0.0,,0.4138080991773701,0.53125,64,34
0.0,,0.48775174689448264,0.582089552238806,67,39
0.0,,0.4168620196785084,0.5333333333333333,60,32
0.0,,1.0,1.2678571428571428,56,71
0.0,,0.32465246735834974,0.47058823529411764,68,32
0.0967,,0.654265252923595,0.7021276595744681,47,33
0.0,,0.5706520584674752,0.640625,64,41
0.0,,0.8324906126116026,0.8450704225352113,71,60
0.0,,1.0,2.2,30,66
0.0,,0.0560028363077737,0.25757575757575757,66,17
0.0,,0.45667477944228846,0.5606060606060606,66,37
0.0,,0.3228928377083497,0.46938775510204084,49,23
0.0,,0.45942582403592663,0.5625,32,18
0.0481,,0.1224564282529819,0.3225806451612903,31,10
0.0938,,1.0,1.0617283950617284,81,86
0.0,,0.8337529180751805,0.8461538461538461,52,44
0.0,,1.0,1.0,72,72
0.136,,0.29457482831010734,0.45,60,27
0.0,,0.4052602577832694,0.5254237288135594,59,31
0.0,,0.0301973834223185,0.2222222222222222,63,14
0.0,,1.0,1.1395348837209303,43,49
0.0,,0.11219689052034373,0.3137254901960784,51,16
0.0,,0.7788007830714049,0.8,55,44
0.0,,0.049787068367863944,0.25,68,17
0.0,,0.033373269960326066,0.22727272727272727,66,15
0.0171,,0.03710076657961781,0.2328767123287671,73,17
0.0174,,0.09508907677188685,0.2982456140350877,57,17
0.0648,,0.7114675062078237,0.746031746031746,63,47
0.0,,0.07196474394172296,0.2753623188405797,69,19
0.0356,,0.41820025936468097,0.5342465753424658,73,39
0.0,,1.0,1.1395348837209303,43,49
0.0,,0.09868824146980928,0.30158730158730157,63,19
0.0,,1.0,1.2173913043478262,23,28
0.0,,0.7538147011255383,0.7796610169491526,59,46
0.0,,1.0,1.1428571428571428,49,56
0.1647,,1.0,1.0945945945945945,74,81
0.0,,0.9083242631244284,0.9122807017543859,57,52
0.0,,0.9534969548334766,0.9545454545454546,66,63
0.0,,1.0,1.896551724137931,29,55
0.1092,,0.24187001173957287,0.41333333333333333,75,31
0.0,,0.48954165955695317,0.5833333333333334,36,21
0.0,,0.9033050942398444,0.9076923076923077,65,59
0.0917,,0.2635971381157267,0.42857142857142855,35,15
0.0381,,0.3888955639892228,0.5142857142857142,70,36
0.0,,0.35286608145884896,0.4897959183673469,49,24
0.0,,1.0,1.08,25,27
0.0,,1.0,1.5714285714285714,14,22
0.0,,0.8187307530779819,0.8333333333333334,42,35
0.0,,0.7939226578179512,0.8125,32,26
0.104,,0.27645304662956444,0.4375,48,21
0.0,,0.6065306597126334,0.6666666666666666,33,22
0.0,,0.7650170614485746,0.7887323943661971,71,56
0.0,,0.3479990407922553,0.4864864864864865,37,18
0.0,,1.0,1.6046511627906976,43,69
0.0,,0.36787944117144233,0.5,22,11
0.0,,0.6003730411984045,0.6621621621621622,74,49
0.0,,0.8493658165683124,0.8596491228070176,57,49
0.0,,0.020928013331991634,0.2054794520547945,73,15
0.0,,0.21321493331446215,0.39285714285714285,56,22
0.0505,,0.24836467657051403,0.417910447761194,67,28
0.0,,0.3083651678965815,0.4594594594594595,37,17
