r1_p,r1_r,r1_f,r2_p,r2_r,r2_f,rL_p,rL_r,rL_f
21.740000000000002,8.200000000000001,11.899999999999999,4.55,1.67,2.44,17.39,6.5600000000000005,9.520000000000001
25.0,25.81,25.4,9.68,10.0,9.84,21.88,22.58,22.220000000000002
2.63,1.5599999999999998,1.96,0.0,0.0,0.0,2.63,1.5599999999999998,1.96
64.29,22.5,33.33,38.46,12.82,19.23,57.14,20.0,29.630000000000003
23.68,28.12,25.71,10.81,12.9,11.76,18.42,21.88,20.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18.18,16.669999999999998,17.39,0.0,0.0,0.0,15.15,13.889999999999999,14.49
38.1,66.67,48.480000000000004,25.0,45.45,32.26,38.1,66.67,48.480000000000004
20.93,34.62,26.090000000000003,9.520000000000001,16.0,11.940000000000001,20.93,34.62,26.090000000000003
4.55,3.5700000000000003,4.0,0.0,0.0,0.0,4.55,3.5700000000000003,4.0
58.330000000000005,20.0,29.79,4.35,1.4500000000000002,2.17,29.17,10.0,14.89
12.73,13.209999999999999,12.959999999999999,0.0,0.0,0.0,9.09,9.43,9.26
63.33,24.36,35.19,10.34,3.9,5.66,43.33,16.669999999999998,24.07
8.7,5.71,6.9,0.0,0.0,0.0,8.7,5.71,6.9
50.0,16.13,24.39,21.05,6.5600000000000005,10.0,40.0,12.9,19.509999999999998
23.53,8.16,12.120000000000001,0.0,0.0,0.0,17.65,6.12,9.09
5.0,5.71,5.33,0.0,0.0,0.0,5.0,5.71,5.33
36.0,13.239999999999998,19.35,4.17,1.49,2.1999999999999997,24.0,8.82,12.9
28.360000000000003,25.0,26.57,4.55,4.0,4.26,22.39,19.74,20.979999999999997
13.43,24.32,17.31,1.52,2.78,1.96,7.46,13.51,9.62
26.19,20.75,23.16,4.88,3.85,4.3,21.43,16.98,18.95
22.73,27.779999999999998,25.0,9.520000000000001,11.76,10.530000000000001,22.73,27.779999999999998,25.0
6.98,6.98,6.98,0.0,0.0,0.0,6.98,6.98,6.98
14.29,11.110000000000001,12.5,4.17,3.2300000000000004,3.64,10.2,7.9399999999999995,8.93
4.26,3.2300000000000004,3.6700000000000004,0.0,0.0,0.0,2.13,1.6099999999999999,1.83
30.769999999999996,11.27,16.49,16.0,5.71,8.42,30.769999999999996,11.27,16.49
76.92,34.48,47.620000000000005,75.0,32.14,45.0,76.92,34.48,47.620000000000005
55.00000000000001,73.33,62.86000000000001,42.11,57.14,48.480000000000004,50.0,66.67,57.14
