reference,system
"unter ionenwind versteht man einen gerichteten fluss von ionen, also eine art der ionenstrahlung. erzeugt wird er durch eine gasentladung, die von einer an positiver hochspannung liegenden elektrode ( meist spitz geformt, was eine sehr starke inhomogenität des elektrischen feldes mit sich bringt ) ausgeht. die ionisation erfolgt durch entzug von elektronen. die so erzeugten positiv geladenen ionen werden dann von dieser","ein ionenwind ist ein elektrisches feld, das durch elektrische energie erzeugt wird. ionenwind ist ein elektrisches feld, das durch elektrische energie erzeugt wird."
"horror vacui ( lat. scheu vor der leere ) bezeichnet in der kunst den wunsch, alle leeren flächen, besonders in der malerei und im relief, mit darstellungen oder ornamenten zu füllen.","der begriff horror vacui ( von lateinisch vacuus „ geschlossen “ ) bezeichnet in der künstlerischen gestaltung einen geschlossenen raum, der in einem geschlossenen raum entsteht. der begriff stammt aus dem lateinischen wort horror vacui."
"bei der kryptosporidiose handelt es sich um eine durchfallerkrankung durch die zu den apicomplexa gehörenden kryptosporidien. bei menschen mit zellulärer immunschwäche ( z. b. aids ) tritt diese sonst seltene erkrankung gehäuft auf. die übertragung erfolgt als orale infektion durch die aufnahme infizierter speisen oder infizierten trinkwassers. eine infektion über infizierte haus- und nutztiere, sowie von mensch zu mensch ist möglich.","cryptosporidium ( von altgriechisch κρυπτός κρυπτός kryptós, deutsch ‚schädel ‘, ‚schädel ‘, ‚schädel ‘, ‚schädel ‘, ‚schädel ‘, ‚schädel ‘, ‚schädel ‘, ‚schädel ‘, ‚schädel ‘, ‚schädel ‘, ‚schädel ‘, ‚schädel ‘, ‚schädel ‘, ‚schädel ‘, ‚schädel ‘, ‚schäd"
"wonder woman ist einer der ältesten superhelden ( und die erste superheldin ) des dc-comics-verlags. sie wurde von william moulton marston und seiner frau, elizabeth holloway marston ( sadie ), geschaffen und hatte ihren ersten auftritt 1941 in all star comics # 8.","wonder woman ist ein us-amerikanischer comic, der von william moulton marston entwickelt wurde."
"dieser artikel beschreibt die grammatik der georgischen sprache ( eigenbezeichnung : [ kartuli ena ] ქართული ენა ). die grammatik des georgischen und der anderen sogenannten kaukasischen sprachen ist so umfangreich, dass hier keineswegs alle einzelheiten aufgeführt sind.","die georgische grammatik ist eine grammatik, die sich mit der grammatik, der grammatik und der grammatik beschäftigt. sie beschreibt die grammatik, die sich mit der grammatik, der grammatik, der grammatik, der grammatik und der grammatik beschäftigt."
"ein zwiebelturm ist ein turm mit einer zwiebelhaube oder einem zwiebelhelm, z. b. ein kirchturm, dessen spitze in form einer zwiebel gearbeitet ist. der untere teil der spitze ist bauchig und läuft nach oben spitz zusammen, vergleichbar mit den kirchtürmen der moskauer basilius-kathedrale. neben runden bauformen werden auch türme mit eckigen turmhauben als zwiebelturm bezeichnet.","eine eisenkrone ( russisch ионный о́н, russisch ионный о́н, russisch ионный о́н, russisch ионный о́н, russisch ионный о́н, russisch ионный о́н, russisch ионный о́н, russisch ионный о́н, russisch ионный о́н, russisch ионный о́н, russisch ионный о́н,"
"als partikelschwarmoptimierung ( pso ) wird ein naturanaloges optimierungsverfahren bezeichnet, das nach dem vorbild des biologischen schwarmverhaltens eine lösung für ein optimierungsproblem sucht. analog zum natürlichen phänomen wird eine population von lösungskandidaten durch den suchraum bewegt, um eine gute lösung für das problem zu erhalten. in jedem rechenschritt wird dazu die position jedes individuums neu berechnet. die pso ist eine metaheuristik, sie wurde 1995 von james kenne","das pso-algorithmus ist ein algorithmus, das algorithmen zur analyse von algorithmen dient. es handelt sich um einen algorithmus, bei dem alle teilchen in einem suchraum gefunden werden. das pso-algorithmus ist ein algorithmus, bei dem alle teilchen in einem suchraum gefunden werden. das pso-algorithmus ist ein algorithmus, bei dem alle teilchen in einem suchraum gefunden werden können. das pso-algorithmus ist ein algorithmus"
"james rumbaugh ( * 22. august 1947 in bethlehem, pennsylvania ) ist ein amerikanischer informatiker.","william william rumbaugh ( * 26. märz 1942 in bethlehem, pennsylvania ) ist ein us-amerikanischer informatiker, der sich mit objektorientierter programmiersprache befasst."
das archaeological institute of america ( aia ) ist eine us-amerikanische non-profit-organisation zur förderung der archäologie mit sitz in boston und new york.,das institute of archaeologists ( aia ) ist ein forschungsinstitut der us-amerikanischen akademie der archäologie. es gehört zu den ältesten forschungsinstituten der welt. es gehört zu den ältesten forschungsinstituten der welt. das aia gehört zu den ältesten forschungsinstituten der welt.
"hirnventrikel sind mit hirnwasser ( liquor cerebrospinalis ) gefüllte hohlräume im gehirn. sie bilden, zusammen mit dem rückenmarkskanal ( canalis centralis medullaris ), den inneren liquorraum. das gehirn weist je einen seitenventrikel in jeder großhirnhemisphäre auf, einen dritten ventrikel im zwischenhirn und den vierten ventrikel im rhombencephalon. diese vier hirnventrikel stehen durch löcher ( foramina","das vierte ventrikel ( lateinisch quintus ventriculus, lateinisch quintus ventriculus, lateinisch quintus ventriculus, lateinisch quintus ventriculus, lateinisch quintus ventriculus, lateinisch quintus ventriculus, lateinisch quintus ventriculus, lateinisch quintus ventriculus, lateinisch quintus ventriculus, lateinisch quintus ventriculus, lateinisch quintus ventriculus, lateinisch quintus ventriculus, lateinisch quintus ventriculus, lateinisch quint"
"basic english oder einfaches englisch ist eine von charles kay ogden geschaffene vereinfachte form der englischen sprache mit stark verkleinertem vokabular. die englischvariante wird manchmal auch als plansprache bezeichnet, da diese form des englischen einst als welthilfssprache dienen sollte. es ist nicht mit dem formal ähnlichen, jedoch für ein sehr spezielles anwendungsgebiet geschaffenen simplified english zu verwechseln. basic ist die abkürzung für british american scientific international commercial (","basic english ( engl. basic english ) ist ein begriff aus dem englischen. es handelt sich um eine grammatik, die in der englischsprachigen sprache verwendet wird."
"randori ( japanisch 乱取り, wörtlich : das chaos nehmen ) ist eine übungsform des kampfes im budō, den japanischen kampfkünsten. sinngemäß steht dabei der übungskampf randori dem shiai − dem eigentlichen wettkampf − gegenüber. beim randori geht es nicht um gewinnen oder verlieren, sondern darum die zuvor erlernten techniken im fluss des kampfes anwenden zu lernen.","randori ( jap. randori, auch randori ) ist ein kampfsport, bei dem zwei gegner einen kampf gegen einen kampf gegen einen kampf gegen einen gegner, einem gegner, einen gegner, einen gegner oder einen gegner, einen gegner, einen gegner oder einen gegner, einen gegner, einen gegner oder einen gegner, einen gegner, einen gegner oder einen gegner, einen gegner"
"die manhattan bridge ist eine hängebrücke in new york city, die den east river überquert und die beiden stadtteile lower manhattan ( chinatown ) und brooklyn miteinander verbindet. die am 31. dezember 1909 eröffnete, aber erst einige monate später fertiggestellte brücke war nach der brooklyn bridge und der williamsburg bridge die letzte der drei über den east river gebauten hängebrücken. auf ihren zwei ebenen hat sie heute insgesamt vier gleise der new york","die manhattan bridge, auch manhattan bridge genannt, ist eine us-amerikanische brückenbrücke, die zwischen den brooklyn und williamsburg verbindet. sie liegt zwischen brooklyn und williamsburg, brooklyn und williamsburg."
