bs_p,bs_r,bs_f
66.72,68.12,67.41
68.26,65.16999999999999,66.67999999999999
67.4,64.78,66.07
68.38,68.52000000000001,68.45
64.7,66.07,65.38000000000001
67.74,66.19,66.96
68.81,65.27,66.99000000000001
68.67999999999999,66.28,67.46
65.11,64.27000000000001,64.68
67.36999999999999,66.28,66.82000000000001
69.92,68.58999999999999,69.25
69.17999999999999,67.12,68.14
73.71,70.00999999999999,71.81
61.22,60.17,60.69
71.26,69.28,70.25
62.59,62.01,62.3
68.06,65.91,66.97
65.88000000000001,60.260000000000005,62.94
68.95,66.95,67.94
64.5,63.68000000000001,64.09
66.29,63.89,65.07
64.74,64.99000000000001,64.87
63.239999999999995,64.58,63.9
70.37,67.63,68.97
71.46000000000001,68.42,69.91000000000001
66.17,65.64,65.91
67.9,62.99,65.36
64.52,63.17,63.839999999999996
65.95,64.38000000000001,65.16
68.36,67.42,67.89
68.75,66.28,67.49000000000001
68.58999999999999,66.56,67.56
66.79,59.260000000000005,62.8
69.08999999999999,65.8,67.41
66.4,63.99,65.16999999999999
67.69,64.92999999999999,66.28
67.71000000000001,64.49000000000001,66.06
63.519999999999996,62.949999999999996,63.239999999999995
66.89,68.17999999999999,67.53
66.77,63.73,65.21000000000001
63.51,62.64999999999999,63.080000000000005
66.49000000000001,65.11,65.79
65.7,63.32,64.49000000000001
73.92,69.82000000000001,71.81
68.45,64.53,66.43
64.03,62.93,63.470000000000006
67.62,66.06,66.83
68.05,64.64999999999999,66.3
66.74,65.7,66.22
67.66,66.08000000000001,66.86
71.7,67.96,69.78
68.03,65.75999999999999,66.88
70.64,65.66,68.06
68.31,67.36999999999999,67.84
65.33,59.9,62.5
63.92,61.629999999999995,62.760000000000005
62.62,62.81,62.71
68.87,67.9,68.38
67.94,64.19,66.01
59.760000000000005,59.730000000000004,59.74
67.52,65.07,66.27
70.39,68.74,69.56
65.16999999999999,62.529999999999994,63.83
71.83,68.28999999999999,70.00999999999999
64.3,62.28,63.27
64.18,65.48,64.82
67.25,64.81,66.01
70.04,68.2,69.1
66.79,65.47,66.13
68.64,65.18,66.86999999999999
64.0,62.08,63.029999999999994
67.12,66.51,66.81
71.23,67.67999999999999,69.41000000000001
68.42,66.14999999999999,67.25999999999999
65.86999999999999,64.24,65.03999999999999
74.88,69.86,72.28
71.64,67.74,69.63000000000001
66.06,63.959999999999994,64.99000000000001
64.1,63.63999999999999,63.870000000000005
64.19,62.43,63.3
65.25,61.99,63.580000000000005
65.7,63.980000000000004,64.83
67.23,62.739999999999995,64.91
65.88000000000001,62.74999999999999,64.28
68.2,67.41,67.80000000000001
70.66,65.48,67.97
70.63000000000001,67.13,68.84
62.79,62.839999999999996,62.81
66.60000000000001,66.75,66.67999999999999
63.41,61.67,62.529999999999994
64.09,64.36,64.22
62.43,61.69,62.06
65.33,63.79,64.55
67.85,66.07,66.95
66.62,65.71000000000001,66.16
64.7,64.29,64.5
69.01,65.38000000000001,67.15
62.29,60.9,61.59
67.31,65.9,66.60000000000001
68.24,67.08,67.65
68.10000000000001,66.38,67.23
64.67,63.91,64.29
66.84,63.21,64.98
65.03,63.72,64.37
67.47999999999999,65.86,66.66
66.45,65.38000000000001,65.91
69.75,66.7,68.19
69.12,65.53999999999999,67.28
62.67,64.3,63.480000000000004
68.31,64.28,66.23
62.760000000000005,62.67,62.71
65.73,63.959999999999994,64.84
67.46,66.61,67.03
64.03999999999999,64.08,64.05999999999999
65.24,63.89,64.56
66.89,65.03,65.95
67.49000000000001,65.77,66.62
70.39999999999999,67.34,68.83
66.09,64.87,65.47
75.99000000000001,70.42,73.1
69.02000000000001,66.63,67.81
71.09,66.31,68.62
63.55,64.0,63.78
68.08,66.78,67.43
64.59,64.69,64.64
67.93,65.53999999999999,66.72
62.77,62.580000000000005,62.68
63.27,62.53999999999999,62.91
67.74,65.19,66.44
71.96000000000001,68.49,70.17999999999999
67.36,64.13,65.7
68.91000000000001,65.24,67.03
67.91,65.33,66.60000000000001
66.28,65.99000000000001,66.14
67.32000000000001,66.24,66.78
62.629999999999995,62.88,62.760000000000005
67.19000000000001,65.14,66.14999999999999
66.36,65.18,65.77
64.92,64.1,64.51
69.53,66.44,67.95
70.21,67.74,68.95
67.17999999999999,66.96,67.07
67.74,65.36999999999999,66.53999999999999
66.7,64.73,65.7
67.88,65.19,66.5
64.22,62.470000000000006,63.339999999999996
69.33,66.53999999999999,67.91
70.28,68.15,69.19
65.71000000000001,64.45,65.07
65.96,65.92,65.94
62.660000000000004,61.49,62.07
67.32000000000001,65.85,66.58
67.81,65.88000000000001,66.83
68.67999999999999,67.08,67.86999999999999
67.67,64.45,66.02
70.39,69.69999999999999,70.04
71.78999999999999,69.03,70.38
64.59,61.94,63.23
65.29,63.74999999999999,64.51
68.54,66.53,67.52
66.12,62.9,64.47
67.12,67.25999999999999,67.19000000000001
63.82,63.980000000000004,63.9
67.02,66.79,66.9
72.49,67.22,69.76
66.12,64.97,65.53999999999999
71.63000000000001,67.92,69.73
68.53,66.02,67.25
62.63999999999999,60.91,61.77
67.53,66.8,67.17
66.5,65.89,66.19
64.3,63.11,63.7
74.61,67.15,70.67999999999999
68.13,65.84,66.97
67.06,64.29,65.64
69.81,67.15,68.45
64.55,64.0,64.28
66.88,65.07,65.97
66.97,65.09,66.02
64.97,64.05,64.51
63.3,61.6,62.44
65.78,66.4,66.09
68.32000000000001,63.85999999999999,66.02
70.04,66.18,68.06
67.46,67.39,67.42
71.91,70.04,70.97
64.95,64.94,64.95
65.86,63.73,64.78
65.02,62.93,63.959999999999994
61.8,59.61,60.68
64.03999999999999,63.54,63.79
69.01,65.3,67.10000000000001
67.64,65.7,66.64999999999999
63.92,61.4,62.629999999999995
65.96,63.38,64.64999999999999
66.73,65.41,66.06
68.72,65.85,67.25
68.60000000000001,67.07,67.82000000000001
67.47999999999999,65.05,66.24
63.06,63.32,63.190000000000005
69.58,68.02,68.78999999999999
64.42,62.4,63.39
65.95,64.71000000000001,65.33
66.52,65.10000000000001,65.8
66.93,64.67,65.78
66.64999999999999,64.53999999999999,65.58
69.74000000000001,68.64,69.19
69.3,66.34,67.78999999999999
70.82000000000001,61.62,65.9
66.29,64.81,65.53999999999999
63.13999999999999,62.56,62.849999999999994
65.75,64.56,65.14999999999999
69.27,65.36,67.25999999999999
69.03,64.27000000000001,66.56
71.66,68.67999999999999,70.13000000000001
67.53,66.33,66.93
66.03,63.5,64.74
67.27,63.470000000000006,65.31
66.0,64.78,65.39
63.629999999999995,63.56,63.6
61.9,61.970000000000006,61.92999999999999
69.87,68.26,69.05
66.61,62.849999999999994,64.67
66.18,65.39,65.78
65.13,62.64999999999999,63.870000000000005
71.72,70.50999999999999,71.11
64.27000000000001,60.12,62.129999999999995
73.39,68.27,70.74000000000001
67.64,64.23,65.89
68.03,68.63,68.33
63.62,61.47,62.529999999999994
65.55,64.99000000000001,65.27
70.15,67.61,68.86
65.81,65.58,65.69
67.61,67.11,67.36
69.03,67.30000000000001,68.15
66.9,64.97,65.92
63.55,63.690000000000005,63.62
70.95,66.97,68.89999999999999
66.09,66.56,66.32000000000001
65.79,64.46,65.12
67.75,64.2,65.93
69.19,66.82000000000001,67.99
66.49000000000001,64.78,65.62
68.61,65.86,67.21000000000001
66.49000000000001,66.10000000000001,66.29
68.02,65.35,66.66
67.63,66.01,66.81
67.46,64.8,66.11
66.06,63.42,64.71000000000001
66.83,66.44,66.63
67.17,64.59,65.85
67.97,65.56,66.74
67.38,65.74,66.55
66.51,63.449999999999996,64.95
64.57000000000001,63.349999999999994,63.949999999999996
67.86999999999999,68.95,68.41000000000001
67.43,66.01,66.71000000000001
67.83,66.34,67.08
64.25,64.88000000000001,64.57000000000001
65.05,65.7,65.36999999999999
68.71000000000001,66.02,67.34
68.82000000000001,64.9,66.8
68.66,66.62,67.62
65.27,64.35,64.81
60.660000000000004,61.38,61.019999999999996
62.660000000000004,62.339999999999996,62.5
65.93,66.36999999999999,66.14999999999999
65.59,63.68000000000001,64.62
63.59,67.65,65.55
69.13,65.53999999999999,67.29
63.54,62.4,62.970000000000006
63.44,64.42,63.93
69.23,65.51,67.32000000000001
72.81,68.97,70.84
63.93,62.93,63.43
69.65,66.97999999999999,68.28999999999999
68.31,65.03,66.63
63.839999999999996,62.83,63.33
63.63999999999999,61.8,62.7
67.85,65.42,66.61
64.45,63.580000000000005,64.01
71.16,66.82000000000001,68.92
69.42,66.07,67.71000000000001
63.629999999999995,63.36000000000001,63.49
68.56,65.22,66.85
64.5,63.470000000000006,63.980000000000004
67.84,65.86999999999999,66.84
69.57,68.33,68.95
69.39,66.64,67.99
64.11,62.32,63.2
68.14,65.75999999999999,66.93
65.86,65.45,65.64999999999999
68.44,67.19000000000001,67.81
67.69,64.16,65.88000000000001
65.99000000000001,64.08,65.02
68.44,68.17,68.30000000000001
68.25,66.79,67.51
65.09,61.61,63.3
63.94,61.28,62.580000000000005
72.11999999999999,67.39,69.67
66.7,63.9,65.27
65.69,64.75,65.22
68.51,68.12,68.31
68.96,65.02,66.93
64.75,63.62,64.18
73.18,68.71000000000001,70.88
66.45,66.60000000000001,66.52
63.42,62.739999999999995,63.080000000000005
70.07,64.32,67.07
68.35,65.24,66.75999999999999
66.85,63.800000000000004,65.29
67.36999999999999,63.470000000000006,65.36
65.52,61.91,63.660000000000004
69.97,67.27,68.60000000000001
60.519999999999996,62.029999999999994,61.27
66.64999999999999,66.12,66.38
66.3,64.52,65.4
65.59,66.06,65.83
68.85,65.4,67.08
65.05,62.019999999999996,63.5
71.35000000000001,68.56,69.93
63.78,64.03,63.9
67.28,65.3,66.28
69.27,66.03999999999999,67.62
64.52,63.44,63.980000000000004
69.45,66.99000000000001,68.2
