r1_p,r1_r,r1_f,r2_p,r2_r,r2_f,rL_p,rL_r,rL_f
29.29,26.61,27.88,6.12,5.56,5.83,17.169999999999998,15.6,16.35
25.0,24.51,24.75,3.0300000000000002,2.97,3.0,15.0,14.71,14.85
30.69,26.27,28.310000000000002,4.0,3.42,3.6900000000000004,13.86,11.86,12.790000000000001
39.09,36.13,37.55,12.839999999999998,11.86,12.33,22.73,21.01,21.83
18.18,21.279999999999998,19.61,1.83,2.15,1.9800000000000002,9.09,10.639999999999999,9.8
32.29,26.96,29.38,3.16,2.63,2.87,13.54,11.3,12.32
27.73,28.95,28.33,3.39,3.54,3.46,12.61,13.16,12.879999999999999
26.8,23.849999999999998,25.240000000000002,3.1199999999999997,2.78,2.94,13.4,11.93,12.620000000000001
28.28,25.69,26.919999999999998,1.02,0.9299999999999999,0.97,16.16,14.680000000000001,15.379999999999999
31.730000000000004,28.7,30.14,8.74,7.89,8.290000000000001,24.04,21.740000000000002,22.830000000000002
26.85,25.22,26.009999999999998,1.87,1.7500000000000002,1.81,12.959999999999999,12.17,12.559999999999999
29.81,28.7,29.25,1.94,1.87,1.9,16.35,15.740000000000002,16.04
44.440000000000005,40.0,42.11,13.08,11.76,12.389999999999999,21.3,19.17,20.18
18.099999999999998,18.42,18.26,0.8699999999999999,0.88,0.88,7.76,7.89,7.829999999999999
27.43,28.439999999999998,27.93,12.5,12.959999999999999,12.73,19.470000000000002,20.18,19.82
14.46,10.71,12.31,1.22,0.8999999999999999,1.04,9.64,7.140000000000001,8.21
27.83,26.02,26.889999999999997,4.390000000000001,4.1000000000000005,4.24,12.17,11.379999999999999,11.76
18.92,17.36,18.099999999999998,1.82,1.67,1.7399999999999998,9.91,9.09,9.48
33.03,33.03,33.03,3.6999999999999997,3.6999999999999997,3.6999999999999997,12.839999999999998,12.839999999999998,12.839999999999998
23.0,19.49,21.099999999999998,3.0300000000000002,2.56,2.78,13.0,11.020000000000001,11.93
31.580000000000002,29.270000000000003,30.380000000000003,3.54,3.2800000000000002,3.4000000000000004,16.669999999999998,15.45,16.03
27.83,25.6,26.669999999999998,3.51,3.2300000000000004,3.36,13.04,12.0,12.5
19.3,18.18,18.72,1.77,1.67,1.72,12.280000000000001,11.57,11.91
27.589999999999996,27.35,27.47,10.43,10.34,10.39,20.69,20.51,20.599999999999998
32.29,29.81,31.0,11.58,10.68,11.110000000000001,19.79,18.27,19.0
26.090000000000003,26.32,26.200000000000003,4.390000000000001,4.42,4.41,14.78,14.91,14.85
30.97,28.689999999999998,29.79,7.140000000000001,6.61,6.87,18.58,17.21,17.87
25.25,19.84,22.220000000000002,1.02,0.8,0.8999999999999999,19.189999999999998,15.079999999999998,16.89
18.58,19.27,18.92,0.89,0.9299999999999999,0.91,10.620000000000001,11.01,10.81
24.0,20.51,22.12,2.02,1.72,1.8599999999999999,13.0,11.110000000000001,11.98
21.37,21.37,21.37,4.31,4.31,4.31,11.97,11.97,11.97
33.050000000000004,33.33,33.19,5.13,5.17,5.1499999999999995,16.950000000000003,17.09,17.02
19.42,18.35,18.87,4.9,4.63,4.760000000000001,14.56,13.76,14.149999999999999
27.66,25.490000000000002,26.529999999999998,2.15,1.9800000000000002,2.06,12.770000000000001,11.76,12.24
23.080000000000002,19.27,21.0,6.67,5.56,6.0600000000000005,14.29,11.93,13.0
29.909999999999997,25.81,27.71,7.55,6.5,6.99,15.89,13.71,14.719999999999999
22.68,20.0,21.26,4.17,3.6700000000000004,3.9,16.49,14.549999999999999,15.459999999999999
19.64,18.64,19.13,1.7999999999999998,1.71,1.7500000000000002,11.61,11.020000000000001,11.3
32.04,28.21,30.0,5.88,5.17,5.5,19.42,17.09,18.18
23.01,23.849999999999998,23.419999999999998,3.5700000000000003,3.6999999999999997,3.64,14.16,14.680000000000001,14.41
20.369999999999997,20.18,20.28,1.87,1.8499999999999999,1.8599999999999999,10.190000000000001,10.09,10.14
26.040000000000003,23.580000000000002,24.75,3.16,2.86,3.0,16.669999999999998,15.09,15.840000000000002
23.080000000000002,22.02,22.54,1.94,1.8499999999999999,1.9,11.540000000000001,11.01,11.27
34.23,31.4,32.76,9.09,8.33,8.7,21.62,19.830000000000002,20.69
29.59,27.88,28.71,10.31,9.71,10.0,17.349999999999998,16.35,16.830000000000002
20.66,22.52,21.55,3.3300000000000005,3.64,3.4799999999999995,11.57,12.61,12.07
24.77,21.95,23.28,5.56,4.92,5.220000000000001,12.839999999999998,11.379999999999999,12.07
31.86,30.769999999999996,31.3,5.36,5.17,5.26,18.58,17.95,18.26
27.68,26.05,26.840000000000003,3.5999999999999996,3.39,3.49,14.29,13.450000000000001,13.850000000000001
25.47,23.68,24.55,2.86,2.65,2.75,15.09,14.04,14.549999999999999
30.91,28.1,29.439999999999998,10.09,9.17,9.610000000000001,19.09,17.36,18.18
28.57,26.090000000000003,27.27,3.85,3.51,3.6700000000000004,16.189999999999998,14.78,15.45
27.93,25.0,26.38,6.36,5.6899999999999995,6.01,16.220000000000002,14.52,15.32
29.17,31.53,30.3,6.72,7.2700000000000005,6.99,20.0,21.62,20.78
19.830000000000002,20.51,20.169999999999998,5.0,5.17,5.08,14.879999999999999,15.379999999999999,15.129999999999999
18.52,19.8,19.139999999999997,0.0,0.0,0.0,8.33,8.91,8.61
30.43,27.779999999999998,29.049999999999997,4.390000000000001,4.0,4.18,18.26,16.669999999999998,17.43
27.189999999999998,27.93,27.560000000000002,6.1899999999999995,6.36,6.279999999999999,14.91,15.32,15.110000000000001
