reference,system
"das farb - gen csf1ra sorgt in männlichen barschen für charakteristische pigmentflecken, die für die erfolgreiche befruchtung der eier notwendig sind. walter salzburger und ingo braasch klärten an der universität konstanz damit die genetische herkunft dieser optischen ei - attrappen auf, die im paarungsritus der fische die weibchen anlocken. die neunzehn barscharten, die die forscher für ihre untersuchungen auswählten, gehörten zu gruppe der haplochrominen. eine besonderheit dieser gruppe stellt die ungewöhnliche maulbrutpflege der weiblichen tiere dar. nachdem die weibchen die eier gelegt haben, nehmen sie das noch unbefruchtete gelege in ihre mundhöhle auf. um nun die eier mit ihrem sperma befruchten","die haplochromine, die unter anderem bei seevögeln, schneckenfischen und fischschwanzfischen die eier legen, finden sich in ihnen. das gen csf1ra hält ihre eier im ei - und eierstock. das gen legt dann eine befruchtung der ei - und eierspeicheldrüse im eierstock fest und bewirkt dadurch eine fortpflanzung der ei - und eierspeicheldrüse. das protein csf1ra verleiht ihnen ihre fähigkeit, signale von ihrem vorläufer zu übertragen - und spielt damit eine rolle für die fortpflanzung der eier. das gen gibt es in den eierstöcken zweier verschiedener arten von schneckenfischen : ectodin ophthalmotilapia ( ophthalmolo - ophthalmotilapia ) und ophthalmolo - oph"
"der nil - tilapia ( oreochromis niloticus ) - eine afrikanische buntbarschart - vertilgt dermaßen viele larven malaria übertragender mücken, dass er als natürliche waffe gegen die fiebererkrankung eingesetzt werden könnte. zu dieser überzeugung gelangen annabel howard und kollegen vom internationalen zentrum für insektenphysiologie und - ökologie ( icipe ) in nairobi nach mehrmonatigen studien mit der art in nicht mehr genutzten fischteichen im westen kenias. innerhalb von 15wochen dezimierten die allesfressenden buntbarsche die bruten der mückenarten anopheles gambiae und anopheles funestus - hauptüberträger der malaria in der region - um mehr als 94prozent. durch diese starke einflussnahme auf die larvenpopulation sei auch ein","der riesenfisch oreochromis niloticus, auch riesenfisch oreochromis niltimothys oder niloticus niloticus, ist seit einigen jahrzehnten ein wichtiges schädlingsbekämpfungsmittel für die malaria - infektionskrankheit. erstmals wurde er in den 1990er jahren in kenya eingesetzt, wo er seit einigen jahren als lebenswichtiger fisch für die malaria - infektion eingesetzt wird. zu diesem ergebnis kommen forscher nun im fachmagazin » science advances « nun im fachmagazin » nature communications «. er zeigte, dass sich bei diesem fisch der nachwuchs der erreger der malaria - infektion im süden kenias stark beschleunigt hat. die wissenschaftler erhofften sich, dass der fisch den erreger der krankheit zu lösen"
"der krankheitserreger staphylococcus aureus nistet sich in den zellen seines wirts ein und entgeht so dem immunsystem und antibiotika. dies fanden christian garzoni von der universität genf und kollegen heraus. ist das bakterium erst einmal in eine lungenzelle gelangt, bleibt es möglichst unauffällig. die schweizer forscher untersuchten im reagenzglas, auf welche teile seines erbguts der keim vor und nach dem eintritt in die wirtszelle zurückgreift. dabei stellten sie fest : bereits nach zwei stunden hat s. aureus sich an das überleben in der neuen umgebung angepasst. er fährt seinen stoffwechsel bis auf die vitalfunktionen zurück, vermehrt sich sehr langsam und scheidet nur noch wenige toxine aus. diese zellgifte könnten dazu führen,","staphylococcus aureus ist eine bakterienart aus der gattung staphylococcus, die zu den wichtigsten krankheitserregern bei chronischen infektionen zählt. das bakterium lebt in der lunge und ernährt sich vor allem von krankheitserregern, die über den normalen lebensstil hinausgehen. wie das team in » science advances « berichtet, scheint es sich bei staphylococcus aureus nicht nur um einen krankheitserreger handeln, sondern auch um einen lebensverlängernden faktor, der die gesundheit der wirtszelle maßgeblich beeinträchtigt. wie das team in » science advances « berichtet, ist das bakterium nicht nur eine krankheitserreger, sondern auch ein protein, das über den normalen lebensstil verfügt. das bakterium"
"die haut von frauen altert schneller als die von männern. das haben untersuchungen von wissenschaftlern um martin kaatz von der universität jena mit einer neuen nicht - invasiven methode ergeben. das team um kaatz wandte zwei - photonen - tomografie an, um den anteil der zwei faserproteine kollagen und elastin in der haut der unterarme von 18patienten aller altersgruppen zu bestimmen. aus dem verhältnis von kollagen zu elastin kann auf das biologische alter der haut geschlossen werden, mit dem die kollagenmenge ab - und der anteil an elastin zunimmt. den ergebnissen der sieben weiblichen testpersonen nach zu urteilen, nimmt bei ihnen mit zunehmendem alter der kollagenanteil schneller ab als bei den männlichen. bei der prozedur nutzten die wissenschaftler aus,","eine arbeitsgruppe um hans georg von der universität peking hat herausgefunden, dass menschen, die über 65jahre alt sind, einen besseren lebensstil haben als die männlichen. das berichteten wissenschaftler von der universität peking im fachmagazin » nature communications «. wie das team in » nature communications « berichtet, erforschte die gruppe die ursachen von altersbedingten veränderungen der haut. ein team um den psychologen hans georg von der universität peking untersuchte 18 patienten aller altersklassen und stellte fest, dass der anteil an elastin, collagen und kollagen in der haut, aber auch der anteil an kollagen, der sich im vergleich zu anderen kollagenkonzentrationen steigert. die ergebnisse spiegelten forschern wider, dass sich die"
"raucher können sich ihr laster leichter abgewöhnen, wenn sie möglichst mehrfach von einem berater angerufen werden. lindsay stead von der universität oxford und ihre kollegen ziehen diesen schluss aus einer analyse von 48studien, welche den einfluss verschiedener hilfestellungen beim abgewöhnen des rauchens untersuchten. die telefonisch beratenen sind um die hälfte erfolgreicher als ihre leidensgenossen, die nur selbsthilfematerial oder kurze beratungsgespräche erhielten. der größte effekt zeigte sich, wenn mindestens drei anrufe erfolgten. die forscher aktualisierten mit ihrer analyse ihre frühere studie zum thema aus dem jahr2003.","eine arbeitsgruppe um christopher friedrich von der harvard university im fachmagazin » journal of the society of medicine « veröffentlichte im mai 2018 eine studie über den einfluss von hilfestellung beim abnehmen von tabak. die arbeitsgruppe stellte die ergebnisse einer untersuchung an menschen mit raucherkrankungen im alter von 16 bis 65jahren im schnitt von 1 bis 12jahren zur verfügung. im schnittschnittschnitt erhielten die probanden hilfestellungen von gesundheitsfachleuten, um ihren rauch abzuklären. die teilnehmer hatten jeweils einen gesprächsteilnehmer angerufen, der ihnen bestimmte hilfestellung geboten hatte. diese gesprächsteilnehmer nahmen jeweils eine bestimmte hilfestellung an, die sie an andere personen vorgestellt hatten. diese gesprächsteilnehmer konnten dann mithilfe von blutuntersuchung"
"britische forscher haben jetzt herausgefunden, warum malaria - patienten auch für andere infektionskrankheiten anfälliger sind. ihrem bericht zufolge besitzt der erreger plasmodium die fähigkeit, schlüsselzellen des immunsystems zu schwächen [ 1 ]. in ihren versuchen hatten owain millington und sein team von der universität strathclyde dendritische zellen von mäusen mit roten blutzellen konfrontiert, die mit plasmodium chabaudi, dem erreger der mäuse - malaria, infiziert waren. die anschließende immunantwort sei eher schwach ausgefallen, berichten die forscher. sie erklären sich dies mit der präsenz des pigments hämozoin, das beim abbau von hämoglobin durch plasmodium entsteht. dadurch würden die dendritischen zellen nicht in vollem umfang funktionieren : ihre z","eine infektion mit plasmodium hemozoin begünstigt das immunsystem des patienten gegen das erregervirus malaria. das berichtet eine arbeitsgruppe um patrick mcdonald von der university of california in berkeley. wie das team in » science advances « berichtet, begünstigt die plasmodium hemozoin die immunantwort, wenn die zellen des patienten nicht an bestimmte spezies gebunden sind, die erreger besiedeln. im gegensatz zu bisher unbewährten infektionskrankheiten wie malaria, plasmodium poligny und erythrozyten steht das immunsystem des patienten nicht in ausreichender lage, gegen bestimmte spezies, die erreger, deren infektionskrankheitsauslösende zellen, so die wissenschaftler. die infektion mit plasmodium hemozo"
"zwei weitere gute gründe für nikotinverzicht liefern zwei studien von der anderen seite der erde. zum einen werteten neuseeländische forscher um george thomson von der wellington school of medicine aus, wie sich dass seit 2004 in dem inselstaat gültige rauchverbot in der öffentlichkeit auswirkte [ 1 ]. demzufolge ist seit dem verabschieden des anti - rauch - gesetzes der tabakkonsum in der freizeit deutlich zurückgegangen, was lunge und geldbeutel gleichermaßen schont. davor hatten 57, 8prozent der raucher angegeben, in kneipen, restaurants und bars öfter als sonst zur kippe zu greifen – nach einem jahr rauchverbot waren es nur noch 28, 6prozent, berichten die forscher nach der auswertung von fragebögen aus den jah","seit 2004 gibt es in neuseeland deutliche hinweise auf das rauchen von tabak in bars, restaurants und anderen rauchbaren plätzen, wie das in den jahren 2004 bis mai 2005 stattfindende smokefree bars policy ( rauchfreie bars ) von der nationalen gesundheitsbehörde neuseelands zuständig gewesen ist. wie das in den jahren 2004 und 2005 erfolgte, ist der anteil an rauchern, die sich im zuge der neuen gesetzesverordnung in neuseeland deutlich verringert haben, deutlich höher, als üblich. das zeigt eine studie von der university of new zealand in nature communications, die den zusammenhang zwischen dem rauchverbot und den negativen auswirkungen auf die gesundheit von rauchern untersuchte. die ergebnisse der studie deuten darauf hin, dass sich der anteil der rau"
"asymmetrische große brüste sind einer britischen studie zufolge ein indiz für ein erhöhtes brustkrebsrisiko, berichten forscher von der universität liverpool. sie analysierten mammographie - ergebnisse von rund 500 frauen, die zum zeitpunkt der untersuchung alle gesund gewesen waren. die hälfte der untersuchten hatte dann später tumoren im brustgewebe entwickelt. wie das team um diane scutt herausgefunden hat, korrellieren größenunterschiede der brüste statistisch mit dem brustkrebsrisiko. es erhöht sich um den faktor 1, 5 pro 100 milliliter asymmetrie im volumen der brust. die brust - symmetrie könnte demnach künftig zur bestimmung des brustkrebsrisikos hinzugezogen werden, lautet der vorschlag des forscherteams.","frauen, die an einer brustkrebserkrankung erkrankt waren, hatten im zeitraum der ersten achtjahre mehr brustkrebs als die anzahl der krebspatientinnen. das zeigte eine untersuchung von 252 nicht - asymptotisch gesunden frauen, die an einer brustkrebspatientin in der zeit der achtjahre vor der menopause lebten. die frauen, die vor der menopause in die brustkrebsphase übergingen, hatten zwei brustkrebspatientinnen, die sich ebenfalls vor dem beginn der krebserkrankung geschützt hatten, mehr brustkrebs - erkrankungen auf der suche nach den ursächlichen ursachen für das entstehen von brustkrebs. die ergebnisse der untersuchung bestätigten wissenschaftler, dass brustkrebs mit erhöhtem brust"
"ob junge salamander erwachsen werden und aus dem wasser an land gehen oder in ihrer entwicklung stehen bleiben, hängt von der umgebungsstruktur ab. gezielt bestimmten ronald bonett und paul chippindale von der texas - universität für jugendliche und für adulte populationen von flachstirn - gelbsalamandern ( eurycea tynerensis ) die flussbett - typen, in denen diese aufgewachsen waren. hierzu untersuchten sie die korngrößen und den grad der sortierung der bodenpartikel. dabei zeigte sich, dass die populationen, die aus flussbetten mit feinem, unsortierten kies stammen, erwachsen werden und aufs land umziehen. solche, die zwischen gröberem schotter heranwachsen, verblieben in diesem stadium. in den hohlräumen zwischen grobem, gut sort","die plethodontid- salamander sind eine population aus der gattung der salamander. sie lebt im ozark - plateau und hat zwei charakteristische lebensmuster : eine larvenform, die sich durch feinkörnige gesteinskörnchen auszeichnet, und eine konventionelle lebensphase, in der sie sich durch feinkörnige gesteinskörnchen auszeichnet. diese larvenform ist vor allem in den trockenen sommermonaten häufiger als in den trockeneren monaten der letzten jahre. das ergebnis ist, dass sich die population in einem flussbett nahe der wasseroberfläche befindet. die plethodontid- salamander zeichnen sich dadurch aus, dass das bodenmaterial, in dem sie wachsen, schrumpft, und die larvenform, die sie"
"personen, die wenig alkohol trinken, sind mit geringerer wahrscheinlichkeit fettleibig - nicht nur im vergleich zu menschen, die viel trinken, sondern auch zu abstinenzlern. dies ergab eine studie von ahmed arif von der texas - tech - universität in lubbock und james roher von der mayo - klinic in rochester. die beiden us - forscher hatten daten einer umfassenden untersuchung zum thema gesundheit und ernährung ( third national health and nutrition examination survey ) von 1988 bis 1994 ausgewertet. darin hatten 8236 nicht rauchende us - bürger unter anderem angaben zu ihrem trinkverhalten angegeben. arif und roher richteten ihr augenmerk auf die anzahl der täglich konsumierten alkoholika und berechneten den body - mass - index ( bmi ) der befragten. die wenigsten fettle","erwachsene, die alkohol konsumierten, sind deutlich leichter als männer. dies vermuten forscher um christopher friedrich von der university of california in los angeles. wie das team in nature communications berichtet, liegt der zusammenhang zwischen fettleibigkeit und alkoholvergiftung zugrunde. friedrich von der university of california in los angeles und seine kollegen untersuchten 8,236menschen, die im third national health and nutrition examination survey teilnahmen, um den körperfettindex ( ci : ci ) zu messen. die ergebnisse der studie deuten darauf hin, dass sich fettleibigkeit und alkoholkonsum in den verschiedenen lebensstilrichtungen gegenseitig beeinflussen. im gegensatz zu fettliebenden menschen, die weniger alkohol konsumierten, liegt der anteil an den"
