bs_p,bs_r,bs_f
68.64,67.12,67.86999999999999
67.28,65.64999999999999,66.46
70.13000000000001,67.13,68.60000000000001
66.06,65.82000000000001,65.94
64.49000000000001,66.01,65.24
66.31,61.63999999999999,63.89
68.87,65.36,67.07
67.36999999999999,66.5,66.93
65.48,66.08000000000001,65.78
65.72,63.5,64.59
68.78,65.96,67.34
69.93,65.97,67.89
75.11,69.78999999999999,72.35000000000001
63.970000000000006,62.72,63.339999999999996
72.87,68.30000000000001,70.50999999999999
62.470000000000006,62.99,62.73
65.93,64.35,65.13
66.39,63.14999999999999,64.73
70.38,68.58999999999999,69.47
62.73,60.67,61.68
66.27,66.60000000000001,66.43
61.67,59.96,60.8
71.23,69.33,70.27
64.61,63.7,64.14999999999999
67.25,66.61,66.93
66.91,64.64999999999999,65.75999999999999
69.17999999999999,68.53,68.85
65.96,64.05,64.99000000000001
64.68,63.09,63.870000000000005
70.08,66.47999999999999,68.23
66.23,56.87,61.19
67.75,63.77,65.7
69.34,63.75999999999999,66.43
66.69,64.91,65.79
69.17,66.64999999999999,67.89
66.25999999999999,64.05,65.13
67.04,63.56,65.25
65.35,64.25,64.79
68.53,66.69,67.60000000000001
67.86,63.260000000000005,65.48
66.60000000000001,63.38,64.95
63.839999999999996,61.739999999999995,62.77
61.94,60.62,61.27
72.43,70.89999999999999,71.66
69.41000000000001,66.34,67.84
67.29,65.35,66.3
69.59,66.44,67.97999999999999
62.94,64.19,63.55
68.58999999999999,65.16999999999999,66.83
70.25,69.06,69.65
70.34,67.60000000000001,68.94
66.64999999999999,64.58,65.60000000000001
69.14,63.83,66.38
66.5,65.88000000000001,66.19
63.22,59.89,61.51
64.46,63.71,64.08
63.85999999999999,63.82,63.839999999999996
66.52,65.34,65.93
70.02000000000001,65.53,67.7
68.19,65.39,66.75999999999999
67.29,65.27,66.27
71.92,71.06,71.49
64.18,60.370000000000005,62.22
70.55,67.65,69.07
67.38,63.959999999999994,65.63
