r1_p,r1_r,r1_f,r2_p,r2_r,r2_f,rL_p,rL_r,rL_f
32.08,31.19,31.630000000000003,4.760000000000001,4.63,4.6899999999999995,16.04,15.6,15.809999999999999
23.810000000000002,24.51,24.15,3.85,3.9600000000000004,3.9,14.29,14.71,14.49
29.909999999999997,27.12,28.439999999999998,4.72,4.2700000000000005,4.4799999999999995,14.95,13.56,14.219999999999999
31.819999999999997,29.409999999999997,30.570000000000004,8.260000000000002,7.630000000000001,7.93,17.27,15.97,16.59
23.53,25.53,24.490000000000002,4.95,5.38,5.1499999999999995,9.8,10.639999999999999,10.2
30.880000000000003,18.26,22.95,2.9899999999999998,1.7500000000000002,2.21,20.59,12.17,15.299999999999999
31.480000000000004,29.82,30.630000000000003,1.87,1.77,1.82,12.959999999999999,12.280000000000001,12.61
27.72,25.69,26.669999999999998,4.0,3.6999999999999997,3.85,13.86,12.839999999999998,13.33
23.580000000000002,22.939999999999998,23.26,1.9,1.8499999999999999,1.8800000000000001,11.32,11.01,11.16
27.18,24.349999999999998,25.69,4.9,4.390000000000001,4.63,14.56,13.04,13.76
26.47,23.48,24.88,3.9600000000000004,3.51,3.7199999999999998,15.690000000000001,13.91,14.75
28.57,27.779999999999998,28.17,3.85,3.74,3.7900000000000005,15.24,14.81,15.02
44.17,44.17,44.17,15.97,15.97,15.97,21.67,21.67,21.67
21.57,19.3,20.369999999999997,0.9900000000000001,0.88,0.9299999999999999,10.780000000000001,9.65,10.190000000000001
30.3,27.52,28.849999999999998,11.219999999999999,10.190000000000001,10.68,17.169999999999998,15.6,16.35
22.52,22.32,22.42,1.82,1.7999999999999998,1.81,8.110000000000001,8.04,8.07
25.22,23.580000000000002,24.37,3.51,3.2800000000000002,3.39,17.39,16.259999999999998,16.81
22.52,20.66,21.55,0.91,0.83,0.8699999999999999,9.91,9.09,9.48
23.3,22.02,22.64,0.98,0.9299999999999999,0.95,13.59,12.839999999999998,13.209999999999999
22.770000000000003,19.49,21.0,2.0,1.71,1.8399999999999999,12.870000000000001,11.020000000000001,11.87
30.769999999999996,26.02,28.189999999999998,5.83,4.92,5.33,18.27,15.45,16.74
22.770000000000003,18.4,20.349999999999998,2.0,1.6099999999999999,1.79,14.85,12.0,13.270000000000001
24.51,20.66,22.42,0.0,0.0,0.0,14.71,12.4,13.450000000000001
32.04,28.21,30.0,5.88,5.17,5.5,16.5,14.530000000000001,15.45
21.11,18.27,19.59,2.25,1.94,2.08,14.44,12.5,13.4
25.230000000000004,24.560000000000002,24.89,1.82,1.77,1.79,12.61,12.280000000000001,12.44
33.650000000000006,28.689999999999998,30.97,9.71,8.260000000000002,8.93,18.27,15.57,16.81
22.48,23.02,22.75,4.6899999999999995,4.8,4.74,12.4,12.7,12.55
28.74,22.939999999999998,25.509999999999998,3.49,2.78,3.09,16.09,12.839999999999998,14.29
30.209999999999997,24.79,27.229999999999997,1.05,0.86,0.95,13.54,11.110000000000001,12.21
29.409999999999997,4.2700000000000005,7.46,0.0,0.0,0.0,17.65,2.56,4.4799999999999995
35.35,29.909999999999997,32.41,6.12,5.17,5.609999999999999,21.21,17.95,19.439999999999998
29.630000000000003,29.360000000000003,29.49,7.48,7.41,7.4399999999999995,16.669999999999998,16.509999999999998,16.59
26.040000000000003,24.51,25.25,0.0,0.0,0.0,14.580000000000002,13.73,14.14
27.08,23.849999999999998,25.369999999999997,4.21,3.6999999999999997,3.94,14.580000000000002,12.839999999999998,13.66
