reference,system
"das farb - gen csf1ra sorgt in männlichen barschen für charakteristische pigmentflecken, die für die erfolgreiche befruchtung der eier notwendig sind. walter salzburger und ingo braasch klärten an der universität konstanz damit die genetische herkunft dieser optischen ei - attrappen auf, die im paarungsritus der fische die weibchen anlocken. die neunzehn barscharten, die die forscher für ihre untersuchungen auswählten, gehörten zu gruppe der haplochrominen. eine besonderheit dieser gruppe stellt die ungewöhnliche maulbrutpflege der weiblichen tiere dar. nachdem die weibchen die eier gelegt haben, nehmen sie das noch unbefruchtete gelege in ihre mundhöhle auf. um nun die eier mit ihrem sperma befruchten","die haplochromine ii sind eine spezielle gruppe von farbstoffen, die bei den weibchen der eier legen. die haplochromine gehören zu den ältesten bekannten farbstoffen, das man bisher über die embryonalentwicklung anhand ihrer struktur erkennen konnte. das vergleichen mit anderen farbstoffen, die die eier legen, vermuten forscher nun, dass die haplochrominen ii die eier produzierenden zellen, in denen sie sich befinden, mit hilfe von haplochromin - rezeptoren an ihrem ei -spot befruchteten. die haplochromine ii verwandeln sich dann in ihre haplochrominen - rezeptoren, die sie an ihrem ei -spot binden. diese rezeptoren unterscheiden sich nicht nur von zellen der eierproduktion, sondern auch von organen, in denen sie sich"
"der nil - tilapia ( oreochromis niloticus ) - eine afrikanische buntbarschart - vertilgt dermaßen viele larven malaria übertragender mücken, dass er als natürliche waffe gegen die fiebererkrankung eingesetzt werden könnte. zu dieser überzeugung gelangen annabel howard und kollegen vom internationalen zentrum für insektenphysiologie und - ökologie ( icipe ) in nairobi nach mehrmonatigen studien mit der art in nicht mehr genutzten fischteichen im westen kenias. innerhalb von 15wochen dezimierten die allesfressenden buntbarsche die bruten der mückenarten anopheles gambiae und anopheles funestus - hauptüberträger der malaria in der region - um mehr als 94prozent. durch diese starke einflussnahme auf die larvenpopulation sei auch ein","der fluss anopheles grambiae ( oreochromis niloticus ) hat sich seit mehr als 100jahren erfolgreich gegen den erreger der malaria ausgebreitet. er gehört zu den wichtigsten vertretern der familie der gräser. seine arbeitsgruppe um elizabeth mcdonald von der university of new south wales berichtet in » nature communications «, dass er die zahl der malariapopulationen in den letzten jahrzehnten um etwa 94prozent reduzierte, bevor er schließlich in » nature communications « vorgestellt wurde. wie das team in nature communications berichtete, stieg die zahl der malariapopulationen um rund 90prozent in den letzten jahrhunderten auf etwa 1, 5kilometer, wodurch die population der malariapopulation insgesamt rund 1, 5milliarden todesopfer pro jahr"
"der krankheitserreger staphylococcus aureus nistet sich in den zellen seines wirts ein und entgeht so dem immunsystem und antibiotika. dies fanden christian garzoni von der universität genf und kollegen heraus. ist das bakterium erst einmal in eine lungenzelle gelangt, bleibt es möglichst unauffällig. die schweizer forscher untersuchten im reagenzglas, auf welche teile seines erbguts der keim vor und nach dem eintritt in die wirtszelle zurückgreift. dabei stellten sie fest : bereits nach zwei stunden hat s. aureus sich an das überleben in der neuen umgebung angepasst. er fährt seinen stoffwechsel bis auf die vitalfunktionen zurück, vermehrt sich sehr langsam und scheidet nur noch wenige toxine aus. diese zellgifte könnten dazu führen,","der erreger staphylococcus aureus, häufig auch staphylococcus aureus - aureus oder s aureus, ist ein häufiger erreger der chronischen lungenentzündung. das bakterium gehört zu den gefährlichsten erregern für mensch und tier. staphylococcus aureus gilt allerdings als potenzieller erreger, der in den meisten fällen unerwünscht bleibt. die infektion mit staphylococcus aureus führt zu schweren komplikationen bei der lungenentzündung und tödliche veränderungen im zellkern des wirts. die infektion mit staphylococcus aureus ist allerdings nicht so erfolgreich wie die infektion mit anderen krankheitserregern. die wissenschaftler haben das bakterium untersucht, welche prozesse sich innerhalb der lunge von menschlichen zellen entwickelt"
"die haut von frauen altert schneller als die von männern. das haben untersuchungen von wissenschaftlern um martin kaatz von der universität jena mit einer neuen nicht - invasiven methode ergeben. das team um kaatz wandte zwei - photonen - tomografie an, um den anteil der zwei faserproteine kollagen und elastin in der haut der unterarme von 18patienten aller altersgruppen zu bestimmen. aus dem verhältnis von kollagen zu elastin kann auf das biologische alter der haut geschlossen werden, mit dem die kollagenmenge ab - und der anteil an elastin zunimmt. den ergebnissen der sieben weiblichen testpersonen nach zu urteilen, nimmt bei ihnen mit zunehmendem alter der kollagenanteil schneller ab als bei den männlichen. bei der prozedur nutzten die wissenschaftler aus,","die wissenschaftler um david hauke von der university of texas und sein team hatten das alter der haut im rahmen einer dermalen elastinfragmentierung untersucht. das team stellte 18 patienten von 18wöchigen und 18betrachtungspatienten mit unterschiedlichen altersstrukturen vor, die sich in der frage äußerlich veränderten. wie das team in nature communications berichtete, veränderten sich die strukturen der collagenschicht der haut mit der zeit, das von elastin, collagen, elastin und elastin gebildet wird. diese änderungen hatten eine negative wirkung auf das immunsystem, wie das forscherteam um patrick hauke und seine kollegen in » nature communications « berichten. die wissenschaftler untersuchten 18 patienten von 18wöchigen und 18betrachtungspatienten, von denen 18"
"raucher können sich ihr laster leichter abgewöhnen, wenn sie möglichst mehrfach von einem berater angerufen werden. lindsay stead von der universität oxford und ihre kollegen ziehen diesen schluss aus einer analyse von 48studien, welche den einfluss verschiedener hilfestellungen beim abgewöhnen des rauchens untersuchten. die telefonisch beratenen sind um die hälfte erfolgreicher als ihre leidensgenossen, die nur selbsthilfematerial oder kurze beratungsgespräche erhielten. der größte effekt zeigte sich, wenn mindestens drei anrufe erfolgten. die forscher aktualisierten mit ihrer analyse ihre frühere studie zum thema aus dem jahr2003.","seit jahrzehnten versuchen wissenschaftler, den einfluss von psychischen erkrankungen auf die gesundheit von menschen zu erforschen. nun haben wissenschaftler herausgefunden, dass psychosoziale beratungsangebote auch menschen dazu unterstützen, tabak abzubauen. das zeigte sich auch, indem die betroffenen möglichst viele beratungsgespräche mit psychotherapeuten oder anderen psychopädagogen einzeln absolvierten. die wissenschaftler wollten herausfinden, welche beratungsformen den betroffenen dazu beitragen können, das tabak abzubauen. die meisten dieser ergebnisse beeinflussten die ergebnisse einer untersuchung von insgesamt 11, 23prozent der betroffenen personen, bei der insgesamt rund 12, 23prozent der betroffenen personen abgefragt wurden. die ergebnisse der untersuchung stützten sich dabei auf fragestellungen"
"britische forscher haben jetzt herausgefunden, warum malaria - patienten auch für andere infektionskrankheiten anfälliger sind. ihrem bericht zufolge besitzt der erreger plasmodium die fähigkeit, schlüsselzellen des immunsystems zu schwächen [ 1 ]. in ihren versuchen hatten owain millington und sein team von der universität strathclyde dendritische zellen von mäusen mit roten blutzellen konfrontiert, die mit plasmodium chabaudi, dem erreger der mäuse - malaria, infiziert waren. die anschließende immunantwort sei eher schwach ausgefallen, berichten die forscher. sie erklären sich dies mit der präsenz des pigments hämozoin, das beim abbau von hämoglobin durch plasmodium entsteht. dadurch würden die dendritischen zellen nicht in vollem umfang funktionieren : ihre z","als infektionskrankheitserreger der malaria, malaria - infektionskrankheit oder auch erythrozyten der malaria - infektionskrankheit zeichnet sich die krankheit aus : die malaria - infektionskrankheit zeichnet sich dadurch aus, dass die malaria - infektionskrankheitserreger, die erreger der malaria - infektionskrankheit, sich in den blutzellen der infektionskrankheitserreger befinden. die malaria - infektionskrankheitserreger der malaria - infektionskrankheit zeichnet sich dadurch aus, dass die zellen des immunsystems die malaria - infektionskrankheitserreger nicht erkennen können. die malaria - infektionskrankheitserreger der malaria - infektionskrankheit"
"zwei weitere gute gründe für nikotinverzicht liefern zwei studien von der anderen seite der erde. zum einen werteten neuseeländische forscher um george thomson von der wellington school of medicine aus, wie sich dass seit 2004 in dem inselstaat gültige rauchverbot in der öffentlichkeit auswirkte [ 1 ]. demzufolge ist seit dem verabschieden des anti - rauch - gesetzes der tabakkonsum in der freizeit deutlich zurückgegangen, was lunge und geldbeutel gleichermaßen schont. davor hatten 57, 8prozent der raucher angegeben, in kneipen, restaurants und bars öfter als sonst zur kippe zu greifen – nach einem jahr rauchverbot waren es nur noch 28, 6prozent, berichten die forscher nach der auswertung von fragebögen aus den jah","seit dem jahr 2004 gilt in neuseeland, seit dem ersten jahrhundert, dass bars und nightclubs unfreier sind als in anderen städten. das gilt auch für die inseln, in denen tabak und andere drogen verboten sind. in den jahren 2004 bis 2005 war der anteil an rauchern in den bars und nightclubs um 81prozent geringer als beim vorhergehenden jahr 2004. zudem erhöhte sich der anteil an illegalem rauch in den bars und nightclubs um insgesamt 16prozent, nach angaben der behörden. bei der verabschiedung des neuen gesetzes hatten sich die rauchverbotsgrenzungen des bars und der nachtclubs verlangsamt. seit dem jahr 2004 ist die rauchverbotsgrenze deutlich abgesenkt,"
"asymmetrische große brüste sind einer britischen studie zufolge ein indiz für ein erhöhtes brustkrebsrisiko, berichten forscher von der universität liverpool. sie analysierten mammographie - ergebnisse von rund 500 frauen, die zum zeitpunkt der untersuchung alle gesund gewesen waren. die hälfte der untersuchten hatte dann später tumoren im brustgewebe entwickelt. wie das team um diane scutt herausgefunden hat, korrellieren größenunterschiede der brüste statistisch mit dem brustkrebsrisiko. es erhöht sich um den faktor 1, 5 pro 100 milliliter asymmetrie im volumen der brust. die brust - symmetrie könnte demnach künftig zur bestimmung des brustkrebsrisikos hinzugezogen werden, lautet der vorschlag des forscherteams.","die brust - und brustkrebs - beziehung kann sich auf drei faktoren beziehen : das brust - und das brust - risiko für brustkrebs stieg im verlauf der zeit um das alter von 40jahren auf etwa 1, 50milliarden pro 100milliarden pro jahr. die größe der brust - und brustdrüsen sollte mit erhöhtem brustvolumen messen werden. die brust - und brustkrebs - beziehung tritt vor allem bei patientinnen mit brustkrebs auf, die in der menopause lebten. die wissenschaftler hatten die brust - und brustkrebs - beziehung untersucht, indem sie die beziehungen zwischen brust - und brust - beziehungen analysierten. die ergebnisse der untersuchung waren : brustkrebs - beziehungen steigen deutlich, wenn eine"
"ob junge salamander erwachsen werden und aus dem wasser an land gehen oder in ihrer entwicklung stehen bleiben, hängt von der umgebungsstruktur ab. gezielt bestimmten ronald bonett und paul chippindale von der texas - universität für jugendliche und für adulte populationen von flachstirn - gelbsalamandern ( eurycea tynerensis ) die flussbett - typen, in denen diese aufgewachsen waren. hierzu untersuchten sie die korngrößen und den grad der sortierung der bodenpartikel. dabei zeigte sich, dass die populationen, die aus flussbetten mit feinem, unsortierten kies stammen, erwachsen werden und aufs land umziehen. solche, die zwischen gröberem schotter heranwachsen, verblieben in diesem stadium. in den hohlräumen zwischen grobem, gut sort","der salamander eurycea tynerensis ist eine art aus der gattung eurycea. er ist endemisch im ozark - plattengebiet des südwestens des us - amerikanischen bundesstaats south carolina. das gebiet ist sehr trocken, weil die wasseroberfläche sehr feinkörnig ist und nur wenige stücke feinkörniger sandstein enthält. in den vergangenen jahrzehnten haben paläontologen, die sich mit salamandern in wasser gefüllten fließgewässern beschäftigten, ein weiteres auffälliges phänomen entdeckt. die phylogenetischen vergleiche von salamandern mit feinkörnigen, feinkörnigen sedimentpartikeln zeigen, dass sich die bewohner der wasseroberfläche sehr gut orientieren, wenn sie in diese hineingezogen werden. diese ergebnis"
"personen, die wenig alkohol trinken, sind mit geringerer wahrscheinlichkeit fettleibig - nicht nur im vergleich zu menschen, die viel trinken, sondern auch zu abstinenzlern. dies ergab eine studie von ahmed arif von der texas - tech - universität in lubbock und james roher von der mayo - klinic in rochester. die beiden us - forscher hatten daten einer umfassenden untersuchung zum thema gesundheit und ernährung ( third national health and nutrition examination survey ) von 1988 bis 1994 ausgewertet. darin hatten 8236 nicht rauchende us - bürger unter anderem angaben zu ihrem trinkverhalten angegeben. arif und roher richteten ihr augenmerk auf die anzahl der täglich konsumierten alkoholika und berechneten den body - mass - index ( bmi ) der befragten. die wenigsten fettle","wer übergewichtig und fettleibigkeit an der schnittstelle steht, tritt nach berichten der us - national health and nutrition examination ins auge. eine neue studie untersucht die zusammenhänge zwischen übergewicht und fettleibigkeit. die ergebnisse der studie ergeben sich aus den daten von 8,236fragten, die im rahmen der dritten national health and nutrition examination im us - bundesstaat new york registriert waren. die ergebnisse der studie belegen, dass sich übergewicht und fettleibigkeit beim menschen leichter erwärmen lassen als beim gesunden menschen. die ergebnisse der studie bestätigten, dass sich übergewicht und fettleibigkeit beim menschen leichter erwärmen lassen als beim gesunden menschen. das vergleich"
