bs_p,bs_r,bs_f
70.65,69.15,69.89
66.97999999999999,64.96,65.95
65.60000000000001,63.12,64.33
71.66,70.78999999999999,71.22
62.25000000000001,63.4,62.82
70.25,64.83,67.43
65.84,62.28,64.01
68.58,66.78,67.67
68.81,57.98,62.94
66.19,64.42,65.29
69.92,67.64,68.76
67.33,65.75,66.53
73.52,69.47,71.43
62.4,60.95,61.660000000000004
70.28999999999999,67.65,68.94
66.83,66.03,66.43
63.080000000000005,60.97,62.01
64.7,63.04,63.85999999999999
65.41,63.54,64.46
67.51,63.42,65.4
64.97,64.39,64.68
66.71000000000001,63.59,65.11
65.57,64.44,65.0
69.54,64.62,66.99000000000001
69.23,68.26,68.74
67.51,66.4,66.95
65.99000000000001,65.09,65.53999999999999
65.48,63.99,64.72
62.19,57.91,59.97
71.89,68.33,70.06
65.2,63.21,64.19
63.18,60.940000000000005,62.03999999999999
68.22,64.47,66.29
71.54,69.24,70.37
64.91,63.580000000000005,64.24
69.48,65.08,67.21000000000001
68.34,63.99,66.09
66.18,62.71,64.4
63.82,64.86,64.34
70.23,67.85,69.02000000000001
67.45,66.43,66.93
70.15,63.519999999999996,66.67
63.800000000000004,62.019999999999996,62.9
74.28,70.00999999999999,72.08
69.34,67.46,68.39
68.67,66.51,67.57
70.21,68.05,69.11
65.27,63.6,64.42
66.60000000000001,64.62,65.59
66.94,66.61,66.77
72.31,69.51,70.88
68.86,63.970000000000006,66.32000000000001
68.13,66.89,67.5
66.16,65.82000000000001,65.99000000000001
65.75999999999999,63.690000000000005,64.71000000000001
66.32000000000001,63.59,64.92999999999999
66.52,63.67,65.06
66.09,65.83,65.96
68.65,64.91,66.72
65.83,62.82,64.29
69.12,66.95,68.02
69.78999999999999,67.74,68.75
65.83,64.14,64.98
68.55,67.73,68.14
65.78,64.38000000000001,65.07
65.36999999999999,65.08,65.23
66.95,62.99,64.91
69.01,66.66,67.82000000000001
69.03,64.89,66.9
70.81,67.30000000000001,69.01
65.64999999999999,55.94,60.4
66.25999999999999,64.78,65.51
70.45,67.52,68.95
71.31,68.46,69.85
65.74,65.68,65.71000000000001
71.92,68.2,70.00999999999999
66.75,64.81,65.77
66.24,66.22,66.23
66.72,65.7,66.21000000000001
68.08,66.24,67.15
67.2,64.14,65.63
64.12,61.96,63.019999999999996
68.28999999999999,64.02,66.09
66.19,62.81,64.46
68.2,66.79,67.49000000000001
68.54,66.52,67.51
70.78,67.67999999999999,69.19999999999999
65.45,63.88,64.64999999999999
67.92,66.28,67.09
66.58,63.99,65.25999999999999
65.67,64.71000000000001,65.19
64.24,63.01,63.62
66.85,62.82,64.78
67.96,65.7,66.81
65.7,62.39,64.0
67.94,64.79,66.33
66.66,65.61,66.13
68.74,67.22,67.97
70.75,67.47999999999999,69.08
68.71000000000001,65.19,66.9
66.01,66.06,66.03
71.05,62.17,66.32000000000001
68.86,66.52,67.67
65.03,63.9,64.46
68.32000000000001,64.64,66.43
70.95,67.74,69.31
68.78,64.35,66.49000000000001
62.82,64.01,63.41
64.31,64.21,64.25999999999999
72.32,68.71000000000001,70.47
64.07000000000001,63.190000000000005,63.629999999999995
66.47,63.82,65.11
64.14,62.92,63.53
63.849999999999994,63.75999999999999,63.800000000000004
66.2,66.86999999999999,66.53999999999999
63.959999999999994,64.29,64.13
65.62,64.01,64.81
70.39,68.27,69.31
65.12,66.0,65.55
72.41,68.65,70.48
69.45,67.77,68.60000000000001
67.92,65.58,66.73
65.69,65.59,65.64
70.12,68.78,69.44
63.56,63.42,63.49
68.42,66.09,67.23
66.07,64.16,65.10000000000001
62.71,61.56,62.129999999999995
64.37,63.14999999999999,63.75999999999999
67.28,66.72,67.0
66.71000000000001,64.44,65.56
71.1,67.65,69.33
