bleu,p,bp,lr,rl,pl
0.0,,0.9726044771163485,0.972972972972973,111,108
0.0,,1.0,1.1666666666666667,108,126
0.0,,0.8491991598796355,0.859504132231405,121,104
0.1344,,0.9271589582666216,0.9296875,128,119
0.0,,1.0,1.2872340425531914,94,121
0.0,,0.9478382358546584,0.9491525423728814,118,112
0.0,,0.9666698050429988,0.9672131147540983,122,118
0.0,,1.0,1.0363636363636364,110,114
0.0,,0.025891354894686434,0.21487603305785125,121,26
0.0481,,0.8881238563925137,0.8939393939393939,132,118
0.0,,0.9740274534203012,0.9743589743589743,117,114
0.0,,0.8729104287240722,0.8803418803418803,117,103
0.0833,,0.914584226461939,0.9180327868852459,122,112
0.0,,0.8477770294963397,0.8582677165354331,127,109
0.0782,,1.0,1.0,113,113
0.0,,1.0,1.103448275862069,116,128
0.0,,0.925961078642316,0.9285714285714286,126,117
0.0,,0.9527649034645868,0.9538461538461539,130,124
0.0,,0.9740274534203012,0.9743589743589743,117,114
0.0,,0.7557837414557255,0.78125,128,100
0.0,,0.8773571565114295,0.8842975206611571,121,107
0.0482,,0.9682566771439106,0.96875,128,124
0.0,,0.9234431710765795,0.9262295081967213,122,113
0.0513,,1.0,1.024793388429752,121,124
0.0,,0.9619094578005603,0.9626168224299065,107,103
0.0351,,0.9655207177429715,0.9661016949152542,118,114
0.1008,,1.0,1.016260162601626,123,125
0.0,,0.869053250930649,0.8769230769230769,130,114
0.0,,0.50041992036057,0.5909090909090909,110,65
0.0422,,0.8410729144396826,0.8524590163934426,122,104
0.0591,,0.9153071607587222,0.9186991869918699,123,113
0.0,,1.0,1.040983606557377,122,127
0.0,,1.0,1.0,114,114
0.0479,,1.0,1.045045045045045,111,116
0.0,,1.0,1.055045871559633,109,115
0.0604,,1.0,1.0,129,129
0.0,,0.9349074932321897,0.9369369369369369,111,104
0.0,,0.991489413290758,0.9915254237288136,118,117
0.0,,0.9025202940335931,0.9069767441860465,129,117
0.063,,0.937241010457818,0.9391304347826087,115,108
0.0,,0.9005389110892618,0.9051724137931034,116,105
0.0,,0.8134085784695713,0.8288288288288288,111,92
0.0,,1.0,1.1025641025641026,117,129
0.0656,,0.9355069850316178,0.9375,128,120
0.0,,1.0,1.1214953271028036,107,120
0.0414,,0.9200444146293233,0.9230769230769231,117,108
0.0498,,0.9131007162822622,0.9166666666666666,132,121
0.0,,0.8042687639221239,0.8211382113821138,123,101
0.0,,0.9661049965255963,0.9666666666666667,120,116
0.0,,0.8804935052562111,0.8870967741935484,124,110
0.0,,0.958512302561127,0.959349593495935,123,118
0.0,,0.9366734524429684,0.9385964912280702,114,107
0.0,,0.958853665249411,0.9596774193548387,124,119
0.0,,1.0,1.017391304347826,115,117
0.0,,0.9733349348192527,0.9736842105263158,114,111
0.0,,1.0,1.1826923076923077,104,123
0.0,,0.9109927509641867,0.9147286821705426,129,118
0.0637,,1.0,1.0,118,118
0.0,,0.9547590287126507,0.9557522123893806,113,108
0.0,,0.9271589582666216,0.9296875,128,119
0.0671,,1.0,1.0169491525423728,118,120
0.0521,,1.0,1.018018018018018,111,113
0.0,,1.0,1.0636363636363637,110,117
0.0476,,0.9193281480912597,0.9224137931034483,116,107
0.0,,1.0,1.0427350427350428,117,122
0.0,,0.9000876262522594,0.9047619047619048,126,114
0.0479,,0.9567168655138897,0.9576271186440678,118,113
0.0,,0.967482587902963,0.968,125,121
0.0,,0.9316515010120799,0.9338842975206612,121,113
0.0,,0.9735698412824109,0.9739130434782609,115,112
0.0,,0.002620357698338834,0.144,125,18
0.0,,0.9366734524429684,0.9385964912280702,114,107
0.0863,,0.9658153532969086,0.9663865546218487,119,115
0.0555,,0.8815036591300374,0.888,125,111
0.0,,0.97489673266064,0.9752066115702479,121,118
0.0,,0.7989237289412772,0.8166666666666667,120,98
0.0578,,0.9344505119818695,0.9365079365079365,126,118
0.0545,,0.974469489924366,0.9747899159663865,119,116
0.0,,0.9171002750188677,0.9203539823008849,113,104
0.0,,0.8824969025845955,0.8888888888888888,135,120
0.0,,0.9009118822626804,0.905511811023622,127,115
0.0,,0.9646055322970766,0.9652173913043478,115,111
0.0,,0.8806291849701356,0.8872180451127819,133,118
0.0,,1.0,1.0672268907563025,119,127
0.0398,,1.0,1.0336134453781514,119,123
0.0,,0.7808105904298869,0.8016528925619835,121,97
0.0536,,0.8929653084595646,0.8983050847457628,118,106
0.0,,0.975709711125842,0.976,125,122
0.0,,0.9655207177429715,0.9661016949152542,118,114
0.0,,1.0,1.0327868852459017,122,126
0.0,,1.0,1.018018018018018,111,113
0.0,,1.0,1.0909090909090908,110,120
0.0,,0.9909502882880794,0.990990990990991,111,110
0.0,,0.9840003440771302,0.9841269841269841,126,124
0.0,,1.0,1.0085470085470085,117,118
0.0668,,0.8187307530779819,0.8333333333333334,120,100
0.0505,,0.9087800585132731,0.9126984126984127,126,115
0.0491,,0.825052966980536,0.8387096774193549,124,104
0.0,,0.8477770294963397,0.8582677165354331,127,109
0.0,,1.0,1.0932203389830508,118,129
0.0,,1.0,1.0083333333333333,120,121
0.012,,0.05641613950377735,0.25806451612903225,124,32
0.0781,,0.9366734524429684,0.9385964912280702,114,107
0.0,,0.9072428328854003,0.9112903225806451,124,113
0.0,,0.9200444146293233,0.9230769230769231,117,108
0.0547,,1.0,1.1166666666666667,120,134
0.0,,1.0,1.0625,112,119
0.056,,0.9221189220143738,0.925,120,111
0.0,,0.9753099120283325,0.975609756097561,123,120
