r1_p,r1_r,r1_f,r2_p,r2_r,r2_f,rL_p,rL_r,rL_f
32.71,32.11,32.41,3.7699999999999996,3.6999999999999997,3.74,17.76,17.43,17.59
27.339999999999996,34.31,30.43,5.510000000000001,6.93,6.140000000000001,11.72,14.71,13.04
23.91,18.64,20.95,3.3000000000000003,2.56,2.88,11.959999999999999,9.32,10.48
45.69,44.54,45.11,18.26,17.8,18.029999999999998,26.72,26.05,26.38
16.509999999999998,19.15,17.73,0.9299999999999999,1.08,1.0,7.340000000000001,8.51,7.88
30.0,28.7,29.330000000000002,6.419999999999999,6.140000000000001,6.279999999999999,19.09,18.26,18.67
28.7,27.189999999999998,27.93,1.87,1.77,1.82,15.740000000000002,14.91,15.32
28.970000000000002,28.439999999999998,28.7,4.72,4.63,4.67,14.02,13.76,13.889999999999999
37.5,8.260000000000002,13.530000000000001,4.35,0.9299999999999999,1.53,33.33,7.340000000000001,12.030000000000001
27.27,26.090000000000003,26.669999999999998,5.5,5.26,5.38,14.549999999999999,13.91,14.219999999999999
28.57,26.090000000000003,27.27,6.7299999999999995,6.140000000000001,6.419999999999999,19.05,17.39,18.18
31.03,25.0,27.689999999999998,9.3,7.48,8.290000000000001,18.39,14.81,16.41
47.660000000000004,42.5,44.93,15.09,13.450000000000001,14.219999999999999,22.43,20.0,21.15
17.14,15.790000000000001,16.439999999999998,0.0,0.0,0.0,9.520000000000001,8.77,9.13
26.529999999999998,23.849999999999998,25.119999999999997,8.25,7.41,7.8,18.37,16.509999999999998,17.39
22.689999999999998,24.11,23.380000000000003,1.69,1.7999999999999998,1.7500000000000002,10.92,11.61,11.26
18.52,16.259999999999998,17.32,0.9299999999999999,0.8200000000000001,0.8699999999999999,11.110000000000001,9.76,10.39
20.91,19.009999999999998,19.91,0.9199999999999999,0.83,0.8699999999999999,11.82,10.74,11.26
24.04,22.939999999999998,23.47,0.97,0.9299999999999999,0.95,11.540000000000001,11.01,11.27
24.72,18.64,21.26,3.4099999999999997,2.56,2.93,14.610000000000001,11.020000000000001,12.559999999999999
25.71,21.95,23.68,1.92,1.6400000000000001,1.77,13.33,11.379999999999999,12.280000000000001
33.040000000000006,30.4,31.669999999999998,7.02,6.45,6.72,15.65,14.399999999999999,15.0
17.48,14.879999999999999,16.07,0.0,0.0,0.0,11.65,9.92,10.71
27.589999999999996,27.35,27.47,6.959999999999999,6.9,6.93,13.79,13.68,13.73
27.55,25.96,26.729999999999997,2.06,1.94,2.0,13.270000000000001,12.5,12.870000000000001
25.0,23.68,24.32,4.67,4.42,4.55,15.740000000000002,14.91,15.32
30.09,27.87,28.939999999999998,9.82,9.09,9.44,15.040000000000001,13.930000000000001,14.469999999999999
16.220000000000002,14.29,15.190000000000001,0.91,0.8,0.8500000000000001,10.81,9.520000000000001,10.13
27.12,14.680000000000001,19.05,1.72,0.9299999999999999,1.2,13.56,7.340000000000001,9.520000000000001
32.67,28.21,30.28,5.0,4.31,4.63,13.86,11.97,12.839999999999998
21.62,20.51,21.05,4.55,4.31,4.42,10.81,10.26,10.530000000000001
22.31,23.080000000000002,22.689999999999998,3.3300000000000005,3.45,3.39,14.05,14.530000000000001,14.29
23.150000000000002,22.939999999999998,23.04,0.0,0.0,0.0,11.110000000000001,11.01,11.06
32.690000000000005,33.33,33.01,6.800000000000001,6.93,6.859999999999999,16.35,16.669999999999998,16.5
16.81,17.43,17.119999999999997,2.68,2.78,2.73,9.73,10.09,9.91
27.05,26.61,26.83,6.61,6.5,6.5600000000000005,18.85,18.55,18.7
26.669999999999998,21.82,24.0,2.25,1.83,2.02,15.559999999999999,12.73,14.000000000000002
19.33,19.49,19.41,0.0,0.0,0.0,11.76,11.86,11.81
32.11,29.909999999999997,30.97,3.6999999999999997,3.45,3.5700000000000003,15.6,14.530000000000001,15.040000000000001
33.33,31.19,32.23,5.94,5.56,5.74,19.61,18.35,18.96
27.36,26.61,26.979999999999997,5.71,5.56,5.63,12.26,11.93,12.09
23.810000000000002,18.87,21.05,2.41,1.9,2.13,14.29,11.32,12.629999999999999
20.16,22.939999999999998,21.46,0.8099999999999999,0.9299999999999999,0.8699999999999999,10.48,11.93,11.16
42.730000000000004,38.84,40.69,10.09,9.17,9.610000000000001,27.27,24.79,25.97
31.53,33.650000000000006,32.56,8.18,8.74,8.450000000000001,18.02,19.23,18.6
22.64,21.62,22.12,5.71,5.45,5.58,12.26,11.709999999999999,11.98
30.769999999999996,29.270000000000003,30.0,6.03,5.74,5.88,17.09,16.259999999999998,16.669999999999998
26.85,24.79,25.779999999999998,1.87,1.72,1.79,16.669999999999998,15.379999999999999,16.0
22.73,21.01,21.83,0.9199999999999999,0.8500000000000001,0.88,10.0,9.24,9.610000000000001
23.849999999999998,22.81,23.32,3.6999999999999997,3.54,3.62,11.01,10.530000000000001,10.76
37.269999999999996,33.879999999999995,35.5,13.76,12.5,13.100000000000001,16.36,14.879999999999999,15.58
30.769999999999996,27.83,29.220000000000002,3.88,3.51,3.6900000000000004,14.42,13.04,13.700000000000001
18.52,16.13,17.24,2.8000000000000003,2.44,2.6100000000000003,11.110000000000001,9.68,10.34
27.52,27.029999999999998,27.27,5.56,5.45,5.5,12.839999999999998,12.61,12.73
25.230000000000004,23.93,24.560000000000002,3.64,3.45,3.54,13.51,12.82,13.16
22.939999999999998,24.75,23.810000000000002,1.8499999999999999,2.0,1.92,11.01,11.88,11.43
27.12,25.4,26.229999999999997,5.13,4.8,4.96,16.1,15.079999999999998,15.57
25.0,24.32,24.66,6.54,6.36,6.45,16.669999999999998,16.220000000000002,16.439999999999998
23.0,20.72,21.8,1.01,0.91,0.96,12.0,10.81,11.37
23.080000000000002,20.150000000000002,21.51,1.72,1.5,1.6099999999999999,13.68,11.940000000000001,12.75
38.26,39.290000000000006,38.769999999999996,10.530000000000001,10.81,10.67,19.13,19.64,19.38
