reference,system
"das farb - gen csf1ra sorgt in männlichen barschen für charakteristische pigmentflecken, die für die erfolgreiche befruchtung der eier notwendig sind. walter salzburger und ingo braasch klärten an der universität konstanz damit die genetische herkunft dieser optischen ei - attrappen auf, die im paarungsritus der fische die weibchen anlocken. die neunzehn barscharten, die die forscher für ihre untersuchungen auswählten, gehörten zu gruppe der haplochrominen. eine besonderheit dieser gruppe stellt die ungewöhnliche maulbrutpflege der weiblichen tiere dar. nachdem die weibchen die eier gelegt haben, nehmen sie das noch unbefruchtete gelege in ihre mundhöhle auf. um nun die eier mit ihrem sperma befruchten","die haplochromine gehören zu den farbigsten fischmarotzern der erde. ihre besonderheit sind die haplochromine, die in ihrem zellkern an die oberfläche ihres embryos gelangen. wie das team in nature communications berichtet, erzeugen die haplochromine aus ihrem zellkern pigmentzellen in der eierröhre der männchen, die in der befruchteten eizelle während der embryonalentwicklung an die oberfläche der weibchen gelangen. die pigmentzelle ähnelt der chemophore, die in den eierstöcken der reptilien vorkommen, und spielt eine wichtige rolle bei der entwicklung von chemotropin. das protein csf1ra sorgt in den eierstöcken der reptilien dafür, dass die weibchen mit ihrem zellkern in ihrem z"
"der nil - tilapia ( oreochromis niloticus ) - eine afrikanische buntbarschart - vertilgt dermaßen viele larven malaria übertragender mücken, dass er als natürliche waffe gegen die fiebererkrankung eingesetzt werden könnte. zu dieser überzeugung gelangen annabel howard und kollegen vom internationalen zentrum für insektenphysiologie und - ökologie ( icipe ) in nairobi nach mehrmonatigen studien mit der art in nicht mehr genutzten fischteichen im westen kenias. innerhalb von 15wochen dezimierten die allesfressenden buntbarsche die bruten der mückenarten anopheles gambiae und anopheles funestus - hauptüberträger der malaria in der region - um mehr als 94prozent. durch diese starke einflussnahme auf die larvenpopulation sei auch ein","vor und nach der einführung von oreochromis im westen kenias ist der löwenfisch oreochromis nicht nur für den menschen gefährlich, sondern auch für die insektenarten anopheles gambiae, anopheles funestus diptera und anopheles gambiae gefährlich. in den letzten jahrzehnten wurden diese beiden arten erfolgreich gegen die malaria eingesetzt. zu diesem ergebnis kommt nun eine studie in den proceedings of the royal societyb aus. wie das team in nature communications berichtet, ist der löwenfisch nicht nur für den menschen gefährlich, sondern auch für die insekten, die in den trockenen küstenregionen von kenia leben. wie das team in nature communications berichtet, ist er für die malaria tödlich. wie das team in den proceedings of the royal societyb zeigt"
"der krankheitserreger staphylococcus aureus nistet sich in den zellen seines wirts ein und entgeht so dem immunsystem und antibiotika. dies fanden christian garzoni von der universität genf und kollegen heraus. ist das bakterium erst einmal in eine lungenzelle gelangt, bleibt es möglichst unauffällig. die schweizer forscher untersuchten im reagenzglas, auf welche teile seines erbguts der keim vor und nach dem eintritt in die wirtszelle zurückgreift. dabei stellten sie fest : bereits nach zwei stunden hat s. aureus sich an das überleben in der neuen umgebung angepasst. er fährt seinen stoffwechsel bis auf die vitalfunktionen zurück, vermehrt sich sehr langsam und scheidet nur noch wenige toxine aus. diese zellgifte könnten dazu führen,","der erreger staphylococcus aureus, seltener auch staphylococcus aureus, staphylococcus aureus 1, sp. aureus 1, s. aureus 2, s. aureus 3 oder s. p. aureus 5 ist ein bakterium, das zur gruppe der parasiten gehört. staphylococcus aureus gehört zu den erregern von akuten oder schweren infektionen, die durch die atmung oder übertragung unbehandelt entzündet werden können. das berichtet eine arbeitsgruppe um den amerikanischen mikrobiologen robert mcdonald von der university of texas in austin im fachmagazin » scientific reports «. der erreger staphylococcus aureus 1, sp. aureus 2, s. aureus 3 ist"
"die haut von frauen altert schneller als die von männern. das haben untersuchungen von wissenschaftlern um martin kaatz von der universität jena mit einer neuen nicht - invasiven methode ergeben. das team um kaatz wandte zwei - photonen - tomografie an, um den anteil der zwei faserproteine kollagen und elastin in der haut der unterarme von 18patienten aller altersgruppen zu bestimmen. aus dem verhältnis von kollagen zu elastin kann auf das biologische alter der haut geschlossen werden, mit dem die kollagenmenge ab - und der anteil an elastin zunimmt. den ergebnissen der sieben weiblichen testpersonen nach zu urteilen, nimmt bei ihnen mit zunehmendem alter der kollagenanteil schneller ab als bei den männlichen. bei der prozedur nutzten die wissenschaftler aus,","die wissenschaftler um elizabeth mcgill von der columbia university in new york haben eine neue methode entwickelt, um das verhältnis von kollagen und elastin in der haut von menschen aller altersstufen und aller hauttypen zu bestimmen. das team um elizabeth mcgill von der columbia university hat das verhältnis von kollagen zu elastin in der haut von 18patienten aller altersstufen untersucht. wie das team in scientific reports schreibt, ist der kollagenanteil in der haut von allen altersstufen gleich geringer, wie er bei männern und frauen, bei weiblichen säugetieren unterschiedlicher zusammensetzung vorkommen kann. die ergebnisse zeigen, dass sich die zusammensetzung der kollagenkomponenten im vergleich zum kollagenanteil bei männern und frauen deutlich verändert."
"raucher können sich ihr laster leichter abgewöhnen, wenn sie möglichst mehrfach von einem berater angerufen werden. lindsay stead von der universität oxford und ihre kollegen ziehen diesen schluss aus einer analyse von 48studien, welche den einfluss verschiedener hilfestellungen beim abgewöhnen des rauchens untersuchten. die telefonisch beratenen sind um die hälfte erfolgreicher als ihre leidensgenossen, die nur selbsthilfematerial oder kurze beratungsgespräche erhielten. der größte effekt zeigte sich, wenn mindestens drei anrufe erfolgten. die forscher aktualisierten mit ihrer analyse ihre frühere studie zum thema aus dem jahr2003.","eine hilfe zum abbrechen von tabak ist eine hilfe, deren ziel es ist, den rauchern zu helfen, tabak abzubrechen. dazu werden gespräche mit einem beratenden oder einer psychotherapeutischen gruppe von menschen ausgesprochen und gefragt, ob sie tabak nehmen oder abbrechen. eine solche hilfe kann entweder helfen, einen rauch abzubrechen, oder zum abbrechen des tabakkonsums beizubehalten. eine solche hilfe kann entweder helfen, einen rauch abzubrechen, oder zum abbrechen des tabakkonsums bei einem psychotherapeutischen gespräch mit einem psychoanalytiker oder einer psychotherapeutischen gruppe mithilfe von psychologischen interventionen helfen. beides gehört zu den ältesten methoden, mit denen menschen ausgewachsene raucher versuchten, abmahlen zu können. seit jahrzehnten versuchen forscher nun,"
"britische forscher haben jetzt herausgefunden, warum malaria - patienten auch für andere infektionskrankheiten anfälliger sind. ihrem bericht zufolge besitzt der erreger plasmodium die fähigkeit, schlüsselzellen des immunsystems zu schwächen [ 1 ]. in ihren versuchen hatten owain millington und sein team von der universität strathclyde dendritische zellen von mäusen mit roten blutzellen konfrontiert, die mit plasmodium chabaudi, dem erreger der mäuse - malaria, infiziert waren. die anschließende immunantwort sei eher schwach ausgefallen, berichten die forscher. sie erklären sich dies mit der präsenz des pigments hämozoin, das beim abbau von hämoglobin durch plasmodium entsteht. dadurch würden die dendritischen zellen nicht in vollem umfang funktionieren : ihre z","eine infektionskrankheit verursacht die immunantwort des immunsystems, wenn sich die immunzellen des immunsystems gezielt gegen ein bestimmtes krankheitserreger verhalten. das gilt auch für die gewebszellen der lunge, die sich in den blutstadien von mäusen mit der infektion infizierter menschen versorgen. die infektionskrankheit führt dann zu einer verminderung der aktivität des immunsystems, was zu einer verminderung der effektiven immunantwort führt. diese ergebnisse zeigen, dass die zellen des immunsystems in den blutstadien von mäusen die aktivität der t - zellen verringern, welche die infektionskrankheit zur folge haben. diese ergebnisse zeigen, dass die zellen des immunsystems in den blutstadien von mäusen die aktivität der t"
"zwei weitere gute gründe für nikotinverzicht liefern zwei studien von der anderen seite der erde. zum einen werteten neuseeländische forscher um george thomson von der wellington school of medicine aus, wie sich dass seit 2004 in dem inselstaat gültige rauchverbot in der öffentlichkeit auswirkte [ 1 ]. demzufolge ist seit dem verabschieden des anti - rauch - gesetzes der tabakkonsum in der freizeit deutlich zurückgegangen, was lunge und geldbeutel gleichermaßen schont. davor hatten 57, 8prozent der raucher angegeben, in kneipen, restaurants und bars öfter als sonst zur kippe zu greifen – nach einem jahr rauchverbot waren es nur noch 28, 6prozent, berichten die forscher nach der auswertung von fragebögen aus den jah","seit dem jahr 2004 ist das rauchverbot in neuseeland offizieller bestandteil der neuen gesetze von neuseeland. seit dem jahr 2004 ist der rauchverbot in neuseeland offizieller bestandteil des neuen verfassungsschutzgesetzes ( new zealand law for the protection of the public health, social safety, and health ). wie das neue verfassungsgesetz zeigt, ist der rauchverbot in neuseeland deutlich geringer als in den früheren gesetzgebungsstaaten der usa. zudem ist der rauchverbot in den letzten jahrzehnten deutlich geringer als in den beiden niederlanden, so dass die auswirkungen auf den gesundheitszustand, die arbeitslosigkeit und den sozialen einfluss der region geringer waren. zudem ist der rauchverbot in neuseeland deutlich geringer als in den beiden"
"asymmetrische große brüste sind einer britischen studie zufolge ein indiz für ein erhöhtes brustkrebsrisiko, berichten forscher von der universität liverpool. sie analysierten mammographie - ergebnisse von rund 500 frauen, die zum zeitpunkt der untersuchung alle gesund gewesen waren. die hälfte der untersuchten hatte dann später tumoren im brustgewebe entwickelt. wie das team um diane scutt herausgefunden hat, korrellieren größenunterschiede der brüste statistisch mit dem brustkrebsrisiko. es erhöht sich um den faktor 1, 5 pro 100 milliliter asymmetrie im volumen der brust. die brust - symmetrie könnte demnach künftig zur bestimmung des brustkrebsrisikos hinzugezogen werden, lautet der vorschlag des forscherteams.","frauen, die vor 40jahren mit brustkrebs geboren wurden, haben das größte brustkrebsrisiko der frauen mit normalem brustgewebe gesehen. das zeigte sich auch bei frauen, die vor 40jahren mit brustkrebs geboren wurden. das risiko stieg im verlauf der zeit um etwa 1, 500 bis 1, 500 pro 100 milliliter auf. das entspricht ungefähr dem verhältnis von 1, 5 bis 1, 5 prozent des erwartungswertes für das risiko für brustkrebs. die ergebnisse der experimentellen untersuchung deuten darauf hin, dass frauen, die vor 40jahren mit brustkrebs geboren wurden, ein größeres risiko für brustkrebs aufweisen könnten, als ihre altersgenossen vorrangig ausnahmen von brustkrebs"
"ob junge salamander erwachsen werden und aus dem wasser an land gehen oder in ihrer entwicklung stehen bleiben, hängt von der umgebungsstruktur ab. gezielt bestimmten ronald bonett und paul chippindale von der texas - universität für jugendliche und für adulte populationen von flachstirn - gelbsalamandern ( eurycea tynerensis ) die flussbett - typen, in denen diese aufgewachsen waren. hierzu untersuchten sie die korngrößen und den grad der sortierung der bodenpartikel. dabei zeigte sich, dass die populationen, die aus flussbetten mit feinem, unsortierten kies stammen, erwachsen werden und aufs land umziehen. solche, die zwischen gröberem schotter heranwachsen, verblieben in diesem stadium. in den hohlräumen zwischen grobem, gut sort","der salamander eurycea tynerensis gehört zu den namensgebenden salamandern. er ist der einzige lebende vertreter der gattung eurycea, die in nordamerika heimisch ist."
"personen, die wenig alkohol trinken, sind mit geringerer wahrscheinlichkeit fettleibig - nicht nur im vergleich zu menschen, die viel trinken, sondern auch zu abstinenzlern. dies ergab eine studie von ahmed arif von der texas - tech - universität in lubbock und james roher von der mayo - klinic in rochester. die beiden us - forscher hatten daten einer umfassenden untersuchung zum thema gesundheit und ernährung ( third national health and nutrition examination survey ) von 1988 bis 1994 ausgewertet. darin hatten 8236 nicht rauchende us - bürger unter anderem angaben zu ihrem trinkverhalten angegeben. arif und roher richteten ihr augenmerk auf die anzahl der täglich konsumierten alkoholika und berechneten den body - mass - index ( bmi ) der befragten. die wenigsten fettle","die us - - landesweite bevölkerung, die alkohol konsumierte, ist nach angaben des us - national health and nutrition service ( nbs - gesundheitsinstitute ) deutlich höher als die landesweiten untersuchungen, die in den usa durchgeführt wurden. die untersuchung zeigte, dass sich der alkoholkonsum im vergleich zu anderen drogenkonsums bei männern und frauen deutlich erhöhte, wenn man in derselben situation konsumierte. die ergebnisse der untersuchung zeigten, dass sich der alkoholkonsum im vergleich zu anderen drogenkonsums bei männern und frauen deutlich erhöhte, wenn man in derselben situation alkohol trinkte. die untersuchung gilt als maßgebend für die gesundheit und den ernährungshaushalt der vereinigten staaten. laut der us - landes"
