bs_p,bs_r,bs_f
53.23,60.67,56.71000000000001
55.28999999999999,60.040000000000006,57.56
55.87,55.779999999999994,55.83
50.74999999999999,51.43,51.09
62.18,59.019999999999996,60.56
60.760000000000005,55.86,58.209999999999994
57.68,58.13,57.9
50.449999999999996,48.82,49.63
60.57,56.93,58.699999999999996
47.61,53.28000000000001,50.29
51.89,55.2,53.49
60.370000000000005,58.18,59.260000000000005
67.97999999999999,58.77,63.04
51.51,51.73,51.62
53.26,53.33,53.300000000000004
65.95,61.529999999999994,63.660000000000004
56.620000000000005,56.120000000000005,56.37
63.04,60.209999999999994,61.59
66.88,61.67,64.17
59.81999999999999,57.57,58.67
54.59,59.19,56.8
49.69,50.96000000000001,50.32
60.019999999999996,55.089999999999996,57.45
60.33,59.07,59.699999999999996
68.13,64.71000000000001,66.38
59.85,55.87,57.79
63.51,58.36,60.81999999999999
64.75999999999999,60.62,62.62
65.03999999999999,58.309999999999995,61.49
53.72,56.25,54.96
48.9,56.3,52.339999999999996
60.629999999999995,57.87,59.21999999999999
50.6,57.60999999999999,53.879999999999995
55.75,55.13,55.44
61.92999999999999,59.21999999999999,60.540000000000006
48.29,50.71,49.47
60.870000000000005,58.39,59.599999999999994
62.870000000000005,61.17,62.0
47.56,47.93,47.74
69.1,59.9,64.17
59.03,57.87,58.45
60.31999999999999,58.60999999999999,59.46
61.38,60.73,61.050000000000004
61.06,57.48,59.209999999999994
52.55,58.230000000000004,55.25
56.00000000000001,55.730000000000004,55.86
65.68,61.919999999999995,63.739999999999995
61.68,59.19,60.41
62.35000000000001,57.64,59.9
66.14999999999999,59.64,62.73
63.05,61.24000000000001,62.129999999999995
50.77,51.31,51.04
61.39,51.83,56.21000000000001
64.53999999999999,59.5,61.919999999999995
53.94,58.099999999999994,55.94
65.64999999999999,59.39,62.370000000000005
53.98,56.010000000000005,54.98
58.46,57.68,58.07
60.089999999999996,52.019999999999996,55.76
61.33,52.44,56.54
60.6,61.82,61.21
58.32000000000001,58.809999999999995,58.56
60.85,60.36,60.6
64.47,53.2,58.3
60.88,62.739999999999995,61.8
60.19,61.7,60.940000000000005
60.36,54.339999999999996,57.19
61.739999999999995,61.22,61.480000000000004
65.14,58.74,61.77
66.44,61.71,63.99
56.92,60.040000000000006,58.440000000000005
68.02,58.43000000000001,62.86000000000001
67.44,61.36000000000001,64.25999999999999
51.2,55.989999999999995,53.49
56.52,59.63,58.03
70.17999999999999,67.42,68.77
69.56,60.69,64.82
61.06,60.440000000000005,60.75000000000001
51.7,56.13,53.83
64.08,58.96,61.41
51.54,54.290000000000006,52.88
50.93,58.56,54.48
56.11000000000001,54.96,55.53
60.42999999999999,55.28999999999999,57.75
65.64,62.96000000000001,64.27000000000001
51.9,54.800000000000004,53.31
46.129999999999995,53.74,49.64
57.99999999999999,57.76,57.879999999999995
55.76,55.400000000000006,55.58
62.19,57.489999999999995,59.75
61.150000000000006,59.81999999999999,60.480000000000004
53.559999999999995,55.31,54.42
53.05,55.010000000000005,54.010000000000005
71.04,59.43000000000001,64.72
63.99,59.13,61.47
65.66,60.86,63.17
63.18,57.220000000000006,60.050000000000004
56.15,56.769999999999996,56.46
62.19,59.8,60.97
63.63999999999999,59.91,61.72
62.86000000000001,59.519999999999996,61.14000000000001
61.53999999999999,60.199999999999996,60.86
60.39,57.60999999999999,58.97
50.22,53.0,51.57000000000001
59.46,58.53,58.989999999999995
66.07,58.24,61.91
57.45,59.309999999999995,58.36
60.519999999999996,55.65,57.989999999999995
64.81,60.67,62.67
62.74999999999999,58.78,60.699999999999996
49.03,56.14,52.339999999999996
63.019999999999996,59.31999999999999,61.12
46.28,52.769999999999996,49.309999999999995
63.41,59.27,61.27
55.900000000000006,58.51,57.17
64.0,58.230000000000004,60.980000000000004
58.709999999999994,56.67,57.67
61.129999999999995,57.31,59.160000000000004
57.99999999999999,55.60000000000001,56.779999999999994
70.11,60.27,64.82
61.519999999999996,61.82,61.67
65.48,59.709999999999994,62.46000000000001
55.65,57.74,56.67
63.41,58.37,60.78
58.809999999999995,59.019999999999996,58.91
59.86,59.27,59.56
61.01,61.25000000000001,61.129999999999995
56.21000000000001,56.21000000000001,56.21000000000001
56.589999999999996,58.69,57.620000000000005
54.75,54.83,54.790000000000006
49.220000000000006,57.05,52.849999999999994
55.33,50.980000000000004,53.06999999999999
60.62,55.04,57.69
67.73,61.71,64.58
67.65,61.83,64.61
53.510000000000005,54.510000000000005,54.0
58.03,59.18,58.599999999999994
61.56,57.599999999999994,59.51
44.769999999999996,51.64,47.96
47.760000000000005,51.690000000000005,49.65
64.02,60.83,62.39
52.92,56.64,54.72
63.519999999999996,60.83,62.150000000000006
48.61,53.15,50.78
51.23,57.589999999999996,54.22
58.96,53.92,56.330000000000005
58.56,56.69,57.60999999999999
66.4,60.69,63.42
56.45,50.74999999999999,53.449999999999996
61.69,57.58,59.56
59.29,58.3,58.79
64.95,57.89,61.22
55.95,52.190000000000005,54.010000000000005
63.18,58.51,60.760000000000005
62.2,61.419999999999995,61.809999999999995
69.46,60.9,64.9
62.83,58.309999999999995,60.49
56.18,56.63,56.410000000000004
59.88,56.730000000000004,58.26
