bleu,p,bp,lr,rl,pl
0.0,,1.0,1.1029411764705883,68,75
0.0,,1.0,1.0,65,65
0.0,,0.5462649509478217,0.6231884057971014,69,43
0.0,,0.18458316238656206,0.3717948717948718,78,29
0.0,,0.4018145135669928,0.5230769230769231,65,34
0.0,,0.1066614757275113,0.3088235294117647,68,21
0.0,,0.7755077614211655,0.7972972972972973,74,59
0.0,,0.34624590072707134,0.4852941176470588,68,33
0.0,,0.9384815675375165,0.9402985074626866,67,63
0.0,,0.38776010329632493,0.5135135135135135,74,38
0.0,,0.7165313105737893,0.75,72,54
0.0,,0.5929013373120886,0.6567164179104478,67,44
0.0,,0.14709646739297685,0.34285714285714286,70,24
0.0,,0.884195644895183,0.8904109589041096,73,65
0.0,,0.5857373951845618,0.6515151515151515,66,43
0.0,,0.23124310614803345,0.4057971014492754,69,28
0.0,,0.8161762130223398,0.8311688311688312,77,64
0.0,,0.6677468436506431,0.7123287671232876,73,52
0.0,,0.40289032152913307,0.5238095238095238,63,33
0.0,,0.8648827846370317,0.8732394366197183,71,62
0.0,,0.751477293075286,0.7777777777777778,72,56
0.0,,0.7165313105737893,0.75,76,57
0.0,,0.19131267379416067,0.37681159420289856,69,26
0.0,,0.12957722275338307,0.32857142857142857,70,23
0.0,,0.6534221277144155,0.7014925373134329,67,47
0.0,,0.18200816983606136,0.3698630136986301,73,27
0.0,,0.5934874977560278,0.6571428571428571,70,46
0.0,,0.7251124219221319,0.7567567567567568,74,56
0.0,,0.06948345122280151,0.2727272727272727,66,18
0.0,,0.9248488132162048,0.927536231884058,69,64
0.0,,0.645648526427892,0.6956521739130435,69,48
0.0,,0.5934874977560278,0.6571428571428571,70,46
0.0,,0.9555630362682843,0.9565217391304348,69,66
0.0,,1.0,1.0597014925373134,67,71
0.0,,0.1066614757275113,0.3088235294117647,68,21
0.0,,0.6731188730678771,0.7164179104477612,67,48
0.0,,1.0,1.0422535211267605,71,74
0.0,,0.10782208975362373,0.30985915492957744,71,22
0.0,,0.4641990366359164,0.5657894736842105,76,43
0.0,,0.11808345764159187,0.3188405797101449,69,22
0.0,,0.7074036474040618,0.7428571428571429,70,52
0.0,,0.15419068667244246,0.3484848484848485,66,23
0.0,,0.2865047968601901,0.4444444444444444,72,32
0.0,,0.5538235798307586,0.6285714285714286,70,44
0.0,,0.869053250930649,0.8769230769230769,65,57
0.0,,0.9384815675375165,0.9402985074626866,67,63
0.0,,0.3175694248747441,0.4657534246575342,73,34
0.0,,0.861350535541493,0.8701298701298701,77,67
0.0,,0.0776490817034759,0.28125,64,18
0.0,,0.23965103644177574,0.4117647058823529,68,28
0.0,,0.8688150562628432,0.8767123287671232,73,64
0.0,,1.0,1.1166666666666667,60,67
0.0,,0.7752688127983692,0.7971014492753623,69,55
0.0,,0.17906614791149328,0.36764705882352944,68,25
0.0,,1.0,1.0735294117647058,68,73
0.0,,0.11648415777349691,0.31746031746031744,63,20
0.0,,0.740818220681718,0.7692307692307693,78,60
0.0,,1.0,1.09375,64,70
0.0,,0.40987957092092403,0.5285714285714286,70,37
0.0,,6.041424029819161e-05,0.09333333333333334,75,7
0.0,,0.9131007162822622,0.9166666666666666,72,66
0.0,,0.9527649034645868,0.9538461538461539,65,62
0.0,,0.14821506633752016,0.34375,64,22
0.0,,0.46918564525488093,0.5692307692307692,65,37
0.0,,0.27768997095378994,0.4383561643835616,73,32
0.0,,0.8574039191604413,0.8666666666666667,75,65
0.0,,0.6065306597126334,0.6666666666666666,66,44
0.0,,0.0820849986238988,0.2857142857142857,70,20
0.0,,0.07808166600115317,0.28169014084507044,71,20
0.0,,0.9555630362682843,0.9565217391304348,69,66
0.0,,0.5044883526787212,0.59375,64,38
0.0235,,0.20660984376867284,0.3880597014925373,67,26
0.0,,0.14162883881018593,0.3384615384615385,65,22
0.0,,0.925961078642316,0.9285714285714286,70,65
0.0,,0.8490507114646861,0.859375,64,55
0.0,,0.9355069850316178,0.9375,64,60
0.0,,0.29352089445137713,0.4492753623188406,69,31
0.0,,0.5094525278516673,0.5972222222222222,72,43
0.0,,0.6703200460356393,0.7142857142857143,70,50
0.0,,0.26086558612628497,0.4266666666666667,75,32
0.0,,0.6183075876067514,0.6753246753246753,77,52
0.0,,0.940316779013957,0.9420289855072463,69,65
0.0,,0.587478932244,0.6527777777777778,72,47
0.0,,0.14821506633752016,0.34375,64,22
0.0,,0.5094525278516673,0.5972222222222222,72,43
0.0,,1.0,1.0597014925373134,67,71
0.0,,0.9248488132162048,0.927536231884058,69,64
0.0,,0.9534969548334766,0.9545454545454546,66,63
0.0,,0.9851854581626466,0.9852941176470589,68,67
0.0,,0.5303880654166784,0.6119402985074627,67,41
0.0,,0.6204732862287333,0.676923076923077,65,44
0.0,,1.0,1.0149253731343284,67,68
0.0,,0.8410729144396826,0.8524590163934426,61,52
0.0,,0.0024787521766663585,0.14285714285714285,70,10
0.0,,0.005617782972323415,0.16176470588235295,68,11
0.0,,0.42906200094310865,0.5416666666666666,72,39
0.0,,0.03214494732687607,0.22535211267605634,71,16
0.0,,0.7552535529531296,0.7808219178082192,73,57
0.0,,0.28868353010276493,0.44594594594594594,74,33
0.0,,0.12304094470311129,0.3230769230769231,65,21
0.0,,0.07642628699076812,0.28,75,21
0.0,,0.8420844271433824,0.8533333333333334,75,64
0.0,,0.5847415256680417,0.6507936507936508,63,41
0.0,,0.5413786357843793,0.6197183098591549,71,44
0.0,,1.0,1.0149253731343284,67,68
0.0,,0.4493289641172217,0.5555555555555556,63,35
0.0,,1.0,1.265625,64,81
0.0,,0.049787068367863944,0.25,68,17
0.0,,0.3779577080933165,0.5068493150684932,73,37
0.0,,0.19342660460039254,0.3783783783783784,74,28
0.0,,0.9394130628134758,0.9411764705882353,68,64
0.0,,0.41111229050718745,0.5294117647058824,68,36
0.0,,1.0,1.0,64,64
0.0,,0.12932139416380586,0.3283582089552239,67,22
0.0,,0.6624801353939264,0.7083333333333334,72,51
0.0,,0.0801536770551255,0.28378378378378377,74,21
0.0,,0.7686205265937356,0.7916666666666666,72,57
0.0,,0.7370609089559301,0.7662337662337663,77,59
0.0,,0.4274149319487267,0.5405405405405406,74,40
0.0,,0.03710076657961781,0.2328767123287671,73,17
0.0,,0.9225209795279595,0.9253731343283582,67,62
0.0,,0.6856702235245872,0.726027397260274,73,53
0.0,,0.8035225736890608,0.8205128205128205,78,64
0.0,,0.20189651799465547,0.38461538461538464,65,25
0.0,,0.7074036474040618,0.7428571428571429,70,52
0.0,,0.6624801353939264,0.7083333333333334,72,51
0.0,,1.0,1.1044776119402986,67,74
0.0,,0.019671754996539097,0.2028985507246377,69,14
0.0,,0.09536916221554961,0.29850746268656714,67,20
0.0,,0.9452195710415634,0.9466666666666667,75,71
0.0,,0.6440364210831414,0.6944444444444444,72,50
0.0,,1.0,1.032258064516129,62,64
0.0,,0.6270890852730561,0.6818181818181818,66,45
0.0,,0.1988141887380742,0.38235294117647056,68,26
0.0,,0.30672055757655664,0.4583333333333333,72,33
0.0,,0.5934874977560278,0.6571428571428571,70,46
0.0,,0.2907492353099861,0.4473684210526316,76,34
0.0,,0.7624743269219466,0.7866666666666666,75,59
0.0,,0.5611439686474896,0.6338028169014085,71,45
0.0,,0.7749924738910129,0.796875,64,51
0.0,,0.3359109812391624,0.4782608695652174,69,33
0.0,,0.7165313105737893,0.75,68,51
0.0,,0.1030308034617642,0.3055555555555556,72,22
0.0,,0.9237026381080495,0.9264705882352942,68,63
0.0,,0.6479367054657429,0.6973684210526315,76,53
0.0,,0.45942582403592663,0.5625,64,36
0.0,,0.8349963972155894,0.8472222222222222,72,61
0.0,,0.45783336177161427,0.5614035087719298,57,32
0.0,,0.6396663858557795,0.6911764705882353,68,47
0.0,,0.12003162851145678,0.32051282051282054,78,25
0.0,,0.8807476526076742,0.8873239436619719,71,63
0.0,,0.042143843509276385,0.24,75,18
0.0,,0.8963942066351505,0.9014084507042254,71,64
0.0,,0.1476303922793064,0.34328358208955223,67,23
0.0,,0.8725252928694237,0.88,75,66
0.0,,0.09697196786440505,0.3,70,21
0.0,,0.18664041484472882,0.37333333333333335,75,28
0.0,,0.21530184919758028,0.39436619718309857,71,28
0.0,,0.7078985082774902,0.7432432432432432,74,55
0.0,,0.8510449576692258,0.8611111111111112,72,62
0.0,,0.0742735782143339,0.2777777777777778,72,20
0.0,,0.751477293075286,0.7777777777777778,72,56
0.0,,0.8915853592544761,0.8970588235294118,68,61
0.0372,,0.4694950324149596,0.5694444444444444,72,41
0.0,,0.5945205479701945,0.6578947368421053,76,50
0.0,,0.03109873190789176,0.2236842105263158,76,17
0.0,,0.4993517885992762,0.5901639344262295,61,36
0.0,,0.7613003866968737,0.7857142857142857,70,55
0.0,,0.9847331232494917,0.9848484848484849,66,65
0.0,,0.14709646739297685,0.34285714285714286,70,24
0.0,,0.6761743325317475,0.71875,64,46
0.0,,0.8979038320326344,0.9027777777777778,72,65
0.0,,0.6755981294711625,0.7183098591549296,71,51
0.0,,0.14821506633752016,0.34375,64,22
0.0,,0.751477293075286,0.7777777777777778,72,56
0.0,,0.7351414805916845,0.7647058823529411,68,52
0.0,,0.22730069704883135,0.40298507462686567,67,27
0.0,,1.0,1.0,64,64
0.0,,0.20774818714360088,0.3888888888888889,72,28
0.0,,0.30961868311660373,0.4603174603174603,63,29
0.0,,0.37768898595171235,0.5066666666666667,75,38
0.0,,0.16403223629617636,0.3561643835616438,73,26
0.0,,0.14134921631707825,0.3382352941176471,68,23
0.0,,0.11373170793120879,0.3150684931506849,73,23
0.0,,0.05280357033430053,0.2537313432835821,67,17
0.0,,0.8265654376242381,0.84,75,63
0.0,,0.14109338070134148,0.3380281690140845,71,24
0.0,,0.8751733190429475,0.8823529411764706,68,60
0.0,,0.1753904336472861,0.36486486486486486,74,27
0.0,,0.9562115350803678,0.9571428571428572,70,67
0.0,,0.4402058500226073,0.5492957746478874,71,39
0.0,,0.9007949642325722,0.9054054054054054,74,67
0.0,,0.6370033323169476,0.6891891891891891,74,51
0.0,,1.0,1.0704225352112675,71,76
0.0,,0.059395939605204784,0.26153846153846155,65,17
0.0,,0.8487976789195573,0.8591549295774648,71,61
0.0,,0.42110845533047503,0.5362318840579711,69,37
0.0,,0.846481724890614,0.8571428571428571,77,66
0.0,,0.8272443414362913,0.8405797101449275,69,58
0.0,,0.140858420921045,0.33783783783783783,74,25
0.0,,0.49774149722499034,0.589041095890411,73,43
0.0,,0.8789456120040121,0.8857142857142857,70,62
0.0,,0.7824830494337697,0.803030303030303,66,53
0.0,,0.36787944117144233,0.5,74,37
0.0,,0.9411939401248326,0.9428571428571428,70,66
0.0,,0.9542066659691884,0.9552238805970149,67,64
0.0,,0.04723445948418638,0.24675324675324675,77,19
0.0,,0.678578505408009,0.7205882352941176,68,49
0.0,,0.9701515036966302,0.9705882352941176,68,66
0.0,,0.5857373951845618,0.6515151515151515,66,43
0.0,,1.0,1.0714285714285714,70,75
0.0,,0.04393693362340742,0.24242424242424243,66,16
0.0,,0.1610425027628398,0.35384615384615387,65,23
0.0,,0.5462649509478217,0.6231884057971014,69,43
0.0,,0.44449751668205656,0.5522388059701493,67,37
0.0,,0.40987957092092403,0.5285714285714286,70,37
0.0,,0.12451447144412302,0.32432432432432434,74,24
0.0,,0.32919298780790557,0.47368421052631576,76,36
0.0,,0.824496438862029,0.8382352941176471,68,57
0.0,,1.0,1.044776119402985,67,70
0.0,,0.27768997095378994,0.4383561643835616,73,32
0.0,,0.09845242738508421,0.3013698630136986,73,22
0.0,,0.9847331232494917,0.9848484848484849,66,65
0.0,,0.3233460205641274,0.4696969696969697,66,31
0.0,,0.7211392131402784,0.7536231884057971,69,52
0.0,,0.28868353010276493,0.44594594594594594,74,33
0.0,,1.0,1.173913043478261,69,81
0.0,,0.6127514327377497,0.6712328767123288,73,49
0.0,,0.3441537868654125,0.4838709677419355,62,30
0.0,,0.14709646739297685,0.34285714285714286,70,24
0.0,,0.7026185226629954,0.7391304347826086,69,51
0.0,,0.8131037598190377,0.8285714285714286,70,58
0.0,,0.678578505408009,0.7205882352941176,68,49
0.0,,0.43887992979155477,0.5483870967741935,62,34
0.0,,0.03934863011150552,0.2361111111111111,72,17
0.0,,0.09868824146980928,0.30158730158730157,63,19
0.0,,0.38831207488047553,0.5138888888888888,72,37
0.0,,0.0032559449856858175,0.14864864864864866,74,11
0.0,,0.34489469893018204,0.484375,64,31
0.0,,0.32919298780790557,0.47368421052631576,76,36
0.0,,0.7211392131402784,0.7536231884057971,69,52
0.0,,0.33846542510674216,0.48,75,36
0.0,,0.925961078642316,0.9285714285714286,70,65
0.0,,0.12904178044763628,0.328125,64,21
0.0,,0.8364643072929833,0.8484848484848485,66,56
0.0,,0.29559943537737077,0.4507042253521127,71,32
0.0,,0.10889280681490526,0.3108108108108108,74,23
0.0,,0.7341140293536103,0.7638888888888888,72,55
0.0,,0.08406285583693755,0.2876712328767123,73,21
0.0,,0.18887560283756186,0.375,72,27
0.0,,0.7624743269219466,0.7866666666666666,75,59
0.0,,0.042143843509276385,0.24,75,18
0.0,,0.38831207488047553,0.5138888888888888,72,37
0.0,,0.5462649509478217,0.6231884057971014,69,43
0.0,,1.0,1.0298507462686568,67,69
0.0,,0.9270409165125936,0.9295774647887324,71,66
0.0,,1.0,1.027027027027027,74,76
0.0,,0.33495804292529496,0.47761194029850745,67,32
0.0,,0.06948345122280151,0.2727272727272727,66,18
0.0,,0.6951439283988786,0.7333333333333333,75,55
0.0,,0.9105103613800342,0.9142857142857143,70,64
0.0,,0.2432189765277741,0.4142857142857143,70,29
0.0,,0.42906200094310865,0.5416666666666666,72,39
0.0,,0.05881647164242988,0.2608695652173913,69,18
0.0,,0.1353352832366127,0.3333333333333333,69,23
0.0,,0.4052602577832694,0.5254237288135594,59,31
0.0,,0.2450605392455259,0.4155844155844156,77,32
0.0,,0.35721702644162273,0.4927536231884058,69,34
0.0,,0.5413786357843793,0.6197183098591549,71,44
0.0,,0.18637397603941003,0.373134328358209,67,25
0.0,,0.7716229467154109,0.7941176470588235,68,54
0.0,,0.09845242738508421,0.3013698630136986,73,22
0.0,,0.8374285311716247,0.8493150684931506,73,62
0.0,,0.9280897238637507,0.9305555555555556,72,67
0.0,,0.39895010544606074,0.5211267605633803,71,37
0.0,,0.9248488132162048,0.927536231884058,69,64
0.0,,0.23851255385430237,0.410958904109589,73,30
0.0,,0.03109873190789176,0.2236842105263158,76,17
0.0,,0.8648827846370317,0.8732394366197183,71,62
0.0,,0.8125749118638209,0.828125,64,53
0.0,,0.12932139416380586,0.3283582089552239,67,22
0.0,,0.6411803884299546,0.6923076923076923,65,45
0.0,,0.5303880654166784,0.6119402985074627,67,41
0.0,,0.1771480897843865,0.36619718309859156,71,26
0.0,,0.09246247606291999,0.29577464788732394,71,21
0.0,,0.03877420783172201,0.23529411764705882,68,16
0.0,,0.8688150562628432,0.8767123287671232,73,64
0.0,,1.0,1.0298507462686568,67,69
0.0,,0.6253850398956968,0.6805555555555556,72,49
0.0,,0.04677062238395898,0.24615384615384617,65,16
0.0,,0.8789456120040121,0.8857142857142857,70,62
0.0,,0.42906200094310865,0.5416666666666666,72,39
0.0,,0.40080281159210923,0.5223880597014925,67,35
0.0,,0.2517521153523297,0.42028985507246375,69,29
0.0,,0.2557291599131006,0.4230769230769231,78,33
0.0,,0.03298294379320916,0.22666666666666666,75,17
0.0,,0.8420844271433824,0.8533333333333334,75,64
0.0,,0.26058463237195323,0.4264705882352941,68,29
0.0,,0.07808166600115317,0.28169014084507044,71,20
0.0,,0.3359109812391624,0.4782608695652174,69,33
0.0,,0.11186346761447101,0.31343283582089554,67,21
0.0,,0.7613003866968737,0.7857142857142857,70,55
0.0,,0.3779577080933165,0.5068493150684932,73,37
0.0,,0.5538235798307586,0.6285714285714286,70,44
0.0,,0.21013607120076472,0.390625,64,25
0.0,,0.5591176578378371,0.6323529411764706,68,43
0.0,,0.9844964370054085,0.9846153846153847,65,64
0.0,,0.8240299628128845,0.8378378378378378,74,62
0.0,,0.5292133415000504,0.6111111111111112,72,44
0.0,,0.2432189765277741,0.4142857142857143,70,29
0.0,,0.7613003866968737,0.7857142857142857,70,55
0.0,,0.06827507409934686,0.2714285714285714,70,19
0.0,,0.14709646739297685,0.34285714285714286,70,24
0.0,,0.9063219745826825,0.9104477611940298,67,61
0.0,,0.316157379963686,0.4647887323943662,71,33
0.0,,0.8039792503313263,0.8208955223880597,67,55
0.0,,0.05830279394681834,0.2602739726027397,73,19
0.0,,0.20339760045860628,0.38571428571428573,70,27
0.0,,0.9568413812767794,0.9577464788732394,71,68
0.0,,0.9542066659691884,0.9552238805970149,67,64
0.0,,0.8963942066351505,0.9014084507042254,71,64
