r1_p,r1_r,r1_f,r2_p,r2_r,r2_f,rL_p,rL_r,rL_f
15.379999999999999,11.76,13.33,0.0,0.0,0.0,9.62,7.35,8.33
8.33,8.33,8.33,0.0,0.0,0.0,6.67,6.67,6.67
19.23,7.46,10.75,4.0,1.52,2.1999999999999997,19.23,7.46,10.75
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16.669999999999998,7.46,10.31,0.0,0.0,0.0,10.0,4.4799999999999995,6.1899999999999995
25.0,6.0600000000000005,9.76,0.0,0.0,0.0,25.0,6.0600000000000005,9.76
19.61,14.08,16.39,4.0,2.86,3.3300000000000005,9.8,7.04,8.200000000000001
6.0600000000000005,2.86,3.88,0.0,0.0,0.0,3.0300000000000002,1.43,1.94
8.33,6.35,7.21,0.0,0.0,0.0,8.33,6.35,7.21
5.13,3.1199999999999997,3.88,0.0,0.0,0.0,2.56,1.5599999999999998,1.94
9.68,3.95,5.609999999999999,0.0,0.0,0.0,9.68,3.95,5.609999999999999
16.28,11.67,13.59,2.3800000000000003,1.69,1.9800000000000002,13.950000000000001,10.0,11.65
26.090000000000003,8.57,12.9,0.0,0.0,0.0,21.740000000000002,7.140000000000001,10.75
6.52,4.6899999999999995,5.45,0.0,0.0,0.0,6.52,4.6899999999999995,5.45
2.27,1.59,1.87,0.0,0.0,0.0,2.27,1.59,1.87
28.000000000000004,10.45,15.22,4.17,1.52,2.22,16.0,5.970000000000001,8.7
11.76,10.81,11.27,1.49,1.37,1.43,8.82,8.110000000000001,8.450000000000001
12.0,8.959999999999999,10.26,0.0,0.0,0.0,10.0,7.46,8.55
29.630000000000003,13.56,18.6,0.0,0.0,0.0,18.52,8.469999999999999,11.63
13.04,9.379999999999999,10.91,0.0,0.0,0.0,8.7,6.25,7.2700000000000005
14.81,11.43,12.9,0.0,0.0,0.0,11.110000000000001,8.57,9.68
10.0,5.13,6.78,0.0,0.0,0.0,7.5,3.85,5.08
19.05,5.56,8.6,0.0,0.0,0.0,14.29,4.17,6.45
12.5,4.62,6.74,0.0,0.0,0.0,8.33,3.08,4.49
22.5,13.850000000000001,17.14,0.0,0.0,0.0,12.5,7.6899999999999995,9.520000000000001
12.5,4.2299999999999995,6.32,0.0,0.0,0.0,12.5,4.2299999999999995,6.32
20.0,9.86,13.209999999999999,2.94,1.43,1.92,14.29,7.04,9.43
13.33,11.59,12.4,3.39,2.94,3.15,11.67,10.14,10.85
33.33,7.9399999999999995,12.82,7.140000000000001,1.6099999999999999,2.63,20.0,4.760000000000001,7.6899999999999995
9.09,6.15,7.340000000000001,0.0,0.0,0.0,6.819999999999999,4.62,5.5
10.71,4.55,6.38,0.0,0.0,0.0,7.140000000000001,3.0300000000000002,4.26
20.93,12.86,15.93,0.0,0.0,0.0,16.28,10.0,12.389999999999999
4.62,4.84,4.72,0.0,0.0,0.0,4.62,4.84,4.72
10.34,9.68,10.0,0.0,0.0,0.0,8.62,8.06,8.33
25.0,6.0600000000000005,9.76,0.0,0.0,0.0,12.5,3.0300000000000002,4.88
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.77,6.94,7.75,0.0,0.0,0.0,7.02,5.56,6.2
25.0,7.35,11.360000000000001,0.0,0.0,0.0,10.0,2.94,4.55
1.18,1.4500000000000002,1.3,0.0,0.0,0.0,1.18,1.4500000000000002,1.3
37.5,8.959999999999999,14.46,0.0,0.0,0.0,25.0,5.970000000000001,9.64
12.280000000000001,10.14,11.110000000000001,0.0,0.0,0.0,8.77,7.249999999999999,7.9399999999999995
20.0,6.25,9.520000000000001,5.26,1.59,2.44,15.0,4.6899999999999995,7.140000000000001
21.43,8.959999999999999,12.629999999999999,0.0,0.0,0.0,14.29,5.970000000000001,8.42
7.5,4.55,5.66,0.0,0.0,0.0,7.5,4.55,5.66
3.45,3.2800000000000002,3.36,0.0,0.0,0.0,1.72,1.6400000000000001,1.68
3.3300000000000005,3.2300000000000004,3.2800000000000002,0.0,0.0,0.0,1.67,1.6099999999999999,1.6400000000000001
25.0,11.43,15.690000000000001,0.0,0.0,0.0,9.379999999999999,4.29,5.88
12.5,11.110000000000001,11.76,0.0,0.0,0.0,7.8100000000000005,6.94,7.35
25.0,6.15,9.879999999999999,6.67,1.5599999999999998,2.53,25.0,6.15,9.879999999999999
28.57,10.0,14.81,10.0,3.39,5.06,23.810000000000002,8.33,12.35
15.870000000000001,13.51,14.6,1.6099999999999999,1.37,1.48,14.29,12.16,13.139999999999999
15.0,14.52,14.75,0.0,0.0,0.0,11.67,11.29,11.48
5.26,2.86,3.6999999999999997,0.0,0.0,0.0,5.26,2.86,3.6999999999999997
18.18,6.15,9.2,0.0,0.0,0.0,13.639999999999999,4.62,6.9
12.07,9.59,10.69,1.7500000000000002,1.39,1.55,8.62,6.8500000000000005,7.630000000000001
13.33,3.1199999999999997,5.06,0.0,0.0,0.0,13.33,3.1199999999999997,5.06
10.71,8.110000000000001,9.229999999999999,0.0,0.0,0.0,8.93,6.76,7.6899999999999995
15.379999999999999,16.669999999999998,16.0,0.0,0.0,0.0,10.77,11.67,11.200000000000001
10.0,2.86,4.44,0.0,0.0,0.0,10.0,2.86,4.44
14.29,1.27,2.33,0.0,0.0,0.0,14.29,1.27,2.33
15.379999999999999,9.229999999999999,11.540000000000001,2.63,1.5599999999999998,1.96,10.26,6.15,7.6899999999999995
16.669999999999998,14.06,15.25,0.0,0.0,0.0,14.81,12.5,13.56
23.53,6.45,10.13,0.0,0.0,0.0,17.65,4.84,7.59
5.26,3.39,4.12,0.0,0.0,0.0,5.26,3.39,4.12
13.73,9.46,11.200000000000001,0.0,0.0,0.0,11.76,8.110000000000001,9.6
17.91,17.91,17.91,3.0300000000000002,3.0300000000000002,3.0300000000000002,11.940000000000001,11.940000000000001,11.940000000000001
9.09,6.9,7.84,0.0,0.0,0.0,6.819999999999999,5.17,5.88
13.33,3.0300000000000002,4.9399999999999995,0.0,0.0,0.0,6.67,1.52,2.4699999999999998
17.65,4.4799999999999995,7.140000000000001,0.0,0.0,0.0,11.76,2.9899999999999998,4.760000000000001
16.439999999999998,17.39,16.900000000000002,4.17,4.41,4.29,13.700000000000001,14.49,14.08
6.25,3.3300000000000005,4.35,0.0,0.0,0.0,6.25,3.3300000000000005,4.35
33.33,11.86,17.5,5.0,1.72,2.56,23.810000000000002,8.469999999999999,12.5
21.740000000000002,7.6899999999999995,11.360000000000001,0.0,0.0,0.0,13.04,4.62,6.819999999999999
2.0,1.4500000000000002,1.68,0.0,0.0,0.0,2.0,1.4500000000000002,1.68
8.62,8.200000000000001,8.4,0.0,0.0,0.0,6.9,6.5600000000000005,6.72
11.32,9.379999999999999,10.26,0.0,0.0,0.0,9.43,7.8100000000000005,8.55
29.630000000000003,11.940000000000001,17.02,11.540000000000001,4.55,6.52,22.220000000000002,8.959999999999999,12.770000000000001
12.5,6.94,8.93,0.0,0.0,0.0,10.0,5.56,7.140000000000001
10.0,4.109999999999999,5.83,0.0,0.0,0.0,6.67,2.74,3.88
33.33,13.04,18.75,3.85,1.47,2.13,18.52,7.249999999999999,10.42
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.81,6.0600000000000005,7.7700000000000005,0.0,0.0,0.0,5.41,3.0300000000000002,3.88
10.42,6.94,8.33,2.13,1.41,1.69,8.33,5.56,6.67
16.669999999999998,4.84,7.5,0.0,0.0,0.0,11.110000000000001,3.2300000000000004,5.0
17.95,10.61,13.33,0.0,0.0,0.0,12.82,7.580000000000001,9.520000000000001
4.29,4.29,4.29,0.0,0.0,0.0,2.86,2.86,2.86
8.06,7.580000000000001,7.8100000000000005,0.0,0.0,0.0,6.45,6.0600000000000005,6.25
19.57,14.52,16.669999999999998,0.0,0.0,0.0,10.870000000000001,8.06,9.26
9.43,8.200000000000001,8.77,0.0,0.0,0.0,9.43,8.200000000000001,8.77
5.88,3.17,4.12,0.0,0.0,0.0,5.88,3.17,4.12
15.0,8.959999999999999,11.21,0.0,0.0,0.0,15.0,8.959999999999999,11.21
7.55,6.15,6.78,0.0,0.0,0.0,5.66,4.62,5.08
3.45,1.67,2.25,0.0,0.0,0.0,3.45,1.67,2.25
54.55,9.09,15.58,10.0,1.54,2.67,27.27,4.55,7.79
40.0,6.15,10.67,0.0,0.0,0.0,20.0,3.08,5.33
20.0,10.61,13.86,2.94,1.54,2.02,14.29,7.580000000000001,9.9
33.33,7.04,11.63,0.0,0.0,0.0,26.669999999999998,5.63,9.3
11.110000000000001,8.82,9.84,1.8900000000000001,1.49,1.67,7.41,5.88,6.5600000000000005
32.14,12.86,18.37,0.0,0.0,0.0,28.57,11.43,16.33
33.33,9.379999999999999,14.63,5.88,1.59,2.5,16.669999999999998,4.6899999999999995,7.32
