bs_p,bs_r,bs_f
51.300000000000004,59.74,55.2
65.86999999999999,61.23,63.46000000000001
58.18,53.93,55.97
57.63,62.32,59.88
62.5,60.57,61.519999999999996
71.43,61.45,66.07
54.39000000000001,58.06,56.16
49.85,49.309999999999995,49.58
59.51,57.16,58.309999999999995
56.49999999999999,57.95,57.220000000000006
62.07,60.019999999999996,61.019999999999996
67.17999999999999,62.82,64.92999999999999
58.13,59.540000000000006,58.830000000000005
59.41,56.15,57.730000000000004
75.37,63.71,69.05
60.36,57.089999999999996,58.68
58.48,59.68,59.07
67.23,59.61,63.190000000000005
58.15,57.220000000000006,57.68
66.17,57.440000000000005,61.49
61.4,61.88,61.63999999999999
56.52,55.589999999999996,56.05
52.059999999999995,57.199999999999996,54.510000000000005
51.24999999999999,56.57,53.779999999999994
66.38,61.9,64.05999999999999
61.31999999999999,55.510000000000005,58.269999999999996
66.5,58.67,62.339999999999996
61.19,58.52,59.830000000000005
62.7,57.8,60.150000000000006
62.33,58.8,60.51
55.800000000000004,58.96,57.34
61.71,57.74,59.660000000000004
46.28,58.34,51.61
57.4,57.199999999999996,57.3
61.550000000000004,62.13999999999999,61.839999999999996
57.63,57.97,57.8
54.64,57.699999999999996,56.13
62.32,60.79,61.550000000000004
63.5,56.21000000000001,59.63
71.19,64.01,67.41
66.2,60.89,63.44
61.14000000000001,58.42,59.75
60.42999999999999,56.230000000000004,58.25
49.53,54.26,51.790000000000006
61.650000000000006,54.24,57.709999999999994
53.459999999999994,54.730000000000004,54.09
65.91,61.11,63.42
65.21000000000001,60.14000000000001,62.57
59.77,55.36,57.48
66.95,59.599999999999994,63.06
63.22,58.650000000000006,60.85
61.129999999999995,57.9,59.47
61.39,51.83,56.21000000000001
57.79,59.089999999999996,58.440000000000005
62.07,59.35,60.68
62.29,59.760000000000005,61.0
62.44,58.620000000000005,60.47
63.160000000000004,61.3,62.21
67.23,58.42,62.519999999999996
60.17,53.05,56.379999999999995
73.8,63.09,68.03
64.97,61.31999999999999,63.09
55.15,56.65,55.88999999999999
64.47,53.2,58.3
56.19,58.040000000000006,57.099999999999994
65.60000000000001,65.09,65.34
63.42,56.28999999999999,59.64
60.92999999999999,63.470000000000006,62.18
62.72,59.089999999999996,60.85
61.92999999999999,60.91,61.419999999999995
64.09,58.489999999999995,61.160000000000004
58.46,56.97,57.699999999999996
58.46,60.3,59.37
47.760000000000005,52.04,49.81
62.45,59.46,60.919999999999995
62.79,64.49000000000001,63.629999999999995
61.22,61.67,61.44
61.339999999999996,57.04,59.11
58.26,58.46,58.36
65.12,58.77,61.78
68.61,61.88,65.07
50.72,59.11,54.59
56.82000000000001,53.38,55.05
62.31,56.43,59.21999999999999
59.85,60.870000000000005,60.35
50.2,53.92,51.99
57.48,57.38999999999999,57.440000000000005
55.36,53.86,54.6
49.55,49.8,49.68
63.28,57.589999999999996,60.3
55.08,59.28,57.099999999999994
58.489999999999995,55.989999999999995,57.21000000000001
54.03,55.71,54.85
68.22,58.269999999999996,62.86000000000001
60.12,59.75,59.93000000000001
68.26,62.33,65.16
53.56999999999999,60.64000000000001,56.88999999999999
62.82,58.3,60.480000000000004
54.14,55.85,54.98
63.3,58.91,61.029999999999994
64.63,60.589999999999996,62.53999999999999
62.21,58.79,60.45
58.230000000000004,57.13,57.68
61.35,57.50999999999999,59.37
66.74,61.96,64.25999999999999
71.08,59.58,64.82
63.61,57.38999999999999,60.34
55.66,58.39,56.989999999999995
52.44,60.0,55.97
66.27,61.86000000000001,63.99
56.410000000000004,60.6,58.43000000000001
50.529999999999994,54.87,52.61
52.75,56.16,54.400000000000006
64.0,61.49,62.72
55.31,59.099999999999994,57.15
58.41,56.34,57.35
61.14000000000001,57.95,59.5
72.33000000000001,60.74,66.03
70.76,59.64,64.73
52.26,58.41,55.169999999999995
53.800000000000004,56.330000000000005,55.04
61.72,58.06,59.830000000000005
57.89,57.620000000000005,57.75
55.76,58.050000000000004,56.879999999999995
63.690000000000005,63.22,63.449999999999996
62.41,59.150000000000006,60.74
69.73,63.89,66.67999999999999
57.599999999999994,56.63,57.11000000000001
58.02,57.96,57.989999999999995
62.86000000000001,58.24,60.46
67.56,60.36,63.74999999999999
63.55,58.93000000000001,61.150000000000006
66.63,54.42,59.91
56.08,58.79,57.4
61.28,55.510000000000005,58.26
48.199999999999996,49.79,48.980000000000004
55.61000000000001,58.89,57.199999999999996
68.2,60.099999999999994,63.9
47.089999999999996,49.059999999999995,48.06
57.58,59.919999999999995,58.720000000000006
67.01,61.42999999999999,64.1
54.510000000000005,58.13,56.26
55.720000000000006,54.92,55.32
56.55,58.64,57.58
54.690000000000005,59.330000000000005,56.92
63.980000000000004,54.02,58.58
65.16999999999999,59.88,62.419999999999995
65.84,59.9,62.73
59.14,54.400000000000006,56.67
54.779999999999994,57.99999999999999,56.34
63.07000000000001,58.269999999999996,60.57
63.519999999999996,57.86,60.56
48.67,52.76,50.629999999999995
64.01,60.760000000000005,62.339999999999996
67.96,60.85,64.21
50.17,50.92,50.54
68.7,57.25,62.45
56.18,56.63,56.410000000000004
67.25999999999999,61.14000000000001,64.05999999999999
69.15,59.96,64.23
69.08999999999999,62.99,65.9
59.019999999999996,58.809999999999995,58.91
66.95,59.21999999999999,62.849999999999994
65.57,60.660000000000004,63.019999999999996
58.650000000000006,58.699999999999996,58.67
67.65,61.519999999999996,64.44
59.11,59.39,59.25
54.86,53.580000000000005,54.21
53.559999999999995,56.00000000000001,54.75
56.25,53.839999999999996,55.02
55.53,57.16,56.330000000000005
49.43,57.02,52.949999999999996
54.92,56.99999999999999,55.94
64.75,60.86,62.739999999999995
63.349999999999994,56.04,59.47
53.44,56.21000000000001,54.790000000000006
64.64999999999999,61.83,63.21
56.42,60.519999999999996,58.4
59.760000000000005,58.379999999999995,59.06
65.8,59.309999999999995,62.39
62.019999999999996,57.66,59.760000000000005
59.36,57.75,58.540000000000006
65.97,60.62,63.18
67.85,60.86,64.16
64.99000000000001,61.95,63.44
63.470000000000006,61.339999999999996,62.39
60.809999999999995,56.49999999999999,58.57
57.220000000000006,57.410000000000004,57.31
61.62,58.02,59.760000000000005
50.71,57.02,53.68000000000001
55.38999999999999,55.32,55.35
56.26,62.21,59.089999999999996
56.489999999999995,52.62,54.49
56.28999999999999,60.28,58.220000000000006
48.84,56.2,52.26
60.629999999999995,56.88999999999999,58.699999999999996
65.7,60.38,62.93
65.99000000000001,61.040000000000006,63.42
60.78,54.269999999999996,57.34
62.06,56.86,59.35
54.04,55.67999999999999,54.85
65.9,57.769999999999996,61.57
52.31,55.69,53.94
63.239999999999995,57.65,60.31999999999999
65.85,57.199999999999996,61.22
56.21000000000001,51.24999999999999,53.61
56.21000000000001,57.9,57.04
69.55,61.83,65.46
66.03999999999999,59.62,62.660000000000004
62.57,55.230000000000004,58.67
48.17,50.38,49.25
68.67,63.23,65.83
73.94,60.38,66.47
55.11000000000001,56.779999999999994,55.93
58.940000000000005,58.489999999999995,58.709999999999994
61.71,60.029999999999994,60.86
57.440000000000005,58.309999999999995,57.87
65.38000000000001,60.08,62.62
61.71,58.830000000000005,60.23
52.690000000000005,53.449999999999996,53.06999999999999
63.449999999999996,59.870000000000005,61.61
58.32000000000001,58.650000000000006,58.48
56.57,60.550000000000004,58.5
61.529999999999994,56.16,58.720000000000006
53.839999999999996,55.14,54.48
58.089999999999996,61.17,59.589999999999996
59.29,56.88999999999999,58.07
51.54,47.63,49.51
54.71,55.45,55.08
52.7,57.34,54.92
63.190000000000005,57.699999999999996,60.31999999999999
66.73,55.989999999999995,60.89
62.53999999999999,58.720000000000006,60.57
67.88,62.6,65.14
67.16,59.660000000000004,63.190000000000005
57.3,61.24000000000001,59.199999999999996
63.75999999999999,60.660000000000004,62.17
58.64,52.96999999999999,55.669999999999995
50.739999999999995,51.66,51.2
62.370000000000005,56.52,59.3
51.06,60.11,55.22
52.04,57.49999999999999,54.63
64.4,60.84,62.57
63.239999999999995,61.129999999999995,62.17
52.42,56.93,54.58
59.489999999999995,58.540000000000006,59.01
63.51,58.4,60.85
48.64,49.87,49.24
59.809999999999995,60.01,59.91
50.89,55.800000000000004,53.23
63.38,55.74,59.31999999999999
65.25999999999999,60.589999999999996,62.839999999999996
53.949999999999996,55.69,54.800000000000004
63.27,63.36000000000001,63.32
58.42,49.559999999999995,53.63
56.379999999999995,56.11000000000001,56.24
51.5,55.37,53.37
52.33,57.550000000000004,54.81
60.89,58.68,59.77
55.82,58.550000000000004,57.15
49.96,52.43,51.17
56.85,59.34,58.07
63.1,58.440000000000005,60.68
60.01,58.089999999999996,59.03
61.739999999999995,59.940000000000005,60.81999999999999
63.68000000000001,56.97,60.14000000000001
59.199999999999996,57.28,58.230000000000004
64.13,58.050000000000004,60.940000000000005
55.05,55.33,55.19
67.72,64.44,66.03999999999999
62.980000000000004,59.050000000000004,60.96
53.23,54.50000000000001,53.86
57.220000000000006,57.19,57.199999999999996
43.0,47.870000000000005,45.31
52.52,51.66,52.09
67.62,57.78,62.31
58.15,58.10999999999999,58.13
63.53,57.589999999999996,60.419999999999995
49.96,52.339999999999996,51.12
62.96000000000001,60.57,61.75000000000001
64.17,58.35,61.12
54.98,54.52,54.75
73.67,62.68,67.73
63.14999999999999,59.12,61.07
64.53999999999999,58.93000000000001,61.61
63.849999999999994,61.550000000000004,62.68
62.019999999999996,58.540000000000006,60.23
65.38000000000001,56.779999999999994,60.78
61.29,59.230000000000004,60.24
66.33,57.93000000000001,61.85000000000001
56.24,55.31,55.769999999999996
58.51,58.85,58.68
57.86,57.720000000000006,57.79
62.35000000000001,57.66,59.91
56.25,54.2,55.2
56.58,56.16,56.37
62.43,62.31,62.370000000000005
49.43,52.839999999999996,51.080000000000005
55.75,54.84,55.28999999999999
63.61,56.28999999999999,59.72
57.730000000000004,59.540000000000006,58.620000000000005
55.620000000000005,53.99,54.790000000000006
61.99,59.84,60.9
64.38000000000001,58.58,61.35
62.63999999999999,61.47,62.050000000000004
63.38,62.129999999999995,62.74999999999999
57.69,57.26,57.47
56.379999999999995,57.78,57.07
56.02,57.75,56.87
59.74,57.85,58.78
63.519999999999996,58.15,60.72
62.71,56.589999999999996,59.5
66.7,57.56,61.79
63.83,59.3,61.480000000000004
63.2,57.87,60.41
58.28,52.42,55.19
60.129999999999995,57.68,58.879999999999995
63.79,58.91,61.25000000000001
65.69,60.370000000000005,62.92
57.709999999999994,58.309999999999995,58.01
54.13,55.2,54.66
65.24,58.940000000000005,61.92999999999999
63.29,58.67,60.89
67.25,62.61,64.84
55.36,51.49,53.349999999999994
60.11,55.46,57.69
68.8,60.84,64.58
70.5,61.89,65.91
61.019999999999996,56.8,58.830000000000005
60.0,59.589999999999996,59.8
62.46000000000001,60.209999999999994,61.31999999999999
62.74999999999999,57.35,59.93000000000001
53.92,54.2,54.059999999999995
57.989999999999995,54.08,55.96
48.82,50.07,49.44
64.91,56.21000000000001,60.24
58.02,58.599999999999994,58.309999999999995
58.32000000000001,56.19,57.230000000000004
59.099999999999994,59.39,59.24
58.879999999999995,50.61,54.43
67.36,60.940000000000005,63.99
59.06,60.73,59.89
59.46,55.54,57.43000000000001
65.58,59.160000000000004,62.2
60.08,54.300000000000004,57.04
54.25,57.95,56.04
67.47,63.17,65.25
62.32,58.37,60.28
55.11000000000001,54.37,54.74
69.24,64.75,66.92
71.07,60.8,65.53999999999999
58.69,55.879999999999995,57.25
51.839999999999996,54.74,53.25
57.28,57.599999999999994,57.440000000000005
52.14,59.0,55.36
62.019999999999996,58.26,60.08
60.97,60.199999999999996,60.58
53.83,57.34,55.53
67.36999999999999,59.699999999999996,63.3
62.79,57.47,60.01
65.18,60.550000000000004,62.78
57.64,60.6,59.08
61.53999999999999,55.71,58.48
61.760000000000005,58.79,60.24
