bleu,p,bp,lr,rl,pl
0.0,,0.5384570096736782,0.6176470588235294,68,42
0.0,,0.059395939605204784,0.26153846153846155,65,17
0.0,,0.5462649509478217,0.6231884057971014,69,43
0.0,,0.2927104369059283,0.44871794871794873,78,35
0.0,,0.4913855054398576,0.5846153846153846,65,38
0.0,,0.049787068367863944,0.25,68,17
0.0,,0.6187833918061408,0.6756756756756757,74,50
0.0,,0.34624590072707134,0.4852941176470588,68,33
0.0,,0.44449751668205656,0.5522388059701493,67,37
0.0,,0.563004259525517,0.6351351351351351,74,47
0.0,,0.8187307530779819,0.8333333333333334,72,60
0.0,,0.031220927161230903,0.22388059701492538,67,15
0.0,,0.846481724890614,0.8571428571428571,70,60
0.0,,0.03710076657961781,0.2328767123287671,73,17
0.0,,0.06948345122280151,0.2727272727272727,66,18
0.0,,0.442290013166128,0.5507246376811594,69,38
0.0,,0.8314240008260071,0.8441558441558441,77,65
0.0,,0.35780119152240514,0.4931506849315068,73,36
0.0,,1.0,1.2222222222222223,63,77
0.0,,0.1240641483501735,0.323943661971831,71,23
0.0,,0.9574533680683809,0.9583333333333334,72,69
0.0,,0.9178564384568926,0.9210526315789473,76,70
0.0,,0.909156442876713,0.9130434782608695,69,63
0.0,,0.9105103613800342,0.9142857142857143,70,64
0.0,,0.2697270310257103,0.43283582089552236,67,29
0.0,,0.08406285583693755,0.2876712328767123,73,21
0.0,,0.22313016014842982,0.4,70,28
0.0,,0.870696738961232,0.8783783783783784,74,65
0.0,,0.9213021648295184,0.9242424242424242,66,61
0.0,,0.8607079764250577,0.8695652173913043,69,60
0.0,,0.5462649509478217,0.6231884057971014,69,43
0.0,,0.2635971381157267,0.42857142857142855,70,30
0.0,,0.940316779013957,0.9420289855072463,69,65
0.0,,0.9849626915252324,0.9850746268656716,67,66
0.0,,0.678578505408009,0.7205882352941176,68,49
0.0,,0.8216600192006036,0.835820895522388,67,56
0.0,,0.7299240328711835,0.7605633802816901,71,54
0.0,,0.15881742610692065,0.352112676056338,71,25
0.0,,0.06081006262521795,0.2631578947368421,76,20
0.0,,0.23124310614803345,0.4057971014492754,69,28
0.0,,0.0820849986238988,0.2857142857142857,70,20
0.0,,0.8364643072929833,0.8484848484848485,66,56
0.0,,1.0,1.0277777777777777,72,74
0.0,,0.9411939401248326,0.9428571428571428,70,66
0.0,,0.7017579979418901,0.7384615384615385,65,48
0.0,,0.9696993240246985,0.9701492537313433,67,65
0.0,,0.23851255385430237,0.410958904109589,73,30
0.0,,0.12493021219858241,0.3246753246753247,77,25
0.0,,0.6964898019931913,0.734375,64,47
0.0,,0.03877420783172201,0.23529411764705882,68,16
0.0,,0.0283678164497131,0.2191780821917808,73,16
0.0,,0.4168620196785084,0.5333333333333333,60,32
0.0,,0.7752688127983692,0.7971014492753623,69,55
0.0,,1.0,1.1470588235294117,68,78
0.0,,0.12357474406161391,0.3235294117647059,68,22
0.0,,0.40289032152913307,0.5238095238095238,63,33
0.0,,0.020754337873699742,0.20512820512820512,78,16
0.0,,1.0,1.0,64,64
0.0,,0.2432189765277741,0.4142857142857143,70,29
0.0,,0.005247518399181385,0.16,75,12
0.0,,0.0039051677242732293,0.1527777777777778,72,11
0.0,,0.24477706843938987,0.4153846153846154,65,27
0.0,,1.0,1.03125,64,66
0.0,,0.46918564525488093,0.5692307692307692,65,37
0.0,,0.884195644895183,0.8904109589041096,73,65
0.0,,0.2047005915353754,0.38666666666666666,75,29
0.0,,0.9213021648295184,0.9242424242424242,66,61
0.0,,0.6703200460356393,0.7142857142857143,70,50
0.0,,0.25495539602650996,0.4225352112676056,71,30
0.0,,0.9555630362682843,0.9565217391304348,69,66
0.0,,0.06299462445432306,0.265625,64,17
0.0,,1.0,1.0298507462686568,67,69
0.0,,1.0,1.0461538461538462,65,68
0.0,,0.5337076954213699,0.6142857142857143,70,43
0.0,,0.2318792628481923,0.40625,64,26
0.0,,0.592260016295893,0.65625,64,42
0.0,,0.9555630362682843,0.9565217391304348,69,66
0.0,,0.0301973834223185,0.2222222222222222,72,16
0.0,,0.9856117608207142,0.9857142857142858,70,69
0.0,,0.08989698196504782,0.29333333333333333,75,22
0.0,,0.20873982339007965,0.38961038961038963,77,30
0.0,,0.9555630362682843,0.9565217391304348,69,66
0.0,,0.7341140293536103,0.7638888888888888,72,55
0.0,,0.0776490817034759,0.28125,64,18
0.0,,0.8022468037952936,0.8194444444444444,72,59
0.0,,1.0,1.0895522388059702,67,73
0.0,,1.0,1.0434782608695652,69,72
0.0,,1.0,1.0909090909090908,66,72
0.0,,0.45408372383450274,0.5588235294117647,68,38
0.0,,0.1476303922793064,0.34328358208955223,67,23
0.0,,1.0,1.0,65,65
0.0,,0.8039792503313263,0.8208955223880597,67,55
0.0,,0.8784207116839918,0.8852459016393442,61,54
0.0,,0.0024787521766663585,0.14285714285714285,70,10
0.0,,0.7165313105737893,0.75,68,51
0.0,,0.22701058771102275,0.4027777777777778,72,29
0.0,,1.0,1.028169014084507,71,73
0.0,,0.12981217685543794,0.3287671232876712,73,24
0.0,,0.5056967074374725,0.5945945945945946,74,44
0.0,,0.1610425027628398,0.35384615384615387,65,23
