r1_p,r1_r,r1_f,r2_p,r2_r,r2_f,rL_p,rL_r,rL_f
13.16,7.35,9.43,0.0,0.0,0.0,10.530000000000001,5.88,7.55
15.379999999999999,3.3300000000000005,5.48,0.0,0.0,0.0,7.6899999999999995,1.67,2.74
20.0,7.46,10.870000000000001,4.17,1.52,2.22,20.0,7.46,10.870000000000001
11.110000000000001,8.110000000000001,9.379999999999999,0.0,0.0,0.0,9.26,6.76,7.8100000000000005
15.15,7.46,10.0,0.0,0.0,0.0,9.09,4.4799999999999995,6.0
40.0,9.09,14.81,7.140000000000001,1.54,2.53,33.33,7.580000000000001,12.35
13.04,8.450000000000001,10.26,2.22,1.43,1.7399999999999998,8.7,5.63,6.84
6.0600000000000005,2.86,3.88,0.0,0.0,0.0,3.0300000000000002,1.43,1.94
15.15,7.9399999999999995,10.42,0.0,0.0,0.0,15.15,7.9399999999999995,10.42
30.23,20.31,24.3,0.0,0.0,0.0,18.6,12.5,14.95
13.639999999999999,11.84,12.68,0.0,0.0,0.0,7.580000000000001,6.58,7.04
13.33,3.3300000000000005,5.33,0.0,0.0,0.0,6.67,1.67,2.67
15.52,12.86,14.06,0.0,0.0,0.0,8.62,7.140000000000001,7.8100000000000005
25.0,6.25,10.0,0.0,0.0,0.0,6.25,1.5599999999999998,2.5
50.0,12.7,20.25,6.67,1.6099999999999999,2.6,43.75,11.110000000000001,17.72
12.5,5.970000000000001,8.08,0.0,0.0,0.0,9.379999999999999,4.4799999999999995,6.0600000000000005
15.15,13.51,14.29,0.0,0.0,0.0,9.09,8.110000000000001,8.57
23.53,11.940000000000001,15.840000000000002,3.0300000000000002,1.52,2.02,23.53,11.940000000000001,15.840000000000002
13.56,13.56,13.56,0.0,0.0,0.0,8.469999999999999,8.469999999999999,8.469999999999999
22.220000000000002,6.25,9.76,0.0,0.0,0.0,16.669999999999998,4.6899999999999995,7.32
16.919999999999998,15.709999999999999,16.3,0.0,0.0,0.0,13.850000000000001,12.86,13.33
23.080000000000002,11.540000000000001,15.379999999999999,0.0,0.0,0.0,12.82,6.41,8.55
8.33,4.17,5.56,0.0,0.0,0.0,8.33,4.17,5.56
4.62,4.62,4.62,0.0,0.0,0.0,3.08,3.08,3.08
30.43,10.77,15.909999999999998,0.0,0.0,0.0,17.39,6.15,9.09
11.110000000000001,2.82,4.49,0.0,0.0,0.0,11.110000000000001,2.82,4.49
28.57,8.450000000000001,13.04,5.0,1.43,2.22,23.810000000000002,7.04,10.870000000000001
6.52,4.35,5.220000000000001,0.0,0.0,0.0,6.52,4.35,5.220000000000001
17.86,15.870000000000001,16.81,0.0,0.0,0.0,12.5,11.110000000000001,11.76
16.33,12.31,14.04,0.0,0.0,0.0,10.2,7.6899999999999995,8.77
12.0,4.55,6.59,0.0,0.0,0.0,8.0,3.0300000000000002,4.3999999999999995
22.58,10.0,13.86,0.0,0.0,0.0,19.35,8.57,11.88
7.8100000000000005,8.06,7.9399999999999995,1.59,1.6400000000000001,1.6099999999999999,6.25,6.45,6.35
10.91,9.68,10.26,0.0,0.0,0.0,7.2700000000000005,6.45,6.84
22.5,13.639999999999999,16.98,0.0,0.0,0.0,17.5,10.61,13.209999999999999
8.7,6.15,7.21,0.0,0.0,0.0,6.52,4.62,5.41
12.2,6.94,8.85,0.0,0.0,0.0,9.76,5.56,7.08
27.27,8.82,13.33,0.0,0.0,0.0,13.639999999999999,4.41,6.67
26.32,7.249999999999999,11.360000000000001,0.0,0.0,0.0,15.790000000000001,4.35,6.819999999999999
17.39,5.970000000000001,8.89,0.0,0.0,0.0,17.39,5.970000000000001,8.89
29.409999999999997,7.249999999999999,11.63,0.0,0.0,0.0,17.65,4.35,6.98
12.73,10.94,11.76,1.8499999999999999,1.59,1.71,10.91,9.379999999999999,10.08
13.750000000000002,16.42,14.97,0.0,0.0,0.0,13.750000000000002,16.42,14.97
5.26,3.0300000000000002,3.85,0.0,0.0,0.0,5.26,3.0300000000000002,3.85
3.0300000000000002,1.6400000000000001,2.13,0.0,0.0,0.0,3.0300000000000002,1.6400000000000001,2.13
10.0,6.45,7.84,0.0,0.0,0.0,7.5,4.84,5.88
25.0,10.0,14.29,0.0,0.0,0.0,10.71,4.29,6.12
28.57,8.33,12.9,0.0,0.0,0.0,19.05,5.56,8.6
11.110000000000001,7.6899999999999995,9.09,2.27,1.5599999999999998,1.8499999999999999,11.110000000000001,7.6899999999999995,9.09
30.769999999999996,6.67,10.96,8.33,1.69,2.82,23.080000000000002,5.0,8.219999999999999
40.0,8.110000000000001,13.48,7.140000000000001,1.37,2.3,33.33,6.76,11.24
17.86,8.06,11.110000000000001,0.0,0.0,0.0,14.29,6.45,8.89
5.26,2.86,3.6999999999999997,0.0,0.0,0.0,5.26,2.86,3.6999999999999997
8.469999999999999,7.6899999999999995,8.06,0.0,0.0,0.0,6.78,6.15,6.45
30.0,8.219999999999999,12.9,0.0,0.0,0.0,20.0,5.48,8.6
14.29,6.25,8.7,3.6999999999999997,1.59,2.22,10.71,4.6899999999999995,6.52
25.0,5.41,8.89,0.0,0.0,0.0,18.75,4.05,6.67
11.899999999999999,8.33,9.8,0.0,0.0,0.0,7.140000000000001,5.0,5.88
21.43,8.57,12.24,3.6999999999999997,1.4500000000000002,2.08,14.29,5.71,8.16
10.0,1.27,2.25,0.0,0.0,0.0,10.0,1.27,2.25
30.0,4.62,8.0,0.0,0.0,0.0,20.0,3.08,5.33
27.27,9.379999999999999,13.950000000000001,4.760000000000001,1.59,2.3800000000000003,18.18,6.25,9.3
14.29,9.68,11.540000000000001,0.0,0.0,0.0,7.140000000000001,4.84,5.7700000000000005
5.26,3.39,4.12,0.0,0.0,0.0,5.26,3.39,4.12
17.78,10.81,13.450000000000001,0.0,0.0,0.0,13.33,8.110000000000001,10.08
23.080000000000002,8.959999999999999,12.9,4.0,1.52,2.1999999999999997,11.540000000000001,4.4799999999999995,6.45
16.98,15.52,16.220000000000002,3.85,3.51,3.6700000000000004,13.209999999999999,12.07,12.61
5.56,3.0300000000000002,3.92,0.0,0.0,0.0,2.78,1.52,1.96
12.0,4.4799999999999995,6.52,0.0,0.0,0.0,8.0,2.9899999999999998,4.35
13.11,11.59,12.31,3.3300000000000005,2.94,3.1199999999999997,9.84,8.7,9.229999999999999
16.669999999999998,3.3300000000000005,5.56,0.0,0.0,0.0,16.669999999999998,3.3300000000000005,5.56
14.860000000000001,18.64,16.54,0.0,0.0,0.0,12.16,15.25,13.530000000000001
14.29,9.229999999999999,11.21,0.0,0.0,0.0,9.520000000000001,6.15,7.48
2.27,1.4500000000000002,1.77,0.0,0.0,0.0,2.27,1.4500000000000002,1.77
15.0,4.92,7.41,0.0,0.0,0.0,15.0,4.92,7.41
8.33,3.1199999999999997,4.55,0.0,0.0,0.0,8.33,3.1199999999999997,4.55
20.9,20.9,20.9,6.0600000000000005,6.0600000000000005,6.0600000000000005,14.93,14.93,14.93
33.33,5.56,9.520000000000001,0.0,0.0,0.0,16.669999999999998,2.78,4.760000000000001
15.909999999999998,9.59,11.97,0.0,0.0,0.0,11.360000000000001,6.8500000000000005,8.55
16.669999999999998,4.35,6.9,0.0,0.0,0.0,16.669999999999998,4.35,6.9
21.43,8.110000000000001,11.76,0.0,0.0,0.0,17.86,6.76,9.8
7.89,4.55,5.7700000000000005,0.0,0.0,0.0,5.26,3.0300000000000002,3.85
3.5700000000000003,2.78,3.1199999999999997,0.0,0.0,0.0,3.5700000000000003,2.78,3.1199999999999997
23.53,6.45,10.13,0.0,0.0,0.0,11.76,3.2300000000000004,5.06
13.209999999999999,10.61,11.76,0.0,0.0,0.0,7.55,6.0600000000000005,6.72
1.39,1.43,1.41,0.0,0.0,0.0,1.39,1.43,1.41
11.27,12.120000000000001,11.68,0.0,0.0,0.0,7.04,7.580000000000001,7.3
5.45,4.84,5.13,0.0,0.0,0.0,3.64,3.2300000000000004,3.42
2.56,1.6400000000000001,2.0,0.0,0.0,0.0,2.56,1.6400000000000001,2.0
10.0,3.17,4.82,0.0,0.0,0.0,10.0,3.17,4.82
10.81,5.970000000000001,7.6899999999999995,0.0,0.0,0.0,10.81,5.970000000000001,7.6899999999999995
17.14,9.229999999999999,12.0,0.0,0.0,0.0,11.43,6.15,8.0
15.15,8.33,10.75,3.1199999999999997,1.69,2.1999999999999997,12.120000000000001,6.67,8.6
50.0,7.580000000000001,13.16,11.110000000000001,1.54,2.7,30.0,4.55,7.89
16.98,13.850000000000001,15.25,1.92,1.5599999999999998,1.72,13.209999999999999,10.77,11.86
32.0,12.120000000000001,17.580000000000002,4.17,1.54,2.25,16.0,6.0600000000000005,8.790000000000001
16.220000000000002,8.450000000000001,11.110000000000001,0.0,0.0,0.0,10.81,5.63,7.41
20.0,5.88,9.09,0.0,0.0,0.0,20.0,5.88,9.09
7.84,5.71,6.61,0.0,0.0,0.0,5.88,4.29,4.96
22.73,7.8100000000000005,11.63,4.760000000000001,1.59,2.3800000000000003,13.639999999999999,4.6899999999999995,6.98
26.090000000000003,8.57,12.9,0.0,0.0,0.0,17.39,5.71,8.6
26.090000000000003,8.33,12.629999999999999,0.0,0.0,0.0,21.740000000000002,6.94,10.530000000000001
18.42,11.67,14.29,0.0,0.0,0.0,10.530000000000001,6.67,8.16
15.790000000000001,4.4799999999999995,6.98,0.0,0.0,0.0,5.26,1.49,2.33
23.810000000000002,7.8100000000000005,11.76,5.0,1.59,2.41,19.05,6.25,9.41
18.75,4.760000000000001,7.59,6.67,1.6099999999999999,2.6,12.5,3.17,5.06
14.29,4.92,7.32,0.0,0.0,0.0,9.520000000000001,3.2800000000000002,4.88
17.95,10.77,13.459999999999999,0.0,0.0,0.0,7.6899999999999995,4.62,5.7700000000000005
11.110000000000001,7.46,8.93,2.27,1.52,1.82,11.110000000000001,7.46,8.93
25.81,10.81,15.24,0.0,0.0,0.0,16.13,6.76,9.520000000000001
10.530000000000001,5.88,7.55,0.0,0.0,0.0,5.26,2.94,3.7699999999999996
5.0,1.54,2.35,0.0,0.0,0.0,5.0,1.54,2.35
8.82,5.0,6.38,0.0,0.0,0.0,5.88,3.3300000000000005,4.26
4.760000000000001,1.69,2.5,0.0,0.0,0.0,4.760000000000001,1.69,2.5
16.28,9.46,11.97,2.3800000000000003,1.37,1.7399999999999998,13.950000000000001,8.110000000000001,10.26
6.25,2.94,4.0,0.0,0.0,0.0,6.25,2.94,4.0
7.6899999999999995,4.41,5.609999999999999,0.0,0.0,0.0,5.13,2.94,3.74
28.57,8.450000000000001,13.04,0.0,0.0,0.0,23.810000000000002,7.04,10.870000000000001
21.740000000000002,7.249999999999999,10.870000000000001,0.0,0.0,0.0,13.04,4.35,6.52
55.559999999999995,7.46,13.16,37.5,4.55,8.110000000000001,55.559999999999995,7.46,13.16
15.379999999999999,8.7,11.110000000000001,0.0,0.0,0.0,12.82,7.249999999999999,9.26
28.57,5.63,9.41,0.0,0.0,0.0,21.43,4.2299999999999995,7.06
16.950000000000003,13.889999999999999,15.27,0.0,0.0,0.0,13.56,11.110000000000001,12.21
7.6899999999999995,6.45,7.02,0.0,0.0,0.0,5.7700000000000005,4.84,5.26
15.379999999999999,11.940000000000001,13.450000000000001,0.0,0.0,0.0,9.62,7.46,8.4
22.220000000000002,6.35,9.879999999999999,0.0,0.0,0.0,16.669999999999998,4.760000000000001,7.41
20.45,13.43,16.220000000000002,4.65,3.0300000000000002,3.6700000000000004,15.909999999999998,10.45,12.61
20.0,3.0300000000000002,5.26,0.0,0.0,0.0,10.0,1.52,2.63
9.09,9.09,9.09,0.0,0.0,0.0,9.09,9.09,9.09
32.0,10.96,16.33,0.0,0.0,0.0,20.0,6.8500000000000005,10.2
33.33,7.140000000000001,11.76,0.0,0.0,0.0,26.669999999999998,5.71,9.41
21.05,6.67,10.13,0.0,0.0,0.0,10.530000000000001,3.3300000000000005,5.06
3.3300000000000005,3.0300000000000002,3.17,0.0,0.0,0.0,3.3300000000000005,3.0300000000000002,3.17
11.67,10.94,11.29,0.0,0.0,0.0,8.33,7.8100000000000005,8.06
33.33,6.35,10.67,0.0,0.0,0.0,16.669999999999998,3.17,5.33
4.35,1.5599999999999998,2.3,0.0,0.0,0.0,4.35,1.5599999999999998,2.3
22.73,7.140000000000001,10.870000000000001,0.0,0.0,0.0,18.18,5.71,8.7
50.0,8.57,14.63,0.0,0.0,0.0,25.0,4.29,7.32
2.7,1.49,1.92,0.0,0.0,0.0,2.7,1.49,1.92
11.43,6.35,8.16,2.94,1.6099999999999999,2.08,8.57,4.760000000000001,6.12
28.000000000000004,10.45,15.22,4.17,1.52,2.22,24.0,8.959999999999999,13.04
14.71,7.6899999999999995,10.100000000000001,0.0,0.0,0.0,8.82,4.62,6.0600000000000005
4.62,4.2299999999999995,4.41,0.0,0.0,0.0,4.62,4.2299999999999995,4.41
13.950000000000001,9.09,11.01,2.3800000000000003,1.54,1.87,6.98,4.55,5.5
12.73,9.33,10.77,0.0,0.0,0.0,7.2700000000000005,5.33,6.15
