bs_p,bs_r,bs_f
52.839999999999996,58.96,55.730000000000004
49.230000000000004,59.040000000000006,53.690000000000005
58.550000000000004,54.14,56.26
49.51,58.42,53.6
64.92999999999999,61.28,63.06
58.29,56.34,57.3
64.85,61.56,63.160000000000004
50.449999999999996,48.82,49.63
56.76,54.730000000000004,55.730000000000004
61.51,57.46,59.419999999999995
65.07,61.17,63.06
60.86,60.19,60.529999999999994
69.81,61.18,65.21000000000001
59.589999999999996,57.13,58.34
76.44999999999999,64.53,69.99
64.24,60.629999999999995,62.38
61.9,59.599999999999994,60.73
67.03,60.72,63.72
67.96,58.64,62.96000000000001
68.8,57.769999999999996,62.8
55.35,60.11,57.63
56.589999999999996,55.06999999999999,55.82
55.17999999999999,54.99000000000001,55.08
48.0,55.16,51.33
68.52000000000001,63.39,65.86
62.480000000000004,56.45,59.309999999999995
71.93,58.95,64.8
57.97,57.13,57.550000000000004
57.43000000000001,57.78,57.60999999999999
66.07,56.65,61.0
61.339999999999996,58.41,59.84
56.71000000000001,54.83,55.75
52.78,58.06,55.28999999999999
63.92,58.879999999999995,61.3
49.669999999999995,53.36,51.44
56.13,58.74,57.410000000000004
58.98,58.85,58.91
46.67,54.510000000000005,50.29
57.089999999999996,56.75,56.92
69.64,63.129999999999995,66.23
53.900000000000006,55.15,54.52
64.4,56.61000000000001,60.25
57.68,61.96,59.74
49.059999999999995,54.31,51.55
59.050000000000004,58.85,58.95
57.46,56.769999999999996,57.11000000000001
60.92999999999999,60.660000000000004,60.8
55.54,56.88999999999999,56.2
59.050000000000004,54.85,56.87
66.94,59.08,62.77
61.42999999999999,61.36000000000001,61.39
51.0,51.55,51.27
62.519999999999996,60.01,61.24000000000001
60.8,58.76,59.760000000000005
56.74,59.209999999999994,57.95
63.94,58.64,61.18
57.940000000000005,58.879999999999995,58.41
63.349999999999994,61.78,62.55
64.67,57.57,60.91
60.150000000000006,53.1,56.410000000000004
57.74,61.58,59.599999999999994
65.58,61.5,63.470000000000006
57.29,59.809999999999995,58.53
66.11,59.089999999999996,62.4
57.709999999999994,58.589999999999996,58.15
58.86,62.78,60.760000000000005
49.68,49.63,49.65
62.46000000000001,61.77,62.12
56.379999999999995,59.12,57.720000000000006
68.26,62.839999999999996,65.44
65.09,59.47,62.150000000000006
60.97,56.43,58.60999999999999
60.41,55.900000000000006,58.07
59.69,59.43000000000001,59.56
59.709999999999994,62.09,60.88
69.97,63.800000000000004,66.75
65.69,60.33,62.89
53.949999999999996,57.35,55.60000000000001
55.169999999999995,56.53,55.84
65.2,57.940000000000005,61.36000000000001
52.99,61.73,57.02
47.77,53.03,50.260000000000005
60.74,61.33,61.029999999999994
62.129999999999995,56.230000000000004,59.03
65.51,62.3,63.870000000000005
50.92,50.67,50.79
54.22,59.919999999999995,56.93
55.35,55.65,55.50000000000001
49.669999999999995,56.089999999999996,52.690000000000005
63.43,57.68,60.419999999999995
55.14,60.370000000000005,57.64
64.61,58.879999999999995,61.61
66.43,60.9,63.54
71.04,59.43000000000001,64.72
57.64,57.46,57.550000000000004
55.45,62.419999999999995,58.730000000000004
48.85,52.27,50.5
59.01,57.42,58.199999999999996
60.69,58.81999999999999,59.74
62.43,59.309999999999995,60.83
60.79,60.309999999999995,60.550000000000004
61.21,58.32000000000001,59.730000000000004
65.60000000000001,57.79,61.45
