r1_p,r1_r,r1_f,r2_p,r2_r,r2_f,rL_p,rL_r,rL_f
16.98,13.239999999999998,14.879999999999999,0.0,0.0,0.0,11.32,8.82,9.92
7.8100000000000005,8.33,8.06,0.0,0.0,0.0,6.25,6.67,6.45
15.379999999999999,5.970000000000001,8.6,4.0,1.52,2.1999999999999997,15.379999999999999,5.970000000000001,8.6
9.379999999999999,8.110000000000001,8.7,0.0,0.0,0.0,9.379999999999999,8.110000000000001,8.7
19.23,7.46,10.75,0.0,0.0,0.0,11.540000000000001,4.4799999999999995,6.45
9.68,9.09,9.379999999999999,0.0,0.0,0.0,8.06,7.580000000000001,7.8100000000000005
29.630000000000003,11.27,16.33,3.85,1.43,2.08,18.52,7.04,10.2
6.0600000000000005,2.86,3.88,0.0,0.0,0.0,3.0300000000000002,1.43,1.94
16.669999999999998,12.7,14.41,0.0,0.0,0.0,10.42,7.9399999999999995,9.01
23.53,12.5,16.33,0.0,0.0,0.0,17.65,9.379999999999999,12.24
32.0,10.530000000000001,15.840000000000002,0.0,0.0,0.0,16.0,5.26,7.920000000000001
7.84,6.67,7.21,0.0,0.0,0.0,3.92,3.3300000000000005,3.5999999999999996
50.0,10.0,16.669999999999998,0.0,0.0,0.0,21.43,4.29,7.140000000000001
19.05,6.25,9.41,0.0,0.0,0.0,4.760000000000001,1.5599999999999998,2.35
47.06,12.7,20.0,6.25,1.6099999999999999,2.56,41.18,11.110000000000001,17.5
36.0,13.43,19.57,4.17,1.52,2.22,16.0,5.970000000000001,8.7
20.0,13.51,16.13,0.0,0.0,0.0,12.0,8.110000000000001,9.68
28.57,11.940000000000001,16.84,3.6999999999999997,1.52,2.15,17.86,7.46,10.530000000000001
29.409999999999997,8.469999999999999,13.16,0.0,0.0,0.0,17.65,5.08,7.89
35.709999999999994,7.8100000000000005,12.82,0.0,0.0,0.0,28.57,6.25,10.26
25.53,17.14,20.51,0.0,0.0,0.0,14.89,10.0,11.97
13.11,10.26,11.51,0.0,0.0,0.0,9.84,7.6899999999999995,8.63
7.89,4.17,5.45,0.0,0.0,0.0,5.26,2.78,3.64
3.17,3.08,3.1199999999999997,0.0,0.0,0.0,3.17,3.08,3.1199999999999997
22.220000000000002,9.229999999999999,13.04,0.0,0.0,0.0,14.81,6.15,8.7
5.88,1.41,2.27,0.0,0.0,0.0,5.88,1.41,2.27
30.769999999999996,5.63,9.520000000000001,8.33,1.43,2.44,23.080000000000002,4.2299999999999995,7.140000000000001
12.5,11.59,12.030000000000001,1.59,1.47,1.53,10.94,10.14,10.530000000000001
14.49,15.870000000000001,15.15,1.47,1.6099999999999999,1.54,10.14,11.110000000000001,10.61
38.46,7.6899999999999995,12.82,0.0,0.0,0.0,30.769999999999996,6.15,10.26
8.57,4.55,5.94,0.0,0.0,0.0,8.57,4.55,5.94
13.51,7.140000000000001,9.35,0.0,0.0,0.0,8.110000000000001,4.29,5.609999999999999
10.2,8.06,9.01,2.08,1.6400000000000001,1.83,8.16,6.45,7.21
18.18,6.45,9.520000000000001,0.0,0.0,0.0,13.639999999999999,4.84,7.140000000000001
4.35,1.52,2.25,0.0,0.0,0.0,4.35,1.52,2.25
13.639999999999999,9.229999999999999,11.01,0.0,0.0,0.0,11.360000000000001,7.6899999999999995,9.17
19.23,13.889999999999999,16.13,0.0,0.0,0.0,15.379999999999999,11.110000000000001,12.9
