reference,system
"das farb - gen csf1ra sorgt in männlichen barschen für charakteristische pigmentflecken, die für die erfolgreiche befruchtung der eier notwendig sind. walter salzburger und ingo braasch klärten an der universität konstanz damit die genetische herkunft dieser optischen ei - attrappen auf, die im paarungsritus der fische die weibchen anlocken. die neunzehn barscharten, die die forscher für ihre untersuchungen auswählten, gehörten zu gruppe","die haplochromine ( auch : haplochromine ) sind eine gruppe von arten, die in der biologie, der biologie, der biologie und der biologie, der biologie, der biologie, der biologie, der biologie, der biologie, der biologie, der biologie, der biologie, der biologie, der biologie, der biologie, der biologie, der biologie, der biologie, der biologie, der biologie, der"
"der nil - tilapia ( oreochromis niloticus ) - eine afrikanische buntbarschart - vertilgt dermaßen viele larven malaria übertragender mücken, dass er als natürliche waffe gegen die fiebererkrankung eingesetzt werden könnte. zu dieser überzeugung gelangen annabel howard und kollegen vom internationalen zentrum für insektenphysiologie und - ökologie ( icipe ) in nairobi nach mehrmonatigen studien mit der art in nicht mehr genutzten fisch",der begriff malaria-kontrolle ( englisch malaria mosquito control ) bezeichnet in der biologie eine methode zur bestimmung der anzahl der anzahl der anzahl der anzahl der anzahl der anzahl der anzahl der anzahl der anzahl der anzahl der anzahl der anzahl der anzahl der anzahl der anzahl der anzahl der anzahl der anzahl der anzahl der anzahl der anzahl der anzahl der anzahl der anzahl
"der krankheitserreger staphylococcus aureus nistet sich in den zellen seines wirts ein und entgeht so dem immunsystem und antibiotika. dies fanden christian garzoni von der universität genf und kollegen heraus. ist das bakterium erst einmal in eine lungenzelle gelangt, bleibt es möglichst unauffällig. die schweizer forscher untersuchten im reagenzglas, auf welche teile seines erbguts der keim vor und nach dem eintritt in die wirtszelle","als staphylococcus aureus ( auch staphylococcus aureus ) wird eine infektionskrankheit bezeichnet, bei der infektionskrankheiten, infektionskrankheiten, infektionskrankheiten, infektionskrankheiten, infektionskrankheiten, infektionskrankheiten, infektionskrankheiten, infektionskrankheiten, infektionskrankheiten, infektionskrankheiten, infektionskrankheiten, infektionskrankheiten, infektionskrankheiten, infektionskrankheiten,"
"die haut von frauen altert schneller als die von männern. das haben untersuchungen von wissenschaftlern um martin kaatz von der universität jena mit einer neuen nicht - invasiven methode ergeben. das team um kaatz wandte zwei - photonen - tomografie an, um den anteil der zwei faserproteine kollagen und elastin in der haut der unterarme von 18patienten aller altersgruppen zu bestimmen. aus dem verhältnis von kollagen zu elastin kann auf das biologische alter der",der begriff der shg-to-af-index ( shg ) ist eine methode zur bestimmung der anzahl der anzahl der anzahl der anzahl der anzahl der anzahl der anzahl der anzahl der anzahl der anzahl der anzahl der anzahl der anzahl der anzahl der anzahl der anzahl der anzahl der anzahl der anzahl der anzahl der anzahl der anzahl der anzahl der anzahl der anzahl der
"raucher können sich ihr laster leichter abgewöhnen, wenn sie möglichst mehrfach von einem berater angerufen werden. lindsay stead von der universität oxford und ihre kollegen ziehen diesen schluss aus einer analyse von 48studien, welche den einfluss verschiedener hilfestellungen beim abgewöhnen des rauchens untersuchten. die telefonisch beratenen sind um die hälfte erfolgreicher als ihre leidensgenossen, die nur selbsthilfematerial oder kurze beratungsgespräche","der begriff telephone counselling ( englisch : telephone counselling ) bezeichnet in der medizin eine methode zur unterstützung von menschen, die sich mit hilfe einer sprechstelle beschäftigt."
"britische forscher haben jetzt herausgefunden, warum malaria - patienten auch für andere infektionskrankheiten anfälliger sind. ihrem bericht zufolge besitzt der erreger plasmodium die fähigkeit, schlüsselzellen des immunsystems zu schwächen [ 1 ]. in ihren versuchen hatten owain millington und sein team von der universität strathclyde dendritische zellen von mäusen mit roten blutzellen konfrontiert, die mit plasmodium chabaudi, dem erreger der mäuse -","die adaptive immunreaktion ( dc ) ist ein begriff aus der biologie, der sich mit der adaptiven immunreaktion beschäftigt. die adaptive immunreaktion ist eine wichtige rolle bei der adaptiven immunreaktion. die adaptive immunreaktion ist eine wichtige rolle bei der adaptiven immunreaktion. die adaptive immunreaktion ist eine wichtige rolle bei der adaptiven immunreaktion. die adaptive immunreaktion ist eine wichtige rolle bei der adaptiven immunreaktion."
"zwei weitere gute gründe für nikotinverzicht liefern zwei studien von der anderen seite der erde. zum einen werteten neuseeländische forscher um george thomson von der wellington school of medicine aus, wie sich dass seit 2004 in dem inselstaat gültige rauchverbot in der öffentlichkeit auswirkte [ 1 ]. demzufolge ist seit dem verabschieden des anti - rauch - gesetzes der tabakkonsum in der freizeit deutlich zurückgegangen, was lunge und geldbeutel gleichermaß",der begriff smokefree bar ( englisch smoke free bar ) ist ein begriff aus dem bereich der gesundheits- und gesundheitspolitik. er wurde von der regierungsorganisation new zealand veröffentlicht.
"asymmetrische große brüste sind einer britischen studie zufolge ein indiz für ein erhöhtes brustkrebsrisiko, berichten forscher von der universität liverpool. sie analysierten mammographie - ergebnisse von rund 500 frauen, die zum zeitpunkt der untersuchung alle gesund gewesen waren. die hälfte der untersuchten hatte dann später tumoren im brustgewebe entwickelt. wie das team um diane scutt herausgefunden hat, korrellieren größenunterschiede der brüste statisti",der begriff asymmetrische asymmetrische asymmetrische asymmetrische asymmetrische asymmetrische asymmetrische asymmetrische asymmetrische asymmetrische asymmetrische asymmetrische asymmetrische asymmetrische asymmetrische asymmetrische asymmetrische asymmetrische asymmetrische asymmetrische asymmetrische asymmetrische asymmetrische asymmetrische asymmetrische asymmetrische asymmetrische asymmetrische asymmetrische asymmetrische asymmetrische
"ob junge salamander erwachsen werden und aus dem wasser an land gehen oder in ihrer entwicklung stehen bleiben, hängt von der umgebungsstruktur ab. gezielt bestimmten ronald bonett und paul chippindale von der texas - universität für jugendliche und für adulte populationen von flachstirn - gelbsalamandern ( eurycea tynerensis ) die flussbett - typen, in denen diese aufgewachsen waren. hierzu untersuchten sie die korngrößen","der begriff habitat variation bezeichnet in der ökologie die wechselwirkung zwischen den wechselwirkungen zwischen entwicklungs- und entwicklungsbedingungen zwischen entwicklungs- und entwicklungsbedingungen. der begriff habitat variation beschreibt die wechselwirkung zwischen entwicklungs- und entwicklungsbedingungen zwischen entwicklungs- und entwicklungsbedingungen, entwicklungs- und entwicklungsbedingungen, entwicklungs- und entwicklungsbedingungen, entwicklungs- und entwicklungsbedingungen, entwicklungs- und entwicklungsbedingungen"
"personen, die wenig alkohol trinken, sind mit geringerer wahrscheinlichkeit fettleibig - nicht nur im vergleich zu menschen, die viel trinken, sondern auch zu abstinenzlern. dies ergab eine studie von ahmed arif von der texas - tech - universität in lubbock und james roher von der mayo - klinic in rochester. die beiden us - forscher hatten daten einer umfassenden untersuchung zum thema gesundheit und ernährung ( third national","der körpergewichtsindex ( auch körpergewichtsindex ) ist ein statistischer maß für die gesundheits- und gesundheitsgesundheit, der sich mit der gesundheits- und gesundheitsgesundheit befasst. der körpergewichtsindex ist ein maß für die gesundheitsgesundheit."
