bs_p,bs_r,bs_f
60.56,59.25,59.9
64.38000000000001,59.28,61.73
65.51,60.41,62.86000000000001
54.08,58.9,56.38999999999999
59.63,60.23,59.93000000000001
64.3,61.92999999999999,63.09
63.129999999999995,61.1,62.1
50.449999999999996,48.82,49.63
69.5,56.93,62.59
67.95,60.980000000000004,64.28
60.18,57.38999999999999,58.75
67.03,63.470000000000006,65.2
68.89,61.9,65.21000000000001
59.589999999999996,57.13,58.34
43.87,47.55,45.64
65.61,59.599999999999994,62.46000000000001
57.550000000000004,57.92,57.74
63.980000000000004,55.28999999999999,59.31999999999999
64.8,58.440000000000005,61.45
61.68,57.06,59.28
57.65,59.809999999999995,58.709999999999994
60.19,58.3,59.230000000000004
55.57,55.74,55.65
59.74,57.550000000000004,58.620000000000005
68.16,63.29,65.63
61.06,56.24,58.550000000000004
64.78,57.879999999999995,61.14000000000001
53.669999999999995,56.75,55.169999999999995
55.21,56.66,55.92
60.25,58.089999999999996,59.150000000000006
62.33,59.660000000000004,60.97
62.29,57.15,59.61
47.25,58.36,52.22
55.43,57.730000000000004,56.56
63.62,60.22,61.870000000000005
56.769999999999996,56.66,56.71000000000001
53.15,56.269999999999996,54.669999999999995
52.739999999999995,55.48,54.08
55.22,54.379999999999995,54.790000000000006
65.36,63.27,64.3
60.45,58.699999999999996,59.56
62.9,59.260000000000005,61.019999999999996
46.53,56.13,50.88
41.67,47.599999999999994,44.440000000000005
59.85,55.089999999999996,57.37
50.12,51.38,50.739999999999995
57.54,59.230000000000004,58.37
57.65,60.91,59.230000000000004
62.71,58.57,60.57
65.36999999999999,58.989999999999995,62.019999999999996
64.86,59.5,62.06
64.03,60.12,62.01
61.9,57.14,59.43000000000001
62.74999999999999,58.660000000000004,60.64000000000001
62.07,59.35,60.68
66.17,58.809999999999995,62.27
52.019999999999996,58.18,54.93
65.05,61.529999999999994,63.239999999999995
68.91000000000001,58.5,63.28
60.150000000000006,53.1,56.410000000000004
72.61,62.529999999999994,67.19000000000001
65.42,59.88,62.529999999999994
56.42,55.88999999999999,56.16
64.3,58.79,61.419999999999995
56.65,53.059999999999995,54.800000000000004
55.57,61.650000000000006,58.45
58.14,48.22,52.71
65.41,61.94,63.629999999999995
60.809999999999995,59.419999999999995,60.11
67.97999999999999,62.45,65.10000000000001
52.1,57.18,54.52
58.25,56.37,57.29
58.76,58.29,58.52
51.2,55.989999999999995,53.49
51.05,53.910000000000004,52.44
70.56,63.629999999999995,66.92
48.55,51.43,49.95
55.71,58.39,57.02
56.79,56.89999999999999,56.84
65.9,59.39,62.480000000000004
51.06,58.8,54.66
51.67,58.120000000000005,54.7
51.4,53.510000000000005,52.43
61.17,54.83,57.830000000000005
47.75,58.01,52.38
56.10000000000001,53.71,54.879999999999995
62.8,59.8,61.260000000000005
49.59,50.49,50.03999999999999
57.49999999999999,55.05,56.25
62.7,57.220000000000006,59.84
54.730000000000004,57.56,56.11000000000001
65.06,60.4,62.63999999999999
54.44,51.78,53.080000000000005
55.089999999999996,58.07,56.54
55.089999999999996,59.14,57.04
60.96,61.129999999999995,61.040000000000006
63.57000000000001,56.86,60.029999999999994
62.629999999999995,56.93,59.64
65.03,61.6,63.27
61.42999999999999,57.91,59.62
64.36,62.370000000000005,63.349999999999994
49.75,56.71000000000001,53.0
54.44,55.25,54.84
60.260000000000005,57.709999999999994,58.96
63.71,61.760000000000005,62.72
70.24000000000001,58.75,63.980000000000004
59.81999999999999,56.06,57.879999999999995
63.080000000000005,60.56,61.8
54.43,60.19,57.17
58.95,58.43000000000001,58.69
58.43000000000001,59.5,58.96
50.980000000000004,54.21,52.54
57.4,59.24,58.3
62.4,59.67,61.0
41.46,47.14,44.12
57.79,56.589999999999996,57.18
63.33,58.379999999999995,60.760000000000005
67.67,62.3,64.87
57.489999999999995,55.779999999999994,56.620000000000005
53.42,58.589999999999996,55.88999999999999
58.76,57.38999999999999,58.07
59.330000000000005,54.910000000000004,57.04
54.86,53.97,54.410000000000004
55.65,57.08,56.36
60.42999999999999,59.78,60.099999999999994
60.06,59.69,59.88
63.690000000000005,59.699999999999996,61.629999999999995
54.14,55.94,55.02
60.0,61.46,60.72
63.370000000000005,57.989999999999995,60.56
58.040000000000006,60.17,59.08
49.38,49.01,49.19
59.34,55.25,57.220000000000006
55.879999999999995,59.74,57.75
51.72,58.24,54.779999999999994
58.5,57.589999999999996,58.040000000000006
59.050000000000004,58.730000000000004,58.89
69.93,59.14,64.09
50.019999999999996,49.88,49.95
64.08,59.650000000000006,61.78
56.269999999999996,59.199999999999996,57.699999999999996
52.559999999999995,56.71000000000001,54.55
59.050000000000004,58.43000000000001,58.74
57.06,59.540000000000006,58.269999999999996
48.66,56.510000000000005,52.290000000000006
54.910000000000004,54.42,54.66
62.849999999999994,58.040000000000006,60.35
65.62,59.089999999999996,62.18
61.07,57.11000000000001,59.019999999999996
51.800000000000004,55.120000000000005,53.410000000000004
58.709999999999994,57.24,57.97
63.23,57.86,60.42999999999999
56.39999999999999,59.12,57.730000000000004
60.88,59.08,59.97
67.88,59.550000000000004,63.44
46.44,55.36,50.51
56.05,54.64,55.33
45.269999999999996,50.61,47.79
55.95,56.74,56.34
61.61,56.8,59.11
58.43000000000001,59.519999999999996,58.97
58.06,54.86,56.42
66.73,59.07,62.67
