bleu,p,bp,lr,rl,pl
0.0,,0.07585380812713456,0.27941176470588236,68,19
0.0,,0.14162883881018593,0.3384615384615385,65,22
0.0,,0.8272443414362913,0.8405797101449275,69,58
0.0,,0.8485900219960868,0.8589743589743589,78,67
0.0,,0.9365299559357892,0.9384615384615385,65,61
0.0,,0.6592406302004439,0.7058823529411765,68,48
0.0,,0.32814958777058006,0.47297297297297297,74,35
0.0,,0.34624590072707134,0.4852941176470588,68,33
0.0046,,0.022692647952160423,0.208955223880597,67,14
0.0,,0.05531357938467046,0.25675675675675674,74,19
0.0,,0.3270484156923281,0.4722222222222222,72,34
0.0,,0.22730069704883135,0.40298507462686567,67,27
0.0,,0.20339760045860628,0.38571428571428573,70,27
0.0,,0.11373170793120879,0.3150684931506849,73,23
0.0,,0.9692332344763441,0.9696969696969697,66,64
0.0,,0.027323722447292545,0.21739130434782608,69,15
0.0,,0.8760317528329519,0.8831168831168831,77,68
0.0,,0.3779577080933165,0.5068493150684932,73,37
0.0,,1.0,1.1746031746031746,63,74
0.0,,0.6755981294711625,0.7183098591549296,71,51
0.0,,0.751477293075286,0.7777777777777778,72,56
0.0,,0.48322508118982543,0.5789473684210527,76,44
0.0,,0.8932370982332877,0.8985507246376812,69,62
0.0,,0.12957722275338307,0.32857142857142857,70,23
0.0,,0.3130819434391286,0.4626865671641791,67,31
0.0,,0.08406285583693755,0.2876712328767123,73,21
0.0,,0.22313016014842982,0.4,70,28
0.0,,0.9155454289236553,0.918918918918919,74,68
0.0,,0.5647181220077593,0.6363636363636364,66,42
0.0,,0.8101577349324267,0.8260869565217391,69,57
0.0,,0.23124310614803345,0.4057971014492754,69,28
0.0,,0.32588454355738394,0.4714285714285714,70,33
0.0,,0.940316779013957,0.9420289855072463,69,65
0.0,,0.9696993240246985,0.9701492537313433,67,65
0.0,,0.12357474406161391,0.3235294117647059,68,22
0.0,,0.9063219745826825,0.9104477611940298,67,61
0.0,,0.9714305430681085,0.971830985915493,71,69
0.0,,0.8807476526076742,0.8873239436619719,71,63
0.0,,0.5395492141873537,0.618421052631579,76,47
0.0,,0.8101577349324267,0.8260869565217391,69,57
0.0,,0.6514390575310556,0.7,70,49
0.0,,0.1353352832366127,0.3333333333333333,66,22
0.0,,0.9280897238637507,0.9305555555555556,72,67
0.0,,0.32588454355738394,0.4714285714285714,70,33
0.0,,0.5995188231194237,0.6615384615384615,65,43
0.0,,0.5722727675712236,0.6417910447761194,67,43
0.0,,0.8688150562628432,0.8767123287671232,73,64
0.0,,0.7851068279713449,0.8051948051948052,77,62
0.0,,0.7362964551863368,0.765625,64,49
0.0,,0.06217652402211632,0.2647058823529412,68,18
0.0,,0.0283678164497131,0.2191780821917808,73,16
0.0,,0.11556816651413947,0.31666666666666665,60,19
0.0,,0.15335496684492847,0.34782608695652173,69,24
0.0,,0.07585380812713456,0.27941176470588236,68,19
0.0,,0.12357474406161391,0.3235294117647059,68,22
0.0,,0.24097142449614925,0.4126984126984127,63,26
0.0,,0.9473808953395987,0.9487179487179487,78,74
0.0,,0.14821506633752016,0.34375,64,22
0.0,,0.04426118996980666,0.24285714285714285,70,17
0.0,,0.005247518399181385,0.16,75,12
0.0,,0.015877422572448646,0.19444444444444445,72,14
0.0,,0.14162883881018593,0.3384615384615385,65,22
0.0,,0.12904178044763628,0.328125,64,21
