r1_p,r1_r,r1_f,r2_p,r2_r,r2_f,rL_p,rL_r,rL_f
30.769999999999996,5.88,9.879999999999999,0.0,0.0,0.0,30.769999999999996,5.88,9.879999999999999
18.75,5.0,7.89,0.0,0.0,0.0,12.5,3.3300000000000005,5.26
20.75,16.42,18.33,1.92,1.52,1.69,13.209999999999999,10.45,11.67
15.15,13.51,14.29,1.54,1.37,1.4500000000000002,9.09,8.110000000000001,8.57
16.07,13.43,14.63,0.0,0.0,0.0,8.93,7.46,8.129999999999999
20.41,15.15,17.39,0.0,0.0,0.0,12.24,9.09,10.43
32.35,15.49,20.95,3.0300000000000002,1.43,1.94,17.65,8.450000000000001,11.43
6.0600000000000005,2.86,3.88,0.0,0.0,0.0,3.0300000000000002,1.43,1.94
36.36,6.35,10.81,10.0,1.6099999999999999,2.78,27.27,4.760000000000001,8.110000000000001
23.53,6.25,9.879999999999999,0.0,0.0,0.0,17.65,4.6899999999999995,7.41
10.71,3.95,5.7700000000000005,0.0,0.0,0.0,10.71,3.95,5.7700000000000005
21.43,10.0,13.639999999999999,0.0,0.0,0.0,14.29,6.67,9.09
41.67,14.29,21.279999999999998,0.0,0.0,0.0,25.0,8.57,12.770000000000001
19.05,6.25,9.41,0.0,0.0,0.0,4.760000000000001,1.5599999999999998,2.35
4.6899999999999995,4.760000000000001,4.72,0.0,0.0,0.0,4.6899999999999995,4.760000000000001,4.72
35.709999999999994,7.46,12.35,15.379999999999999,3.0300000000000002,5.06,28.57,5.970000000000001,9.879999999999999
19.35,16.220000000000002,17.65,1.6400000000000001,1.37,1.49,11.29,9.46,10.290000000000001
2.63,1.49,1.9,0.0,0.0,0.0,2.63,1.49,1.9
13.209999999999999,11.86,12.5,0.0,0.0,0.0,9.43,8.469999999999999,8.93
20.0,12.5,15.379999999999999,2.56,1.59,1.96,15.0,9.379999999999999,11.540000000000001
16.669999999999998,12.86,14.52,0.0,0.0,0.0,11.110000000000001,8.57,9.68
23.080000000000002,11.540000000000001,15.379999999999999,0.0,0.0,0.0,12.82,6.41,8.55
9.09,6.94,7.870000000000001,0.0,0.0,0.0,5.45,4.17,4.72
9.09,3.08,4.6,0.0,0.0,0.0,9.09,3.08,4.6
22.220000000000002,9.229999999999999,13.04,0.0,0.0,0.0,14.81,6.15,8.7
16.669999999999998,4.2299999999999995,6.74,0.0,0.0,0.0,16.669999999999998,4.2299999999999995,6.74
23.810000000000002,7.04,10.870000000000001,0.0,0.0,0.0,19.05,5.63,8.7
9.09,8.7,8.89,1.54,1.47,1.5,7.580000000000001,7.249999999999999,7.41
11.899999999999999,7.9399999999999995,9.520000000000001,0.0,0.0,0.0,9.520000000000001,6.35,7.62
20.0,12.31,15.24,0.0,0.0,0.0,12.5,7.6899999999999995,9.520000000000001
22.73,7.580000000000001,11.360000000000001,0.0,0.0,0.0,13.639999999999999,4.55,6.819999999999999
15.620000000000001,7.140000000000001,9.8,0.0,0.0,0.0,12.5,5.71,7.84
6.25,6.45,6.35,1.59,1.6400000000000001,1.6099999999999999,6.25,6.45,6.35
13.73,11.29,12.389999999999999,0.0,0.0,0.0,9.8,8.06,8.85
16.669999999999998,4.55,7.140000000000001,0.0,0.0,0.0,16.669999999999998,4.55,7.140000000000001
8.62,7.6899999999999995,8.129999999999999,0.0,0.0,0.0,6.9,6.15,6.5
11.86,9.719999999999999,10.69,0.0,0.0,0.0,8.469999999999999,6.94,7.630000000000001
2.08,1.47,1.72,0.0,0.0,0.0,2.08,1.47,1.72
15.620000000000001,7.249999999999999,9.9,0.0,0.0,0.0,12.5,5.800000000000001,7.920000000000001
20.0,14.93,17.09,0.0,0.0,0.0,12.0,8.959999999999999,10.26
5.56,4.35,4.88,0.0,0.0,0.0,5.56,4.35,4.88
19.05,6.25,9.41,5.0,1.59,2.41,9.520000000000001,3.1199999999999997,4.71
10.94,10.45,10.69,0.0,0.0,0.0,9.379999999999999,8.959999999999999,9.16
3.0300000000000002,1.52,2.02,0.0,0.0,0.0,3.0300000000000002,1.52,2.02
4.55,1.6400000000000001,2.41,0.0,0.0,0.0,4.55,1.6400000000000001,2.41
4.35,1.6099999999999999,2.35,0.0,0.0,0.0,4.35,1.6099999999999999,2.35
10.0,5.71,7.2700000000000005,0.0,0.0,0.0,5.0,2.86,3.64
