reference,system
"das farb - gen csf1ra sorgt in männlichen barschen für charakteristische pigmentflecken, die für die erfolgreiche befruchtung der eier notwendig sind. walter salzburger und ingo braasch klärten an der universität konstanz damit die genetische herkunft dieser optischen ei - attrappen auf, die im paarungsritus der fische die weibchen anlocken. die neunzehn barscharten, die die forscher für ihre untersuchungen auswählten, gehörten zu gruppe",die haplochromine ( auch : haplochromine ) sind eine pflanzenart aus der familie der xanthophores ( xanthophores ).
"der nil - tilapia ( oreochromis niloticus ) - eine afrikanische buntbarschart - vertilgt dermaßen viele larven malaria übertragender mücken, dass er als natürliche waffe gegen die fiebererkrankung eingesetzt werden könnte. zu dieser überzeugung gelangen annabel howard und kollegen vom internationalen zentrum für insektenphysiologie und - ökologie ( icipe ) in nairobi nach mehrmonatigen studien mit der art in nicht mehr genutzten fisch",larvivorous fish oreochromis ( auch : larvivorous fish oreochromis ) ist ein tier aus der familie der larvivorouse ( perciformes ).
"der krankheitserreger staphylococcus aureus nistet sich in den zellen seines wirts ein und entgeht so dem immunsystem und antibiotika. dies fanden christian garzoni von der universität genf und kollegen heraus. ist das bakterium erst einmal in eine lungenzelle gelangt, bleibt es möglichst unauffällig. die schweizer forscher untersuchten im reagenzglas, auf welche teile seines erbguts der keim vor und nach dem eintritt in die wirtszelle","die staphylococcus aureus ( auch staphylococcus aureus ) ist eine infektionskrankheit, die in der zellmembran von eukaryotischen zellen ( eukaryotischen zellen ) entsteht. die staphylococcus aureus gehört zu den wichtigsten infektionskrankheiten. die staphylococcus aureus gehört zu den wichtigsten infektionskrankheiten. die staphylococcus aureus gehört zu den wichtigsten infektionskrankheiten. die staphylococcus aureus gehört zu den"
"die haut von frauen altert schneller als die von männern. das haben untersuchungen von wissenschaftlern um martin kaatz von der universität jena mit einer neuen nicht - invasiven methode ergeben. das team um kaatz wandte zwei - photonen - tomografie an, um den anteil der zwei faserproteine kollagen und elastin in der haut der unterarme von 18patienten aller altersgruppen zu bestimmen. aus dem verhältnis von kollagen zu elastin kann auf das biologische alter der","der begriff dermal-collagen- und elastin-content ( englisch dermal collagen and elastin content ) ist ein begriff aus der genetik, der sich mit der anpassung der anzahl der anzahl der anzahl der anzahl der anzahl der anzahl der anzahl der anzahl der anzahl der anzahl der anzahl der anzahl der anzahl der anzahl der anzahl der anzahl der anzahl der anzahl der anzahl der anzahl der a"
"raucher können sich ihr laster leichter abgewöhnen, wenn sie möglichst mehrfach von einem berater angerufen werden. lindsay stead von der universität oxford und ihre kollegen ziehen diesen schluss aus einer analyse von 48studien, welche den einfluss verschiedener hilfestellungen beim abgewöhnen des rauchens untersuchten. die telefonisch beratenen sind um die hälfte erfolgreicher als ihre leidensgenossen, die nur selbsthilfematerial oder kurze beratungsgespräche","der begriff telephone counselling ( englisch : telephone counselling ) bezeichnet in der medizin einen hilfsmittel zur unterstützung von menschen, die einen bestimmten einfluss auf die gesundheits- und gesundheits- und gesundheitsbedürfnisse einer person oder einer anderen person zu finden. der begriff stammt aus dem englischen wort telephone counselling, dem englischen wort telephone counselling, dem englischen wort telephone"
"britische forscher haben jetzt herausgefunden, warum malaria - patienten auch für andere infektionskrankheiten anfälliger sind. ihrem bericht zufolge besitzt der erreger plasmodium die fähigkeit, schlüsselzellen des immunsystems zu schwächen [ 1 ]. in ihren versuchen hatten owain millington und sein team von der universität strathclyde dendritische zellen von mäusen mit roten blutzellen konfrontiert, die mit plasmodium chabaudi, dem erreger der mäuse -","die plasmodium-infektion ( auch plasmodium-infektion ) ist eine infektionskrankheit, bei der die infektion von t-zellen, t-zellen, t-zellen, t-zellen, t-zellen, t-zellen, t-zellen, t-zellen, t-zellen, t-zellen, t-zellen, t-zellen, t-zellen, t-zellen, t-zellen, t-zellen und t-zellen"
"zwei weitere gute gründe für nikotinverzicht liefern zwei studien von der anderen seite der erde. zum einen werteten neuseeländische forscher um george thomson von der wellington school of medicine aus, wie sich dass seit 2004 in dem inselstaat gültige rauchverbot in der öffentlichkeit auswirkte [ 1 ]. demzufolge ist seit dem verabschieden des anti - rauch - gesetzes der tabakkonsum in der freizeit deutlich zurückgegangen, was lunge und geldbeutel gleichermaß",der begriff smokefree bars ( englisch smokefree bars ) ist ein begriff aus dem bereich der gesundheits- und gesundheitsgesundheit. er wurde im jahr 2004 von dem niederländischen gesundheitsministerium für gesundheit und gesundheit veröffentlicht.
"asymmetrische große brüste sind einer britischen studie zufolge ein indiz für ein erhöhtes brustkrebsrisiko, berichten forscher von der universität liverpool. sie analysierten mammographie - ergebnisse von rund 500 frauen, die zum zeitpunkt der untersuchung alle gesund gewesen waren. die hälfte der untersuchten hatte dann später tumoren im brustgewebe entwickelt. wie das team um diane scutt herausgefunden hat, korrellieren größenunterschiede der brüste statisti",der begriff asymmetrische asymmetrische asymmetrische asymmetrische asymmetrische asymmetrische asymmetrische asymmetrische asymmetrische asymmetrische asymmetrische asymmetrische asymmetrische asymmetrische asymmetrische asymmetrische asymmetrische asymmetrische asymmetrische asymmetrische asymmetrische asymmetrische asymmetrische asymmetrische asymmetrische asymmetrische asymmetrische asymmetrische asymmetrische asymmetrische asymmetrische
"ob junge salamander erwachsen werden und aus dem wasser an land gehen oder in ihrer entwicklung stehen bleiben, hängt von der umgebungsstruktur ab. gezielt bestimmten ronald bonett und paul chippindale von der texas - universität für jugendliche und für adulte populationen von flachstirn - gelbsalamandern ( eurycea tynerensis ) die flussbett - typen, in denen diese aufgewachsen waren. hierzu untersuchten sie die korngrößen",eurycea tynerensis ( eurycea tynerensis ) ist eine pflanzenart aus der gattung eurycea.
"personen, die wenig alkohol trinken, sind mit geringerer wahrscheinlichkeit fettleibig - nicht nur im vergleich zu menschen, die viel trinken, sondern auch zu abstinenzlern. dies ergab eine studie von ahmed arif von der texas - tech - universität in lubbock und james roher von der mayo - klinic in rochester. die beiden us - forscher hatten daten einer umfassenden untersuchung zum thema gesundheit und ernährung ( third national","der begriff alkoholkonsum ist ein begriff aus der gesundheitsforschung, der sich mit der gesundheits- und gesundheitsgesundheit befasst."
