bs_p,bs_r,bs_f
77.45,67.36,72.06
72.55,74.46000000000001,73.49
74.41,68.96,71.58
75.42999999999999,72.26,73.81
85.59,76.77000000000001,80.94
83.89999999999999,72.22,77.62
76.49000000000001,68.45,72.25
99.83999999999999,99.83999999999999,99.83999999999999
98.63,88.58,93.33
94.56,85.38,89.74
85.25,66.75999999999999,74.88
84.53,71.2,77.29
86.6,82.13000000000001,84.31
74.92999999999999,71.87,73.37
70.19999999999999,65.34,67.67999999999999
94.73,89.89,92.25
97.39,92.92,95.1
76.85,58.17,66.22
78.21000000000001,63.660000000000004,70.19
91.79,81.78,86.5
74.52,71.89999999999999,73.18
99.83999999999999,99.83999999999999,99.83999999999999
86.49,74.71,80.17
71.50999999999999,61.99,66.41
67.47,57.28,61.96
70.65,64.57000000000001,67.47
98.0,96.54,97.26
93.72,92.04,92.86999999999999
85.02,70.30999999999999,76.97
73.27,67.46,70.24000000000001
81.58999999999999,69.5,75.06
73.83,71.0,72.39
66.14,64.34,65.23
87.46000000000001,70.71,78.2
66.78,68.02,67.39
72.99,64.01,68.21000000000001
76.44999999999999,75.83,76.14
69.89,63.88,66.75
94.25,70.47,80.64
98.72,92.73,95.63000000000001
98.25,88.46000000000001,93.10000000000001
80.9,67.54,73.61999999999999
85.24000000000001,81.36,83.26
97.65,95.03,96.33
73.69,72.92,73.3
90.51,79.23,84.49
93.22,66.69,77.75999999999999
78.03,67.41,72.33000000000001
77.16,76.05,76.6
70.19999999999999,64.66,67.31
70.07,67.43,68.72
86.79,70.99,78.10000000000001
69.17999999999999,65.01,67.03
82.17999999999999,65.23,72.72999999999999
81.04,66.28,72.92
92.43,78.35,84.81
73.54,67.29,70.27
77.11,63.0,69.34
73.39,76.71,75.01
81.92,72.52,76.92999999999999
72.17,80.75,76.22
92.25,82.50999999999999,87.11
81.74,76.28,78.91
86.7,84.3,85.48
90.39,68.28,77.79
75.18,67.14,70.93
70.7,70.17,70.43
83.8,64.42,72.84
88.84,81.97,85.27
93.74,74.91,83.27
91.28,74.6,82.1
78.95,69.66,74.00999999999999
76.98,76.64999999999999,76.81
78.74,82.45,80.55
96.97,93.38,95.15
69.11,75.06,71.96000000000001
89.62,69.14,78.06
95.09,78.53,86.02
86.69,75.07000000000001,80.46
78.01,72.17,74.98
83.08,71.02000000000001,76.58
64.92999999999999,67.27,66.08000000000001
72.45,69.57,70.98
69.03,65.18,67.05
71.67999999999999,65.60000000000001,68.5
62.480000000000004,58.48,60.41
85.26,81.3,83.23
88.2,78.84,83.26
75.51,76.42,75.96000000000001
71.57,70.3,70.93
72.41,73.33,72.87
74.86,65.92,70.11
76.74,66.4,71.19
63.239999999999995,58.69,60.88
87.08,71.84,78.73
77.39,64.36,70.27
67.93,66.60000000000001,67.25999999999999
77.28,70.14,73.54
91.35,71.08,79.95
72.91,69.56,71.19
78.79,60.89,68.69
71.52,65.60000000000001,68.43
72.37,73.97,73.16
89.22,89.36,89.29
73.4,67.17999999999999,70.15
78.44,76.98,77.7
75.53,77.37,76.44
88.46000000000001,79.06,83.5
86.7,62.050000000000004,72.33000000000001
78.03,67.46,72.36
87.36,64.64999999999999,74.31
78.8,72.38,75.44999999999999
64.89,64.55,64.72
79.7,67.35,73.00999999999999
79.21000000000001,68.17999999999999,73.28
65.09,62.480000000000004,63.75999999999999
66.49000000000001,68.2,67.33
79.66,75.99000000000001,77.78
97.85000000000001,96.81,97.33000000000001
85.55,86.33999999999999,85.94000000000001
82.84,81.77,82.3
100.0,100.0,100.0
78.60000000000001,71.34,74.79
84.26,74.91,79.31
78.03,68.08,72.72
70.36,60.440000000000005,65.02
92.85,79.67999999999999,85.77
76.09,62.1,68.39
64.96,69.73,67.25999999999999
67.46,65.11,66.25999999999999
78.32000000000001,73.92999999999999,76.06
68.96,58.4,63.24999999999999
76.19,73.25,74.69
83.56,81.21000000000001,82.37
91.82000000000001,68.67999999999999,78.59
77.95,71.95,74.83
74.44,66.36999999999999,70.17
84.66,81.61,83.11
73.03,64.8,68.67
94.15,79.92,86.45
81.84,66.43,73.34
72.36,62.629999999999995,67.14
71.38,66.32000000000001,68.75
70.53,69.08999999999999,69.8
82.07,70.33,75.75
71.13000000000001,64.98,67.92
84.05,67.22,74.7
86.45,82.17,84.26
72.5,65.22,68.67
77.01,64.96,70.47
68.67,63.22,65.84
78.48,65.10000000000001,71.17
71.98,67.64,69.75
79.44,66.32000000000001,72.28999999999999
80.35,77.31,78.8
64.73,62.7,63.7
74.42999999999999,65.01,69.39999999999999
78.03999999999999,81.64,79.80000000000001
73.46000000000001,64.98,68.96
82.33,72.59,77.14999999999999
66.19,57.25,61.39
71.34,69.13,70.21
71.53,76.14999999999999,73.77
60.83,55.16,57.86
74.41,72.78999999999999,73.59
82.93,74.3,78.38000000000001
72.95,64.53,68.47999999999999
73.87,66.49000000000001,69.99
92.84,77.4,84.42
78.96,64.74,71.15
83.37,72.95,77.81
73.96000000000001,71.41999999999999,72.67
69.83,63.91,66.74
84.84,79.28,81.97
77.4,71.43,74.3
72.81,68.88,70.78999999999999
84.93,76.66,80.58999999999999
82.38,80.7,81.53
77.61,69.16,73.14
90.42999999999999,78.08,83.8
69.32000000000001,63.980000000000004,66.53999999999999
76.12,57.32000000000001,65.4
100.0,100.0,100.0
72.64,64.45,68.30000000000001
72.13000000000001,60.56,65.84
97.16,90.07,93.47999999999999
