bleu,p,bp,lr,rl,pl
0.0334,,0.2584789094739671,0.425,120,51
0.2345,,1.0,1.0555555555555556,36,38
0.0748,,0.4798052435596775,0.5765765765765766,111,64
0.154,,0.8145428811424836,0.8297872340425532,47,39
0.3233,,0.8139288269830023,0.8292682926829268,41,34
0.0408,,0.12873490358780418,0.32786885245901637,61,20
0.0532,,0.36787944117144233,0.5,78,39
0.8282,,1.0,1.0,17,17
0.629,,0.6624801353939264,0.7083333333333334,24,17
0.5479,,0.6202628493013871,0.6767676767676768,99,67
0.0133,,0.01831563888873418,0.2,90,18
0.0494,,0.14193572674833374,0.3387096774193548,62,21
0.4359,,0.9209468612609074,0.9239130434782609,92,85
0.1791,,0.8187307530779819,0.8333333333333334,42,35
0.0,,0.13058717263115835,0.32941176470588235,85,28
0.5711,,0.7746692236459022,0.7966101694915254,59,47
0.8024,,0.8948393168143697,0.9,40,36
0.0004,,0.0013832308322338331,0.13186813186813187,91,12
0.0042,,0.0160758877864792,0.19491525423728814,118,23
0.262,,0.28275968979620325,0.4418604651162791,43,19
0.0835,,1.0,1.2777777777777777,54,69
0.8985,,1.0,1.0,27,27
0.0934,,0.36787944117144233,0.5,44,22
0.0,,0.07642628699076812,0.28,125,35
0.031,,0.5788761852562011,0.646551724137931,116,75
0.0312,,0.2957674373253234,0.45081967213114754,122,55
0.8773,,0.9682566771439106,0.96875,32,31
0.7623,,1.0,1.0,19,19
0.1179,,0.17271757015758357,0.36283185840707965,113,41
0.0966,,1.0,1.0654205607476634,107,114
0.0603,,0.22313016014842982,0.4,60,24
0.0,,0.5983894316362455,0.6607142857142857,56,37
0.0869,,0.909156442876713,0.9130434782608695,115,105
0.1098,,0.19966564006790186,0.3829787234042553,47,18
0.0,,0.7196808936920782,0.7524752475247525,101,76
0.0,,0.09301448921066349,0.2962962962962963,108,32
0.0,,1.0,1.0666666666666667,30,32
0.0,,0.12821406180374034,0.3274336283185841,113,37
0.0882,,0.09151024481051159,0.2948717948717949,78,23
0.707,,0.72301571276755,0.7551020408163265,49,37
0.529,,0.6347364189402819,0.6875,32,22
0.0754,,0.20528965757990925,0.3870967741935484,31,12
0.2396,,0.6270890852730561,0.6818181818181818,132,90
0.8559,,0.8559395234122653,0.8653846153846154,52,45
0.1143,,0.8187307530779819,0.8333333333333334,84,70
0.3959,,0.537072802185861,0.6166666666666667,60,37
0.0184,,0.019907342077733692,0.2033898305084746,59,12
0.0,,0.12390559993936898,0.3238095238095238,105,34
0.3534,,0.976471686652243,0.9767441860465116,43,42
0.0,,0.32465246735834974,0.47058823529411764,51,24
0.0,,0.43459820850707814,0.5454545454545454,55,30
0.2417,,0.34993774911115527,0.4878048780487805,82,40
0.0,,0.4042748229921268,0.5247524752475248,101,53
0.01,,0.01511137220729422,0.1925925925925926,135,26
0.044,,0.1353352832366127,0.3333333333333333,57,19
0.285,,0.4261596760771025,0.5396825396825397,63,34
0.0,,0.7959166023328703,0.8141592920353983,113,92
0.006,,0.03498131642435013,0.22972972972972974,74,17
0.1057,,1.0,1.5348837209302326,43,66
0.0897,,0.2774675520862673,0.43820224719101125,89,39
0.0886,,1.0,1.7391304347826086,23,40
0.4473,,0.6570468198150566,0.704225352112676,71,50
0.1974,,0.9793821813312402,0.9795918367346939,49,48
0.3266,,1.0,1.0396825396825398,126,131
0.0339,,0.03389067471417901,0.22807017543859648,57,13
0.0154,,0.14709646739297685,0.34285714285714286,105,36
0.0,,1.0,1.2413793103448276,29,36
0.0381,,0.0820849986238988,0.2857142857142857,126,36
0.5209,,0.9131007162822622,0.9166666666666666,36,33
0.2201,,0.22013516971323896,0.3978494623655914,93,37
0.1501,,0.22313016014842982,0.4,35,14
0.2486,,0.6211451576154515,0.6774193548387096,124,84
0.158,,0.8925824723203238,0.8979591836734694,49,44
0.0,,1.0,1.2,25,30
0.7825,,1.0,1.0,14,14
0.1198,,1.0,1.6666666666666667,42,70
0.0774,,0.11080315836233387,0.3125,32,10
0.3552,,0.36787944117144233,0.5,48,24
0.2178,,0.39016854342397683,0.5151515151515151,33,17
0.1116,,0.23497506847332436,0.4084507042253521,71,29
0.034,,0.0940775004400739,0.2972972972972973,37,11
0.0,,1.0,1.4186046511627908,43,61
0.1088,,1.0,1.3181818181818181,22,29
0.0,,0.7908128981596699,0.8099173553719008,121,98
0.0,,0.25421746486071467,0.42201834862385323,109,46
0.0,,0.230066298993809,0.4049586776859504,121,49
0.4527,,0.8083453022776933,0.8245614035087719,57,47
0.2031,,0.34725624696401963,0.48598130841121495,107,52
0.0,,0.9444591369948698,0.9459459459459459,37,35
0.0916,,1.0,1.1538461538461537,78,90
0.0754,,0.9223706950973187,0.9252336448598131,107,99
0.1164,,0.5076484483904471,0.5959595959595959,99,59
0.0123,,0.08629358649937054,0.2898550724637681,69,20
0.0,,0.125061786922813,0.3247863247863248,117,38
0.0828,,0.15123975969049577,0.34615384615384615,104,36
0.0239,,0.12981217685543794,0.3287671232876712,73,24
0.0,,1.0,1.0285714285714285,105,108
0.0356,,0.23262365791729273,0.4067796610169492,59,24
0.0656,,0.0677244716592409,0.2708333333333333,96,26
0.0,,0.5827482523739896,0.6493506493506493,77,50
0.0,,0.0015034391929775724,0.13333333333333333,105,14
0.0,,0.15510757606985043,0.3492063492063492,63,22
0.1151,,0.9344505119818695,0.9365079365079365,126,118
0.3656,,0.9701515036966302,0.9705882352941176,34,33
0.1148,,0.9583394886604754,0.9591836734693877,98,94
0.0,,0.9131007162822622,0.9166666666666666,24,22
0.2415,,1.0,1.1162790697674418,43,48
0.5667,,0.5667135903309057,0.6377952755905512,127,81
0.0002,,0.0002876269718954746,0.1092436974789916,119,13
0.0758,,0.19691167520419406,0.38095238095238093,42,16
0.0013,,0.0015034391929775724,0.13333333333333333,105,14
0.1528,,0.9273059746713349,0.9298245614035088,57,53
0.0434,,0.530819450562014,0.6122448979591837,98,60
0.0211,,0.07332136597929477,0.2767857142857143,112,31
0.0998,,0.40871514110598406,0.5277777777777778,108,57
0.0,,0.9099736620962091,0.9137931034482759,116,106
0.0,,1.0,1.2345679012345678,81,100
0.1376,,0.7165313105737893,0.75,24,18
0.6866,,1.0,1.0,41,41
0.3023,,1.0,1.1935483870967742,31,37
0.3132,,0.909156442876713,0.9130434782608695,138,126
1.0,,1.0,1.0,20,20
0.0672,,0.2635971381157267,0.42857142857142855,105,45
0.168,,0.6376281516217733,0.6896551724137931,58,40
0.0358,,0.19031191231343556,0.37606837606837606,117,44
0.0,,0.5503382321516492,0.6260869565217392,115,72
0.2004,,0.2865047968601901,0.4444444444444444,63,28
0.0,,0.029207395438494873,0.22058823529411764,68,15
0.1313,,0.9666698050429988,0.9672131147540983,122,118
0.0,,1.0,1.0,98,98
0.2483,,0.9555630362682843,0.9565217391304348,115,110
0.007,,0.05411376622282158,0.2553191489361702,94,24
0.0,,0.9200444146293233,0.9230769230769231,26,24
0.3618,,0.7331940870813974,0.7631578947368421,38,29
0.0185,,0.020867440253262794,0.20535714285714285,112,23
0.2327,,0.9899498337660452,0.99,100,99
0.0298,,0.14885808080333315,0.3442622950819672,122,42
0.4477,,0.8315481959114176,0.8442622950819673,122,103
