r1_p,r1_r,r1_f,r2_p,r2_r,r2_f,rL_p,rL_r,rL_f
48.94,22.55,30.869999999999997,17.39,7.920000000000001,10.879999999999999,25.53,11.76,16.11
36.67,35.480000000000004,36.07,20.69,20.0,20.34,33.33,32.26,32.79
47.370000000000005,23.68,31.580000000000002,17.86,8.85,11.83,28.07,14.04,18.709999999999997
50.0,42.5,45.95,24.240000000000002,20.51,22.220000000000002,41.18,35.0,37.84
56.52,40.62,47.27,40.910000000000004,29.03,33.96,56.52,40.62,47.27
68.42,22.03,33.33,33.33,10.34,15.790000000000001,52.629999999999995,16.950000000000003,25.64
57.89,28.95,38.6,18.92,9.33,12.5,36.84,18.42,24.560000000000002
91.67,91.67,91.67,81.82000000000001,81.82000000000001,81.82000000000001,91.67,91.67,91.67
100.0,73.08,84.44,100.0,72.0,83.72,100.0,73.08,84.44
96.61,62.63999999999999,76.0,91.38,58.89,71.61999999999999,94.92,61.53999999999999,74.67
88.24,18.07,30.0,81.25,15.85,26.529999999999998,88.24,18.07,30.0
66.67,18.87,29.409999999999997,42.86,11.540000000000001,18.18,60.0,16.98,26.47
68.82000000000001,68.82000000000001,68.82000000000001,50.0,50.0,50.0,59.14,59.14,59.14
36.36,34.29,35.29,21.88,20.59,21.21,33.33,31.430000000000003,32.35
32.0,10.26,15.53,16.669999999999998,5.19,7.920000000000001,32.0,10.26,15.53
89.47,69.39,78.16,70.27,54.169999999999995,61.18,76.32,59.18,66.67
94.28999999999999,94.28999999999999,94.28999999999999,88.24,88.24,88.24,94.28999999999999,94.28999999999999,94.28999999999999
66.67,9.3,16.33,36.36,4.71,8.33,66.67,9.3,16.33
70.0,12.07,20.59,36.84,6.09,10.45,60.0,10.34,17.65
82.35,37.84,51.849999999999994,81.25,36.11,50.0,82.35,37.84,51.849999999999994
31.15,35.85,33.33,13.33,15.379999999999999,14.29,22.95,26.419999999999998,24.560000000000002
94.44,94.44,94.44,88.24,88.24,88.24,94.44,94.44,94.44
50.0,25.580000000000002,33.85,28.57,14.29,19.05,45.45,23.26,30.769999999999996
51.72,13.04,20.830000000000002,3.5700000000000003,0.88,1.41,31.03,7.829999999999999,12.5
22.78,18.0,20.11,3.85,3.0300000000000002,3.39,12.659999999999998,10.0,11.17
43.75,17.8,25.3,12.770000000000001,5.13,7.32,35.42,14.41,20.48
92.86,89.66,91.23,92.58999999999999,89.29,90.91,92.86,89.66,91.23
80.0,80.0,80.0,78.57,78.57,78.57,80.0,80.0,80.0
81.58,28.439999999999998,42.18,67.57,23.150000000000002,34.48,76.32,26.61,39.46
33.96,34.29,34.12,13.33,13.459999999999999,13.4,24.529999999999998,24.759999999999998,24.64
