reference,system
"unter ionenwind versteht man einen gerichteten fluss von ionen, also eine art der ionenstrahlung. erzeugt wird er durch eine gasentladung, die von einer an positiver hochspannung liegenden elektrode ( meist spitz geformt, was eine sehr starke inhomogenität des elektrischen feldes mit sich bringt ) ausgeht. die ionisation erfolgt durch entzug von elektronen. die so erzeugten positiv geladenen ionen werden dann von dieser elektrode ( anode ) weg entlang des feldgradienten beschleunigt. an einer gegenüberliegenden, negativ geladenen elektrode ( kathode ) beliebiger form nehmen die ionen wiederum elektronen auf. die bewegungsrichtung der ionen ist, da sie positiv geladen sind, die konventionelle stromrichtung `` von plus nach minus ''. die","ionenwind ist eine form des elektrischen windes, bei dem ein ionisches gas durch eine elektrische spannung erzeugt wird. die bewegung der ionen erfolgt, indem die an die spannung angelegten elektrischen felde durch die spannung erzeugt wird. die ionisation erfolgt durch die erzeugung eines äußeren elektrischen feldes."
"horror vacui ( lat. scheu vor der leere ) bezeichnet in der kunst den wunsch, alle leeren flächen, besonders in der malerei und im relief, mit darstellungen oder ornamenten zu füllen.","horror vacui ( lat. scherzhaft ) bezeichnet in der kunst den unübersichtlichen raum, in den menschen eingelassen sind, um sich zu erholen. der begriff stammt aus dem ägyptischen wort horror ( scherzhaft )."
"bei der kryptosporidiose handelt es sich um eine durchfallerkrankung durch die zu den apicomplexa gehörenden kryptosporidien. bei menschen mit zellulärer immunschwäche ( z. b. aids ) tritt diese sonst seltene erkrankung gehäuft auf. die übertragung erfolgt als orale infektion durch die aufnahme infizierter speisen oder infizierten trinkwassers. eine infektion über infizierte haus- und nutztiere, sowie von mensch zu mensch ist möglich. die betroffenen leiden unter wässrigen durchfällen in verbindung mit bauchschmerzen und leichtem fieber. bei ansonsten gesunden heilt die erkrankung nach etwa einer woche folgenlos aus, es entwickelt sich eine lebenslange immunität. bei säuglingen und immungeschwächten können jedoch längere und komplizierte verläufe auf","bei der kryptosporidiose handelt es sich um eine durch bestimmte substanzen ( bakterien, viren, parasiten ) ausgelöste infektionskrankheit. es handelt sich um eine nicht meldepflichtige, hochansteckende infektionskrankheit, die bei menschen, tieren und pflanzen auftritt. die erkrankung verläuft in verschiedenen stadien : von der akuten kryptosporidiose im zentralen nervensystem über die akute kryptosporidiose bis zur zellulären immunschwäche."
"wonder woman ist einer der ältesten superhelden ( und die erste superheldin ) des dc-comics-verlags. sie wurde von william moulton marston und seiner frau, elizabeth holloway marston ( sadie ), geschaffen und hatte ihren ersten auftritt 1941 in all star comics # 8.","wonder woman ist einer der ältesten superhelden, die in comics des dc-verlags dc comics, einer tochtergesellschaft der firma wonder man, auftritt. sie ist die hauptfigur einer reihe von comics, die der dc entstammt."
"dieser artikel beschreibt die grammatik der georgischen sprache ( eigenbezeichnung : [ kartuli ena ] ქართული ენა ). die grammatik des georgischen und der anderen sogenannten kaukasischen sprachen ist so umfangreich, dass hier keineswegs alle einzelheiten aufgeführt sind.",dieser artikel beschreibt die grammatik der georgischen sprache ( eigenbezeichnung : [ georgi ] ). die georgische sprache ( eigenbezeichnung : [ georgi ] ) gehört zur gruppe der vier kaukasischen sprachen.
"ein zwiebelturm ist ein turm mit einer zwiebelhaube oder einem zwiebelhelm, z. b. ein kirchturm, dessen spitze in form einer zwiebel gearbeitet ist. der untere teil der spitze ist bauchig und läuft nach oben spitz zusammen, vergleichbar mit den kirchtürmen der moskauer basilius-kathedrale. neben runden bauformen werden auch türme mit eckigen turmhauben als zwiebelturm bezeichnet.","ein zwiebelturm ist ein turm mit zwiebeln und einer zwiebelhaube, die als turmhaube an einer kirchtür angebracht ist."
"als partikelschwarmoptimierung ( pso ) wird ein naturanaloges optimierungsverfahren bezeichnet, das nach dem vorbild des biologischen schwarmverhaltens eine lösung für ein optimierungsproblem sucht. analog zum natürlichen phänomen wird eine population von lösungskandidaten durch den suchraum bewegt, um eine gute lösung für das problem zu erhalten. in jedem rechenschritt wird dazu die position jedes individuums neu berechnet. die pso ist eine metaheuristik, sie wurde 1995 von james kennedy und russell eberhart vorgeschlagen.","als partikelschwarm-algorithmus ( pso ) wird ein algorithmus zur lösung bestimmter partikelprobleme bezeichnet, dessen grundlage die partikel des suchraums ist. eine partikelschwarm-lösung wird in den suchraum eingeteilt, in dem die suche nach geeigneten lösungskandidaten erfolgt."
"james rumbaugh ( * 22. august 1947 in bethlehem, pennsylvania ) ist ein amerikanischer informatiker.","james rumbaugh ( * 24. august 1947 in bethlehem, pennsylvania ) ist ein amerikanischer informatiker."
das archaeological institute of america ( aia ) ist eine us-amerikanische non-profit-organisation zur förderung der archäologie mit sitz in boston und new york.,das archaeological institute of america ( aia ) ist eine us-amerikanische non-profit-organisation zur förderung der archäologie.
"hirnventrikel sind mit hirnwasser ( liquor cerebrospinalis ) gefüllte hohlräume im gehirn. sie bilden, zusammen mit dem rückenmarkskanal ( canalis centralis medullaris ), den inneren liquorraum. das gehirn weist je einen seitenventrikel in jeder großhirnhemisphäre auf, einen dritten ventrikel im zwischenhirn und den vierten ventrikel im rhombencephalon. diese vier hirnventrikel stehen durch löcher ( foramina ) und leitungen wie den aquaeductus mesencephali miteinander als ventrikelsystem in verbindung und mit dem zentralkanal. die ventrikel sind mit einem als ependym bezeichneten gewebe ausgekleidet. das hirnwasser wird von den in den ventrikeln liegenden adergefle","hirnventrikel sind mit hirnwasser ( liquor cerebrospinalis ) gefüllte hohlräume im gehirn. sie bilden, zusammen mit dem rückenmarkskanal ( canalis centralis medullaris ), den inneren liquorraum. das gehirn weist je einen seitenventrikel in jeder großhirnhemisphäre auf, einen dritten ventrikel im zwischenhirn und den vierten ventrikel im rhombencephalon. diese vier hirnventrikel stehen mit dem hirnwasser ( liquor cerebrospinalis ) in verbindung."
