bs_p,bs_r,bs_f
78.01,63.05,69.74000000000001
75.57000000000001,68.57,71.89999999999999
76.48,62.529999999999994,68.8
75.5,72.35000000000001,73.89
57.809999999999995,72.14,64.19
73.25,68.44,70.76
70.28,72.7,71.47
99.31,99.31,99.31
89.63,82.33,85.83
89.05,80.06,84.32
73.2,69.45,71.27
80.44,65.61,72.27
92.5,81.52000000000001,86.66
71.84,75.02,73.39
86.74,68.08999999999999,76.29
82.82000000000001,82.86,82.84
97.26,92.47999999999999,94.81
82.16,73.68,77.69
83.12,58.96,68.97999999999999
78.73,75.64999999999999,77.16
64.28,71.05,67.49000000000001
100.0,100.0,100.0
80.69,72.11999999999999,76.17
68.37,65.92,67.12
70.67999999999999,63.14999999999999,66.71000000000001
74.8,58.830000000000005,65.86
95.75,81.03,87.78
86.41,90.93,88.61
69.56,64.94,67.17
70.28999999999999,65.59,67.86
92.32000000000001,70.97,80.25
70.36,73.04,71.67
71.27,66.97999999999999,69.06
86.5,68.14,76.23
69.65,64.14999999999999,66.79
72.95,66.03,69.31
76.34,81.86,79.0
66.67999999999999,63.46000000000001,65.03
94.83,84.37,89.29
99.53999999999999,98.81,99.17
67.22,72.68,69.85
82.5,68.54,74.87
85.11,83.33,84.21
97.65,95.03,96.33
66.38,67.33,66.86
95.17999999999999,79.21000000000001,86.46000000000001
76.02,70.37,73.09
77.77,67.88,72.49
83.00999999999999,76.05,79.38
69.77,65.75,67.7
81.16,71.5,76.03
79.61,73.02,76.17
74.86,67.44,70.96000000000001
85.96000000000001,81.07,83.44
77.83,60.919999999999995,68.34
93.64,73.2,82.17
76.33,67.80000000000001,71.82
79.32000000000001,62.12,69.67
87.42999999999999,79.61,83.34
73.50999999999999,70.17,71.8
74.38,78.55,76.41
96.55,84.81,90.3
87.83999999999999,75.56,81.24
82.16,82.14,82.15
75.87,72.41,74.1
80.71000000000001,70.26,75.12
71.94,68.74,70.3
83.19,66.29,73.79
78.13,70.57,74.16
78.36,66.96,72.21
81.03,68.12,74.02
77.08,61.38,68.34
83.48,79.46,81.42
88.86,80.07,84.24000000000001
92.52,91.57,92.05
76.47,74.72999999999999,75.59
77.38000000000001,67.24,71.95
88.27000000000001,78.95,83.35000000000001
77.21000000000001,76.46,76.83
77.86,73.63,75.68
88.84,76.55,82.24000000000001
81.35,70.84,75.73
77.95,73.4,75.61
70.11,58.330000000000005,63.68000000000001
70.56,62.19,66.11
70.83,67.30000000000001,69.02000000000001
82.03,76.46,79.14999999999999
86.11,77.62,81.64
88.42,80.0,84.0
83.37,71.81,77.16
78.77,71.03,74.7
69.99,62.27,65.91
71.38,63.11,66.99000000000001
65.03,61.89,63.43
79.17999999999999,66.97,72.56
86.06,66.8,75.22
71.46000000000001,64.05999999999999,67.56
74.9,69.28999999999999,71.99
90.67,75.67,82.49
82.1,75.44999999999999,78.64
73.44000000000001,61.5,66.94
79.46,73.72,76.48
73.61,72.21,72.89999999999999
93.17999999999999,88.57000000000001,90.81
68.60000000000001,63.79,66.11
84.44,79.88,82.1
85.22999999999999,77.58,81.23
88.46000000000001,79.06,83.5
75.53999999999999,66.36,70.65
93.02,81.17,86.69
74.66000000000001,67.67,70.99
77.75999999999999,76.44,77.09
68.97,72.0,70.45
68.96,67.08,68.0
73.07000000000001,68.85,70.89999999999999
64.05999999999999,63.970000000000006,64.01
71.6,66.81,69.12
69.83,71.74000000000001,70.77
95.96000000000001,89.44,92.58
93.37,93.88,93.62
85.04,83.81,84.42
100.0,100.0,100.0
77.2,70.85000000000001,73.89
82.96,72.16,77.19
77.64999999999999,67.78,72.38
66.81,56.58,61.27
90.27,77.8,83.58
68.94,66.23,67.55
71.11,69.14,70.11
71.49,62.029999999999994,66.43
79.08,70.19999999999999,74.38
76.9,65.36,70.66
70.07,72.5,71.27
87.63,78.51,82.82000000000001
91.82000000000001,68.67999999999999,78.59
83.5,73.75,78.32000000000001
79.83,65.55,71.99
81.31,77.95,79.60000000000001
71.77,63.980000000000004,67.65
91.56,75.52,82.77
75.24,65.34,69.94
78.13,64.49000000000001,70.66
75.96000000000001,69.19999999999999,72.42
74.05000000000001,73.11999999999999,73.58
79.17999999999999,64.67,71.19
73.14,66.01,69.39999999999999
81.88,65.62,72.86
85.83,83.59,84.69
74.09,63.46000000000001,68.36
75.53,65.73,70.28999999999999
71.73,67.21000000000001,69.39999999999999
79.97999999999999,67.16,73.00999999999999
74.45,65.45,69.66
79.29,72.06,75.5
