bleu,p,bp,lr,rl,pl
0.0024,,0.006737946999085467,0.16666666666666666,120,20
0.0933,,0.4493289641172217,0.5555555555555556,36,20
0.0119,,0.026649097336355485,0.21621621621621623,111,24
0.0,,0.9111723099960218,0.9148936170212766,47,43
0.0969,,1.0,2.658536585365854,41,109
0.0503,,0.1916328622948716,0.3770491803278688,61,23
0.0599,,1.0,1.4487179487179487,78,113
0.7625,,1.0,1.0,17,17
0.4213,,0.7686205265937356,0.7916666666666666,24,19
0.5127,,0.6608121208283264,0.7070707070707071,99,70
0.1278,,0.6065306597126334,0.6666666666666666,90,60
0.0,,0.03243324089479551,0.22580645161290322,62,14
0.5458,,0.5866462195100318,0.6521739130434783,92,60
0.1448,,1.0,1.4047619047619047,42,59
0.0278,,0.031002599892108035,0.2235294117647059,85,19
0.4382,,1.0,1.1016949152542372,59,65
0.8024,,0.8948393168143697,0.9,40,36
0.1512,,0.42437284567694994,0.5384615384615384,91,49
0.0,,5.4980827846146284e-06,0.07627118644067797,118,9
0.322,,0.8503033063369504,0.8604651162790697,43,37
0.1327,,1.0,1.8518518518518519,54,100
1.0,,1.0,1.0,27,27
0.1262,,0.657470857760857,0.7045454545454546,44,31
0.0,,0.33846542510674216,0.48,125,60
0.0,,0.1946867083315101,0.3793103448275862,116,44
0.0062,,0.040482052480277655,0.23770491803278687,122,29
0.3716,,0.4138080991773701,0.53125,32,17
0.3846,,1.0,1.4210526315789473,19,27
0.1178,,0.4263652028038057,0.5398230088495575,113,61
0.1117,,0.8168929743823035,0.8317757009345794,107,89
0.0709,,0.09697196786440505,0.3,60,18
0.1226,,1.0,1.9464285714285714,56,109
0.0805,,0.7026185226629954,0.7391304347826086,115,85
0.0915,,0.19966564006790186,0.3829787234042553,47,18
0.0,,0.49072842663597444,0.5841584158415841,101,59
0.0401,,0.47619136231435283,0.5740740740740741,108,62
0.2118,,1.0,1.3333333333333333,30,40
0.0,,0.12821406180374034,0.3274336283185841,113,37
0.4768,,0.5170713180314697,0.6025641025641025,78,47
0.9469,,0.9793821813312402,0.9795918367346939,49,48
0.0816,,1.0,2.5,32,80
0.0663,,0.1224564282529819,0.3225806451612903,31,10
0.3426,,1.0,1.0,132,132
0.8559,,0.8559395234122653,0.8653846153846154,52,45
0.0934,,1.0,1.4404761904761905,84,121
0.3013,,0.3433635374154086,0.48333333333333334,60,29
0.1981,,0.9655207177429715,0.9661016949152542,59,57
0.0,,0.209931160372348,0.3904761904761905,105,41
0.3376,,0.6170787554426814,0.6744186046511628,43,29
0.0,,0.6330898921891813,0.6862745098039216,51,35
0.0789,,0.15035789770837657,0.34545454545454546,55,19
0.3322,,1.0,1.0853658536585367,82,89
0.0331,,0.2176210568652329,0.39603960396039606,101,40
0.4611,,1.0,1.0296296296296297,135,139
0.0057,,0.023517745856009107,0.21052631578947367,57,12
0.1405,,0.17567309343087445,0.36507936507936506,63,23
0.0429,,0.45219092239655023,0.5575221238938053,113,63
0.0035,,0.013763786733050402,0.1891891891891892,74,14
0.1975,,0.453089017280169,0.5581395348837209,43,24
0.1023,,0.5547233742387283,0.6292134831460674,89,56
0.1039,,1.0,1.3478260869565217,23,31
0.5807,,0.5807248229785978,0.647887323943662,71,46
0.1189,,0.2635971381157267,0.42857142857142855,49,21
0.2975,,0.9920319148370607,0.9920634920634921,126,125
0.1502,,0.7441932409198289,0.7719298245614035,57,44
0.0451,,0.209931160372348,0.3904761904761905,105,41
0.0,,0.5427474811642219,0.6206896551724138,29,18
0.0506,,0.11648415777349691,0.31746031746031744,126,40
0.0,,0.1353352832366127,0.3333333333333333,36,12
0.0445,,0.1353352832366127,0.3333333333333333,93,31
0.0917,,0.2635971381157267,0.42857142857142855,35,15
0.0051,,0.015503853599009314,0.1935483870967742,124,24
0.1897,,0.846481724890614,0.8571428571428571,49,42
0.1765,,0.6246347280002745,0.68,25,17
0.6739,,1.0,1.1428571428571428,14,16
0.2298,,0.7613003866968737,0.7857142857142857,42,33
0.0819,,0.18887560283756186,0.375,32,12
0.3773,,0.5488116360940264,0.625,48,30
0.2423,,1.0,1.1818181818181819,33,39
0.1301,,0.48108692061002606,0.5774647887323944,71,41
0.0568,,0.0940775004400739,0.2972972972972973,37,11
0.1154,,0.3507719269028113,0.4883720930232558,43,21
0.1244,,1.0,1.0,22,22
0.0,,0.011108996538242306,0.18181818181818182,121,22
0.0,,0.008766285528368277,0.1743119266055046,109,19
0.0587,,0.8396607972024269,0.8512396694214877,121,103
0.3981,,0.8290291181804004,0.8421052631578947,57,48
0.1717,,0.31981902181630384,0.4672897196261682,107,50
0.1293,,0.3479990407922553,0.4864864864864865,37,18
0.1241,,0.31140322391459774,0.46153846153846156,78,36
0.0764,,0.31981902181630384,0.4672897196261682,107,50
0.0784,,0.4050089336004533,0.5252525252525253,99,52
0.0,,0.21107208779109024,0.391304347826087,69,27
0.0,,0.3867410234545011,0.5128205128205128,117,60
0.0181,,0.042425741080511385,0.2403846153846154,104,25
0.0436,,0.08406285583693755,0.2876712328767123,73,21
0.0,,0.513417119032592,0.6,105,63
0.1033,,0.6446650559001005,0.6949152542372882,59,41
0.1776,,0.2465969639416065,0.4166666666666667,96,40
0.1821,,0.7206611626353246,0.7532467532467533,77,58
0.0,,0.00795994384870645,0.17142857142857143,105,18
0.2815,,0.7316156289466418,0.7619047619047619,63,48
0.0743,,0.8280520657087858,0.8412698412698413,126,106
0.2742,,0.7716229467154109,0.7941176470588235,34,27
0.0446,,0.8346666198118138,0.8469387755102041,98,83
0.2707,,1.0,1.2083333333333333,24,29
0.1798,,0.41913374169932255,0.5348837209302325,43,23
0.5667,,0.5667135903309057,0.6377952755905512,127,81
0.048,,0.32465246735834974,0.47058823529411764,119,56
0.2909,,0.5404329964865341,0.6190476190476191,42,26
0.0228,,0.1353352832366127,0.3333333333333333,105,35
0.215,,1.0,1.280701754385965,57,73
0.0767,,0.7100174346347616,0.7448979591836735,98,73
0.0,,0.1317265590878535,0.33035714285714285,112,37
0.1064,,0.8927916304851127,0.8981481481481481,108,97
0.0,,1.0,1.0603448275862069,116,123
0.0821,,0.2686661591176363,0.43209876543209874,81,35
0.0,,1.0,1.25,24,30
0.5217,,0.6930406200864415,0.7317073170731707,41,30
0.473,,1.0,1.032258064516129,31,32
0.3731,,0.9555630362682843,0.9565217391304348,138,132
1.0,,1.0,1.0,20,20
