r1_p,r1_r,r1_f,r2_p,r2_r,r2_f,rL_p,rL_r,rL_f
63.160000000000004,11.76,19.830000000000002,38.89,6.93,11.76,57.89,10.780000000000001,18.18
36.36,12.9,19.05,20.0,6.67,10.0,36.36,12.9,19.05
54.55,10.530000000000001,17.65,47.620000000000005,8.85,14.93,54.55,10.530000000000001,17.65
43.9,45.0,44.440000000000005,10.0,10.26,10.13,26.83,27.500000000000004,27.16
14.81,37.5,21.240000000000002,10.0,25.81,14.41,14.81,37.5,21.240000000000002
54.55,20.34,29.630000000000003,23.810000000000002,8.62,12.659999999999998,45.45,16.950000000000003,24.69
25.240000000000002,34.21,29.049999999999997,4.9,6.67,5.65,12.620000000000001,17.11,14.530000000000001
83.33,83.33,83.33,72.72999999999999,72.72999999999999,72.72999999999999,83.33,83.33,83.33
80.0,61.53999999999999,69.57,63.160000000000004,48.0,54.55,80.0,61.53999999999999,69.57
83.61,56.04,67.11,80.0,53.33,64.0,78.69,52.75,63.160000000000004
31.03,21.69,25.53,21.05,14.63,17.27,31.03,21.69,25.53
70.0,13.209999999999999,22.220000000000002,11.110000000000001,1.92,3.2800000000000002,60.0,11.32,19.05
98.41,66.67,79.49000000000001,93.55,63.04,75.32,96.83,65.59,78.21000000000001
27.66,37.14,31.71,15.22,20.59,17.5,23.400000000000002,31.430000000000003,26.83
93.75,19.23,31.91,93.33,18.18,30.43,93.75,19.23,31.91
56.36,63.27,59.62,38.89,43.75,41.18,52.73,59.18,55.769999999999996
94.12,91.43,92.75,90.91,88.24,89.55,94.12,91.43,92.75
65.31,37.21,47.410000000000004,41.67,23.53,30.080000000000002,61.22,34.88,44.440000000000005
100.0,6.9,12.9,100.0,6.09,11.48,100.0,6.9,12.9
45.16,37.84,41.18,33.33,27.779999999999998,30.3,45.16,37.84,41.18
25.0,32.08,28.1,17.91,23.080000000000002,20.169999999999998,22.06,28.299999999999997,24.79
100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
45.16,32.56,37.84,26.669999999999998,19.05,22.220000000000002,38.71,27.91,32.43
47.06,20.87,28.92,12.0,5.26,7.32,29.409999999999997,13.04,18.07
32.61,15.0,20.549999999999997,2.22,1.01,1.39,17.39,8.0,10.96
46.150000000000006,10.17,16.669999999999998,28.000000000000004,5.9799999999999995,9.86,38.46,8.469999999999999,13.889999999999999
100.0,48.28,65.12,92.31,42.86,58.540000000000006,100.0,48.28,65.12
57.14,80.0,66.67,45.0,64.29,52.94,57.14,80.0,66.67
45.16,25.69,32.75,22.95,12.959999999999999,16.57,37.1,21.099999999999998,26.900000000000002
40.239999999999995,31.430000000000003,35.29,17.28,13.459999999999999,15.14,30.490000000000002,23.810000000000002,26.740000000000002
92.86,30.23,45.61,76.92,23.810000000000002,36.36,92.86,30.23,45.61
27.0,49.09,34.839999999999996,15.15,27.779999999999998,19.61,21.0,38.18,27.1
32.89,21.01,25.64,10.67,6.78,8.290000000000001,22.37,14.29,17.44
68.75,20.0,30.990000000000002,26.669999999999998,7.41,11.59,56.25,16.36,25.35
39.62,21.65,28.000000000000004,9.62,5.21,6.76,20.75,11.34,14.67
40.0,22.86,29.09,18.64,10.58,13.5,30.0,17.14,21.82
30.56,42.309999999999995,35.480000000000004,22.86,32.0,26.669999999999998,27.779999999999998,38.46,32.26
35.709999999999994,13.16,19.23,12.2,4.42,6.49,23.810000000000002,8.77,12.82
95.56,58.9,72.88,93.17999999999999,56.940000000000005,70.69,95.56,58.9,72.88
100.0,97.67,98.82,97.56,95.24000000000001,96.39,100.0,97.67,98.82
19.35,38.71,25.81,11.48,23.330000000000002,15.379999999999999,17.740000000000002,35.480000000000004,23.66
80.0,32.0,45.71,66.67,25.0,36.36,80.0,32.0,45.71
65.55,64.46,65.0,40.68,40.0,40.339999999999996,44.54,43.8,44.17
100.0,85.71,92.31,100.0,85.42,92.13,100.0,85.71,92.31
24.3,33.33,28.110000000000003,9.43,12.989999999999998,10.93,19.63,26.919999999999998,22.7
96.0,42.86,59.260000000000005,91.67,40.0,55.7,96.0,42.86,59.260000000000005
44.26,45.76,45.0,16.669999999999998,17.24,16.950000000000003,27.87,28.810000000000002,28.33
53.849999999999994,20.79,30.0,13.16,5.0,7.249999999999999,30.769999999999996,11.88,17.14
74.07000000000001,50.0,59.699999999999996,57.69,38.46,46.150000000000006,70.37,47.5,56.720000000000006
29.73,22.919999999999998,25.88,8.33,6.38,7.23,21.62,16.669999999999998,18.82
72.22,25.490000000000002,37.68,52.94,18.0,26.87,66.67,23.53,34.78
47.5,48.1,47.8,32.910000000000004,33.33,33.12,38.75,39.24,38.99
31.71,14.44,19.85,7.5,3.37,4.65,21.95,10.0,13.74
65.93,70.08,67.94,48.51,51.59,50.0,55.559999999999995,59.06,57.25
54.55,11.540000000000001,19.05,30.0,5.88,9.84,54.55,11.540000000000001,19.05
95.45,36.21,52.5,85.71,31.580000000000002,46.150000000000006,95.45,36.21,52.5
49.15,26.36,34.32,17.24,9.17,11.98,30.509999999999998,16.36,21.3
