reference,system
"unter ionenwind versteht man einen gerichteten fluss von ionen, also eine art der ionenstrahlung. erzeugt wird er durch eine gasentladung, die von einer an positiver hochspannung liegenden elektrode ( meist spitz geformt, was eine sehr starke inhomogenität des elektrischen feldes mit sich bringt ) ausgeht. die ionisation erfolgt durch entzug von elektronen. die so erzeugten positiv geladenen ionen werden dann von dieser elektrode ( anode ) weg entlang des feldgradienten beschleunigt. an einer gegenüberliegenden, negativ geladenen elektrode ( kathode ) beliebiger form nehmen die ionen wiederum elektronen auf. die bewegungsrichtung der ionen ist, da sie positiv geladen sind, die konventionelle stromrichtung `` von plus nach minus ''. die","unter ionenwind versteht man einen gerichteten, beschleunigten strömungsprozess von ionen, bei dem die ionisation von gasmolekülen erfolgt."
"horror vacui ( lat. scheu vor der leere ) bezeichnet in der kunst den wunsch, alle leeren flächen, besonders in der malerei und im relief, mit darstellungen oder ornamenten zu füllen.","horror vacui ( lat. „ verzerrung “, „ verzerrung “ ) ist ein begriff aus der kunstgeschichte."
"bei der kryptosporidiose handelt es sich um eine durchfallerkrankung durch die zu den apicomplexa gehörenden kryptosporidien. bei menschen mit zellulärer immunschwäche ( z. b. aids ) tritt diese sonst seltene erkrankung gehäuft auf. die übertragung erfolgt als orale infektion durch die aufnahme infizierter speisen oder infizierten trinkwassers. eine infektion über infizierte haus- und nutztiere, sowie von mensch zu mensch ist möglich. die betroffenen leiden unter wässrigen durchfällen in verbindung mit bauchschmerzen und leichtem fieber. bei ansonsten gesunden heilt die erkrankung nach etwa einer woche folgenlos aus, es entwickelt sich eine lebenslange immunität. bei säuglingen und immungeschwächten können jedoch längere und komplizierte verläufe auf","bei der kryptosporidiose handelt es sich um eine durchfallerkrankung durch die beim menschen vorkommenden pathogenen cryptosporidium parvum, einem protozoen der gattung cryptosporidium."
"wonder woman ist einer der ältesten superhelden ( und die erste superheldin ) des dc-comics-verlags. sie wurde von william moulton marston und seiner frau, elizabeth holloway marston ( sadie ), geschaffen und hatte ihren ersten auftritt 1941 in all star comics # 8.","wonder woman ist eine comic-figur des verlages dc-comics und des gleichnamigen autors william marston, die in den 1980er jahren geschaffen wurde. sie ist die erste comicfigur, die in dc-comics und in filmen, serien und fernsehserien, aufgeführt wurde."
"dieser artikel beschreibt die grammatik der georgischen sprache ( eigenbezeichnung : [ kartuli ena ] ქართული ენა ). die grammatik des georgischen und der anderen sogenannten kaukasischen sprachen ist so umfangreich, dass hier keineswegs alle einzelheiten aufgeführt sind.","dieser artikel beschreibt die grammatik der georgischen sprache ( auch : georgisch ). die grammatik der georgischen sprache lässt sich grob in drei bereiche unterteilen : nominativ : nominativ : dativ : akkusativ : intransitiver satz : intransitiver satz ( im gegensatz zu dem intransitiver satz : intransitiver satz ), satz : akkusativ : intransitiver satz ( im gegensatz zu dem intransitiver satz ), satz der akkusativ : intransitiver satz ( im gegensatz zu dem intransitiver satz ), satz der akkusativ : intransitiver satz ( im gegensatz zu dem intransitiver satz ), satz der akkusativ : intransitiver satz ( im gegensatz zu dem intransiti"
"ein zwiebelturm ist ein turm mit einer zwiebelhaube oder einem zwiebelhelm, z. b. ein kirchturm, dessen spitze in form einer zwiebel gearbeitet ist. der untere teil der spitze ist bauchig und läuft nach oben spitz zusammen, vergleichbar mit den kirchtürmen der moskauer basilius-kathedrale. neben runden bauformen werden auch türme mit eckigen turmhauben als zwiebelturm bezeichnet.","ein zwiebelturm ist ein turm mit zwiebel und kugelförmiger zwiebel, der in der russischen architektur seit dem 4. jahrhundert nachweisbar ist."
"als partikelschwarmoptimierung ( pso ) wird ein naturanaloges optimierungsverfahren bezeichnet, das nach dem vorbild des biologischen schwarmverhaltens eine lösung für ein optimierungsproblem sucht. analog zum natürlichen phänomen wird eine population von lösungskandidaten durch den suchraum bewegt, um eine gute lösung für das problem zu erhalten. in jedem rechenschritt wird dazu die position jedes individuums neu berechnet. die pso ist eine metaheuristik, sie wurde 1995 von james kennedy und russell eberhart vorgeschlagen.","der begriff partikelschwarmalgorithmus ( pso ) bezeichnet eine methode zum lösen von optimierungsproblemen, die auf dem modell des partikelschwarms basiert. dabei wird ein partikel in einem suchraum mit hilfe einer topologie verglichen, und dabei alle partikel, die in diesem suchraum vorkommen, untersucht, wie sie sich bewegen, um die zielfunktion zu erreichen. die pso ist eine topologie, d. h. jede teilmenge wird durch eine topologie beschrieben, die alle partikel in dem suchraum enthält, und die anzahl der iterationen der lösungskandidaten ist gegeben, d. h. die anzahl der iterationen pro partikel, anzahl der iterationen und anzahl der iterationen.im gegensatz zum allgemeineren pso-algorithmus"
"james rumbaugh ( * 22. august 1947 in bethlehem, pennsylvania ) ist ein amerikanischer informatiker.","james rumbaugh ( * 9. mai 1947 in bethlehem, pennsylvania ) ist ein amerikanischer informatiker."
das archaeological institute of america ( aia ) ist eine us-amerikanische non-profit-organisation zur förderung der archäologie mit sitz in boston und new york.,das indiana institute of technology ( aia ) ist eine us-amerikanische non-profit-organisation zur förderung der forschung in indien.
"hirnventrikel sind mit hirnwasser ( liquor cerebrospinalis ) gefüllte hohlräume im gehirn. sie bilden, zusammen mit dem rückenmarkskanal ( canalis centralis medullaris ), den inneren liquorraum. das gehirn weist je einen seitenventrikel in jeder großhirnhemisphäre auf, einen dritten ventrikel im zwischenhirn und den vierten ventrikel im rhombencephalon. diese vier hirnventrikel stehen durch löcher ( foramina ) und leitungen wie den aquaeductus mesencephali miteinander als ventrikelsystem in verbindung und mit dem zentralkanal. die ventrikel sind mit einem als ependym bezeichneten gewebe ausgekleidet. das hirnwasser wird von den in den ventrikeln liegenden adergefle","hirnventrikel sind mit hirnwasser ( liquor cerebrospinalis ) gefüllte hohlräume im gehirn. sie bilden, zusammen mit dem rückenmarkskanal ( canalis centralis medullaris ), den inneren liquorraum. sie umfassen, zusammen mit dem rückenmarkskanal ( canalis centralis medullaris ), den inneren liquorraum. das gehirn weist je einen seitenventrikel in jeder großhirnhemisphäre auf, einen dritten ventrikel im zwischenhirn und den vierten ventrikel im rhombencephalon."
"basic english oder einfaches englisch ist eine von charles kay ogden geschaffene vereinfachte form der englischen sprache mit stark verkleinertem vokabular. die englischvariante wird manchmal auch als plansprache bezeichnet, da diese form des englischen einst als welthilfssprache dienen sollte. es ist nicht mit dem formal ähnlichen, jedoch für ein sehr spezielles anwendungsgebiet geschaffenen simplified english zu verwechseln. basic ist die abkürzung für british american scientific international commercial ( language ), wobei auch auf das englische wort basic angespielt wird, welches grundlegend bedeutet.","basic english oder einfaches englisch ist eine von howard gden geschaffene vereinfachte form der englischen sprache, die in den 1930er jahren entwickelt wurde. der name bezieht sich auf die englischen wörter, die in den einzelnen wörtern einer sprache verwendet werden, sowie auf die englischen sonderwörter, die in den einzelnen wörtern einer sprache verwendet werden."
"randori ( japanisch 乱取り, wörtlich : das chaos nehmen ) ist eine übungsform des kampfes im budō, den japanischen kampfkünsten. sinngemäß steht dabei der übungskampf randori dem shiai − dem eigentlichen wettkampf − gegenüber. beim randori geht es nicht um gewinnen oder verlieren, sondern darum die zuvor erlernten techniken im fluss des kampfes anwenden zu lernen.",randori ( jap. ラドン ) ist eine wörtliche übersetzung des japanischen kampfes.
"die manhattan bridge ist eine hängebrücke in new york city, die den east river überquert und die beiden stadtteile lower manhattan ( chinatown ) und brooklyn miteinander verbindet. die am 31. dezember 1909 eröffnete, aber erst einige monate später fertiggestellte brücke war nach der brooklyn bridge und der williamsburg bridge die letzte der drei über den east river gebauten hängebrücken. auf ihren zwei ebenen hat sie heute insgesamt vier gleise der new york city subway, sieben fahrstreifen für den kfz-verkehr sowie einen fuß- und einen radweg.","die manhattan bridge ist eine hängebrücke in new york city, die den east river überquert und die beiden stadtteile brooklyn und williamsburg miteinander verbindet. die am 31. dezember 1909 eröffnete, aber erst einige monate später fertiggestellte brücke war nach der brooklyn bridge und der williamsburg bridge die letzte der drei über den east river gebauten hängebrücken."
"über sinn und bedeutung ist ein 1892 erschienener aufsatz von gottlob frege. frege erläutert darin die grundbegriffe seiner sprachphilosophie. die abhandlung wurde auch in der linguistik, speziell in der semantik, rezipiert ( vgl. lyons 1980 ).","über sinn und bedeutung ist ein werk des deutsch-griechischen philosophen gottlob frege. frege veröffentlichte diese auffassung erstmals 1879 in begriffsschrift ( „ begriffsschrift “, „ eingriffsschrift “ ). die auffassung, dass sinn für etwas bedeutungstragend ist, ist weitgehend unzureichend, da frege als einer der ersten vertreter einer sprachphilosophie ( sprachphilosophie ) gilt."
