bs_p,bs_r,bs_f
74.79,65.73,69.96
80.35,78.46,79.39
72.54,60.67,66.07
84.05,80.86,82.43
72.39,67.67999999999999,69.96
84.13000000000001,72.39,77.82
79.33,70.69,74.76
100.0,100.0,100.0
98.76,95.64,97.17
92.05,81.04,86.19
74.6,66.53,70.33
79.67,67.64,73.16
95.09,84.63000000000001,89.55
77.14999999999999,73.6,75.33
63.39,66.01,64.68
86.52,88.22,87.36
100.0,100.0,100.0
86.32,74.95,80.24
83.96000000000001,66.36,74.13
90.03,89.32,89.67
82.78,74.87,78.62
98.98,98.98,98.98
66.60000000000001,69.54,68.04
70.3,66.29,68.24
66.25999999999999,61.45,63.75999999999999
76.71,62.59,68.94
92.04,90.32,91.17
94.83,96.16,95.49
69.59,65.22,67.34
66.46,58.599999999999994,62.28
90.77,69.28999999999999,78.59
69.15,71.38,70.24000000000001
69.48,68.31,68.89
81.36,72.94,76.92
72.92,66.38,69.49
69.74000000000001,64.16,66.83
71.31,77.36,74.21
74.44,59.519999999999996,66.14999999999999
93.27,77.66999999999999,84.76
92.5,87.42999999999999,89.89
83.17,83.45,83.31
70.13000000000001,68.86,69.49
81.07,79.75999999999999,80.41
97.65,95.03,96.33
70.27,68.69,69.47
93.04,79.96,86.00999999999999
85.39999999999999,71.46000000000001,77.81
77.82,70.3,73.87
79.73,77.16,78.42
69.45,66.62,68.01
64.47,65.38000000000001,64.92
87.08,74.37,80.23
68.67,61.870000000000005,65.09
82.17999999999999,64.7,72.39999999999999
78.59,61.36000000000001,68.91000000000001
85.22,76.58,80.67
73.88,66.74,70.13000000000001
81.35,60.95,69.69
76.03,77.17,76.6
79.5,68.4,73.53
81.39,82.8,82.09
95.21,82.24000000000001,88.25
75.16000000000001,61.050000000000004,67.38
82.63000000000001,81.97,82.3
87.32,69.38,77.32
77.19,63.17,69.48
77.14,70.89999999999999,73.89
84.26,63.92,72.7
78.9,73.04,75.86
72.06,65.62,68.69
82.12,69.87,75.5
80.72,62.08,70.17999999999999
82.02000000000001,78.47,80.21000000000001
80.28999999999999,82.77,81.51
96.58,94.24,95.39
86.08,80.27,83.07
91.14999999999999,69.8,79.06
93.16,78.99000000000001,85.49
93.44,79.66,86.0
71.21,72.82,72.00999999999999
79.25,77.06,78.14
67.14,68.43,67.78
82.33,79.82000000000001,81.06
69.45,65.51,67.42
70.98,64.85,67.77
80.71000000000001,67.74,73.66
89.42999999999999,72.22,79.91
85.82,77.89,81.67
89.14999999999999,80.25999999999999,84.47
80.9,70.94,75.59
79.32000000000001,66.2,72.17
72.46000000000001,62.480000000000004,67.10000000000001
81.11,69.81,75.03999999999999
72.68,65.18,68.73
80.23,76.0,78.06
86.06,70.12,77.28
68.47999999999999,65.86999999999999,67.15
72.27,69.69999999999999,70.96000000000001
86.56,77.99000000000001,82.05
76.24,69.06,72.47
77.06,60.440000000000005,67.74
71.61,63.449999999999996,67.28
71.52,66.53999999999999,68.94
95.28999999999999,94.84,95.06
72.89,65.98,69.26
77.59,78.55,78.07
67.88,73.50999999999999,70.58
63.81,60.73,62.23
65.62,57.45,61.260000000000005
89.19,78.91,83.74000000000001
81.14,64.5,71.87
83.73,72.19,77.53
71.17,64.03,67.41
70.22,67.78999999999999,68.97999999999999
76.88000000000001,68.0,72.17
70.74000000000001,57.78,63.61
75.6,70.83,73.14
83.67,77.78,80.61
92.43,84.83000000000001,88.46000000000001
92.60000000000001,93.17,92.89
84.58,82.0,83.27
100.0,100.0,100.0
78.05,69.57,73.57000000000001
69.06,71.67,70.34
73.1,61.25000000000001,66.64999999999999
72.72,57.120000000000005,63.980000000000004
63.53,62.07,62.79
73.24000000000001,60.97,66.53999999999999
77.9,69.8,73.61999999999999
78.18,65.79,71.45
79.27,74.63,76.88000000000001
76.03999999999999,60.36,67.30000000000001
71.95,71.88,71.92
78.17,82.66,80.35
89.18,68.97,77.79
86.4,69.37,76.96
70.6,65.57,67.99
79.99000000000001,75.91,77.9
76.67,63.959999999999994,69.74000000000001
91.64999999999999,79.43,85.11
79.77,65.79,72.11
72.88,67.78999999999999,70.25
85.49,62.849999999999994,72.44
76.64,68.42,72.3
78.60000000000001,70.28999999999999,74.21
73.33,66.92,69.98
81.21000000000001,68.02,74.03
83.50999999999999,81.84,82.67
81.6,68.22,74.31
68.37,67.89,68.13
77.2,63.04,69.39999999999999
73.72,65.45,69.33
70.96000000000001,67.62,69.25
78.42,71.89999999999999,75.02
82.92,77.61,80.17999999999999
78.93,69.36,73.83999999999999
68.53,65.3,66.88
91.67,92.03,91.85
72.03,63.29,67.38
73.15,68.19,70.59
64.88000000000001,61.160000000000004,62.96000000000001
75.14,69.21000000000001,72.05
78.61,79.4,79.01
59.74,57.35,58.52
81.99,74.57000000000001,78.10000000000001
71.54,66.9,69.14
68.03,66.2,67.10000000000001
73.18,65.05,68.87
72.61,63.55,67.78
76.79,72.09,74.37
82.61,72.67,77.32
76.24,69.64,72.78999999999999
70.87,61.760000000000005,66.0
90.57,77.81,83.71
81.61,69.59,75.13
72.21,71.45,71.83
76.53,72.08,74.24
84.17999999999999,80.4,82.25
88.51,68.11,76.98
80.55,70.42,75.14999999999999
69.67,63.94,66.67999999999999
74.67,60.95,67.12
100.0,100.0,100.0
71.27,66.53,68.82000000000001
69.17,61.82,65.29
94.89999999999999,95.73,95.30999999999999
96.31,96.88,96.59
99.9,99.9,99.9
89.81,72.87,80.46
68.11,64.14999999999999,66.07
70.99,66.52,68.67999999999999
61.67,66.22,63.85999999999999
68.04,59.56,63.519999999999996
70.64,65.91,68.19
72.91,67.60000000000001,70.16
66.60000000000001,68.42,67.5
