bleu,p,bp,lr,rl,pl
0.0088,,0.06392786120670757,0.26666666666666666,120,32
0.2655,,0.9428731438548749,0.9444444444444444,36,34
0.0,,0.05915547054321793,0.26126126126126126,111,29
0.3072,,0.8145428811424836,0.8297872340425532,47,39
0.0,,0.6285839333986253,0.6829268292682927,41,28
0.1307,,0.355818918537342,0.4918032786885246,61,30
0.0786,,0.3867410234545011,0.5128205128205128,78,40
1.0,,1.0,1.0,17,17
0.8324,,0.8668778997501817,0.875,24,21
0.4325,,0.43459820850707814,0.5454545454545454,99,54
0.0425,,0.1353352832366127,0.3333333333333333,90,30
0.0,,0.20528965757990925,0.3870967741935484,62,24
0.6422,,0.6743949274217548,0.717391304347826,92,66
0.1763,,0.8187307530779819,0.8333333333333334,42,35
0.0,,0.2902995072708592,0.4470588235294118,85,38
0.6557,,1.0,1.2372881355932204,59,73
1.0,,1.0,1.0,40,40
0.1641,,0.3597945077825237,0.4945054945054945,91,45
0.0093,,0.024233967845691103,0.211864406779661,118,25
0.5832,,1.0,1.069767441860465,43,46
0.0,,0.3951177613268873,0.5185185185185185,54,28
0.7539,,1.0,1.0,27,27
0.0642,,1.0,1.6818181818181819,44,74
0.0,,0.569782824730923,0.64,125,80
0.0372,,0.6605819128108575,0.7068965517241379,116,82
0.0134,,0.05310501711260533,0.2540983606557377,122,31
0.5393,,0.9017226623630116,0.90625,32,29
0.6888,,1.0,1.0526315789473684,19,20
0.0,,0.28365402649977045,0.4424778761061947,113,50
0.0,,0.02593468769611924,0.21495327102803738,107,23
0.0405,,0.049787068367863944,0.25,60,15
0.0,,1.0,2.0535714285714284,56,115
0.1228,,0.9646055322970766,0.9652173913043478,115,111
0.1825,,0.654265252923595,0.7021276595744681,47,33
0.0392,,0.2176210568652329,0.39603960396039606,101,40
0.0,,0.3815030766654175,0.5092592592592593,108,55
0.0873,,1.0,2.533333333333333,30,76
0.0001,,0.00045632390058103137,0.11504424778761062,113,13
0.2639,,0.2927104369059283,0.44871794871794873,78,35
0.5109,,0.6969015606581123,0.7346938775510204,49,36
0.3766,,0.9682566771439106,0.96875,32,31
0.1163,,0.5769498103804866,0.6451612903225806,31,20
0.1939,,0.9455391358903962,0.946969696969697,132,125
0.8559,,0.8559395234122653,0.8653846153846154,52,45
0.1752,,0.925961078642316,0.9285714285714286,84,78
