r1_p,r1_r,r1_f,r2_p,r2_r,r2_f,rL_p,rL_r,rL_f
64.29,17.65,27.689999999999998,14.81,3.9600000000000004,6.25,35.709999999999994,9.8,15.379999999999999
57.14,51.61,54.24,29.630000000000003,26.669999999999998,28.07,42.86,38.71,40.68
39.290000000000006,9.65,15.49,3.6999999999999997,0.88,1.43,21.43,5.26,8.450000000000001
67.57,62.5,64.94,41.67,38.46,40.0,62.160000000000004,57.49999999999999,59.74
26.090000000000003,18.75,21.82,0.0,0.0,0.0,21.740000000000002,15.620000000000001,18.18
72.0,30.509999999999998,42.86,41.67,17.24,24.39,64.0,27.12,38.1
54.290000000000006,25.0,34.23,17.65,8.0,11.01,45.71,21.05,28.83
100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
100.0,88.46000000000001,93.88,100.0,88.0,93.62,100.0,88.46000000000001,93.88
100.0,53.849999999999994,70.0,100.0,53.33,69.57,95.92,51.65,67.14
60.709999999999994,20.48,30.630000000000003,33.33,10.979999999999999,16.509999999999998,53.56999999999999,18.07,27.029999999999998
56.25,16.98,26.090000000000003,20.0,5.7700000000000005,8.959999999999999,43.75,13.209999999999999,20.29
100.0,72.04,83.75,96.97,69.57,81.01,95.52000000000001,68.82000000000001,80.0
48.39,42.86,45.45,23.330000000000002,20.59,21.87,38.71,34.29,36.36
29.409999999999997,12.82,17.86,6.0600000000000005,2.6,3.64,23.53,10.26,14.29
67.74,85.71,75.68,63.93,81.25,71.56,67.74,85.71,75.68
100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
76.09,40.699999999999996,53.03,53.33,28.24,36.919999999999995,71.74000000000001,38.37,50.0
78.25999999999999,15.52,25.900000000000002,45.45,8.7,14.6,56.52,11.21,18.709999999999997
69.23,72.97,71.05,55.26,58.330000000000005,56.76,64.1,67.57,65.79
70.37,35.85,47.5,30.769999999999996,15.379999999999999,20.51,55.559999999999995,28.299999999999997,37.5
88.89,88.89,88.89,82.35,82.35,82.35,88.89,88.89,88.89
16.669999999999998,27.91,20.87,8.450000000000001,14.29,10.620000000000001,15.28,25.580000000000002,19.13
48.65,31.3,38.1,12.33,7.89,9.629999999999999,27.029999999999998,17.39,21.16
18.52,15.0,16.57,5.0,4.04,4.47,16.05,13.0,14.360000000000001
48.15,11.020000000000001,17.93,30.769999999999996,6.84,11.19,48.15,11.020000000000001,17.93
78.57,75.86,77.19,66.67,64.29,65.45,78.57,75.86,77.19
76.47,86.67,81.25,68.75,78.57,73.33,76.47,86.67,81.25
