reference,system
"unter ionenwind versteht man einen gerichteten fluss von ionen, also eine art der ionenstrahlung. erzeugt wird er durch eine gasentladung, die von einer an positiver hochspannung liegenden elektrode ( meist spitz geformt, was eine sehr starke inhomogenität des elektrischen feldes mit sich bringt ) ausgeht. die ionisation erfolgt durch entzug von elektronen. die so erzeugten positiv geladenen ionen werden dann von dieser elektrode ( anode ) weg entlang des feldgradienten beschleunigt. an einer gegenüberliegenden, negativ geladenen elektrode ( kathode ) beliebiger form nehmen die ionen wiederum elektronen auf. die bewegungsrichtung der ionen ist, da sie positiv geladen sind, die konventionelle stromrichtung `` von plus nach minus ''. die","der ionenwind ist eine form des elektrischen stromes. er entsteht durch ionisierende strahlung, die von einer ionenwolke ausgesandt wird. die von dieser ionenwolke ausgesandte strahlung nennt man ionenstrahlung."
"horror vacui ( lat. scheu vor der leere ) bezeichnet in der kunst den wunsch, alle leeren flächen, besonders in der malerei und im relief, mit darstellungen oder ornamenten zu füllen.","horror vacui ( lat. für „ leere raum “ ) bezeichnet in der kunst den engen raum, in dem sich zeichen und ornamente befinden, die mit leeren flächen versehen sind."
"bei der kryptosporidiose handelt es sich um eine durchfallerkrankung durch die zu den apicomplexa gehörenden kryptosporidien. bei menschen mit zellulärer immunschwäche ( z. b. aids ) tritt diese sonst seltene erkrankung gehäuft auf. die übertragung erfolgt als orale infektion durch die aufnahme infizierter speisen oder infizierten trinkwassers. eine infektion über infizierte haus- und nutztiere, sowie von mensch zu mensch ist möglich. die betroffenen leiden unter wässrigen durchfällen in verbindung mit bauchschmerzen und leichtem fieber. bei ansonsten gesunden heilt die erkrankung nach etwa einer woche folgenlos aus, es entwickelt sich eine lebenslange immunität. bei säuglingen und immungeschwächten können jedoch längere und komplizierte verläufe auf","die kryptosporidiose ist eine durch das bakterium cryptosporidium apicomplexa ausgelöste infektionskrankheit, die erstmals im jahre 1999 in den usa durch den ausbruch der kryptosporidiose zum auftreten kam."
"wonder woman ist einer der ältesten superhelden ( und die erste superheldin ) des dc-comics-verlags. sie wurde von william moulton marston und seiner frau, elizabeth holloway marston ( sadie ), geschaffen und hatte ihren ersten auftritt 1941 in all star comics # 8.","wonder woman ist einer der ältesten superhelden, die in comics des dc-verlags erschienen sind. sie wurde von william marston und seiner frau, gloria steinem, geschaffen und gilt als eine der ersten herausgeberinnen des dc-comics-magazins."
"dieser artikel beschreibt die grammatik der georgischen sprache ( eigenbezeichnung : [ kartuli ena ] ქართული ენა ). die grammatik des georgischen und der anderen sogenannten kaukasischen sprachen ist so umfangreich, dass hier keineswegs alle einzelheiten aufgeführt sind.",die georgische sprache ( auch : georgische oder georgische sprache ) ist die amtssprache in der bundesrepublik deutschland. das georgische ist die amtssprache der volksrepublik deutschland.
"ein zwiebelturm ist ein turm mit einer zwiebelhaube oder einem zwiebelhelm, z. b. ein kirchturm, dessen spitze in form einer zwiebel gearbeitet ist. der untere teil der spitze ist bauchig und läuft nach oben spitz zusammen, vergleichbar mit den kirchtürmen der moskauer basilius-kathedrale. neben runden bauformen werden auch türme mit eckigen turmhauben als zwiebelturm bezeichnet.","ein zwiebelturm ist ein turm mit einer zwiebelhaube, dessen spitze mit einer zwiebelhaube versehen ist. er wird auch als zwiebelturm, zwiebelfenster, zwiebelturm oder zwiebelturm bezeichnet."
"als partikelschwarmoptimierung ( pso ) wird ein naturanaloges optimierungsverfahren bezeichnet, das nach dem vorbild des biologischen schwarmverhaltens eine lösung für ein optimierungsproblem sucht. analog zum natürlichen phänomen wird eine population von lösungskandidaten durch den suchraum bewegt, um eine gute lösung für das problem zu erhalten. in jedem rechenschritt wird dazu die position jedes individuums neu berechnet. die pso ist eine metaheuristik, sie wurde 1995 von james kennedy und russell eberhart vorgeschlagen.","als partikeloptimierung ( pso ) wird ein optimierungsverfahren bezeichnet, das ein optimierungsproblem näherungsweise löst, indem eine menge von partikeln in eine suche- bzw. suchraum eingebracht wird. die partikeloptimierung ist eine der grundlegendsten methoden der optimierung."
"james rumbaugh ( * 22. august 1947 in bethlehem, pennsylvania ) ist ein amerikanischer informatiker.","james rumbaugh ( * 22. august 1947 in bethlehem, pennsylvania ) ist ein amerikanischer informatiker."
das archaeological institute of america ( aia ) ist eine us-amerikanische non-profit-organisation zur förderung der archäologie mit sitz in boston und new york.,das archaeological institute of america ( aia ) ist eine us-amerikanische non-profit-organisation zur förderung der archäologie mit sitz in boston.
"hirnventrikel sind mit hirnwasser ( liquor cerebrospinalis ) gefüllte hohlräume im gehirn. sie bilden, zusammen mit dem rückenmarkskanal ( canalis centralis medullaris ), den inneren liquorraum. das gehirn weist je einen seitenventrikel in jeder großhirnhemisphäre auf, einen dritten ventrikel im zwischenhirn und den vierten ventrikel im rhombencephalon. diese vier hirnventrikel stehen durch löcher ( foramina ) und leitungen wie den aquaeductus mesencephali miteinander als ventrikelsystem in verbindung und mit dem zentralkanal. die ventrikel sind mit einem als ependym bezeichneten gewebe ausgekleidet. das hirnwasser wird von den in den ventrikeln liegenden adergefle","die ventrikel sind mit hirnwasser ( liquor cerebrospinalis ) gefüllte hohlräume im gehirn. sie bilden, zusammen mit dem rückenmarkskanal ( canalis centralis medullaris ), den inneren liquorraum. das gehirn weist je einen seitenventrikel in jeder großhirnhemisphäre auf, einen dritten ventrikel im zwischenhirn und den vierten ventrikel im rhombencephalon."
