bs_p,bs_r,bs_f
69.95,64.89,67.32000000000001
68.05,71.7,69.83
74.81,73.38,74.09
64.05999999999999,64.86,64.46
92.23,71.17,80.35
80.4,73.92999999999999,77.03
73.48,66.86999999999999,70.02000000000001
99.75,99.75,99.75
98.63,88.58,93.33
84.54,81.01,82.74000000000001
66.2,69.08,67.61
75.77000000000001,69.98,72.76
87.48,72.48,79.28
73.32,69.19999999999999,71.2
76.58,64.92,70.27
89.02,82.39999999999999,85.58
97.45,92.80000000000001,95.07
76.98,60.11,67.51
79.25999999999999,66.05,72.05
76.92,81.94,79.35
79.29,74.06,76.59
99.18,99.18,99.18
78.0,72.44,75.12
69.87,67.55,68.69
66.66,57.28,61.61
68.16,63.160000000000004,65.57
95.38,96.53,95.95
94.78,94.13,94.45
90.86999999999999,68.83,78.33
74.29,65.71000000000001,69.74000000000001
85.03,69.02000000000001,76.19
72.48,73.05,72.76
69.42,62.27,65.64999999999999
79.25999999999999,72.75,75.87
70.83,64.57000000000001,67.56
72.23,64.12,67.93
77.45,75.77000000000001,76.6
73.5,58.28,65.01
84.11999999999999,77.06,80.43
98.72,92.73,95.63000000000001
96.1,94.63000000000001,95.36
79.82000000000001,69.3,74.19
86.42,84.48,85.44
97.65,95.03,96.33
77.14999999999999,71.56,74.25
95.23,79.22,86.49
93.8,72.26,81.63
79.36,67.31,72.84
77.53999999999999,74.74,76.11
74.47,65.32,69.59
67.9,66.46,67.17
86.37,74.37,79.92
73.77,61.5,67.08
85.57000000000001,65.46,74.17
77.06,63.5,69.62
88.64,75.53999999999999,81.57
71.6,64.72,67.97999999999999
70.50999999999999,69.87,70.19
66.69,75.75,70.93
81.5,68.14,74.22
87.51,76.61,81.69999999999999
87.52,88.17,87.83999999999999
72.78999999999999,71.26,72.00999999999999
83.69,80.78,82.21000000000001
77.66,66.36999999999999,71.57
76.42999999999999,65.72,70.67
69.53,66.51,67.99
72.09,64.14999999999999,67.89
80.63,80.11,80.36999999999999
77.2,67.55,72.05
76.64999999999999,69.39,72.84
81.47999999999999,62.4,70.67
75.62,79.62,77.57
85.6,86.32,85.96000000000001
96.58,94.24,95.39
78.88,77.84,78.36
79.38,67.13,72.74000000000001
87.55,80.5,83.88
88.06,79.51,83.57
84.32,71.98,77.66
82.96,78.36999999999999,80.60000000000001
68.14,65.78,66.94
76.41,70.44,73.3
66.01,64.85,65.42
70.07,60.57,64.97
72.37,69.73,71.02000000000001
92.27,70.92,80.2
82.76,80.34,81.53
86.11999999999999,78.45,82.11
83.64,75.17,79.17999999999999
80.57,69.82000000000001,74.81
68.57,63.82,66.11
73.05,67.51,70.17
62.6,58.709999999999994,60.589999999999996
81.66,74.55000000000001,77.94
85.61,67.04,75.2
68.0,63.56,65.71000000000001
75.87,71.78999999999999,73.77
82.01,71.19,76.22
77.46,71.61999999999999,74.42999999999999
72.31,64.77000000000001,68.34
90.7,72.52,80.60000000000001
67.99,65.64,66.8
95.6,92.69,94.12
73.16,68.03,70.5
68.33,72.87,70.53
56.18,70.00999999999999,62.33
88.46000000000001,79.06,83.5
69.67999999999999,64.0,66.72
77.86,68.82000000000001,73.06
80.80000000000001,62.74999999999999,70.64
90.02,73.32,80.82000000000001
70.72,66.84,68.72
72.78,67.19000000000001,69.88
72.43,55.879999999999995,63.09
69.89999999999999,64.28,66.97
68.63,66.97999999999999,67.80000000000001
87.75,81.08999999999999,84.28999999999999
94.3,87.92999999999999,91.0
92.22,91.60000000000001,91.91
82.08,81.15,81.61
100.0,100.0,100.0
74.53,74.72,74.62
82.27,75.14999999999999,78.55
80.08999999999999,67.07,73.0
64.94,56.99999999999999,60.709999999999994
66.75999999999999,66.09,66.42
64.2,64.33,64.27000000000001
72.03,69.56,70.77
64.1,63.31,63.7
80.71000000000001,74.67,77.58
69.34,59.11,63.82
83.77,71.92,77.4
85.32,78.61,81.83
85.46000000000001,68.89999999999999,76.29
79.99000000000001,70.42,74.9
79.29,69.17999999999999,73.89
80.45,77.2,78.79
73.29,66.11,69.51
87.48,80.71000000000001,83.96000000000001
72.48,69.74000000000001,71.08
74.68,62.45,68.02
70.09,66.36999999999999,68.17999999999999
66.77,67.24,67.0
81.13,69.1,74.63
70.08,61.760000000000005,65.64999999999999
82.37,65.71000000000001,73.1
87.78,81.89,84.73
75.77000000000001,67.25,71.26
80.71000000000001,62.36000000000001,70.36
76.88000000000001,62.41,68.89
76.98,65.21000000000001,70.61
74.83,67.32000000000001,70.88
79.22,68.28999999999999,73.35000000000001
82.32000000000001,78.19,80.2
69.77,71.46000000000001,70.6
73.31,64.92999999999999,68.87
87.53999999999999,85.34,86.42999999999999
75.03,64.27000000000001,69.24
70.57,70.3,70.43
69.49,61.67,65.35
77.84,65.51,71.15
72.91,74.55000000000001,73.72
59.13,55.22,57.11000000000001
84.41,75.4,79.65
85.72,73.34,79.05
69.85,63.5,66.52
