bleu,p,bp,lr,rl,pl
0.0,,0.07970589231766517,0.2833333333333333,120,34
0.1474,,1.0,1.4166666666666667,36,51
0.188,,0.9726044771163485,0.972972972972973,111,108
0.0,,1.0,2.6382978723404253,47,124
0.0254,,0.028565500784550377,0.21951219512195122,41,9
0.1347,,0.4757526784556506,0.5737704918032787,61,35
0.0,,0.31140322391459774,0.46153846153846156,78,36
0.8282,,1.0,1.0,17,17
0.629,,0.6624801353939264,0.7083333333333334,24,17
0.467,,0.979592552328462,0.9797979797979798,99,97
0.1209,,1.0,1.4444444444444444,90,130
0.0,,0.391605626676799,0.5161290322580645,62,32
0.1187,,0.16731470349048325,0.358695652173913,92,33
0.0,,0.6065306597126334,0.6666666666666666,42,28
0.002,,0.006273451662466895,0.16470588235294117,85,14
0.4066,,0.5754335174031933,0.6440677966101694,59,38
0.8024,,0.8948393168143697,0.9,40,36
0.005,,0.012868907137631324,0.18681318681318682,91,17
0.0019,,0.007446583070924338,0.1694915254237288,118,20
0.1047,,1.0,1.8837209302325582,43,81
0.0934,,0.751477293075286,0.7777777777777778,54,42
0.7938,,1.0,1.0,27,27
0.0948,,0.5647181220077593,0.6363636363636364,44,28
0.0453,,0.2800667608216488,0.44,125,55
0.0,,0.07243975703425146,0.27586206896551724,116,32
0.0,,0.26023925848964624,0.4262295081967213,122,52
0.8763,,1.0,1.0,32,32
0.7623,,1.0,1.0,19,19
0.0485,,0.05521328280404345,0.25663716814159293,113,29
0.0344,,0.2521382381530032,0.4205607476635514,107,45
0.0985,,0.20014850716070098,0.38333333333333336,60,23
0.0648,,1.0,1.3035714285714286,56,73
0.0797,,0.5746155594494722,0.6434782608695652,115,74
0.2353,,0.5968263778505599,0.6595744680851063,47,31
0.0334,,0.190539694347676,0.37623762376237624,101,38
0.0361,,0.42228747963461244,0.5370370370370371,108,58
0.0,,0.6951439283988786,0.7333333333333333,30,22
0.0,,9.395193157337451e-05,0.09734513274336283,113,11
0.3287,,0.5352614285189903,0.6153846153846154,78,48
0.707,,0.72301571276755,0.7551020408163265,49,37
0.6909,,0.9682566771439106,0.96875,32,31
0.1361,,0.43887992979155477,0.5483870967741935,31,17
0.281,,0.9213021648295184,0.9242424242424242,132,122
