r1_p,r1_r,r1_f,r2_p,r2_r,r2_f,rL_p,rL_r,rL_f
48.39,14.71,22.56,6.67,1.9800000000000002,3.05,29.03,8.82,13.530000000000001
34.150000000000006,45.16,38.89,17.5,23.330000000000002,20.0,26.83,35.480000000000004,30.56
42.27,35.96,38.86,17.71,15.040000000000001,16.27,28.87,24.560000000000002,26.540000000000003
11.020000000000001,35.0,16.77,3.17,10.26,4.8500000000000005,8.66,27.500000000000004,13.170000000000002
100.0,25.0,40.0,100.0,22.58,36.84,100.0,25.0,40.0
58.620000000000005,28.810000000000002,38.64,28.57,13.79,18.6,55.169999999999995,27.12,36.36
38.71,15.790000000000001,22.43,10.0,4.0,5.71,35.480000000000004,14.469999999999999,20.560000000000002
91.67,91.67,91.67,81.82000000000001,81.82000000000001,81.82000000000001,91.67,91.67,91.67
100.0,73.08,84.44,100.0,72.0,83.72,100.0,73.08,84.44
61.9,57.14,59.43000000000001,50.6,46.67,48.55,51.190000000000005,47.25,49.14
31.25,42.17,35.9,17.119999999999997,23.169999999999998,19.689999999999998,21.43,28.92,24.62
40.0,18.87,25.64,12.5,5.7700000000000005,7.89,32.0,15.09,20.51
90.62,31.180000000000003,46.400000000000006,74.19,25.0,37.4,84.38,29.03,43.2
37.04,28.57,32.26,11.540000000000001,8.82,10.0,25.929999999999996,20.0,22.58
61.53999999999999,10.26,17.580000000000002,41.67,6.49,11.24,61.53999999999999,10.26,17.580000000000002
75.0,42.86,54.55,70.37,39.58,50.67,75.0,42.86,54.55
94.28999999999999,94.28999999999999,94.28999999999999,88.24,88.24,88.24,94.28999999999999,94.28999999999999,94.28999999999999
70.59,13.950000000000001,23.3,50.0,9.41,15.840000000000002,64.71000000000001,12.790000000000001,21.36
76.19,13.79,23.36,35.0,6.09,10.37,57.14,10.34,17.52
33.800000000000004,64.86,44.440000000000005,14.29,27.779999999999998,18.87,26.76,51.349999999999994,35.19
44.74,32.08,37.36,21.62,15.379999999999999,17.98,34.21,24.529999999999998,28.57
94.44,94.44,94.44,88.24,88.24,88.24,94.44,94.44,94.44
42.309999999999995,25.580000000000002,31.879999999999995,20.0,11.899999999999999,14.93,34.62,20.93,26.090000000000003
46.81,19.13,27.16,17.39,7.02,10.0,36.17,14.78,20.990000000000002
40.0,12.0,18.459999999999997,6.9,2.02,3.1199999999999997,26.669999999999998,8.0,12.31
38.78,16.1,22.75,14.580000000000002,5.9799999999999995,8.48,28.57,11.86,16.77
89.66,89.66,89.66,89.29,89.29,89.29,89.66,89.66,89.66
80.0,80.0,80.0,78.57,78.57,78.57,80.0,80.0,80.0
96.3,23.849999999999998,38.24,84.61999999999999,20.369999999999997,32.84,92.58999999999999,22.939999999999998,36.76
57.49999999999999,21.9,31.72,23.080000000000002,8.649999999999999,12.590000000000002,40.0,15.24,22.07
66.67,27.91,39.34,47.06,19.05,27.12,61.11,25.580000000000002,36.07
27.54,34.55,30.65,10.290000000000001,12.959999999999999,11.48,18.84,23.64,20.97
36.36,20.169999999999998,25.95,15.379999999999999,8.469999999999999,10.93,24.240000000000002,13.450000000000001,17.299999999999997
51.72,27.27,35.709999999999994,28.57,14.81,19.509999999999998,51.72,27.27,35.709999999999994
31.430000000000003,11.34,16.669999999999998,11.76,4.17,6.15,25.71,9.28,13.639999999999999
37.93,20.95,26.99,12.280000000000001,6.7299999999999995,8.7,22.41,12.379999999999999,15.950000000000001
30.0,23.080000000000002,26.090000000000003,10.530000000000001,8.0,9.09,25.0,19.23,21.740000000000002
50.0,4.390000000000001,8.06,11.110000000000001,0.88,1.6400000000000001,40.0,3.51,6.45
77.78,47.949999999999996,59.31999999999999,68.17999999999999,41.67,51.72,68.89,42.47,52.54
100.0,74.42,85.33,96.77,71.43,82.19,100.0,74.42,85.33
90.0,87.1,88.52,75.86,73.33,74.58,90.0,87.1,88.52
60.0,36.0,45.0,42.86,25.0,31.580000000000002,60.0,36.0,45.0
60.34,57.85,59.07,35.65,34.17,34.89,45.69,43.8,44.73
100.0,85.71,92.31,100.0,85.42,92.13,100.0,85.71,92.31
54.84,21.790000000000003,31.19,20.0,7.79,11.21,45.16,17.95,25.69
100.0,44.64,61.73,100.0,43.64,60.760000000000005,100.0,44.64,61.73
100.0,28.810000000000002,44.74,100.0,27.589999999999996,43.24,100.0,28.810000000000002,44.74
66.67,17.82,28.12,23.080000000000002,6.0,9.520000000000001,40.739999999999995,10.89,17.19
60.0,45.0,51.43,41.38,30.769999999999996,35.29,56.67,42.5,48.57
44.440000000000005,25.0,32.0,30.769999999999996,17.02,21.92,40.739999999999995,22.919999999999998,29.330000000000002
26.919999999999998,13.73,18.18,0.0,0.0,0.0,19.23,9.8,12.989999999999998
76.74,41.77,54.1,54.76,29.49,38.33,69.77,37.97,49.18
41.18,7.779999999999999,13.08,18.75,3.37,5.71,35.29,6.67,11.21
84.21,12.6,21.92,72.22,10.32,18.060000000000002,84.21,12.6,21.92
50.0,11.540000000000001,18.75,27.27,5.88,9.68,50.0,11.540000000000001,18.75
80.0,34.48,48.19,62.5,26.32,37.04,68.0,29.310000000000002,40.96
44.190000000000005,17.27,24.84,2.3800000000000003,0.9199999999999999,1.32,23.26,9.09,13.07
33.33,37.68,35.370000000000005,10.39,11.76,11.03,23.080000000000002,26.090000000000003,24.490000000000002
19.54,42.5,26.77,3.49,7.6899999999999995,4.8,12.64,27.500000000000004,17.32
54.55,13.79,22.02,38.1,9.3,14.95,50.0,12.64,20.18
58.330000000000005,31.819999999999997,41.18,45.45,23.810000000000002,31.25,58.330000000000005,31.819999999999997,41.18
60.56,70.49,65.14999999999999,51.43,60.0,55.379999999999995,59.150000000000006,68.85,63.63999999999999
37.84,31.11,34.150000000000006,8.33,6.819999999999999,7.5,29.73,24.44,26.83
64.91,61.67,63.24999999999999,38.05,36.13,37.07,44.74,42.5,43.59
46.150000000000006,10.91,17.65,16.669999999999998,3.6999999999999997,6.0600000000000005,46.150000000000006,10.91,17.65
35.480000000000004,11.110000000000001,16.919999999999998,13.33,4.08,6.25,25.81,8.08,12.31
25.0,14.81,18.6,0.0,0.0,0.0,25.0,14.81,18.6
46.150000000000006,31.3,37.31,20.78,14.04,16.75,35.9,24.349999999999998,29.020000000000003
42.22,54.290000000000006,47.5,15.909999999999998,20.59,17.95,33.33,42.86,37.5
48.28,15.22,23.14,21.43,6.59,10.08,41.38,13.04,19.830000000000002
38.89,22.58,28.57,17.65,10.0,12.770000000000001,27.779999999999998,16.13,20.41
63.160000000000004,10.530000000000001,18.05,44.440000000000005,7.08,12.21,57.89,9.65,16.54
26.56,36.96,30.91,9.520000000000001,13.33,11.110000000000001,18.75,26.090000000000003,21.82
