reference,system
"unter ionenwind versteht man einen gerichteten fluss von ionen, also eine art der ionenstrahlung. erzeugt wird er durch eine gasentladung, die von einer an positiver hochspannung liegenden elektrode ( meist spitz geformt, was eine sehr starke inhomogenität des elektrischen feldes mit sich bringt ) ausgeht. die ionisation erfolgt durch entzug von elektronen. die so erzeugten positiv geladenen ionen werden dann von dieser elektrode ( anode ) weg entlang des feldgradienten beschleunigt. an einer gegenüberliegenden, negativ geladenen elektrode ( kathode ) beliebiger form nehmen die ionen wiederum elektronen auf. die bewegungsrichtung der ionen ist, da sie positiv geladen sind, die konventionelle stromrichtung `` von plus nach minus ''. die","der ionenwind ist eine physikalische phänomene, die in der elektrochemie, elektrodynamik und der physik auftritt. er basiert auf einer inhomogenen bewegung von ionen, die von einem geladenen körper ausgeht."
"horror vacui ( lat. scheu vor der leere ) bezeichnet in der kunst den wunsch, alle leeren flächen, besonders in der malerei und im relief, mit darstellungen oder ornamenten zu füllen.","horror vacui oder horror vacui ( lat., v. lat. : horror „ verrückt “, „ verrückt “, „ verrückt “ ) bezeichnet in der kunst den stil des ornamentalen gestaltungsstils, der vor allem in der zeit des späten 19. und frühen 20. jahrhunderts verbreitet war."
"bei der kryptosporidiose handelt es sich um eine durchfallerkrankung durch die zu den apicomplexa gehörenden kryptosporidien. bei menschen mit zellulärer immunschwäche ( z. b. aids ) tritt diese sonst seltene erkrankung gehäuft auf. die übertragung erfolgt als orale infektion durch die aufnahme infizierter speisen oder infizierten trinkwassers. eine infektion über infizierte haus- und nutztiere, sowie von mensch zu mensch ist möglich. die betroffenen leiden unter wässrigen durchfällen in verbindung mit bauchschmerzen und leichtem fieber. bei ansonsten gesunden heilt die erkrankung nach etwa einer woche folgenlos aus, es entwickelt sich eine lebenslange immunität. bei säuglingen und immungeschwächten können jedoch längere und komplizierte verläufe auf","bei der kryptosporidiose handelt es sich um eine durch bakterien der gattung cryptosporidium verursachte infektionskrankheit bei menschen und tieren. die infektion erfolgt durch das eindringen fremder bestandteile in die nase und die harnröhre. bei menschen mit zellulärer immunschwäche ( z. b. aids ) können auch andere organe ( z. b. leber, milz, knochenmark, nieren, herz, nase ) infiziert werden. die infektion erfolgt über die nasenschleimhaut oder über den mund. bei über 90 % der patienten besteht eine akute kryptosporidiose aus einer durchblutung des oberen atemtrakts durch das parasiten amylosporidium clostridium, bei einigen aber auch durch das bakterium clostridium"
"wonder woman ist einer der ältesten superhelden ( und die erste superheldin ) des dc-comics-verlags. sie wurde von william moulton marston und seiner frau, elizabeth holloway marston ( sadie ), geschaffen und hatte ihren ersten auftritt 1941 in all star comics # 8.","wonder woman ist der name einer reihe von comic-comics, die der us-amerikanische verlag dc-comics in den 1960er- und 1970er-jahren herausgebracht hat. die erste veröffentlichung erschien 1963 unter dem titel wonder woman : the story of the woman. 1966 wurde die reihe in dc : the story of the woman herausgegeben. der dc-comics-verlag veröffentlichte die erste fassung mit dem titel wonder woman : the story of the woman. das dc-comics-magazin veröffentlichte die fassung mit dem titel wonder woman : the story of the woman. das dc-comics-magazin veröffentlichte die fassung mit dem titel wonder woman : the story of the woman. das dc-comics-magazin veröffentlichte die erste version mit dem titel wonder woman : the story of the woman."
"dieser artikel beschreibt die grammatik der georgischen sprache ( eigenbezeichnung : [ kartuli ena ] ქართული ენა ). die grammatik des georgischen und der anderen sogenannten kaukasischen sprachen ist so umfangreich, dass hier keineswegs alle einzelheiten aufgeführt sind.",dieser artikel beschreibt die grammatik der georgischen sprache.
"ein zwiebelturm ist ein turm mit einer zwiebelhaube oder einem zwiebelhelm, z. b. ein kirchturm, dessen spitze in form einer zwiebel gearbeitet ist. der untere teil der spitze ist bauchig und läuft nach oben spitz zusammen, vergleichbar mit den kirchtürmen der moskauer basilius-kathedrale. neben runden bauformen werden auch türme mit eckigen turmhauben als zwiebelturm bezeichnet.","ein zwiebelturm ist ein turm mit einer zwiebelhaube, dessen spitze von einer zwiebelturmhaube umgeben ist. er wird in der russischen architektur auch als turmhelm ( russ. tor von turm ) bezeichnet."
"als partikelschwarmoptimierung ( pso ) wird ein naturanaloges optimierungsverfahren bezeichnet, das nach dem vorbild des biologischen schwarmverhaltens eine lösung für ein optimierungsproblem sucht. analog zum natürlichen phänomen wird eine population von lösungskandidaten durch den suchraum bewegt, um eine gute lösung für das problem zu erhalten. in jedem rechenschritt wird dazu die position jedes individuums neu berechnet. die pso ist eine metaheuristik, sie wurde 1995 von james kennedy und russell eberhart vorgeschlagen.","die partikellösungshydrodynamik ( pso ) ist ein optimierungsalgorithmus, der auf der suche nach lösungen für problemstellungen optimiert wird. die partikellösungshydrodynamik ( pso ) ist eine variante der particle soluble optimization ( pso )."
"james rumbaugh ( * 22. august 1947 in bethlehem, pennsylvania ) ist ein amerikanischer informatiker.","james rumbaugh ( * 17. august 1947 in bethlehem, pennsylvania ) ist ein amerikanischer informatiker."
das archaeological institute of america ( aia ) ist eine us-amerikanische non-profit-organisation zur förderung der archäologie mit sitz in boston und new york.,das archaeological institute of america ( aia ) ist eine us-amerikanische non-profit-organisation zur förderung der archäologie.
"hirnventrikel sind mit hirnwasser ( liquor cerebrospinalis ) gefüllte hohlräume im gehirn. sie bilden, zusammen mit dem rückenmarkskanal ( canalis centralis medullaris ), den inneren liquorraum. das gehirn weist je einen seitenventrikel in jeder großhirnhemisphäre auf, einen dritten ventrikel im zwischenhirn und den vierten ventrikel im rhombencephalon. diese vier hirnventrikel stehen durch löcher ( foramina ) und leitungen wie den aquaeductus mesencephali miteinander als ventrikelsystem in verbindung und mit dem zentralkanal. die ventrikel sind mit einem als ependym bezeichneten gewebe ausgekleidet. das hirnwasser wird von den in den ventrikeln liegenden adergefle","hirnventrikel sind mit hirnwasser ( liquor cerebrospinalis ) gefüllte hohlräume im gehirn. das gehirn weist je einen seitenventrikel in jeder großhirnhemisphäre auf, einen dritten ventrikel im zwischenhirn und den vierten ventrikel im rhombencephalon. das hirnwasser wird von den beiden vierten ventrikeln geströmt. im vierten ventrikel ( 3. ventrikel ) liegen die nervenfasern am 4. ventrikel ( 3. ventrikel ), bei den 3. ventrikel ( 4. ventrikel ) und 4. ventrikel ( 5. ventrikel ). das hirnwasser wird vom rückenmarkskanal ( canalis centralis medullaris ) in den vierten ventrikel ( ventrikel ventrikel"
