bs_p,bs_r,bs_f
71.28999999999999,65.3,68.16
66.24,64.64999999999999,65.44
68.33,64.03999999999999,66.11
66.96,65.28,66.11
77.06,67.35,71.88
58.160000000000004,59.07,58.60999999999999
64.38000000000001,60.24,62.239999999999995
89.05999999999999,90.7,89.87
59.440000000000005,65.52,62.33
62.0,60.58,61.28
54.86,58.85,56.79
56.19,62.260000000000005,59.07
75.52,65.06,69.89999999999999
53.54,57.08,55.25
52.769999999999996,51.0,51.870000000000005
61.67,58.56,60.08
79.79,66.44,72.50999999999999
60.28,60.83,60.550000000000004
75.63,60.84,67.43
60.24,63.73,61.94
70.02000000000001,67.71000000000001,68.84
77.22,79.21000000000001,78.2
60.74,64.21,62.419999999999995
61.78,64.12,62.93
72.92,64.19,68.27
70.69,64.91,67.67999999999999
89.95,75.42,82.05
79.49000000000001,83.21,81.31
65.22,66.55,65.88000000000001
59.91,58.089999999999996,58.989999999999995
81.3,63.09,71.05
68.86,63.580000000000005,66.11
69.13,63.12,65.99000000000001
64.23,61.260000000000005,62.71
64.67,60.12,62.31
57.75,58.26,57.99999999999999
65.08,66.66,65.86
77.68,63.33,69.78
64.03,59.11,61.47
68.89999999999999,64.42,66.59
78.45,71.14,74.62
81.42,68.37,74.33
78.75,63.7,70.43
71.76,61.89,66.46
72.63,64.75,68.47
84.28999999999999,72.67,78.05
66.5,62.41,64.39
74.72999999999999,65.03,69.54
50.38,52.17,51.25999999999999
58.98,52.04,55.28999999999999
59.39,61.44,60.4
77.28,64.38000000000001,70.24000000000001
57.089999999999996,55.089999999999996,56.07
83.86,70.67,76.7
74.39,61.82,67.52
72.28999999999999,65.8,68.89
66.42,61.970000000000006,64.12
61.28,59.98,60.62
49.68,57.199999999999996,53.18000000000001
72.11,59.419999999999995,65.14999999999999
54.379999999999995,65.35,59.37
61.83,57.99999999999999,59.85
46.51,47.77,47.13
71.65,70.84,71.24000000000001
61.14000000000001,54.42,57.589999999999996
67.61,61.28,64.29
59.940000000000005,61.260000000000005,60.589999999999996
56.24,56.16,56.2
73.04,72.18,72.61
65.36,61.41,63.32
81.03,68.12,74.02
60.56,54.08,57.14
76.3,69.99,73.00999999999999
78.93,79.66,79.3
78.41,77.52,77.96
82.64,67.65,74.4
70.26,63.04,66.46
75.89,70.77,73.24000000000001
81.67,73.09,77.14
61.6,60.34,60.96
72.3,70.8,71.55
54.43,60.01,57.08
71.71,61.629999999999995,66.29
51.68000000000001,59.0,55.1
61.150000000000006,58.25,59.67
60.870000000000005,51.53,55.81
67.08,64.56,65.79
74.83,64.88000000000001,69.5
73.74000000000001,71.89,72.8
63.660000000000004,58.07,60.73
71.17999999999999,61.760000000000005,66.13
73.36,58.540000000000006,65.12
60.870000000000005,55.26,57.93000000000001
66.8,59.27,62.81
71.59,63.01,67.03
71.61999999999999,59.940000000000005,65.25999999999999
59.36,60.35,59.85
59.91,59.870000000000005,59.89
78.55,66.66,72.11999999999999
57.60999999999999,59.019999999999996,58.3
57.56,61.82,59.61
69.54,58.24,63.39
72.84,61.809999999999995,66.86999999999999
86.11,83.5,84.78
62.980000000000004,60.160000000000004,61.529999999999994
53.81,62.970000000000006,58.03
75.78,69.74000000000001,72.63
57.330000000000005,57.89,57.60999999999999
69.65,63.18,66.25999999999999
58.98,65.66,62.13999999999999
77.49000000000001,65.68,71.1
74.24,63.14999999999999,68.25
69.14,63.739999999999995,66.33
68.71000000000001,64.86,66.73
72.02,57.4,63.88
66.59,66.38,66.47999999999999
