r1_p,r1_r,r1_f,r2_p,r2_r,r2_f,rL_p,rL_r,rL_f
13.56,13.11,13.33,1.72,1.67,1.69,8.469999999999999,8.200000000000001,8.33
11.67,22.58,15.379999999999999,5.08,10.0,6.74,11.67,22.58,15.379999999999999
23.53,6.25,9.879999999999999,0.0,0.0,0.0,11.76,3.1199999999999997,4.9399999999999995
23.080000000000002,15.0,18.18,8.0,5.13,6.25,19.23,12.5,15.15
30.769999999999996,25.0,27.589999999999996,8.0,6.45,7.140000000000001,23.080000000000002,18.75,20.69
12.82,8.469999999999999,10.2,2.63,1.72,2.08,12.82,8.469999999999999,10.2
17.24,13.889999999999999,15.379999999999999,0.0,0.0,0.0,13.79,11.110000000000001,12.31
50.0,58.330000000000005,53.849999999999994,23.080000000000002,27.27,25.0,50.0,58.330000000000005,53.849999999999994
12.280000000000001,26.919999999999998,16.869999999999997,3.5700000000000003,8.0,4.9399999999999995,12.280000000000001,26.919999999999998,16.869999999999997
7.580000000000001,8.93,8.200000000000001,0.0,0.0,0.0,7.580000000000001,8.93,8.200000000000001
18.52,14.29,16.13,3.7699999999999996,2.9000000000000004,3.2800000000000002,12.959999999999999,10.0,11.29
11.76,11.32,11.540000000000001,2.0,1.92,1.96,7.84,7.55,7.6899999999999995
57.89,14.099999999999998,22.68,0.0,0.0,0.0,42.11,10.26,16.49
6.819999999999999,8.57,7.59,0.0,0.0,0.0,4.55,5.71,5.06
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11.59,16.33,13.56,0.0,0.0,0.0,10.14,14.29,11.86
47.370000000000005,25.71,33.33,22.220000000000002,11.76,15.379999999999999,47.370000000000005,25.71,33.33
25.0,11.76,16.0,3.2300000000000004,1.49,2.04,21.88,10.290000000000001,14.000000000000002
47.06,10.530000000000001,17.2,18.75,4.0,6.59,41.18,9.21,15.049999999999999
14.000000000000002,18.92,16.09,0.0,0.0,0.0,8.0,10.81,9.2
30.0,22.64,25.81,5.13,3.85,4.3999999999999995,27.500000000000004,20.75,23.66
12.5,16.669999999999998,14.29,4.35,5.88,5.0,12.5,16.669999999999998,14.29
6.78,9.3,7.84,0.0,0.0,0.0,5.08,6.98,5.88
14.04,12.7,13.33,5.36,4.84,5.08,10.530000000000001,9.520000000000001,10.0
25.0,8.06,12.2,5.26,1.6400000000000001,2.5,25.0,8.06,12.2
28.57,11.27,16.16,14.81,5.71,8.25,25.0,9.86,14.14
69.23,31.03,42.86,58.330000000000005,25.0,35.0,69.23,31.03,42.86
32.35,73.33,44.9,24.240000000000002,57.14,34.04,29.409999999999997,66.67,40.82
23.810000000000002,17.24,20.0,4.88,3.51,4.08,19.05,13.79,16.0
15.25,13.43,14.29,1.72,1.52,1.6099999999999999,6.78,5.970000000000001,6.35
58.330000000000005,16.28,25.45,27.27,7.140000000000001,11.32,50.0,13.950000000000001,21.82
19.12,23.64,21.14,0.0,0.0,0.0,17.65,21.82,19.509999999999998
20.69,8.82,12.370000000000001,3.5700000000000003,1.49,2.11,10.34,4.41,6.1899999999999995
18.42,12.73,15.049999999999999,8.110000000000001,5.56,6.59,15.790000000000001,10.91,12.9
17.39,7.02,10.0,0.0,0.0,0.0,13.04,5.26,7.5
16.28,10.290000000000001,12.61,2.3800000000000003,1.49,1.83,11.63,7.35,9.01
11.76,23.080000000000002,15.58,2.0,4.0,2.67,11.76,23.080000000000002,15.58
50.0,7.580000000000001,13.16,11.110000000000001,1.54,2.7,40.0,6.0600000000000005,10.530000000000001
25.53,19.05,21.82,6.52,4.84,5.56,19.15,14.29,16.36
