bs_p,bs_r,bs_f
74.81,63.7,68.81
71.44,65.24,68.2
74.03999999999999,63.349999999999994,68.28
79.96,67.11,72.98
75.18,66.9,70.8
66.03,58.989999999999995,62.31
65.75999999999999,58.47,61.9
86.53999999999999,89.22,87.86
79.43,79.32000000000001,79.36999999999999
65.83,59.96,62.760000000000005
70.45,59.97,64.79
67.55,66.67999999999999,67.11
77.85,66.25999999999999,71.59
55.46,62.980000000000004,58.98
83.7,65.71000000000001,73.61999999999999
66.27,62.31,64.23
76.44999999999999,67.91,71.93
66.66,62.83,64.69
78.72,63.59,70.35
55.559999999999995,61.18,58.24
66.62,67.93,67.27
58.42,65.08,61.57
63.44,63.91,63.68000000000001
63.65,63.959999999999994,63.800000000000004
65.14999999999999,58.56,61.68
73.44000000000001,63.4,68.05
93.71000000000001,78.84,85.63
79.17999999999999,83.17,81.13
67.75999999999999,64.88000000000001,66.29
49.41,52.129999999999995,50.739999999999995
81.3,63.09,71.05
73.92999999999999,62.529999999999994,67.75
72.57000000000001,62.370000000000005,67.08
68.4,61.49,64.75999999999999
56.63,57.74,57.18
59.040000000000006,57.35,58.18
53.83,65.73,59.19
73.64,61.4,66.96
68.4,63.93,66.09
69.99,63.42,66.53999999999999
83.52000000000001,71.63000000000001,77.12
79.03999999999999,66.53999999999999,72.25
78.22,62.82,69.67999999999999
75.1,63.33,68.71000000000001
71.03,64.22,67.45
62.55,52.05,56.82000000000001
57.66,58.02,57.84
66.3,66.77,66.53999999999999
49.46,51.580000000000005,50.5
63.06,61.27,62.150000000000006
66.21000000000001,60.89,63.44
74.92999999999999,63.56,68.78
71.47,64.53,67.82000000000001
79.89,65.03,71.7
73.24000000000001,61.6,66.92
76.35,66.95,71.34
69.28,62.93,65.95
63.42,61.7,62.55
73.6,71.82,72.7
71.94,58.209999999999994,64.35
62.61,65.99000000000001,64.25999999999999
47.3,47.52,47.410000000000004
47.04,49.07,48.04
74.18,73.64,73.91
61.14000000000001,54.42,57.589999999999996
71.28999999999999,61.78,66.19
56.169999999999995,54.900000000000006,55.53
57.4,57.78,57.589999999999996
74.75,67.34,70.85000000000001
54.74,54.620000000000005,54.67999999999999
81.03,68.12,74.02
44.78,46.83,45.78
64.95,68.91000000000001,66.86999999999999
78.17,80.64,79.39
87.72999999999999,82.45,85.00999999999999
79.89,67.43,73.14
68.91000000000001,62.32,65.45
78.97999999999999,69.53,73.95
63.660000000000004,68.19,65.84
61.199999999999996,59.68,60.42999999999999
64.74,69.27,66.92
56.410000000000004,55.410000000000004,55.900000000000006
70.07,62.77,66.22
67.5,60.19,63.63999999999999
71.09,64.53999999999999,67.66
63.79,58.050000000000004,60.79
63.980000000000004,56.47,59.99
77.59,67.36,72.11
63.18,65.99000000000001,64.55
57.63,57.379999999999995,57.50999999999999
71.17999999999999,61.760000000000005,66.13
61.59,57.66,59.56
58.599999999999994,59.06,58.830000000000005
68.76,57.74,62.77
75.12,65.44,69.95
71.61999999999999,59.940000000000005,65.25999999999999
70.44,62.64999999999999,66.32000000000001
66.25999999999999,61.08,63.56
65.28,66.78,66.02
54.87,57.379999999999995,56.10000000000001
55.36,59.260000000000005,57.24
67.82000000000001,55.11000000000001,60.8
69.71000000000001,64.98,67.25999999999999
87.78,82.83,85.22999999999999
70.42,60.0,64.8
67.92,67.06,67.49000000000001
73.81,67.35,70.43
63.5,59.919999999999995,61.660000000000004
70.24000000000001,62.46000000000001,66.12
70.47,66.64,68.5
76.42999999999999,66.07,70.88
57.93000000000001,60.61,59.24
71.94,64.18,67.83
68.78999999999999,65.45,67.08
66.93,55.989999999999995,60.97
58.730000000000004,61.29,59.98
58.650000000000006,58.56,58.599999999999994
60.31999999999999,58.01,59.14
80.71000000000001,62.28,70.30999999999999
77.4,75.37,76.37
80.78,67.02,73.26
72.39,72.31,72.35000000000001
80.05,67.56,73.27
66.35,64.34,65.33
53.86,52.51,53.18000000000001
52.349999999999994,52.62,52.480000000000004
58.03,55.58,56.779999999999994
56.879999999999995,59.84,58.32000000000001
64.25999999999999,63.980000000000004,64.12
70.89,61.7,65.97
75.8,63.9,69.34
61.870000000000005,61.88,61.88
66.29,63.51,64.87
74.88,69.3,71.98
72.66,56.11000000000001,63.32
73.77,65.25999999999999,69.25
55.67999999999999,58.050000000000004,56.84
70.89999999999999,64.44,67.52
58.79,56.04,57.379999999999995
84.84,72.11,77.96
59.230000000000004,54.54,56.79
60.5,61.61,61.050000000000004
52.18000000000001,58.53,55.169999999999995
48.480000000000004,51.949999999999996,50.14999999999999
55.93,51.78,53.779999999999994
67.78,64.5,66.10000000000001
76.32,67.06,71.39
74.0,61.39,67.11
58.36,61.050000000000004,59.67
65.14,61.5,63.260000000000005
50.46000000000001,52.07000000000001,51.24999999999999
67.07,63.91,65.46
61.9,59.88,60.88
76.68,66.64999999999999,71.31
74.22999999999999,67.67999999999999,70.81
53.43,56.45,54.900000000000006
61.550000000000004,53.410000000000004,57.199999999999996
62.77,63.67,63.22
62.99,58.35,60.589999999999996
65.5,62.23,63.83
50.8,55.60000000000001,53.09
69.22,59.01,63.71
74.86,65.36999999999999,69.8
60.74,54.75,57.589999999999996
65.09,66.73,65.9
56.910000000000004,57.66,57.28
76.47,63.71,69.51
56.52,63.92,60.0
59.760000000000005,59.06,59.41
64.82,57.96,61.199999999999996
82.37,69.67999999999999,75.5
55.22,53.63,54.410000000000004
59.13,59.93000000000001,59.53000000000001
73.00999999999999,64.58,68.54
73.19,64.99000000000001,68.84
67.51,65.03,66.25
66.79,60.62,63.55
75.22999999999999,59.12,66.21000000000001
64.99000000000001,58.35,61.49
60.27,56.85,58.51
64.39,61.12,62.71
60.47,57.52,58.95
80.5,75.9,78.13
64.18,61.760000000000005,62.949999999999996
65.53,65.03,65.28
88.31,75.17,81.21000000000001
85.66,79.03,82.21000000000001
83.46000000000001,83.35000000000001,83.39999999999999
74.6,70.19999999999999,72.33000000000001
50.29,52.410000000000004,51.33
56.56,56.04,56.3
53.900000000000006,53.86,53.879999999999995
42.67,54.54,47.88
78.77,61.7,69.19999999999999
59.730000000000004,61.85000000000001,60.77
48.28,54.82,51.349999999999994
72.00999999999999,69.19,70.57
52.470000000000006,55.86,54.11
63.849999999999994,61.21,62.5
51.11,51.51,51.31
73.92,61.82,67.33
57.21000000000001,59.13,58.15
60.550000000000004,59.8,60.18
59.06,62.38,60.67
82.12,77.10000000000001,79.54
71.33,60.86,65.68
70.67,63.62,66.96
59.45,63.41,61.370000000000005
72.0,63.57000000000001,67.52
78.32000000000001,69.39,73.58
55.620000000000005,55.2,55.410000000000004
89.56,79.16,84.04
82.65,69.55,75.53999999999999
71.85000000000001,60.77,65.85
64.5,59.58,61.94
82.14,82.46,82.3
55.35,54.26,54.800000000000004
60.57,67.93,64.03999999999999
67.53,74.15,70.69
61.519999999999996,55.82,58.53
64.64,57.9,61.08
75.12,63.07000000000001,68.57
68.47,65.41,66.91
75.59,69.13,72.22
56.07,51.78,53.839999999999996
57.36,56.93,57.15
69.5,61.27,65.13
53.21,54.13,53.66
78.17,60.72,68.35
71.59,59.550000000000004,65.02
49.0,56.010000000000005,52.27
68.36,69.89,69.11
52.0,52.66,52.33
68.77,64.45,66.53999999999999
71.5,62.67,66.8
55.510000000000005,51.43,53.39
68.43,61.370000000000005,64.71000000000001
63.7,56.330000000000005,59.79
70.06,62.39,66.0
60.529999999999994,58.76,59.63
58.91,71.21,64.48
64.89,51.73,57.57
67.11,63.339999999999996,65.16999999999999
62.38,61.6,61.99
64.14,62.739999999999995,63.43
65.42999999999999,64.11,64.75999999999999
72.00999999999999,60.42999999999999,65.71000000000001
73.42,61.68,67.04
72.7,63.21,67.63
69.11,64.53999999999999,66.75
60.709999999999994,62.029999999999994,61.370000000000005
67.54,67.24,67.39
66.53,55.69,60.629999999999995
73.52,68.4,70.87
85.69,66.39,74.82
67.0,64.34,65.64
80.19,67.32000000000001,73.19
63.629999999999995,55.46,59.260000000000005
80.54,73.16,76.67
87.38,75.51,81.01
75.57000000000001,64.47,69.58
55.779999999999994,60.050000000000004,57.830000000000005
63.27,60.040000000000006,61.62
73.89,66.32000000000001,69.89999999999999
66.52,67.56,67.04
63.12,56.86,59.81999999999999
62.160000000000004,60.27,61.199999999999996
53.82,65.58,59.12
59.96,59.0,59.48
64.88000000000001,59.17,61.9
60.64000000000001,62.36000000000001,61.49
73.86,61.919999999999995,67.36
56.56,58.79,57.66
61.919999999999995,62.239999999999995,62.08
62.41,69.5,65.77
65.7,64.87,65.28
68.31,58.86,63.239999999999995
62.029999999999994,51.38,56.2
93.60000000000001,82.80999999999999,87.88
68.17,58.42,62.92
67.73,58.46,62.74999999999999
82.04,68.91000000000001,74.91
58.9,64.14,61.41
67.2,60.88,63.88
81.77,68.41000000000001,74.5
56.69,61.150000000000006,58.830000000000005
68.21000000000001,62.03999999999999,64.98
71.75,63.17,67.17999999999999
65.9,60.480000000000004,63.07000000000001
66.45,63.65,65.02
62.93,56.769999999999996,59.69
80.86,73.33,76.91
57.50999999999999,61.72,59.540000000000006
71.67999999999999,66.57,69.03
64.24,62.9,63.56
63.77,58.45,60.99
69.34,61.3,65.07
85.55,61.660000000000004,71.67
76.28,62.629999999999995,68.78999999999999
72.23,63.28,67.46
57.25,58.89,58.06
82.86,65.56,73.2
73.08,66.47999999999999,69.62
65.41,68.57,66.96
72.38,65.5,68.77
65.14,62.019999999999996,63.54
61.96,56.279999999999994,58.98
69.72,63.67,66.56
54.87,57.17,56.00000000000001
71.14,64.53999999999999,67.67999999999999
56.49999999999999,52.1,54.21
58.599999999999994,55.010000000000005,56.75
71.75,66.5,69.02000000000001
77.60000000000001,66.5,71.61999999999999
64.61,58.660000000000004,61.49
72.91,63.63999999999999,67.96
60.38,60.42999999999999,60.4
54.2,57.47,55.78999999999999
62.62,63.38,62.99
52.96999999999999,55.44,54.169999999999995
64.58,58.46,61.370000000000005
71.13000000000001,58.989999999999995,64.49000000000001
65.09,64.16,64.62
69.84,60.6,64.89
59.919999999999995,53.31,56.42
72.39,69.67,71.0
80.63,58.8,68.01
78.64,63.449999999999996,70.23
65.07,61.42999999999999,63.2
74.26,66.33,70.07
64.09,56.769999999999996,60.209999999999994
71.61999999999999,61.29,66.05
58.730000000000004,65.57,61.96
71.75,67.7,69.67
60.17,60.41,60.29
67.54,63.519999999999996,65.47
71.05,71.93,71.49
64.53,55.88999999999999,59.9
76.8,61.96,68.58999999999999
96.97,90.86999999999999,93.82000000000001
54.98,62.07,58.309999999999995
54.49,59.53000000000001,56.89999999999999
63.449999999999996,63.04,63.24999999999999
60.260000000000005,66.63,63.28
70.21,62.019999999999996,65.86
70.83,66.97,68.85
68.55,65.16999999999999,66.82000000000001
69.37,61.29,65.08
52.71,60.5,56.34
66.67999999999999,61.040000000000006,63.73
54.769999999999996,58.78,56.71000000000001
56.53,58.699999999999996,57.599999999999994
73.65,66.0,69.62
61.72,56.67,59.08
57.599999999999994,60.209999999999994,58.879999999999995
64.7,68.28999999999999,66.45
52.12,51.23,51.67
88.75,87.03999999999999,87.88
86.50999999999999,84.1,85.28999999999999
84.39,68.60000000000001,75.68
79.12,64.12,70.83
77.92,63.43,69.93
52.38,52.800000000000004,52.59
61.6,61.370000000000005,61.49
60.35,59.8,60.08
70.53,64.37,67.31
73.92999999999999,64.92,69.13
86.8,67.28,75.8
58.42,63.5,60.86
64.2,63.32,63.75999999999999
74.81,59.69,66.4
79.71000000000001,70.03,74.56
64.47,61.49,62.94
65.8,61.18,63.41
54.98,55.400000000000006,55.19
82.01,68.19,74.47
80.86,79.17999999999999,80.01
69.17999999999999,62.38,65.60000000000001
73.34,64.05999999999999,68.39
65.16,57.63,61.160000000000004
53.669999999999995,60.260000000000005,56.769999999999996
55.87,55.45,55.66
66.64999999999999,60.35,63.349999999999994
71.35000000000001,65.2,68.13
