r1_p,r1_r,r1_f,r2_p,r2_r,r2_f,rL_p,rL_r,rL_f
50.0,11.48,18.67,7.6899999999999995,1.67,2.74,42.86,9.84,16.0
21.21,22.58,21.88,6.25,6.67,6.45,21.21,22.58,21.88
50.0,6.25,11.110000000000001,0.0,0.0,0.0,37.5,4.6899999999999995,8.33
61.53999999999999,20.0,30.19,25.0,7.6899999999999995,11.76,53.849999999999994,17.5,26.419999999999998
33.33,25.0,28.57,8.7,6.45,7.41,25.0,18.75,21.43
40.0,13.56,20.25,5.26,1.72,2.6,35.0,11.86,17.72
41.67,13.889999999999999,20.830000000000002,0.0,0.0,0.0,29.17,9.719999999999999,14.580000000000002
50.0,58.330000000000005,53.849999999999994,23.080000000000002,27.27,25.0,50.0,58.330000000000005,53.849999999999994
46.43,50.0,48.15,18.52,20.0,19.23,42.86,46.150000000000006,44.440000000000005
8.200000000000001,8.93,8.55,0.0,0.0,0.0,8.200000000000001,8.93,8.55
55.00000000000001,15.709999999999999,24.44,5.26,1.4500000000000002,2.27,30.0,8.57,13.33
21.43,16.98,18.95,0.0,0.0,0.0,11.899999999999999,9.43,10.530000000000001
56.00000000000001,17.95,27.18,16.669999999999998,5.19,7.920000000000001,40.0,12.82,19.42
18.18,17.14,17.65,3.1199999999999997,2.94,3.0300000000000002,12.120000000000001,11.43,11.76
47.370000000000005,14.52,22.220000000000002,22.220000000000002,6.5600000000000005,10.13,36.84,11.29,17.28
12.5,16.33,14.16,0.0,0.0,0.0,10.94,14.29,12.389999999999999
36.0,25.71,30.0,8.33,5.88,6.9,36.0,25.71,30.0
23.73,20.59,22.05,6.9,5.970000000000001,6.4,16.950000000000003,14.71,15.75
56.25,11.84,19.57,20.0,4.0,6.67,37.5,7.89,13.04
10.26,10.81,10.530000000000001,0.0,0.0,0.0,5.13,5.41,5.26
24.39,18.87,21.279999999999998,5.0,3.85,4.35,21.95,16.98,19.15
3.6999999999999997,5.56,4.44,0.0,0.0,0.0,3.6999999999999997,5.56,4.44
9.26,11.63,10.31,0.0,0.0,0.0,7.41,9.3,8.25
19.15,14.29,16.36,4.35,3.2300000000000004,3.6999999999999997,14.89,11.110000000000001,12.73
6.12,4.84,5.41,0.0,0.0,0.0,4.08,3.2300000000000004,3.5999999999999996
40.0,11.27,17.580000000000002,5.26,1.43,2.25,40.0,11.27,17.580000000000002
84.61999999999999,37.93,52.38,66.67,28.57,40.0,84.61999999999999,37.93,52.38
42.309999999999995,73.33,53.66,32.0,57.14,41.03,38.46,66.67,48.78
30.95,22.41,26.0,4.88,3.51,4.08,21.43,15.52,18.0
10.0,2.9899999999999998,4.6,0.0,0.0,0.0,10.0,2.9899999999999998,4.6
58.330000000000005,16.28,25.45,27.27,7.140000000000001,11.32,50.0,13.950000000000001,21.82
38.46,9.09,14.71,0.0,0.0,0.0,38.46,9.09,14.71
47.06,11.76,18.82,12.5,2.9899999999999998,4.82,35.29,8.82,14.12
