bs_p,bs_r,bs_f
66.67999999999999,61.53999999999999,64.01
66.25999999999999,65.42999999999999,65.84
50.92,53.269999999999996,52.07000000000001
72.5,66.38,69.31
79.71000000000001,67.14,72.89
52.900000000000006,53.23,53.059999999999995
61.309999999999995,61.35,61.33
71.53,84.76,77.59
73.46000000000001,73.03,73.24000000000001
66.83,57.47,61.8
55.279999999999994,58.160000000000004,56.68
57.410000000000004,62.22,59.72
80.76,66.45,72.91
57.19,64.46,60.61
56.230000000000004,58.379999999999995,57.29
61.040000000000006,58.550000000000004,59.77
61.309999999999995,60.08,60.69
67.73,59.709999999999994,63.470000000000006
73.17,61.040000000000006,66.56
72.59,65.44,68.83
68.08,63.99,65.97
59.760000000000005,64.61,62.09
64.53,55.26,59.53000000000001
54.64,60.160000000000004,57.269999999999996
64.48,55.66,59.75
67.22,65.82000000000001,66.51
90.05,77.75999999999999,83.46000000000001
78.31,81.72,79.97999999999999
59.79,65.16,62.36000000000001
53.04,51.870000000000005,52.449999999999996
74.66000000000001,63.43,68.58999999999999
70.03,63.44,66.57
59.45,61.160000000000004,60.3
65.59,60.160000000000004,62.760000000000005
62.53999999999999,59.940000000000005,61.22
63.959999999999994,61.49,62.7
56.8,67.33,61.62
73.15,60.8,66.41
73.63,57.48,64.56
70.61,61.980000000000004,66.02
79.9,71.99,75.74
79.03999999999999,66.53999999999999,72.25
72.69,61.67,66.73
75.68,63.65,69.15
70.53,65.27,67.80000000000001
62.4,62.419999999999995,62.41
75.18,64.37,69.35
65.34,58.269999999999996,61.6
48.5,52.81,50.56
59.11,59.06,59.08
56.08,58.48,57.26
68.49,62.89,65.57
67.27,61.95,64.5
83.75,70.63000000000001,76.63
75.37,59.650000000000006,66.59
62.11,62.77,62.44
67.56,62.63999999999999,65.01
65.18,62.870000000000005,64.0
59.72,65.53,62.49
62.06,63.019999999999996,62.53999999999999
54.379999999999995,65.35,59.37
47.3,47.52,47.410000000000004
49.07,51.94,50.46000000000001
75.36,74.6,74.98
65.36,62.46000000000001,63.88
72.31,61.25000000000001,66.32000000000001
55.97,54.93,55.45
74.14,65.92,69.78999999999999
74.75,67.34,70.85000000000001
56.97,55.120000000000005,56.03
81.03,68.12,74.02
51.92,52.03,51.980000000000004
62.739999999999995,69.67999999999999,66.03
78.48,70.17999999999999,74.09
58.98,76.81,66.73
82.61,67.56,74.33
69.49,62.64999999999999,65.89
74.94,69.36,72.04
78.42,72.02,75.08
61.6,60.34,60.96
51.74999999999999,62.8,56.74
56.699999999999996,57.089999999999996,56.89999999999999
71.05,62.03999999999999,66.24
63.56,58.81999999999999,61.1
71.17,64.55,67.7
60.92999999999999,53.49,56.97
63.980000000000004,56.47,59.99
77.17,64.18,70.08
64.86,72.16,68.32000000000001
60.74,60.550000000000004,60.650000000000006
71.17999999999999,61.760000000000005,66.13
59.230000000000004,51.739999999999995,55.230000000000004
56.16,52.99,54.52
65.53999999999999,58.709999999999994,61.94
73.63,63.190000000000005,68.01
71.61999999999999,59.940000000000005,65.25999999999999
55.36,59.709999999999994,57.46
62.580000000000005,61.29,61.92999999999999
60.760000000000005,65.36999999999999,62.980000000000004
60.209999999999994,59.419999999999995,59.809999999999995
55.35,61.53999999999999,58.28
67.83,55.989999999999995,61.339999999999996
64.51,63.13999999999999,63.82
89.22,84.89,87.0
68.65,58.78,63.33
75.67,70.88,73.19
70.27,67.94,69.08
65.71000000000001,60.79,63.14999999999999
64.14999999999999,63.349999999999994,63.74999999999999
60.51,61.7,61.1
75.18,65.69,70.12
57.92,64.14999999999999,60.88
72.28999999999999,63.71,67.73
60.980000000000004,60.23,60.6
66.49000000000001,55.779999999999994,60.660000000000004
59.14,60.24,59.68
58.01,59.12,58.56
56.38999999999999,64.57000000000001,60.199999999999996
82.36,71.0,76.25
77.28,74.42,75.82
82.67999999999999,67.05,74.05000000000001
75.67,72.96000000000001,74.29
79.17,69.85,74.22
57.08,52.75,54.83
54.2,53.33,53.76
58.489999999999995,55.24,56.82000000000001
61.419999999999995,59.809999999999995,60.6
63.470000000000006,61.61,62.529999999999994
59.31999999999999,62.82,61.019999999999996
53.61,58.26,55.84
82.21000000000001,63.65,71.75
65.85,62.519999999999996,64.14
75.12,68.8,71.82
45.47,50.03999999999999,47.64
63.91,61.19,62.519999999999996
74.32,65.67,69.73
55.97,58.14,57.03
71.39,65.13,68.12
58.440000000000005,52.669999999999995,55.400000000000006
87.6,73.59,79.97999999999999
63.33,53.690000000000005,58.10999999999999
58.07,58.98,58.52
51.9,59.209999999999994,55.31
66.12,56.989999999999995,61.22
56.379999999999995,62.78,59.41
56.53,54.58,55.54
71.0,64.7,67.7
74.76,61.73,67.63
58.75,60.47,59.589999999999996
51.73,57.91,54.65
50.46000000000001,52.07000000000001,51.24999999999999
54.37,53.21,53.779999999999994
60.91,53.959999999999994,57.220000000000006
76.14999999999999,68.84,72.31
76.85,67.44,71.84
72.84,62.23,67.12
57.32000000000001,65.58,61.17
60.74,63.05,61.870000000000005
63.49,56.21000000000001,59.63
61.69,60.8,61.24000000000001
50.8,55.60000000000001,53.09
72.74000000000001,60.47,66.03999999999999
74.27,65.23,69.45
62.67,53.38,57.65
65.25,64.53999999999999,64.89
61.14000000000001,60.4,60.760000000000005
70.44,64.42,67.30000000000001
54.89000000000001,63.41,58.85
76.57000000000001,64.32,69.92
56.230000000000004,59.75,57.940000000000005
82.35,70.04,75.7
60.129999999999995,62.9,61.480000000000004
67.2,60.29,63.56
69.08,61.67,65.16999999999999
61.86000000000001,61.71,61.78
68.85,64.67,66.7
71.91,63.580000000000005,67.49000000000001
79.57,64.02,70.95
61.17,58.19,59.64
65.25999999999999,56.489999999999995,60.56
71.45,61.56,66.14
63.5,59.67,61.519999999999996
86.04,77.51,81.56
53.400000000000006,51.129999999999995,52.239999999999995
60.81999999999999,64.36,62.53999999999999
86.2,74.88,80.15
84.13000000000001,76.5,80.13
64.21,75.58,69.44
73.3,69.33,71.26
50.36000000000001,52.82,51.559999999999995
65.8,60.46,63.019999999999996
57.24,56.68,56.96
69.1,60.67,64.61
73.3,60.209999999999994,66.12
61.160000000000004,65.63,63.32
52.449999999999996,57.02,54.64
83.17,70.63000000000001,76.39
62.43,58.87,60.6
52.31,50.31,51.29
56.699999999999996,60.18,58.39
58.28,57.830000000000005,58.050000000000004
56.48,59.29,57.85
60.86,57.34,59.040000000000006
56.07,56.03,56.05
82.14,79.24,80.66
64.25999999999999,62.660000000000004,63.449999999999996
69.75,62.870000000000005,66.13
74.85000000000001,63.970000000000006,68.97999999999999
74.03999999999999,65.73,69.64
71.89999999999999,70.67,71.28
66.18,58.809999999999995,62.27
88.29,80.28,84.1
85.61,69.03,76.42999999999999
69.81,60.18,64.64
64.46,56.08,59.98
74.33999999999999,80.36,77.23
53.15,51.970000000000006,52.559999999999995
65.35,66.14,65.74
91.46,80.92,85.87
84.19,75.33,79.52
60.440000000000005,55.58,57.91
66.11,61.62,63.78
70.41,64.03,67.07
73.6,67.25999999999999,70.28999999999999
54.290000000000006,54.06999999999999,54.17999999999999
60.6,57.940000000000005,59.24
71.67,65.0,68.17
69.92,61.760000000000005,65.59
74.58,58.85,65.79
66.28,63.01,64.60000000000001
50.57000000000001,59.99,54.879999999999995
63.470000000000006,68.92,66.08000000000001
55.53,58.050000000000004,56.76
66.16,60.150000000000006,63.01
67.4,60.86,63.970000000000006
76.47,64.53999999999999,70.0
63.13999999999999,61.519999999999996,62.32
61.129999999999995,65.91,63.43
72.14,63.59,67.60000000000001
54.559999999999995,59.699999999999996,57.010000000000005
51.480000000000004,71.25,59.77
64.89,51.73,57.57
78.10000000000001,67.12,72.19
73.49,63.06,67.86999999999999
70.85000000000001,61.58,65.89
65.62,64.02,64.81
74.11,60.480000000000004,66.61
61.89,52.94,57.07
70.41,65.91,68.08999999999999
69.64,64.64999999999999,67.05
58.47,59.68,59.07
54.85,58.69,56.699999999999996
66.09,55.28999999999999,60.209999999999994
73.56,67.88,70.6
85.69,66.39,74.82
69.22,62.73,65.82000000000001
80.39,65.51,72.19
49.36,55.769999999999996,52.370000000000005
71.06,61.24000000000001,65.79
59.86,59.89,59.870000000000005
74.9,64.1,69.08
55.61000000000001,58.64,57.089999999999996
63.61,60.56,62.050000000000004
77.03999999999999,68.65,72.61
57.9,64.9,61.199999999999996
63.23,60.940000000000005,62.07
74.68,61.83,67.65
53.09,64.79,58.36
63.55,55.400000000000006,59.19
58.75,55.03,56.830000000000005
61.06,61.129999999999995,61.1
70.55,60.760000000000005,65.29
53.74,57.379999999999995,55.50000000000001
68.99,62.63999999999999,65.66
70.72,74.03999999999999,72.34
72.83,59.64,65.57
63.11,63.43,63.27
72.71,58.9,65.08
78.64,80.0,79.31
58.81999999999999,57.78,58.3
66.31,58.68,62.260000000000005
82.11,68.89999999999999,74.92999999999999
61.550000000000004,65.88000000000001,63.63999999999999
67.2,60.88,63.88
86.47,63.800000000000004,73.42999999999999
56.69,61.150000000000006,58.830000000000005
61.14000000000001,54.059999999999995,57.379999999999995
70.57,58.809999999999995,64.16
58.8,60.31999999999999,59.550000000000004
73.31,68.54,70.84
68.01,61.29,64.48
82.99,72.55,77.42
57.31,60.660000000000004,58.93000000000001
77.14999999999999,69.6,73.18
63.370000000000005,62.99,63.18
70.67999999999999,61.83,65.96
67.56,61.28,64.27000000000001
84.86,65.9,74.19
65.16999999999999,60.589999999999996,62.8
68.17,61.47,64.64999999999999
64.61,59.260000000000005,61.82
69.88,63.32,66.44
74.00999999999999,67.07,70.37
58.220000000000006,70.62,63.82
72.7,64.42,68.31
56.37,60.089999999999996,58.17
74.16,68.96,71.46000000000001
70.93,63.83,67.19000000000001
62.21,59.88,61.019999999999996
71.09,63.73,67.2
76.46,67.2,71.53
58.809999999999995,57.43000000000001,58.10999999999999
66.2,66.07,66.13
60.14000000000001,60.31999999999999,60.23
51.31,51.57000000000001,51.44
56.699999999999996,57.879999999999995,57.28
67.69,61.23,64.3
54.779999999999994,57.43000000000001,56.08
58.4,53.76,55.989999999999995
55.730000000000004,56.230000000000004,55.98
64.58,58.46,61.370000000000005
69.65,58.85,63.800000000000004
65.61,60.72,63.07000000000001
50.8,54.84,52.739999999999995
55.31,61.12,58.07
65.31,73.61,69.21000000000001
80.63,58.8,68.01
57.79,57.53,57.66
68.15,62.01,64.92999999999999
72.92999999999999,65.8,69.17999999999999
50.38,54.58,52.39
74.57000000000001,60.73,66.95
70.46,64.44,67.32000000000001
73.77,72.03,72.89
64.3,53.459999999999994,58.379999999999995
63.51,62.19,62.849999999999994
65.16,70.87,67.9
64.34,55.510000000000005,59.599999999999994
75.53,61.46,67.77
96.97,90.86999999999999,93.82000000000001
58.309999999999995,62.260000000000005,60.22
57.620000000000005,60.73,59.13
56.720000000000006,55.300000000000004,56.00000000000001
74.14,65.67,69.65
72.63,60.589999999999996,66.06
70.61,68.36,69.46
59.74,63.5,61.56
63.260000000000005,62.83,63.04
51.88,61.89,56.45
69.25,59.97,64.28
67.61,64.97,66.25999999999999
64.53999999999999,57.47,60.8
59.830000000000005,64.66,62.150000000000006
64.23,60.89,62.519999999999996
71.6,66.67,69.05
66.74,66.97999999999999,66.86
52.12,51.23,51.67
87.33,84.81,86.05000000000001
86.50999999999999,84.1,85.28999999999999
83.76,67.55,74.79
76.8,63.62,69.59
78.32000000000001,63.32,70.02000000000001
64.31,59.98,62.07
70.00999999999999,64.33,67.05
64.79,61.199999999999996,62.94
74.86,63.23,68.56
73.92999999999999,64.92,69.13
82.85,66.67,73.88
57.489999999999995,59.45,58.45
71.28999999999999,62.73,66.74
68.21000000000001,57.75,62.53999999999999
81.66,70.43,75.63
74.81,64.01,68.99
51.470000000000006,58.52,54.769999999999996
54.50000000000001,55.76,55.120000000000005
79.23,67.66,72.98
80.35,79.45,79.9
59.89,62.980000000000004,61.4
72.88,64.21,68.27
66.07,61.83,63.88
70.98,71.69,71.34
66.64999999999999,59.709999999999994,62.99
61.9,63.080000000000005,62.49
56.13,59.95,57.98
65.75999999999999,59.209999999999994,62.31
85.84,81.27,83.49
68.14,63.39,65.68
61.85000000000001,60.9,61.370000000000005
70.41,60.58,65.13
52.52,53.87,53.190000000000005
75.44999999999999,59.64,66.62
75.88000000000001,70.32000000000001,72.99
76.42,64.25,69.8
72.13000000000001,67.09,69.52000000000001
68.81,63.55,66.08000000000001
81.5,68.81,74.62
55.669999999999995,60.529999999999994,57.99999999999999
68.53,76.02,72.08
58.050000000000004,66.97999999999999,62.19
73.82,61.01,66.81
62.160000000000004,61.73,61.95
73.00999999999999,71.39,72.19
65.06,62.45,63.73
48.449999999999996,59.19,53.290000000000006
67.36999999999999,63.349999999999994,65.3
72.58,68.57,70.52000000000001
64.5,61.99,63.22
63.05,66.01,64.5
73.05,61.309999999999995,66.67
66.97,61.67,64.21
82.06,70.48,75.83
51.94,54.769999999999996,53.32
72.82,64.1,68.19
61.1,64.32,62.67
70.71,64.96,67.71000000000001
68.19,64.36,66.22
73.87,66.33,69.89999999999999
85.55,74.00999999999999,79.36
61.970000000000006,55.24,58.41
41.77,48.79,45.01
74.42999999999999,63.93,68.78
74.6,66.22,70.16
70.97,66.03999999999999,68.42
71.46000000000001,63.080000000000005,67.01
71.56,60.440000000000005,65.53
58.74,58.879999999999995,58.809999999999995
65.9,65.28,65.59
64.25999999999999,62.470000000000006,63.349999999999994
60.11,57.940000000000005,59.01
44.91,53.49,48.83
68.10000000000001,62.94,65.42
66.53999999999999,55.31,60.41
58.379999999999995,60.74,59.53000000000001
69.84,60.919999999999995,65.08
57.010000000000005,64.36,60.46
86.42,67.45,75.76
70.35,64.38000000000001,67.23
51.66,56.35,53.900000000000006
55.379999999999995,56.010000000000005,55.69
68.94,64.44,66.61
67.58999999999999,58.14,62.51
80.02,65.85,72.25
64.72,52.800000000000004,58.15
59.36,55.88999999999999,57.57
65.98,58.58,62.06
79.25,69.65,74.14
63.68000000000001,62.93,63.3
75.7,73.78,74.72999999999999
73.00999999999999,59.730000000000004,65.71000000000001
67.66,66.19,66.92
58.18,62.29,60.17
71.07,57.49999999999999,63.57000000000001
68.17,63.22,65.60000000000001
76.24,64.17,69.69
69.33,55.50000000000001,61.650000000000006
72.38,69.39,70.85000000000001
62.44,55.13,58.56
61.06,52.86,56.66
66.34,61.17,63.65
70.17,71.12,70.64
70.67999999999999,60.309999999999995,65.08
57.589999999999996,56.69,57.14
62.43,64.03999999999999,63.22
77.32,64.36,70.25
70.87,63.690000000000005,67.09
71.6,63.72,67.43
61.6,61.019999999999996,61.309999999999995
87.32,67.21000000000001,75.94999999999999
61.150000000000006,63.44,62.28
79.34,64.69,71.27
69.17,61.7,65.22
54.08,53.510000000000005,53.800000000000004
88.56,88.72,88.64
67.51,62.55,64.94
78.78,65.21000000000001,71.35000000000001
67.42,59.550000000000004,63.239999999999995
69.38,61.040000000000006,64.94
54.13,51.42,52.739999999999995
61.480000000000004,65.62,63.480000000000004
54.58,52.900000000000006,53.73
66.89,64.92999999999999,65.9
68.45,68.64,68.54
55.230000000000004,56.79,56.00000000000001
89.53,72.92,80.38
73.66,61.309999999999995,66.92
53.56999999999999,53.54,53.55
72.78999999999999,62.129999999999995,67.04
68.46,60.760000000000005,64.38000000000001
79.65,83.45,81.51
81.39999999999999,76.81,79.03999999999999
47.22,55.75,51.129999999999995
60.83,58.47,59.62
75.5,75.44,75.47
76.12,62.949999999999996,68.91000000000001
54.449999999999996,57.85,56.10000000000001
60.160000000000004,61.75000000000001,60.940000000000005
66.64,54.75,60.11
65.53999999999999,60.56,62.949999999999996
69.32000000000001,63.09,66.06
53.43,57.48,55.379999999999995
