bleu,p,bp,lr,rl,pl
0.0,,0.8915853592544761,0.8970588235294118,68,61
0.0,,1.0,1.9444444444444444,36,70
0.0,,0.36787944117144233,0.5,66,33
0.0,,0.3522274099927112,0.48936170212765956,47,23
0.0,,0.2096113871510978,0.3902439024390244,41,16
0.0,,1.0,1.0819672131147542,61,66
0.0,,0.9143404998207534,0.9178082191780822,73,67
0.0,,1.0,2.5294117647058822,17,43
0.1305,,1.0,1.0416666666666667,24,25
0.0,,1.0,1.0655737704918034,61,65
0.0,,1.0,1.0684931506849316,73,78
0.0,,1.0,1.096774193548387,62,68
0.0,,0.06948345122280151,0.2727272727272727,77,21
0.0,,1.0,1.5714285714285714,42,66
0.0,,0.9542066659691884,0.9552238805970149,67,64
0.0,,1.0,1.3559322033898304,59,80
0.0,,1.0,1.95,40,78
0.0,,0.0035658114462362553,0.1506849315068493,73,11
0.0,,0.057844320874838435,0.2597402597402597,77,20
0.0,,0.21666307870822255,0.3953488372093023,43,17
0.0,,1.0,1.1111111111111112,54,60
0.0,,1.0,1.1851851851851851,27,32
0.0,,1.0,1.1818181818181819,44,52
0.0,,0.8562675324227804,0.8656716417910447,67,58
0.0,,0.42806302118317596,0.5409836065573771,61,33
0.0,,0.6755981294711625,0.7183098591549296,71,51
0.2703,,0.4138080991773701,0.53125,32,17
0.233,,1.0,2.210526315789474,19,42
0.0,,1.0,1.078125,64,69
0.0,,0.7494156282712189,0.7761194029850746,67,52
0.0,,0.1777685728281378,0.36666666666666664,60,22
0.0,,0.4980923900530609,0.5892857142857143,56,33
0.0,,1.0,1.0441176470588236,68,71
0.0,,0.4147829116815813,0.5319148936170213,47,25
0.0,,0.7165313105737893,0.75,64,48
0.0,,0.9118245449789161,0.9154929577464789,71,65
0.0,,1.0,1.8666666666666667,30,56
0.0,,0.0560028363077737,0.25757575757575757,66,17
0.0,,0.45667477944228846,0.5606060606060606,66,37
0.0,,0.10365712861152786,0.30612244897959184,49,15
0.0,,0.5488116360940264,0.625,32,20
0.0481,,0.1224564282529819,0.3225806451612903,31,10
0.0084,,0.0301973834223185,0.2222222222222222,81,18
0.0,,0.3395955256449391,0.4807692307692308,52,25
0.0,,0.9280897238637507,0.9305555555555556,72,67
0.0,,0.6734450755684334,0.7166666666666667,60,43
0.0,,0.43009464064006225,0.5423728813559322,59,32
0.0,,0.628062070470208,0.6825396825396826,63,43
0.0,,1.0,1.4651162790697674,43,63
0.0,,1.0,1.5294117647058822,51,78
0.0,,0.8007374029168082,0.8181818181818182,55,45
0.0,,0.21903614469412785,0.39705882352941174,68,27
0.0,,1.0,1.0,66,66
0.1009,,0.14660696213035007,0.3424657534246575,73,25
0.0,,0.09508907677188685,0.2982456140350877,57,17
0.0,,0.2635971381157267,0.42857142857142855,63,27
0.0,,0.4843245689553625,0.5797101449275363,69,40
0.0419,,0.7033843193421739,0.7397260273972602,73,54
0.0,,1.0,1.9069767441860466,43,82
0.0,,1.0,1.3015873015873016,63,82
0.0,,1.0,2.3043478260869565,23,53
0.0,,0.6892901195306848,0.7288135593220338,59,43
0.0,,0.8697626821165181,0.8775510204081632,49,43
0.1115,,1.0,1.0675675675675675,74,79
0.0819,,1.0,1.1578947368421053,57,66
0.0,,0.033373269960326066,0.22727272727272727,66,15
0.0,,1.0,1.2758620689655173,29,37
0.0,,0.18664041484472882,0.37333333333333335,75,28
0.0897,,0.40871514110598406,0.5277777777777778,36,19
0.0,,0.7788007830714049,0.8,65,52
0.0917,,0.2635971381157267,0.42857142857142855,35,15
0.0,,1.0,1.1857142857142857,70,83
0.0,,1.0,1.3673469387755102,49,67
0.0887,,0.33846542510674216,0.48,25,12
0.0608,,1.0,3.4285714285714284,14,48
0.0,,0.1353352832366127,0.3333333333333333,42,14
0.0,,0.4138080991773701,0.53125,32,17
0.1604,,0.5488116360940264,0.625,48,30
0.0,,0.76396693524234,0.7878787878787878,33,26
0.0,,0.9118245449789161,0.9154929577464789,71,65
0.0,,1.0,1.1891891891891893,37,44
0.0,,1.0,1.2093023255813953,43,52
0.0,,0.36787944117144233,0.5,22,11
0.0,,0.19342660460039254,0.3783783783783784,74,28
0.0,,0.30352002442964,0.45614035087719296,57,26
0.0,,1.0,1.0547945205479452,73,77
0.0,,0.3941457624048216,0.5178571428571429,56,29
0.0695,,0.22730069704883135,0.40298507462686567,67,27
0.0,,1.0,1.864864864864865,37,69
0.0,,1.0,1.0862068965517242,58,63
0.0,,0.06477457554835706,0.2676056338028169,71,19
0.0,,1.0,1.1016949152542372,59,65
0.0,,0.9555630362682843,0.9565217391304348,69,66
0.0,,0.18887560283756186,0.375,64,24
0.0268,,0.06477457554835706,0.2676056338028169,71,19
0.0,,0.006737946999085467,0.16666666666666666,60,10
0.0,,0.7866278610665535,0.8064516129032258,62,50
0.0,,0.10251175769346066,0.3050847457627119,59,18
0.0606,,0.8272443414362913,0.8405797101449275,69,58
0.0,,0.8093381520636311,0.8253968253968254,63,52
0.0,,1.0,1.0163934426229508,61,62
0.0,,0.008850576089052096,0.1746031746031746,63,11
0.0437,,0.971832875032981,0.9722222222222222,72,70
0.1618,,0.9394130628134758,0.9411764705882353,34,32
0.0,,0.10836802322189586,0.3103448275862069,58,18
0.0,,1.0,1.0,24,24
0.0,,1.0,1.1162790697674418,43,48
0.0,,0.3980997680657806,0.5205479452054794,73,38
0.0,,0.9213021648295184,0.9242424242424242,66,61
0.0,,1.0,1.7619047619047619,42,74
0.0,,0.1610425027628398,0.35384615384615387,65,23
0.0,,1.0,1.3333333333333333,57,76
0.0,,0.007379193640893606,0.16923076923076924,65,11
0.0,,1.0,1.1159420289855073,69,77
0.0789,,1.0,1.0819672131147542,61,66
0.0,,1.0,1.0,66,66
0.0,,1.0,1.12,75,84
0.0,,1.0,1.0,24,24
0.099,,0.4924642876754097,0.5853658536585366,41,24
0.1063,,1.0,1.032258064516129,31,32
0.0,,0.14044168033518067,0.3375,80,27
0.1677,,1.0,1.15,20,23
0.0938,,0.36787944117144233,0.5,64,32
0.0,,0.5669027155052999,0.6379310344827587,58,37
0.0,,0.6183075876067514,0.6753246753246753,77,52
0.0,,1.0,1.106060606060606,66,73
0.0,,0.7710515858035663,0.7936507936507936,63,50
0.0,,1.0,1.1515151515151516,66,76
0.0,,0.8789456120040121,0.8857142857142857,70,62
0.0,,1.0,1.105263157894737,57,63
0.0,,0.07995304217364506,0.2835820895522388,67,19
0.0,,1.0,1.0,53,53
0.0,,0.6411803884299546,0.6923076923076923,26,18
0.0,,0.8594048608885094,0.868421052631579,38,33
0.0,,1.0,1.2333333333333334,60,74
0.0,,0.30771802192680037,0.45901639344262296,61,28
0.0,,0.6807123983233854,0.7222222222222222,72,52
0.0,,0.1064585043792528,0.30864197530864196,81,25
0.0,,0.8410729144396826,0.8524590163934426,61,52
0.0832,,0.4168620196785084,0.5333333333333333,60,32
