r1_p,r1_r,r1_f,r2_p,r2_r,r2_f,rL_p,rL_r,rL_f
18.33,18.029999999999998,18.18,3.39,3.3300000000000005,3.36,16.669999999999998,16.39,16.53
14.29,25.81,18.39,7.2700000000000005,13.33,9.41,12.5,22.58,16.09
3.1199999999999997,1.5599999999999998,2.08,0.0,0.0,0.0,3.1199999999999997,1.5599999999999998,2.08
42.11,20.0,27.12,11.110000000000001,5.13,7.02,36.84,17.5,23.73
46.67,21.88,29.79,7.140000000000001,3.2300000000000004,4.44,33.33,15.620000000000001,21.279999999999998
8.57,5.08,6.38,2.94,1.72,2.17,8.57,5.08,6.38
19.61,13.889999999999999,16.259999999999998,0.0,0.0,0.0,11.76,8.33,9.76
17.14,50.0,25.53,5.88,18.18,8.89,17.14,50.0,25.53
40.0,38.46,39.22,12.5,12.0,12.24,32.0,30.769999999999996,31.369999999999997
5.88,3.5700000000000003,4.44,0.0,0.0,0.0,5.88,3.5700000000000003,4.44
17.86,14.29,15.870000000000001,1.82,1.4500000000000002,1.6099999999999999,10.71,8.57,9.520000000000001
14.580000000000002,13.209999999999999,13.86,0.0,0.0,0.0,10.42,9.43,9.9
73.68,17.95,28.87,22.220000000000002,5.19,8.42,52.629999999999995,12.82,20.62
14.000000000000002,20.0,16.470000000000002,2.04,2.94,2.41,12.0,17.14,14.12
4.92,4.84,4.88,1.67,1.6400000000000001,1.6500000000000001,4.92,4.84,4.88
11.59,16.33,13.56,0.0,0.0,0.0,10.14,14.29,11.86
8.0,17.14,10.91,0.0,0.0,0.0,8.0,17.14,10.91
46.150000000000006,8.82,14.81,8.33,1.49,2.53,38.46,7.35,12.35
44.440000000000005,10.530000000000001,17.02,17.65,4.0,6.52,38.89,9.21,14.89
23.080000000000002,8.110000000000001,12.0,0.0,0.0,0.0,23.080000000000002,8.110000000000001,12.0
23.080000000000002,22.64,22.86,3.92,3.85,3.88,21.15,20.75,20.95
3.85,5.56,4.55,0.0,0.0,0.0,3.85,5.56,4.55
7.41,4.65,5.71,0.0,0.0,0.0,3.6999999999999997,2.33,2.86
25.0,12.7,16.84,9.68,4.84,6.45,21.88,11.110000000000001,14.74
4.08,3.2300000000000004,3.5999999999999996,0.0,0.0,0.0,4.08,3.2300000000000004,3.5999999999999996
31.25,21.13,25.21,6.38,4.29,5.13,25.0,16.900000000000002,20.169999999999998
84.61999999999999,37.93,52.38,66.67,28.57,40.0,84.61999999999999,37.93,52.38
32.35,73.33,44.9,24.240000000000002,57.14,34.04,29.409999999999997,66.67,40.82
20.97,22.41,21.67,3.2800000000000002,3.51,3.39,17.740000000000002,18.970000000000002,18.33
3.5700000000000003,1.49,2.11,0.0,0.0,0.0,3.5700000000000003,1.49,2.11
42.11,18.6,25.81,11.110000000000001,4.760000000000001,6.67,26.32,11.63,16.13
27.589999999999996,14.549999999999999,19.05,0.0,0.0,0.0,24.14,12.73,16.669999999999998
15.25,13.239999999999998,14.17,1.72,1.49,1.6,8.469999999999999,7.35,7.870000000000001
29.17,12.73,17.72,13.04,5.56,7.79,25.0,10.91,15.190000000000001
10.639999999999999,8.77,9.62,0.0,0.0,0.0,8.51,7.02,7.6899999999999995
15.52,13.239999999999998,14.29,1.7500000000000002,1.49,1.6099999999999999,10.34,8.82,9.520000000000001
11.76,15.379999999999999,13.33,0.0,0.0,0.0,5.88,7.6899999999999995,6.67
